date,open,high,low,close,volume
2023-09-18,630.1500,637.5000,620.0500,625.0000,52436
2023-09-20,625.0000,641.4500,613.0000,619.3500,75181
2023-09-21,613.2000,633.0000,588.7000,593.3500,94383
2023-09-22,595.0000,607.6500,589.3000,591.4000,44621
2023-09-25,591.4000,597.9500,575.0500,579.2000,60452
2023-09-26,580.9500,594.4500,580.9500,589.4500,33403
2023-09-27,595.0000,595.9500,586.5500,593.0000,37504
2023-09-28,588.0000,612.4500,585.0000,597.5500,77601
2023-09-29,599.5500,608.5500,597.7000,603.0500,37979
2023-10-03,607.1000,607.1000,590.4000,599.6500,22493
2023-10-04,596.0000,609.6000,583.8000,589.7000,37472
2023-10-05,598.4000,603.9000,590.5500,599.1000,34440
2023-10-06,595.0000,604.8500,589.2000,594.2000,34562
2023-10-09,594.2000,594.2000,565.5000,569.4000,50155
2023-10-10,572.9000,580.4500,565.0500,569.3500,39239
2023-10-11,574.4000,588.4000,574.4000,582.3500,46755
2023-10-12,582.3500,592.2500,578.8000,586.1500,37835
2023-10-13,583.0000,598.7500,577.2000,586.0500,84139
2023-10-16,586.0500,586.0500,575.8000,581.3500,23164
2023-10-17,585.0000,592.7500,581.5500,584.6500,42561
2023-10-18,593.4000,593.4000,571.6000,579.3000,27888
2023-10-19,575.0000,589.5000,572.3000,582.2500,37927
2023-10-20,588.0500,588.0500,575.0500,579.5000,33533
2023-10-23,580.0000,583.4500,550.0000,556.2500,41059
2023-10-25,556.2500,564.0000,529.0000,542.8000,40189
2023-10-26,539.6000,539.8000,511.7000,521.4500,76198
2023-10-27,527.0000,540.0000,525.8500,537.0000,32226
2023-10-30,544.9500,544.9500,520.0500,536.2500,38247
2023-10-31,536.2500,549.9000,536.2500,543.6000,39329
2023-11-01,545.0000,549.8000,531.0000,535.4500,35487
2023-11-02,546.8500,547.6500,528.4500,534.0500,68715
2023-11-03,539.4000,544.5500,535.3000,539.8500,71301
2023-11-06,547.8500,558.9000,541.1500,543.2000,102310
2023-11-07,548.6500,560.0500,536.1500,539.1000,71014
2023-11-08,545.0500,579.9500,534.0000,573.3500,183870
2023-11-09,574.9500,579.4000,560.5000,565.0500,113792
2023-11-10,570.0000,578.8000,525.7000,539.8500,240976
2023-11-13,550.3500,562.0000,543.4500,559.6000,42659
2023-11-15,560.2500,579.0000,558.3500,574.0000,87955
2023-11-16,580.0000,632.9500,566.1500,592.8000,573093
2023-11-17,604.0000,619.0000,595.0000,611.7000,232652
2023-11-20,615.4000,650.0000,615.4000,633.6000,362729
2023-11-21,638.0500,671.8000,635.6500,659.3500,355266
2023-11-22,662.0000,701.5000,662.0000,672.9500,652085
