date,open,high,low,close,volume
2023-09-18,48.5500,49.1000,48.5500,48.5500,14735
2023-09-20,47.6000,48.4500,47.6000,47.6000,7954
2023-09-21,46.6500,46.8000,46.6500,46.6500,14211
2023-09-22,47.5500,47.5500,46.0000,47.5500,20832
2023-09-25,48.5000,48.5000,47.6000,48.5000,8386
2023-09-26,49.4000,49.4500,48.6000,49.4000,13114
2023-09-27,48.5000,48.6000,48.4500,48.5000,9294
2023-09-28,48.6000,49.0000,48.5000,48.6000,5576
2023-09-29,48.0500,48.0500,47.7000,48.0500,16412
2023-10-03,49.0000,49.0000,48.9500,49.0000,7367
2023-10-04,49.9500,49.9500,49.9500,49.9500,22757
2023-10-05,50.9000,50.9000,50.9000,50.9000,8066
2023-10-06,51.9000,51.9000,51.9000,51.9000,9974
2023-10-09,54.4500,54.4500,49.3000,49.6500,56147
2023-10-10,48.1500,52.1000,48.1500,52.1000,24470
2023-10-11,53.7500,54.7000,53.0500,54.6500,46372
2023-10-12,54.7000,54.9000,52.0500,54.1500,54823
2023-10-13,52.1000,56.8500,52.1000,56.8500,91776
2023-10-16,56.8500,59.6500,55.2000,59.4500,191793
2023-10-17,60.9000,62.3500,57.9000,58.1000,125610
2023-10-18,59.0000,59.0000,58.2500,59.0000,23728
2023-10-19,59.0000,59.4000,59.0000,59.0000,10031
2023-10-20,57.8500,59.0000,57.8500,57.8500,12224
2023-10-23,56.7000,56.7000,56.7000,56.7000,8910
2023-10-25,55.6000,55.6000,55.6000,55.6000,5256
2023-10-26,54.5000,54.5000,54.5000,54.5000,2510
2023-10-27,55.5500,55.5500,53.5500,55.5500,34987
2023-10-30,56.6500,56.6500,55.5500,56.6500,7312
2023-10-31,57.7500,57.7500,57.7500,57.7500,20716
2023-11-01,58.9000,58.9000,58.9000,58.9000,10329
2023-11-02,60.0500,60.0500,60.0500,60.0500,18100
2023-11-03,61.2500,61.2500,61.2500,61.2500,22029
2023-11-06,62.4500,62.4500,62.4500,62.4500,26660
2023-11-07,61.2500,62.4000,61.2000,61.2500,30696
2023-11-08,60.0500,61.0000,60.0500,60.0500,14466
2023-11-09,59.2000,60.0000,58.8500,59.2000,22025
2023-11-10,60.3500,60.3500,60.0000,60.3500,42836
