date,open,high,low,close,volume
2023-09-18,499.1000,499.2000,484.5500,490.0500,31101
2023-09-20,489.8000,495.4500,474.1500,489.7000,80214
2023-09-21,489.6000,490.0000,477.9000,487.1500,51985
2023-09-22,485.0000,490.8000,482.0000,489.3500,33426
2023-09-25,496.6000,500.0000,492.0500,499.8000,43928
2023-09-26,503.6000,505.8500,494.0500,502.6000,88725
2023-09-27,495.2000,510.0000,495.2000,505.6500,42075
2023-09-28,507.6500,512.9500,498.6000,501.4500,39681
2023-09-29,505.2000,505.2000,497.4000,502.7500,22669
2023-10-03,501.0500,510.0000,492.4500,506.0500,42066
2023-10-04,512.9500,518.0000,499.8500,511.0000,68220
2023-10-05,514.8500,522.0000,504.1000,507.9500,44312
2023-10-06,511.8000,519.0000,505.0000,510.8500,40477
2023-10-09,513.7000,517.2500,501.0000,508.6000,52394
2023-10-10,508.6000,512.0000,504.1000,507.5500,55378
2023-10-11,511.3000,511.3000,501.9500,503.1000,50010
2023-10-12,503.1000,506.8500,495.0000,501.0000,31362
2023-10-13,504.7500,504.7500,475.1000,493.0500,90602
2023-10-16,490.0000,500.0000,485.8000,490.9500,35040
2023-10-17,489.1000,497.5000,486.0000,490.7000,51533
2023-10-18,494.3500,528.4500,481.1000,504.1000,178497
2023-10-19,495.1000,523.4000,495.1000,517.6500,78003
2023-10-20,516.0500,519.7500,503.8000,507.8500,38411
2023-10-23,508.9000,510.9000,481.0000,487.2500,60596
2023-10-25,486.0000,499.4000,478.1000,490.2000,66208
2023-10-26,483.7500,487.2500,467.1000,481.2000,38232
2023-10-27,485.1500,518.9500,485.1500,499.0000,66787
2023-10-30,519.4000,519.4000,495.0000,499.3500,22452
2023-10-31,503.6000,507.9000,493.2500,498.1500,25944
2023-11-01,493.0000,504.0000,491.0000,497.9000,24292
2023-11-02,497.9000,504.0000,494.0000,496.2000,39806
2023-11-03,499.9500,509.0000,496.2500,505.9500,80840
2023-11-06,509.7500,518.0000,501.0000,505.0500,41105
2023-11-07,505.0500,514.3500,495.0500,497.1000,34161
2023-11-08,518.0000,535.9500,495.8500,497.5000,125103
2023-11-09,509.0000,509.9000,475.0500,487.6000,98448
2023-11-10,487.0000,497.5000,485.0000,487.4000,42895
2023-11-13,498.7000,498.7000,486.0500,488.8000,28404
2023-11-15,492.4500,497.0000,483.1500,484.9500,70633
2023-11-16,488.6000,498.0000,481.7500,489.9000,31462
2023-11-17,489.9000,494.0000,484.0000,484.7500,17287
2023-11-20,485.4000,494.0000,480.1000,487.1000,40292
2023-11-21,490.7500,504.0000,475.5500,497.7500,70524
2023-11-22,502.4000,507.6000,490.8000,499.9500,77927
2023-11-23,491.0000,500.1500,490.0000,496.5000,23120
2023-11-24,492.0000,497.9000,486.1000,490.7000,33517
2023-11-28,494.6000,505.0000,486.0500,487.9500,36830
2023-11-29,491.6000,492.3000,480.6000,482.2500,38248
2023-11-30,485.9000,485.9000,477.0000,480.2000,36602
2023-12-01,481.0000,485.5000,476.0500,479.6000,35080
2023-12-04,483.4500,487.0000,478.0500,483.6500,48237
2023-12-05,483.9500,484.6000,475.4500,478.4500,32183
2023-12-06,480.0000,484.8500,474.0500,479.4500,44993
2023-12-07,463.8500,484.4000,463.8500,477.3000,48409
2023-12-08,479.6500,490.9500,473.3000,487.4000,58411
2023-12-11,491.0500,497.9000,487.3500,492.7500,56808
2023-12-12,499.5500,499.6000,485.6000,488.7000,29473
2023-12-13,492.3500,520.0000,481.8000,512.7000,155267
2023-12-14,524.9000,534.9500,512.1500,518.2500,209781
2023-12-15,518.2500,545.0000,518.2500,530.4000,315638
2023-12-18,533.0500,599.0000,533.0500,575.1500,1588455
2023-12-19,582.0000,583.0000,550.0000,557.6500,270826
2023-12-20,552.3500,587.0000,541.0000,544.6500,300754
2023-12-21,550.0000,567.5500,523.0000,562.8500,206398
2023-12-22,562.9500,581.0000,557.4000,571.4500,238645
2023-12-26,570.0000,582.8000,557.0500,563.7500,133045
2023-12-27,564.0000,587.0000,560.0500,563.0000,148482
2023-12-28,562.7500,573.0000,544.5500,556.2500,108944
2023-12-29,561.8000,562.5500,546.0000,549.1000,65052
2024-01-01,549.5000,557.1500,547.8000,551.8000,40855
2024-01-02,552.0000,558.4000,539.4500,545.9500,42416
2024-01-03,545.0000,564.7000,539.2000,548.5500,112452
2024-01-04,552.8500,563.0000,546.1000,549.5500,193637
2024-01-05,553.7000,559.0500,542.0500,547.0500,80346
2024-01-08,551.0000,552.0000,535.2000,536.5000,95762
2024-01-09,548.9500,548.9500,529.3500,531.9500,90754
2024-01-10,531.9500,534.2500,522.6000,527.6000,60544
2024-01-11,530.0000,534.5000,526.0500,528.0000,50696
2024-01-12,531.9500,549.7000,528.4000,534.7500,125667
2024-01-15,540.0000,551.7500,531.4000,532.4500,88793
2024-01-16,535.0000,535.0000,518.4000,527.0000,81797
2024-01-17,530.0000,530.9500,522.0500,523.1500,33221
2024-01-18,526.3500,527.0000,507.3000,522.5000,58700
2024-01-19,522.5000,527.0000,516.0000,523.7000,72809
2024-01-23,570.0000,570.0000,507.2500,512.3000,438734
2024-01-24,517.3000,534.9500,510.6500,525.5000,101498
2024-01-25,534.0000,534.0000,508.0000,510.1500,148355
2024-01-29,512.6000,513.0000,500.4000,505.8500,68348
2024-01-30,505.9000,509.8500,500.0000,503.4000,46231
2024-01-31,503.8000,519.8500,503.3000,514.8500,73043
2024-02-01,514.8500,526.6000,506.4000,509.1500,107382
2024-02-02,514.0000,527.2000,505.5000,509.2000,153093
2024-02-05,518.0000,518.0000,497.0500,499.3500,115621
2024-02-06,494.2000,517.4000,494.2000,501.1500,124922
2024-02-07,505.2500,508.6500,496.6500,499.3500,69503
2024-02-08,503.0500,503.0500,487.2500,489.7000,65115
2024-02-09,493.3500,495.0500,481.0000,489.9500,104719
2024-02-12,493.8500,497.9500,475.2000,480.1500,156687
2024-02-13,480.0500,486.0000,467.1000,470.0500,189158
2024-02-14,470.0500,473.0000,461.5000,464.0000,172864
2024-02-15,467.9000,480.0000,455.1500,459.5000,375805
2024-02-16,459.5000,473.0000,453.2500,469.6500,312754
2024-02-19,476.7000,476.7000,449.0000,458.8000,191168
2024-02-20,460.9500,472.7000,454.0500,460.1500,178621
2024-02-21,460.1500,470.0000,455.0000,457.2000,108168
2024-02-22,462.8500,464.3000,448.0000,456.1500,99694
2024-02-23,459.3500,466.9000,456.2000,461.7500,61574
2024-02-26,456.3500,469.0000,456.3500,461.5000,76582
2024-02-27,460.0000,464.1500,440.2000,447.3000,147587
2024-02-28,445.0000,468.0000,441.5500,465.6500,193790
2024-02-29,467.5000,470.5500,450.0000,466.2500,87346
2024-03-01,468.3500,470.6000,460.0000,467.0500,152658
2024-03-04,463.0000,482.0000,460.8000,474.9500,183344
2024-03-05,484.0000,484.0000,464.0000,466.9500,214203
2024-03-06,466.6000,466.6000,454.8000,457.5500,308039
2024-03-07,463.9000,483.4000,458.3500,466.8500,345404
2024-03-11,465.8000,466.6000,450.0000,453.9500,99290
2024-03-12,457.6500,457.6500,442.5500,450.0000,110379
2024-03-13,453.3500,461.2500,426.0000,435.1500,185133
2024-03-14,434.9500,461.5500,430.1000,446.0000,140043
2024-03-15,449.9500,457.0000,441.0000,452.9000,82936
2024-03-18,453.3000,459.4500,444.0000,449.0000,66752
2024-03-19,449.8000,449.8000,436.2000,440.7500,62109
2024-03-20,444.2500,462.0000,435.0000,449.0000,49888
2024-03-21,455.1000,461.5000,449.0000,450.2500,190547
2024-03-22,450.2500,462.2500,447.6500,451.5500,154325
2024-03-26,455.1500,465.4500,449.7500,451.4500,260781
2024-03-27,455.0500,464.0000,452.6500,461.2500,149251
2024-03-28,460.0000,460.0000,431.2500,441.6000,210456
2024-04-01,440.5500,456.0500,440.0000,448.8000,45923
2024-04-02,452.1500,481.2000,446.8500,473.0500,274873
2024-04-03,472.9500,476.9000,465.6000,471.1500,158635
2024-04-04,471.3000,482.0000,467.2000,473.7000,150147
2024-04-05,473.7000,487.3000,463.2500,465.9500,427450
2024-04-08,468.8000,472.2500,456.0000,464.9500,144541
2024-04-09,464.8000,470.0000,461.9500,465.2500,76842
2024-04-10,467.8500,469.5000,450.9500,453.8000,208525
2024-04-12,452.9500,453.2500,446.0000,450.8500,69215
2024-04-15,437.0000,463.0500,428.2500,444.6500,148096
2024-04-16,442.4500,462.0000,440.8500,460.1500,70193
2024-04-18,467.0500,497.0000,459.9000,473.9500,668415
2024-04-19,469.9500,472.0000,461.0500,463.2500,68025
2024-04-22,470.2000,474.9000,462.0500,465.7000,139317
2024-04-23,466.6500,479.0000,462.5500,469.8000,84530
2024-04-24,470.0000,482.0000,465.2000,468.3000,201190
2024-04-25,469.2500,473.1500,461.0000,462.5500,65924
2024-04-26,464.2500,475.7000,461.4000,471.6500,95704
2024-04-29,472.0000,475.0500,458.1000,461.5000,58824
2024-04-30,462.0000,466.8000,451.5000,456.9000,193018
2024-05-02,465.0000,465.0000,450.5000,453.8500,140424
2024-05-03,451.1500,452.5000,430.7500,433.8000,180948
2024-05-06,436.8000,441.9500,425.0000,425.6000,173530
2024-05-07,427.3000,429.0000,405.7000,410.7500,167860
2024-05-08,413.8500,419.7500,406.5500,410.6500,88429
2024-05-09,413.0500,422.8500,406.2000,409.5500,80985
2024-05-10,412.4500,425.0000,405.2500,412.0000,37966
2024-05-13,415.4000,437.3500,410.0500,431.8000,108377
2024-05-14,431.8000,436.5500,420.0000,421.0500,60217
2024-05-15,420.0500,429.6500,420.0000,425.1000,43594
2024-05-16,428.2000,445.5000,426.0000,437.7000,75478
2024-05-17,439.0000,497.9000,437.7000,480.7000,644364
2024-05-21,482.0000,488.6000,474.8000,478.0500,95791
2024-05-22,477.0500,486.0000,474.4000,479.8000,73628
2024-05-23,479.2500,479.9000,461.1000,463.5500,81220
2024-05-24,463.5000,477.0000,458.8000,461.6000,67857
2024-05-27,464.8000,464.8000,438.4000,444.3500,101771
2024-05-28,448.9000,462.0000,446.1500,449.6500,163749
2024-05-29,449.4000,453.4500,441.4000,444.2500,67573
2024-05-30,440.0500,446.4000,430.0000,435.9500,62218
2024-05-31,441.0000,445.0000,432.9500,441.8500,49006
2024-06-03,450.7000,455.0000,435.1000,437.3500,56189
2024-06-04,437.3500,440.8000,390.1000,430.5500,146196
2024-06-05,430.0000,442.0000,411.9500,430.1000,47562
2024-06-06,435.4000,442.0000,431.9000,441.1000,37632
2024-06-07,442.3500,475.4500,442.3500,468.7500,223790
2024-06-10,473.5000,475.0000,466.0000,472.6500,76096
