date,open,high,low,close,volume
2026-08-18,105.0000,113.0000,96.0000,96.7200,1720
2026-08-19,96.7200,99.7000,94.3300,94.5600,480
2026-08-20,99.0000,99.0000,93.9900,98.5200,6797
2026-08-21,94.5000,99.5000,92.0000,93.3300,10016
2026-08-24,99.9900,100.0000,94.1000,94.8100,918
2026-08-25,94.8100,97.0000,91.5500,92.5000,29
2026-08-26,92.5000,95.9900,90.1000,94.1800,924
2026-08-27,94.5000,94.5000,89.3000,89.4400,6949
2026-08-28,91.6700,94.9900,86.3800,88.3000,2791
2026-08-31,88.2500,90.5000,86.0000,86.5700,1040
2026-09-01,86.6000,93.7500,86.6000,89.0800,4669
2026-09-02,90.0000,90.0000,87.3400,88.6600,1028
2026-09-03,88.6600,93.0000,88.6600,90.4000,934
2026-09-04,92.2100,99.0000,87.1000,88.0800,2343
2026-09-07,93.9500,93.9500,88.0000,89.6800,2950
2026-09-08,93.0000,93.0000,87.3100,88.1700,1123
2026-09-09,88.0000,90.0000,88.0000,88.6600,941
2026-09-10,88.6600,91.8900,88.0000,88.0700,1842
2026-09-11,88.5100,89.9900,80.3000,87.9400,2567
2026-09-15,88.0000,88.0000,85.0000,86.1000,668
2026-09-16,91.6000,93.0000,68.8800,83.7200,2735
2026-09-17,86.9700,86.9700,84.4000,86.7900,123
2026-09-18,89.9500,89.9500,85.0500,87.2800,1654
2026-09-21,91.9800,91.9900,85.0000,87.9600,2020
