date,open,high,low,close,volume
2023-09-20,247.9000,247.9000,240.6500,241.6000,26358
2023-09-21,239.9500,245.3000,238.2500,239.4500,22956
2023-09-22,240.1500,242.7000,235.0000,238.9000,22996
2023-09-25,238.0000,242.0000,234.0000,240.7000,30793
2023-09-26,238.3000,245.0000,237.5500,239.0000,25997
2023-09-27,239.4500,239.6500,237.0500,238.7000,10063
2023-09-28,238.7000,240.2000,235.6500,236.2000,20313
2023-09-29,235.8000,251.5000,235.8000,246.4500,47357
2023-10-03,245.0500,248.4500,240.0000,241.4000,23478
2023-10-04,241.0000,242.1000,231.4000,234.3500,26432
2023-10-05,235.9000,239.1000,235.7000,237.4500,21569
2023-10-06,236.0000,242.5000,236.0000,236.7500,20559
2023-10-09,234.0000,234.0000,226.5500,228.4500,25684
2023-10-10,229.0500,240.7500,229.0500,233.8500,33724
2023-10-11,238.2500,239.7500,234.9500,238.0500,17005
2023-10-12,238.4000,242.9500,236.1000,240.2000,16720
2023-10-13,241.0000,244.0000,239.0500,240.1000,24905
2023-10-16,236.3000,239.4500,234.1000,235.0500,15855
2023-10-17,237.5000,246.8000,237.5000,240.7500,40661
2023-10-18,238.2500,242.1500,237.5000,238.2000,14423
2023-10-19,236.5000,238.7500,235.6000,236.9500,10309
2023-10-20,238.9500,239.2500,228.0000,232.6500,22831
2023-10-23,230.0500,235.2000,212.0000,216.7500,36007
2023-10-25,215.0000,220.9500,200.5000,208.1000,42606
2023-10-26,204.0500,210.1000,202.1000,209.0500,21212
2023-10-27,212.1500,217.8000,208.9500,215.7000,14541
2023-10-30,213.5000,219.0000,213.5000,216.2000,8143
2023-10-31,216.5000,220.0000,212.8000,213.8500,11090
2023-11-01,213.1000,218.0000,213.1000,217.2500,12280
2023-11-02,216.0000,219.9500,216.0000,217.8500,6036
2023-11-03,220.0000,221.1000,215.0000,219.5500,8358
2023-11-06,218.0000,225.7000,218.0000,220.3500,23694
2023-11-07,219.2500,222.7500,218.8500,220.5000,11298
2023-11-08,220.0000,222.7000,218.2000,220.6500,11518
2023-11-09,218.6000,221.9500,218.1000,218.9500,8044
2023-11-10,220.8500,220.8500,217.0000,218.1000,5977
2023-11-13,222.5000,235.7500,217.0000,231.6000,31021
2023-11-15,234.9500,234.9500,227.8000,228.6500,10672
2023-11-16,231.4500,233.2000,225.9500,228.7500,13304
2023-11-17,227.9000,227.9000,221.0000,222.4500,14140
2023-11-20,222.4500,225.5000,221.9000,224.3000,8495
