date,open,high,low,close,volume
2023-09-18,272.0000,275.0000,269.1000,269.9000,89654
2023-09-20,267.0500,269.4000,265.4000,266.5000,91684
2023-09-21,265.9500,267.5000,264.0000,264.7000,72135
2023-09-22,265.9000,265.9000,258.9000,259.7500,176501
2023-09-25,260.9500,262.0500,255.9500,256.8000,138534
2023-09-26,257.8000,260.8000,257.2500,259.3500,65730
2023-09-27,259.3500,262.8500,257.2000,259.1000,91069
2023-09-28,260.3500,261.0000,256.0000,257.8000,67272
2023-09-29,259.1000,266.5000,255.1000,260.0000,153054
2023-10-03,260.0000,262.0000,258.7000,260.9000,67799
2023-10-04,260.4000,260.4000,255.1000,258.0000,105407
2023-10-05,258.9500,263.3000,257.4000,262.3500,143945
2023-10-06,263.0000,275.3000,261.5500,270.9500,781179
2023-10-09,268.9000,268.9000,262.5000,262.8500,117200
2023-10-10,265.0000,265.0000,261.2000,262.4500,70645
2023-10-11,262.9500,266.2000,262.0500,263.4500,82975
2023-10-12,264.7000,267.5000,263.2000,265.0500,102221
2023-10-13,265.0000,266.7000,263.7000,264.3500,76778
2023-10-16,264.0000,266.0000,261.3000,262.4500,103430
2023-10-17,262.9500,265.5000,260.5500,261.6000,98371
2023-10-18,262.0000,265.8000,261.5000,262.5500,92822
2023-10-19,262.0000,263.4000,260.3000,261.2500,46961
2023-10-20,261.0000,262.1500,257.6000,258.8000,65374
2023-10-23,258.8000,259.5000,235.0500,240.6500,172895
2023-10-25,242.0000,246.9000,236.3000,241.1000,123992
2023-10-26,240.0000,242.0000,233.9500,240.3500,98600
2023-10-27,240.3500,246.0000,240.3000,242.9500,52828
2023-10-30,242.7000,245.0000,240.3000,243.3500,52328
2023-10-31,244.5000,252.8500,243.0500,249.9000,97917
2023-11-01,251.0000,253.0000,245.4500,246.2000,55309
2023-11-02,247.5000,250.4000,245.6000,247.0000,55171
2023-11-03,248.2500,252.0000,248.0000,249.7000,54407
2023-11-06,251.9500,268.2000,251.9500,263.4000,473940
2023-11-07,269.7500,275.0000,263.0000,264.5000,476291
2023-11-08,268.0000,272.0000,265.9500,270.7500,218228
2023-11-09,270.7500,271.9500,265.1000,266.2500,115006
2023-11-10,265.0000,267.3500,263.0500,264.2500,72191
2023-11-13,268.0000,269.5000,263.5000,268.2500,100361
2023-11-15,269.8000,277.7000,268.2500,272.1500,379966
2023-11-16,272.7000,272.8500,267.0000,268.2000,91705
