date,open,high,low,close,volume
2024-09-11,3250.0000,3275.0000,3087.5000,3120.7500,22162
2024-09-12,3250.0000,3250.0000,3020.0000,3098.2000,6373
2024-09-13,3100.0000,3252.0000,3099.8999,3197.7000,6659
2024-09-16,3210.0000,3357.5500,3210.0000,3344.5500,8413
2024-09-17,3510.0000,3510.0000,3300.0000,3300.7500,5002
2024-09-18,3444.0000,3465.7500,3444.0000,3465.7500,609
2024-09-19,3639.0000,3639.0000,3333.0000,3540.3501,16160
2024-09-20,3400.0000,3600.0000,3363.3501,3365.8000,4189
2024-09-23,3400.0000,3470.0000,3320.0000,3365.8501,1894
2024-09-24,3495.0000,3495.0000,3300.0000,3316.0000,1474
2024-09-25,3399.9500,3670.0000,3399.8999,3559.4500,15802
2024-09-26,3620.0000,3620.0000,3301.9500,3402.3999,3244
2024-09-27,3390.0000,3424.3000,3204.3501,3358.8501,7901
2024-09-30,3223.0000,3325.0000,2687.1001,2687.1001,53698
2024-10-01,2550.0000,2630.0000,2507.0000,2569.3501,44920
2024-10-03,2466.5000,2552.3501,2416.0000,2501.4500,16979
2024-10-04,2549.9500,2565.0000,2431.0000,2438.3000,6581
2024-10-07,2450.3000,2497.4500,2330.0000,2356.3000,4811
2024-10-08,2356.3000,2375.0000,2300.0000,2371.4500,1938
2024-10-09,2437.6001,2490.0000,2380.0000,2479.9500,1237
2024-10-10,2497.4500,2525.0000,2401.0000,2424.1499,1091
2024-10-11,2413.9500,2495.8501,2402.1499,2464.5500,1096
2024-10-14,2465.1499,2619.4500,2421.0500,2439.2500,1117
2024-10-15,2499.0000,2499.0000,2430.0000,2447.0000,598
2024-10-16,2487.0000,2487.0000,2348.0500,2387.7000,1167
2024-10-17,2448.0000,2448.0000,2292.9500,2323.1001,3244
2024-10-18,2276.0000,2354.0000,2201.5000,2336.9500,8877
2024-10-21,2336.9500,2379.1001,2228.5500,2284.8000,1735
2024-10-22,2271.1499,2326.3999,2150.0000,2171.8999,3136
2024-10-23,2187.1499,2267.8000,2170.7500,2196.2500,1679
2024-10-24,2299.0000,2299.0000,2171.0000,2200.2000,1205
2024-10-25,2273.7000,2273.7000,2076.0000,2107.6499,4591
2024-10-28,1960.0500,2098.0000,1925.0000,2002.4000,5889
2024-10-29,2029.3000,2039.9500,1964.5500,2002.2500,3021
2024-10-30,2023.8000,2160.0000,1974.1000,2090.8999,1963
2024-10-31,2169.0000,2194.3999,2012.0000,2072.0000,606
2024-11-01,2149.8999,2175.6001,2149.8999,2162.3999,489
2024-11-04,2249.0000,2270.5000,2151.0000,2173.7500,1210
2024-11-05,2235.0000,2235.0000,2127.8000,2136.8999,746
2024-11-06,2140.0000,2200.0000,2102.0000,2126.5000,710
2024-11-07,2219.0000,2232.7000,2150.0000,2161.8000,705
2024-11-08,2214.3999,2220.0000,2100.0000,2153.9500,499
2024-11-11,2050.1001,2210.0000,2046.2500,2050.9500,1229
2024-11-12,2050.9500,2145.0000,2050.9500,2087.4500,210
2024-11-13,2087.4500,2087.4500,1983.1000,2000.0000,777
2024-11-14,2000.0500,2069.9500,1900.0000,1970.6500,817
2024-11-18,1902.0000,2000.0000,1902.0000,1995.1000,178
2024-11-19,1945.2500,1998.0000,1945.2500,1996.9500,326
2024-11-21,1965.0500,1994.0000,1950.0500,1958.5500,575
2024-11-22,1960.0000,1960.0000,1875.0000,1898.0500,1438
2024-11-25,1939.9500,1939.9500,1810.1500,1900.5000,803
2024-11-26,1900.5000,1900.5000,1900.5000,1900.5000,0
2024-11-27,1852.9500,1940.0000,1841.1000,1884.0000,2807
2024-11-28,1863.0000,1926.9000,1822.4500,1897.7000,1149
2024-11-29,1897.7000,1897.7000,1862.1000,1862.1000,391
2024-12-02,1837.0000,1880.0000,1820.0000,1879.9500,640
2024-12-03,1867.5000,1899.9500,1835.0000,1841.7000,1557
2024-12-04,1874.9000,1933.7500,1851.0500,1933.7500,1930
2024-12-05,2030.0000,2030.4000,1975.0000,2030.4000,1270
2024-12-06,2131.5000,2131.8999,2033.6000,2110.0000,1315
2024-12-09,2040.5000,2107.8999,2040.5000,2081.4500,210
2024-12-10,2080.0000,2117.9500,2034.0000,2099.8999,394
2024-12-11,2099.8000,2124.9500,2039.0000,2082.8501,728
2024-12-12,2082.0000,2099.6001,1978.7000,2033.8500,1324
2024-12-13,1980.0500,2050.0000,1932.1500,2036.7000,1266
2024-12-16,1953.2000,2100.0000,1953.0500,2046.4000,887
2024-12-17,2093.8999,2095.0000,2050.1499,2062.6001,341
2024-12-18,2094.9500,2100.0000,2031.6500,2075.8000,1392
2024-12-19,2099.0000,2099.0000,1982.0000,2063.5000,743
2024-12-20,2060.0500,2098.8999,2011.7000,2047.2000,1814
2024-12-23,2047.2000,2148.0000,2000.1000,2027.2500,1393
2024-12-24,2099.8000,2100.0000,1970.0000,2064.2000,635
2024-12-26,2098.5000,2098.8000,2000.1000,2040.2500,385
2024-12-27,2074.0000,2090.0000,1960.2500,1997.3000,1579
2024-12-30,2030.8000,2065.5000,1940.0000,2053.0500,591
2024-12-31,2020.0000,2040.0000,1980.0500,1986.5500,276
2025-01-01,1994.5500,2025.0000,1965.8000,1970.0000,1289
2025-01-02,1971.0000,2013.8500,1971.0000,1996.1000,549
2025-01-03,2000.0000,2095.8999,1985.1000,2094.5000,1521
