date,open,high,low,close,volume
2023-09-25,228.3500,229.2000,224.4000,227.4000,68002
2023-09-26,228.3500,236.5500,226.1000,233.6500,130393
2023-09-27,233.3000,234.2500,228.6000,230.2500,44281
2023-09-28,231.7500,232.2000,224.2000,226.2000,65389
2023-09-29,225.2000,234.9500,225.2000,232.9000,91013
2023-10-03,234.5000,237.0000,229.8500,235.2500,83660
2023-10-04,234.0000,235.0000,229.7000,232.8000,59123
2023-10-05,234.5000,241.3000,232.0000,237.0000,210276
2023-10-06,237.0000,243.0000,235.0500,238.7500,145949
2023-10-09,237.9500,237.9500,227.3000,230.1000,64439
2023-10-10,231.5000,234.8000,231.0500,232.8000,48430
2023-10-11,234.9000,245.9500,233.3000,242.6500,290221
2023-10-12,244.8500,246.6000,240.6000,243.4500,185795
2023-10-13,242.0000,249.0000,238.8000,246.1500,189996
2023-10-16,247.5000,248.8500,242.3000,246.0500,172778
2023-10-17,247.9000,247.9000,239.5000,246.1500,180540
2023-10-18,245.9000,249.1000,242.1000,248.1000,124169
2023-10-19,248.9000,253.9500,240.8000,250.3000,308114
2023-10-20,257.0000,269.4500,247.3500,258.3000,1164241
2023-10-23,258.3000,261.7500,239.1500,241.9500,326892
2023-10-25,243.0000,246.1500,231.0500,235.5500,106302
2023-10-26,232.1000,244.5500,227.5000,239.2000,152290
2023-10-27,239.8500,244.7000,238.0500,240.9000,70959
2023-10-30,242.3000,248.0000,236.4500,246.5500,95724
2023-10-31,245.0000,248.4500,237.9000,243.0500,78792
2023-11-01,243.0500,249.2000,240.1000,242.4500,49839
2023-11-02,244.1000,245.5500,237.7500,239.1500,51214
2023-11-03,242.2500,248.0000,238.4000,245.5000,94065
2023-11-06,245.5000,262.6500,245.5000,253.8000,203890
2023-11-07,254.7000,257.6000,251.0000,255.2000,163803
2023-11-08,256.0000,267.9000,255.0000,257.7000,483914
2023-11-09,255.8500,263.2000,252.1500,259.5000,132544
2023-11-10,257.4000,265.5000,256.1000,260.7000,180205
2023-11-13,263.2500,265.0000,258.2000,260.1000,98528
2023-11-15,260.2500,264.9500,252.7000,255.1500,142589
2023-11-16,256.1000,257.7000,249.2000,250.4500,80558
2023-11-17,250.0500,254.6000,244.7500,246.2000,138860
2023-11-20,246.0000,253.3500,245.2500,248.3500,189349
2023-11-21,248.3500,256.3500,246.1500,248.9000,211792
2023-11-22,250.5000,252.2000,241.5500,249.6000,102365
2023-11-23,250.7000,254.0000,246.1000,249.5000,116480
2023-11-24,247.5500,263.8500,247.5500,255.1000,961325
2023-11-28,257.0000,275.4000,257.0000,259.5000,1061668
2023-11-29,262.1000,275.4500,259.0500,270.2000,905821
2023-11-30,272.2000,272.4000,262.9000,266.9000,467080
2023-12-01,270.8500,274.7500,261.5000,265.3000,248178
2023-12-04,275.0000,276.9000,267.1000,273.0500,640757
2023-12-05,273.0500,273.8000,266.8000,269.4000,207296
2023-12-06,270.9000,271.6500,264.2000,268.1000,135991
2023-12-07,269.0000,277.0500,265.7000,269.8500,599885
2023-12-08,271.3000,274.2000,266.0500,269.4500,221968
2023-12-11,270.0000,280.0000,269.0000,271.4000,307892
2023-12-12,272.8500,277.2500,264.5000,266.7000,237335
2023-12-13,268.7000,272.3000,266.9500,270.2500,267558
2023-12-14,273.4000,278.2500,269.1000,270.3000,341609
2023-12-15,272.4000,281.1500,267.6500,269.5500,262433
2023-12-18,270.3500,288.9000,268.5000,279.0000,851674
2023-12-19,279.0000,281.2000,272.0500,275.3500,238046
