date,open,high,low,close,volume
2023-09-25,33.2500,35.2500,32.9500,33.9500,3341899
2023-09-26,34.1000,34.3500,32.5000,33.1000,1365865
2023-09-27,33.1000,33.5000,32.5500,33.0500,1237080
2023-09-28,33.2500,34.5000,32.7500,32.9000,1623732
2023-09-29,33.1000,33.1500,32.4000,32.6000,810158
2023-10-03,32.7000,33.2000,32.0500,32.7500,1307885
2023-10-04,32.6500,33.9000,32.1000,32.9000,1454059
2023-10-05,33.1500,33.2000,31.7000,32.0000,1163123
2023-10-06,32.2500,32.6000,31.9000,32.2500,651339
2023-10-09,32.2500,32.2500,30.5500,30.9000,1154987
2023-10-10,31.1500,31.6000,31.0000,31.3000,644050
2023-10-11,31.6500,32.0000,31.0500,31.2500,698670
2023-10-12,31.4000,31.6500,30.9000,31.3500,631159
2023-10-13,31.4000,31.5500,30.5000,30.8000,736593
2023-10-16,30.8500,32.1000,30.7500,31.3500,1005957
2023-10-17,31.5000,31.9000,31.3000,31.6000,603864
2023-10-18,31.8500,33.0000,31.4000,31.6500,2209162
2023-10-19,31.7500,32.2500,31.4000,32.1500,737279
2023-10-20,32.1000,32.9500,31.8500,32.1000,845762
2023-10-23,32.3000,32.3000,28.0500,28.5500,2209659
2023-10-25,29.2000,29.9000,27.4500,28.2500,1488973
2023-10-26,28.1500,28.8500,27.2000,28.6000,970819
2023-10-27,28.9500,29.7000,28.6500,29.4000,587037
2023-10-30,29.4500,30.0500,28.7500,29.3000,573746
2023-10-31,29.4500,30.4000,29.2500,29.7500,725004
2023-11-01,29.8500,30.4500,29.3000,29.5000,741434
2023-11-02,29.8000,30.6500,29.6000,30.3000,668721
2023-11-03,30.5000,32.1000,30.3500,31.1000,1727193
2023-11-06,31.4000,34.2000,31.2500,33.0500,3959762
2023-11-07,33.3000,33.7000,32.6000,33.4000,1282466
2023-11-08,34.0000,34.2500,32.3500,32.8000,1445577
2023-11-09,32.9500,34.1000,31.2500,31.4500,2517686
2023-11-10,30.7500,31.9000,30.7500,31.0500,1193019
2023-11-13,30.7000,32.1500,30.7000,31.4500,687626
2023-11-15,31.8500,32.0500,31.2000,31.4500,723377
2023-11-16,31.6000,31.6500,30.9000,31.0000,579797
2023-11-17,30.9500,31.1500,30.6000,30.8500,607234
2023-11-20,30.6000,31.3000,30.4500,30.7500,764008
2023-11-21,30.9000,31.1500,30.5000,30.7000,338715
2023-11-22,30.9000,30.9500,29.7500,30.2500,523058
2023-11-23,30.4000,32.4000,30.2500,31.2500,3676105
2023-11-24,31.4500,31.5000,30.4500,31.1000,1417805
2023-11-28,31.2500,31.7500,30.7500,31.4000,907129
2023-11-29,31.4500,31.7000,30.9000,31.0500,626214
2023-11-30,31.0500,31.6000,30.9000,31.0000,502073
2023-12-01,31.0000,31.6000,30.7000,31.3500,846490
2023-12-04,32.0000,32.0000,30.8500,31.0500,1200400
2023-12-05,31.0000,31.3500,30.6000,30.7500,509326
2023-12-06,30.9500,30.9500,29.5000,29.7000,875094
2023-12-07,29.3500,29.6000,28.2000,28.6500,2016625
2023-12-08,28.1500,28.3500,26.8000,26.9500,2073062
2023-12-11,26.9000,28.5000,26.8500,28.3000,1449761
2023-12-12,28.8500,28.8500,27.5500,27.7000,862056
2023-12-13,28.0500,28.1000,27.3000,27.6500,494002
2023-12-14,28.0000,28.4500,27.2500,27.9000,780266
2023-12-15,28.1000,28.1500,27.5500,27.6500,387140
2023-12-18,29.4500,30.0000,28.9500,29.1500,1991014
2023-12-19,29.3500,29.3500,28.4000,29.0500,845958
2023-12-20,29.1000,29.4000,27.4500,27.6500,823890
