date,open,high,low,close,volume
2023-09-18,17.5000,17.7500,17.4000,17.5000,11179
2023-09-20,17.1500,17.1500,17.1500,17.1500,2410
2023-09-21,16.8000,17.0000,16.8000,16.8000,7028
2023-09-22,16.5000,16.8000,16.5000,16.5000,4521
2023-09-25,16.5000,16.5000,16.2000,16.5000,2197
2023-09-26,16.2000,16.5000,16.2000,16.2000,4424
2023-09-27,16.1500,16.2000,16.0500,16.1500,9305
2023-09-28,16.1500,16.1500,16.1500,16.1500,8974
2023-09-29,15.8500,16.1500,15.8500,15.8500,2020
2023-10-03,15.8500,15.8500,15.6500,15.8500,6050
2023-10-04,15.6000,15.8500,15.5500,15.6000,7044
2023-10-05,15.5000,15.6000,15.3500,15.5000,2706
2023-10-06,15.5000,15.5000,15.5000,15.5000,3352
2023-10-09,15.2000,15.2000,15.2000,15.2000,3861
2023-10-10,14.9500,15.1500,14.9500,14.9500,2982
2023-10-11,14.7000,14.9500,14.7000,14.7000,2290
2023-10-12,14.9000,14.9000,14.7000,14.9000,9073
2023-10-13,15.1500,15.1500,15.0000,15.1500,1628
2023-10-16,15.9000,15.9000,15.9000,15.9000,9686
2023-10-17,16.6500,16.6500,16.6500,16.6500,8453
2023-10-18,17.4500,17.4500,16.0000,17.3500,28434
2023-10-19,17.9000,18.0000,16.6500,16.8000,18303
2023-10-20,17.2000,17.6000,17.2000,17.6000,20728
2023-10-23,18.4500,18.4500,16.9000,17.3500,10669
2023-10-25,17.3500,17.5000,16.5000,16.5000,6912
2023-10-26,16.5000,17.0000,15.7000,16.9500,10033
2023-10-27,16.9500,16.9500,16.1000,16.4000,9254
2023-10-30,16.8500,16.9000,15.6000,16.0500,10160
2023-10-31,16.0500,16.4000,15.2500,15.3500,26686
2023-11-01,15.5000,16.1000,15.3000,16.1000,12542
2023-11-02,16.8000,16.8000,15.6000,15.8500,18230
2023-11-03,16.0000,16.6000,15.9000,16.2500,9662
2023-11-06,16.4500,16.4500,15.5000,16.0000,33905
2023-11-07,16.5000,16.8000,16.1000,16.7000,16808
2023-11-08,17.4000,17.4000,16.6000,17.1000,39749
2023-11-09,17.3500,17.9500,16.5000,17.7500,49431
2023-11-10,17.8000,18.2500,16.9000,17.1000,68754
2023-11-13,17.7500,17.7500,16.7500,17.4500,48704
2023-11-15,17.0500,17.9500,16.8000,17.1500,106583
2023-11-16,17.8500,18.0000,17.2000,17.4500,60440
2023-11-17,17.8500,17.8500,17.2000,17.5000,22657
2023-11-20,17.8000,18.3500,17.6500,18.3000,69185
2023-11-21,18.3000,19.2000,18.2000,19.2000,121450
2023-11-22,19.9500,20.1500,18.2500,18.3500,110534
2023-11-23,18.3500,19.1500,18.1000,19.0500,79408
2023-11-24,19.4500,19.8500,18.9000,19.5000,439506
2023-11-28,19.9500,20.1000,19.5500,19.9500,182407
2023-11-29,20.2500,20.8000,19.9500,20.0500,207336
2023-11-30,20.1500,21.0500,19.7000,21.0500,198191
2023-12-01,21.3500,22.1000,21.3500,22.1000,71150
2023-12-04,23.2000,23.2000,23.0000,23.2000,97447
2023-12-05,24.1500,24.3500,22.0500,22.0500,137854
2023-12-06,20.9500,22.0000,20.9500,21.1500,150684
2023-12-07,21.1500,21.1500,20.1000,20.1000,67135
2023-12-08,19.1000,20.0000,19.1000,19.1000,115400
2023-12-11,18.6000,20.0500,18.6000,20.0500,39746
2023-12-12,21.0500,21.0500,20.0000,21.0500,193833
2023-12-13,21.8000,21.8000,20.0000,20.2500,69547
2023-12-14,20.3500,20.9500,20.0000,20.0000,45296
2023-12-15,19.5000,20.6500,19.5000,20.0000,48056
2023-12-18,20.0500,21.0000,20.0000,20.3500,30613
2023-12-19,20.4000,20.7500,19.6500,19.8000,509355
2023-12-20,20.6500,20.6500,18.8500,18.9500,1617487
2023-12-21,19.4500,19.8500,19.4500,19.8500,50233
2023-12-22,20.8000,20.8000,20.2500,20.8000,48319
2023-12-26,21.8000,21.8000,21.8000,21.8000,57117
2023-12-27,22.8500,22.8500,22.8500,22.8500,44981
2023-12-28,23.9500,23.9500,23.9500,23.9500,34659
2023-12-29,25.1000,25.1000,25.1000,25.1000,94045
2024-01-01,26.3500,26.3500,26.3500,26.3500,5048
2024-01-02,27.6500,27.6500,27.6500,27.6500,22907
2024-01-03,29.0000,29.0000,29.0000,29.0000,31775
2024-01-04,29.9500,30.0000,27.5500,27.5500,210731
2024-01-05,26.2000,27.5500,26.2000,26.2000,34663
2024-01-08,24.9000,24.9000,24.9000,24.9000,23763
2024-01-09,23.6500,26.1000,23.6500,26.1000,60555
2024-01-10,25.7000,25.7000,24.8000,24.8000,86587
2024-01-11,23.6000,24.3500,23.6000,23.7500,75824
2024-01-12,23.3000,24.9000,22.6000,24.9000,115076
2024-01-15,24.9000,24.9000,24.9000,24.9000,0
2024-01-16,24.8000,24.8000,23.3000,23.8500,54514
2024-01-17,23.8000,24.9000,23.7500,24.0500,44000
2024-01-18,24.6000,24.6000,23.3500,23.8000,20962
2024-01-19,24.0000,24.7000,23.3000,23.7000,33259
2024-01-23,24.8500,25.9000,24.8500,25.9000,91884
2024-01-24,26.4000,27.1500,25.9000,27.1500,72813
2024-01-25,28.5000,28.5000,27.2000,28.4000,312787
2024-01-29,28.0000,28.0000,27.0000,27.0000,126467
2024-01-30,26.5000,26.5000,26.5000,26.5000,9800
2024-01-31,26.0000,26.0000,26.0000,26.0000,4543
2024-02-01,25.5000,25.5000,25.5000,25.5000,3738
2024-02-02,25.0000,25.0000,25.0000,25.0000,3423
2024-02-05,24.5000,24.5000,24.5000,24.5000,4329
2024-02-06,24.0500,24.0500,24.0500,24.0500,5864
2024-02-07,23.6000,23.6000,23.6000,23.6000,5473
2024-02-08,23.1500,23.1500,23.1500,23.1500,9656
2024-02-09,23.1500,23.1500,22.7000,23.1500,26549
2024-02-12,23.2000,23.2500,22.7000,23.2000,16366
