date,open,high,low,close,volume
2024-09-13,4670.0000,4903.5000,4600.0000,4903.5000,36959
2024-09-16,5148.6499,5148.6499,5148.6499,5148.6499,41796
2024-09-17,5199.0000,5199.0000,4901.0000,5143.0000,190092
2024-09-18,5100.0000,5194.0000,4916.7500,5142.7002,106558
2024-09-19,5142.7002,5363.3501,5001.0000,5349.9502,74963
2024-09-20,5374.9502,5375.0000,5090.0000,5112.5000,67766
2024-09-23,4933.0000,5200.0000,4875.0000,5089.7500,36868
2024-09-24,5090.0000,5295.0000,4951.2002,5278.3501,14412
2024-09-25,5279.0000,5300.1001,5125.0000,5220.7500,92131
2024-09-26,5215.0000,5215.0000,5050.0000,5102.3999,36179
2024-09-27,5198.0000,5244.0000,4990.0000,5103.4502,47327
2024-09-30,5103.4502,5105.0000,4950.0000,5045.5000,21390
2024-10-01,5003.3501,5137.3999,4980.0000,5073.3501,10149
2024-10-03,4901.0000,5063.9502,4901.0000,5020.6499,56171
2024-10-04,5080.0000,5080.0000,4900.0000,4987.7998,20161
2024-10-07,4931.0000,4987.7998,4700.0000,4882.9502,44780
2024-10-08,4880.0000,5120.0000,4211.5498,5104.7002,13422
2024-10-09,5104.1499,5180.0000,4930.0000,4960.7500,8882
2024-10-10,5105.0000,5178.2998,4950.2002,4983.7002,65223
2024-10-11,5000.0000,5003.2002,4864.0000,4902.0498,15939
2024-10-14,4903.0000,5040.0000,4800.0000,4872.7998,9066
2024-10-15,4852.0000,4852.0000,4765.0498,4832.0000,12652
2024-10-16,4800.0000,4882.3501,4615.0000,4835.1499,17308
2024-10-17,4786.7998,4849.8999,4672.8999,4819.7500,13125
2024-10-18,4747.4502,4900.0000,4696.3501,4823.7998,8876
2024-10-21,4872.0498,4915.0000,4734.0498,4853.3501,12241
2024-10-22,4920.9502,4920.9502,4659.0498,4711.3501,20703
2024-10-23,4707.7002,4850.0000,4602.6001,4807.7002,12018
2024-10-24,4820.0000,4870.0000,4722.0000,4754.4502,14880
2024-10-25,4742.6499,4788.0000,4613.0000,4750.6001,12574
2024-10-28,4774.9502,4800.0000,4684.0000,4716.5498,3849
2024-10-29,4708.6001,4800.0000,4700.1001,4720.0498,9589
2024-10-30,4720.1001,4975.0000,4720.1001,4920.5000,12144
2024-10-31,4900.0000,4962.3999,4863.1001,4924.6499,7771
2024-11-01,4924.6001,4949.8999,4860.0000,4933.5000,445
2024-11-04,4950.0000,4953.5000,4836.9502,4873.4502,5978
2024-11-05,4911.5000,4969.8999,4842.0000,4899.7998,3497
2024-11-06,4918.7002,4926.8501,4801.0000,4874.2002,31838
2024-11-07,4872.1499,4926.2500,4872.1499,4917.5498,4396
2024-11-08,4930.0000,4940.0000,4860.0498,4906.7500,46382
2024-11-11,4868.7002,4929.5498,4851.0000,4916.2002,16684
2024-11-12,4940.0000,4940.0000,4851.0000,4886.8501,2869
2024-11-13,4830.0000,4869.8999,4797.5498,4832.2500,34027
2024-11-14,4830.0000,4920.0000,4790.0498,4818.2500,19780
2024-11-18,4899.0000,4899.0000,4790.0498,4837.5000,10605
2024-11-19,4801.0000,4868.0498,4801.0000,4825.3999,34009
2024-11-21,4801.0000,4841.9502,4702.6499,4798.6001,30551
2024-11-22,4798.6001,4836.6001,4725.1499,4789.7500,29385
2024-11-25,4800.0000,4836.9502,4760.2002,4789.2998,118304
2024-11-26,4788.3501,4814.1499,4755.0498,4794.0000,20933
2024-11-27,4794.0000,4824.0000,4776.0000,4781.9502,2602
2024-11-28,4765.0000,4839.0000,4747.2998,4806.4502,22346
2024-11-29,4830.0000,4854.7998,4761.0000,4825.3999,23530
2024-12-02,4815.0000,4840.0000,4776.0000,4799.3501,12092
2024-12-03,4799.3501,4829.0000,4781.0498,4802.7002,9100
2024-12-04,4803.8999,4820.7500,4781.1001,4800.6499,7075
2024-12-05,4810.5000,4847.9502,4796.6001,4805.0000,7458
2024-12-06,4816.0000,4829.0000,4761.0498,4801.1499,11403
2024-12-09,4791.3501,4874.7998,4791.2998,4832.3999,8823
2024-12-10,4801.6499,4841.9502,4784.0498,4799.7002,28353
2024-12-11,4798.0000,4835.4502,4786.0000,4817.3999,13192
2024-12-12,4825.3999,4920.1499,4811.9502,4906.4502,12410
2024-12-13,4907.7002,4911.6001,4805.0000,4821.6499,7898
2024-12-16,4801.0498,4849.0000,4785.1001,4825.3999,9821
2024-12-17,4791.0000,4840.2002,4791.0000,4823.2998,18845
2024-12-18,4823.0498,4865.0000,4806.1499,4836.2998,5820
2024-12-19,4820.2998,4874.8501,4813.7998,4860.1499,7860
2024-12-20,4825.1001,4880.0000,4790.0000,4809.8501,31215
2024-12-23,4811.7002,4846.5000,4800.0000,4810.2500,14529
2024-12-24,4810.0000,4829.0000,4569.0498,4819.6499,14644
2024-12-26,4818.0000,4890.0000,4799.9502,4881.6001,40650
2024-12-27,4881.6001,4911.6001,4848.0498,4882.0000,78112
2024-12-30,4883.0000,4924.0000,4849.7998,4909.2998,5115
2024-12-31,4899.0000,4949.0000,4851.6499,4927.3999,6633
2025-01-01,4927.3999,4949.0000,4877.4502,4908.6001,2854
2025-01-02,4909.7998,5000.0000,4892.0000,4998.1499,78743
2025-01-03,4989.0000,5030.8501,4901.0000,4909.7998,4255
2025-01-06,4915.0000,4939.2002,4826.0000,4856.2500,8039
2025-01-07,4870.6499,4913.8999,4842.1001,4884.6499,4511
2025-01-08,4919.9502,4922.9502,4840.5498,4888.8999,20225
2025-01-09,4865.6001,4919.8999,4826.0000,4888.5000,13355
2025-01-10,4888.0000,4899.0000,4827.5498,4868.1001,2386
2025-01-13,4801.0498,4878.0000,4801.0498,4821.6499,5030
2025-01-14,4801.1499,4850.0000,4801.1499,4848.3999,2980
2025-01-15,4838.7002,4888.0000,4801.1499,4841.5498,8011
2025-01-16,4887.8999,4910.0000,4840.1001,4846.7002,2992
2025-01-17,4862.2002,4890.0000,4842.2998,4850.1001,43353
2025-01-20,4833.1499,4914.0000,4820.0000,4833.2998,11177
2025-01-21,4833.2998,4845.0000,4805.0000,4833.0498,4077
2025-01-22,4834.2500,4843.6001,4810.0000,4823.3999,4401
2025-01-23,4810.0498,4828.7998,4771.0000,4787.2002,17567
2025-01-24,4787.2500,4792.5000,4712.0498,4731.7500,10807
2025-01-27,4711.6499,4798.9502,4537.4502,4754.7998,40793
2025-01-28,4665.0000,4738.0000,4651.0000,4702.2002,5278
2025-01-29,4697.0000,4740.0000,4692.5498,4721.6499,1734
2025-01-30,4724.1001,4732.1499,4690.0000,4708.7002,7154
