date,open,high,low,close,volume
2023-09-25,216.0000,220.4500,214.0000,217.5000,175478
2023-09-26,217.5000,223.6000,216.0000,222.4500,156129
2023-09-27,222.4500,225.0000,220.0000,224.7000,168353
2023-09-28,225.9500,226.8500,217.0000,218.6000,198510
2023-09-29,219.0000,223.0000,217.4500,220.3000,184643
2023-10-03,224.9500,228.0000,218.0000,222.0500,306961
2023-10-04,221.0000,224.6000,213.5500,216.9500,214323
2023-10-05,218.8000,221.2000,212.5000,216.0500,218035
2023-10-06,218.6000,220.3500,215.1000,215.9500,132023
2023-10-09,214.8000,217.5500,208.1000,212.1000,340440
2023-10-10,213.9000,223.4000,212.8500,221.2500,299842
2023-10-11,219.7000,223.6000,219.0000,221.5500,174851
2023-10-12,221.0000,223.1000,214.3500,219.9000,221578
2023-10-13,218.4000,219.7000,213.8000,215.4000,178289
2023-10-16,217.0000,219.8500,213.7000,215.6500,156238
2023-10-17,216.9500,232.0000,214.5500,228.6500,532784
2023-10-18,232.4500,234.8000,223.1000,226.2500,383525
2023-10-19,226.2500,226.9000,219.4000,220.5000,148541
2023-10-20,220.4000,222.7000,215.1000,216.6000,110206
2023-10-23,216.4500,219.4000,201.5000,204.6500,331481
2023-10-25,205.0000,213.7500,193.1500,209.8000,391395
2023-10-26,207.6000,209.9500,197.0000,204.0500,337603
2023-10-27,203.1000,217.0000,203.1000,214.1500,253026
2023-10-30,200.0000,207.9000,193.0500,205.2500,587042
2023-10-31,208.0000,208.3000,200.0000,203.1000,244198
2023-11-01,203.1000,204.0000,199.5500,201.5500,222809
2023-11-02,201.6000,204.4500,199.0000,200.8500,173018
2023-11-03,202.9500,223.4000,202.9000,215.6500,569408
2023-11-06,216.0500,218.0500,209.0000,210.2000,213960
2023-11-07,211.0000,213.4000,206.4500,208.5500,288997
2023-11-08,210.9000,220.0000,210.1500,217.4500,270731
2023-11-09,217.4000,217.4500,211.0000,214.2500,137649
2023-11-10,216.0000,223.5000,210.0500,215.5000,221728
2023-11-13,215.8500,218.0000,206.8000,214.8000,187939
2023-11-15,221.7000,222.3000,212.9500,220.5500,276961
2023-11-16,219.4500,234.0500,215.4500,231.1000,533808
2023-11-17,231.0000,241.0000,226.0000,233.3000,681625
2023-11-20,233.3000,242.6500,229.3000,240.4500,483234
2023-11-21,241.0000,248.1500,236.6000,238.1500,310222
2023-11-22,241.4500,242.8000,227.0000,233.1500,243288
2023-11-23,233.1500,236.3500,229.5500,232.6000,159000
2023-11-24,231.3000,237.1500,230.5000,235.2500,94948
2023-11-28,233.6000,241.8500,229.4000,237.5500,162515
2023-11-29,236.9000,244.0000,234.2500,238.4500,274514
2023-11-30,239.2500,244.0000,234.0000,239.6000,311568
2023-12-01,241.5000,247.7500,240.0000,244.3500,295740
2023-12-04,255.0000,255.4000,245.9500,252.1000,414460
2023-12-05,254.8000,256.5000,245.6500,254.4000,307342
2023-12-06,256.7000,260.0000,248.0000,258.3500,295675
2023-12-07,257.9500,263.8500,250.1000,257.3500,358876
2023-12-08,261.0000,264.0000,247.2500,249.4500,375355
2023-12-11,250.9500,258.9000,249.4500,256.2500,185696
2023-12-12,257.2500,257.2500,241.1000,243.3000,380641
2023-12-13,244.5000,264.8000,240.9000,259.6000,444558
2023-12-14,259.9500,262.0000,252.3500,258.5000,358024
2023-12-15,258.0000,265.0000,253.9500,259.8500,455773
2023-12-18,256.2000,262.0000,249.5500,257.2500,355871
2023-12-19,258.0000,261.9500,251.5000,257.7000,337988
2023-12-20,257.1000,259.0000,236.0000,240.7500,511310
2023-12-21,238.0000,250.8000,234.0000,248.6000,321358
2023-12-22,249.7000,259.0000,245.0000,250.5000,863634
2023-12-26,250.3500,252.6000,243.4500,245.1500,327117
2023-12-27,246.5500,252.5000,244.4000,250.5000,688766
