date,open,high,low,close,volume
2023-09-22,384.5000,384.7000,361.6500,364.2000,916322
2023-09-25,367.3500,374.6500,360.3000,362.1500,347739
2023-09-26,364.9500,368.6500,351.0000,357.2000,360352
2023-09-27,359.3500,360.0000,350.0000,352.6500,327504
2023-09-28,355.8000,371.2000,352.6500,368.2000,785022
2023-09-29,384.5000,393.8500,360.0000,362.4500,1612468
2023-10-03,364.9500,368.9500,360.1000,367.0000,293153
2023-10-04,364.9500,365.9500,355.5000,357.4000,279985
2023-10-05,360.9000,363.4500,350.0500,352.7500,272506
2023-10-06,352.0000,359.2500,350.8500,354.3500,266680
2023-10-09,352.8000,352.9500,343.0500,344.9000,235743
2023-10-10,346.0500,353.8000,346.0500,350.2000,185954
2023-10-11,351.5000,359.9000,351.5000,357.9000,243433
2023-10-12,358.1000,363.6000,358.1000,362.1000,206810
2023-10-13,363.0000,363.9000,358.5000,360.1000,139062
2023-10-16,360.2500,367.2500,359.0000,359.8500,207915
2023-10-17,361.1000,366.9500,359.0500,361.7000,281426
2023-10-18,362.2000,364.9500,345.1000,348.6500,354386
2023-10-19,366.9500,366.9500,351.0000,364.0000,620714
2023-10-20,363.4000,366.5500,357.0000,360.3000,204632
2023-10-23,362.0000,362.1000,343.2500,345.8500,225884
2023-10-25,346.8500,350.0000,330.0500,331.7000,263488
2023-10-26,331.5000,332.9000,316.2500,330.4000,253282
2023-10-27,334.3000,344.8500,333.0000,337.5500,196619
2023-10-30,339.8500,344.0000,329.4000,335.1500,254309
2023-10-31,335.5000,341.9500,318.1500,322.1500,401000
2023-11-01,323.7000,328.0500,309.6000,321.3000,2084254
2023-11-02,323.3000,341.3000,323.3000,339.0500,908013
2023-11-03,339.4500,341.6500,331.3500,334.8500,341111
2023-11-06,336.2500,346.0000,334.7500,344.7000,310177
2023-11-07,343.5500,345.4500,340.3000,342.6000,192626
2023-11-08,341.8000,348.3500,337.2000,339.9500,331759
2023-11-09,341.2500,345.0000,336.9500,338.5500,178061
2023-11-10,338.0500,343.0000,331.9000,334.6000,189991
2023-11-13,341.9500,341.9500,335.4500,336.5500,123993
2023-11-15,343.8500,343.8500,334.8000,338.9000,306214
2023-11-16,338.9000,342.6000,337.0000,338.9500,130132
2023-11-17,338.9500,374.7500,338.9500,372.0000,2811527
2023-11-20,375.8500,375.8500,345.1500,360.7500,1412557
2023-11-21,363.9500,372.9500,359.0500,369.0000,528390
2023-11-22,372.0000,378.8500,363.8500,370.3000,765827
2023-11-23,371.0000,377.0000,368.5000,374.2000,399303
2023-11-24,374.8500,379.8000,370.1000,374.3500,420352
2023-11-28,374.0500,382.6000,360.5000,363.0000,518478
2023-11-29,366.0000,375.9500,364.5000,373.8500,381798
2023-11-30,373.1500,377.0000,366.2000,371.7500,345769
2023-12-01,375.0000,378.8500,370.2000,373.1500,248358
2023-12-04,375.9500,387.9000,371.1000,373.1000,552419
2023-12-05,377.9500,382.9500,369.3500,370.3000,530760
2023-12-06,372.4500,375.9000,370.0000,371.1000,227418
2023-12-07,372.8000,372.8000,366.0500,369.9500,258115
2023-12-08,369.9500,380.0000,367.0000,371.1500,383525
2023-12-11,386.0000,388.3500,378.7000,384.5000,907934
2023-12-12,386.0000,387.4500,369.3500,372.8000,396982
2023-12-13,379.8000,379.8000,369.0000,373.5000,223973
2023-12-14,375.8000,376.8000,370.0000,375.7000,366289
2023-12-15,378.0000,378.0000,370.8500,371.7000,210078
2023-12-18,374.7000,374.7000,368.9000,369.9500,212140
2023-12-19,371.0500,372.5000,365.5000,366.3500,222376
2023-12-20,366.3500,370.8500,355.3500,358.2500,357866
2023-12-21,352.5500,362.2000,351.2500,356.7500,260657
2023-12-22,358.3000,362.7500,346.2500,349.3500,433660
2023-12-26,360.0000,373.2000,358.4500,369.7000,957453
2023-12-27,374.0000,375.1000,367.2000,369.7000,308336
2023-12-28,372.9500,377.9000,365.0500,376.1500,424763
2023-12-29,376.0000,376.0000,368.2000,370.7000,326033
2024-01-01,374.7000,375.5500,368.1000,369.7500,193230
2024-01-02,371.5000,376.0000,367.8500,373.4000,255859
2024-01-03,375.2000,379.0000,369.5500,375.0500,396183
2024-01-04,377.7500,382.4500,373.5500,374.5000,332298
2024-01-05,379.5000,379.9000,370.5500,373.6500,214728
2024-01-08,375.7000,376.7000,363.0500,366.0500,314824
2024-01-09,368.8500,373.6500,363.2500,365.4500,301913
2024-01-10,366.0000,368.9000,358.0000,361.1500,310724
2024-01-11,363.3000,365.5000,355.0000,360.9000,470266
2024-01-12,361.5500,368.8000,361.5500,365.2500,320369
2024-01-15,367.0000,368.4000,360.4000,366.1000,277037
2024-01-16,366.1500,366.6500,356.0000,356.6500,373487
2024-01-17,354.9000,356.2500,349.4000,352.2500,381855
2024-01-18,350.1000,354.8000,341.6000,342.8500,506058
2024-01-19,345.2500,350.0000,340.0500,345.7000,366870
2024-01-23,352.6500,353.9000,333.1500,335.8500,363713
2024-01-24,336.0000,338.8000,325.8500,332.7000,565020
2024-01-25,334.9500,352.4500,334.2000,349.1000,1261859
2024-01-29,352.5000,352.5000,342.4500,345.4500,681609
2024-01-30,346.4000,348.2000,339.1000,344.4000,264282
2024-01-31,344.3000,352.0000,339.5000,348.4500,297837
2024-02-01,348.4500,364.7500,347.0000,354.6500,689603
2024-02-02,355.8000,362.0000,346.1500,349.7500,337733
2024-02-05,349.0500,361.4000,347.7500,350.5000,394120
2024-02-06,350.4000,364.5000,346.7500,362.1500,583138
2024-02-07,365.9500,370.0000,360.3000,368.6500,561887
2024-02-08,370.1500,371.8000,361.2500,369.1500,271775
2024-02-09,369.5500,371.0000,352.0000,357.6500,560127
2024-02-12,357.6500,357.7000,343.1000,348.5500,366803
2024-02-13,346.9500,358.0000,341.0000,355.5000,288540
2024-02-14,353.2000,362.7000,351.6000,359.4000,367094
2024-02-15,360.0000,395.4500,360.0000,390.8000,2551827
2024-02-16,390.9000,413.0000,386.1000,406.9000,2802837
2024-02-19,407.7000,419.4000,407.6000,412.1000,1187844
2024-02-20,412.1000,415.8000,405.9000,407.0500,586282
2024-02-21,407.0000,417.5000,404.0500,406.3000,703233
2024-02-22,404.0000,409.8000,401.8500,407.8500,349878
2024-02-23,407.9500,411.0500,402.8000,405.7000,345171
2024-02-26,405.7000,423.5000,402.7000,415.3500,1278697
2024-02-27,420.0000,429.2000,418.0000,420.2000,946849
2024-02-28,423.8000,428.7000,409.0000,411.9500,736158
2024-02-29,412.0000,415.8000,394.7500,402.5500,571574
2024-03-01,402.5500,412.6500,402.0000,404.5000,350493
2024-03-04,408.0500,410.9000,399.3000,404.1500,233565
2024-03-05,404.2000,405.8000,385.0000,391.8500,555378
2024-03-06,395.0000,396.2000,378.1000,385.3500,324718
2024-03-07,388.6000,392.0000,383.0500,388.4500,230928
