date,open,high,low,close,volume
2023-09-22,85.0000,86.3000,84.5500,85.2000,950727
2023-09-25,85.6000,86.5500,83.5000,83.7000,818441
2023-09-26,84.1000,84.2500,82.1000,83.2000,1400116
2023-09-27,83.2000,83.9000,82.6000,83.0500,880742
2023-09-28,83.1500,83.7000,82.6000,82.9500,501046
2023-09-29,83.3000,83.6500,82.8500,83.2500,469621
2023-10-03,83.4500,84.1000,82.5500,82.8000,563440
2023-10-04,82.8000,83.0000,80.8500,81.7000,752546
2023-10-05,81.8000,87.6500,81.5000,84.1500,3733476
2023-10-06,85.2000,88.3500,84.5500,86.8500,2313482
2023-10-09,85.7000,85.7000,82.1000,83.0000,1342030
2023-10-10,83.2500,85.4500,82.9000,84.3000,758730
2023-10-11,86.2500,87.0000,84.2500,84.6000,1065420
2023-10-12,84.9000,85.4000,82.9500,83.4000,657488
2023-10-13,83.3000,84.8500,83.0500,84.2500,888946
2023-10-16,84.5000,84.9500,84.0000,84.1500,443780
2023-10-17,84.5000,84.8500,83.1500,83.3000,484027
2023-10-18,83.1000,83.5500,82.5500,82.8000,797034
2023-10-19,82.5000,83.0500,82.5000,82.9000,283511
2023-10-20,83.7000,85.2500,82.2500,84.5000,1264994
2023-10-23,84.5000,85.7000,80.6000,82.3000,1941107
2023-10-25,82.4000,84.4500,82.2000,83.2500,1315806
2023-10-26,83.0000,83.0000,80.2000,82.2000,982529
2023-10-27,83.0000,87.7000,82.5000,84.5500,4764278
2023-10-30,85.3000,85.3000,83.2000,83.5500,717795
2023-10-31,83.9500,85.4000,82.5000,82.6500,1194042
2023-11-01,82.8000,83.5000,82.0000,82.3500,525993
2023-11-02,82.9000,83.1500,81.6000,81.8500,503434
2023-11-03,84.4500,84.4500,81.8000,81.8500,611103
2023-11-06,82.6000,84.8000,81.6000,82.6500,1548093
2023-11-07,83.1500,83.2500,82.2500,82.7000,1258443
2023-11-08,83.2000,83.6500,82.5000,83.1000,1211422
2023-11-09,83.5500,86.7000,83.0000,84.8000,2400168
2023-11-10,84.4500,85.1000,83.4000,83.7500,885183
2023-11-13,88.7500,96.9000,87.9000,91.8500,22561679
2023-11-15,94.0000,94.7000,91.0000,91.2500,5595068
2023-11-16,91.5000,93.7000,89.8000,90.6000,4290130
2023-11-17,89.0000,92.2500,87.3000,91.4000,6558213
2023-11-20,92.5000,92.5000,88.7000,90.8500,4912148
2023-11-21,91.5000,94.0000,90.5500,90.8500,4750053
2023-11-22,91.3000,91.6000,89.2500,90.5500,1482050
2023-11-23,90.5500,90.9000,87.7000,87.9000,2205791
2023-11-24,88.6000,88.8000,87.4000,87.7500,1266553
