date,open,high,low,close,volume
2023-09-18,240.9000,242.0500,232.7500,234.7500,513738
2023-09-20,232.4000,235.3000,230.3500,231.3500,247434
2023-09-21,231.3500,233.7500,226.0500,227.6000,334799
2023-09-22,227.5000,228.2000,223.5000,225.3000,265538
2023-09-25,223.3000,227.3500,222.0000,222.6500,272706
2023-09-26,223.0000,231.8000,222.0000,223.8500,1318342
2023-09-27,225.0000,228.0000,223.4500,225.9500,443610
2023-09-28,225.9500,229.5000,222.2000,223.1000,268509
2023-09-29,224.2500,234.1500,223.2500,233.1000,1045630
2023-10-03,232.3500,238.3500,228.5000,234.0500,901821
2023-10-04,233.2500,241.3500,232.0000,235.2500,739048
2023-10-05,236.2000,237.5000,232.0000,232.7500,262170
2023-10-06,233.8000,236.2500,230.5000,232.1000,216730
2023-10-09,230.9500,230.9500,224.3000,227.4000,229126
2023-10-10,228.3500,230.0000,226.4000,228.3500,124465
2023-10-11,229.5000,231.5000,225.1000,225.9500,254736
2023-10-12,227.3500,231.6500,226.9500,229.2000,177859
2023-10-13,228.7000,231.3000,227.4000,229.2000,209322
2023-10-16,229.2000,230.9000,227.0500,227.4500,150526
2023-10-17,229.4000,229.9000,226.5000,228.1500,139125
2023-10-18,229.3000,246.5000,228.1500,240.3500,6190483
2023-10-19,240.0000,245.4000,235.2000,243.3000,1342268
2023-10-20,242.0000,244.5500,229.3000,233.6500,713753
2023-10-23,234.9000,239.0000,219.6000,222.3000,598014
2023-10-25,224.1000,227.1000,215.3000,218.4500,423891
2023-10-26,218.0500,224.2000,213.5500,219.7000,1077395
2023-10-27,221.7000,232.0000,220.6500,228.3000,569126
2023-10-30,230.0000,242.3000,230.0000,231.6500,1339493
2023-10-31,232.8000,234.2000,226.2500,228.5000,427738
2023-11-01,228.8000,234.8500,227.8000,229.5500,486416
2023-11-02,232.4500,247.1500,232.4500,237.9000,4371552
2023-11-03,239.0000,242.3500,236.5000,240.3000,586325
2023-11-06,235.0000,244.6000,235.0000,241.6500,798771
2023-11-07,240.5000,240.5000,234.5000,235.9000,997687
2023-11-08,238.9000,240.4000,236.0000,237.6000,395956
2023-11-09,238.8000,258.9500,236.6500,256.8000,6019108
2023-11-10,255.9500,260.9000,251.3000,253.8500,2412348
2023-11-13,258.0000,267.3000,253.5500,259.3000,1902510
2023-11-15,261.0000,261.8500,250.5500,252.3500,722853
2023-11-16,254.0000,256.9500,249.9000,252.3500,748943
2023-11-17,253.6500,258.6000,246.3500,248.4500,1074771
2023-11-20,248.4500,250.6000,244.4000,246.5500,408956
2023-11-21,247.7500,253.7000,245.5500,250.8000,750249
2023-11-22,251.9500,254.4500,246.8500,248.0000,439692
2023-11-23,248.8000,260.9000,248.8000,257.2500,2041627
2023-11-24,257.9000,278.8500,257.8500,273.0500,10961383
2023-11-28,276.5000,285.2500,274.3500,280.0500,4246424
2023-11-29,281.9000,282.9000,275.0000,277.2500,1105312
2023-11-30,278.3000,286.7000,270.0000,274.8500,2746042
2023-12-01,277.0000,277.3000,272.0000,272.5000,593475
2023-12-04,275.0000,275.5000,270.0500,273.2000,622668
2023-12-05,274.4000,284.9000,272.6000,281.8500,2152400
2023-12-06,283.3500,289.0500,277.6000,279.6000,1070940
2023-12-07,280.0000,286.4500,276.5500,283.2500,1134919
2023-12-08,284.0000,285.4000,277.3000,280.4000,693248
