date,open,high,low,close,volume
2023-09-25,468.9000,477.0000,463.3000,470.8000,46625
2023-09-26,471.6500,475.1000,465.0000,467.8000,45780
2023-09-27,470.0000,482.9000,466.1000,478.7000,51721
2023-09-28,483.5000,483.5000,465.9000,468.1500,46404
2023-09-29,468.1500,481.0000,467.8500,478.2000,38699
2023-10-03,482.8500,499.0000,478.5000,497.3500,175108
2023-10-04,498.9000,519.0000,486.8000,503.0500,372943
2023-10-05,509.6500,535.1000,505.4000,522.3500,502611
2023-10-06,524.9500,535.4000,519.0000,524.4000,204804
2023-10-09,523.8000,533.3000,512.0000,518.5000,188430
2023-10-10,518.4500,537.0000,518.4500,533.0000,78894
2023-10-11,535.4000,542.5000,526.8500,539.5500,147054
2023-10-12,534.9500,548.0000,534.9500,537.5000,80589
2023-10-13,537.8000,547.0000,535.9000,542.8500,67967
2023-10-16,544.1500,577.0000,543.1500,554.6500,295936
2023-10-17,558.4500,576.8000,555.8000,566.3500,235555
2023-10-18,565.5000,618.0000,561.5500,593.1000,895330
2023-10-19,592.9000,604.1000,578.9000,599.7500,182238
2023-10-20,597.8000,604.9000,565.0000,570.9500,202551
2023-10-23,577.9500,579.5500,542.3000,549.5500,128172
2023-10-25,551.0000,563.2000,541.0000,554.2500,96132
2023-10-26,561.0000,561.0000,531.8500,550.3500,99466
2023-10-27,554.8500,576.3500,554.8500,562.8000,111658
2023-10-30,574.0000,577.5000,557.1000,573.7500,105329
2023-10-31,579.0000,597.1500,569.0000,573.0000,126280
2023-11-01,571.6500,584.0000,560.0000,564.5500,63283
2023-11-02,570.5000,577.2500,563.1500,571.0000,52430
2023-11-03,576.6500,579.7500,560.5500,566.9500,33024
2023-11-06,571.9000,599.9000,571.5000,576.8500,167625
2023-11-07,577.3500,587.3000,567.1000,580.0500,100170
2023-11-08,581.0000,598.0000,577.0000,578.8500,60788
2023-11-09,579.0000,582.8500,564.4000,567.7000,43212
2023-11-10,567.7000,578.6500,563.3000,572.6500,30747
2023-11-13,566.0000,580.0000,564.1000,567.9000,48682
2023-11-15,562.1000,574.0000,557.8500,570.9000,85232
