date,open,high,low,close,volume
2023-09-18,620.0500,620.0500,603.0000,606.2000,32330
2023-09-20,610.5500,617.3500,606.9000,613.1500,17819
2023-09-21,612.9500,618.2000,604.6000,607.4500,15090
2023-09-22,611.2500,618.6000,596.7000,608.9000,13946
2023-09-25,608.0000,609.9000,600.9500,603.3500,12075
2023-09-26,607.2500,617.9500,601.0000,607.3000,13883
2023-09-27,607.0000,614.7500,606.6000,611.3500,10904
2023-09-28,615.0000,616.8000,589.5500,600.2000,18939
2023-09-29,604.0000,611.4000,597.9500,608.2000,21235
2023-10-03,615.0000,615.0000,599.7000,602.3000,16917
2023-10-04,596.3000,612.4500,594.6500,596.7500,26992
2023-10-05,602.2000,607.8500,596.0000,600.7500,13283
2023-10-06,596.0000,604.9000,594.0500,599.4500,11966
2023-10-09,585.5000,593.8000,580.5000,585.9500,17538
2023-10-10,582.0000,595.0000,582.0000,589.8500,12259
2023-10-11,596.0000,604.9000,592.5500,598.7500,15367
2023-10-12,605.0000,606.2000,595.6000,597.5000,9842
2023-10-13,600.0000,605.0000,595.2500,600.9000,14445
2023-10-16,600.9000,606.8000,593.0000,594.9500,22544
2023-10-17,602.0000,611.6500,599.1000,604.0500,30947
2023-10-18,605.8000,608.5500,594.9500,597.5500,19852
2023-10-19,598.0000,600.5500,591.0000,591.9000,23729
2023-10-20,597.5000,600.0000,584.7500,586.9000,19002
2023-10-23,580.1500,586.9000,553.0000,566.1500,29423
2023-10-25,562.4500,575.2500,539.6000,546.2000,33403
2023-10-26,548.6500,549.4500,532.0500,545.3000,19624
2023-10-27,552.0500,576.2000,552.0500,564.7500,18317
2023-10-30,572.0500,574.2000,554.6500,560.5500,11195
2023-10-31,564.5000,566.9000,557.0000,559.2500,8404
2023-11-01,562.5000,562.5000,551.0000,552.5000,7459
2023-11-02,556.4500,564.0000,551.5500,556.5500,9378
2023-11-03,555.5500,563.2500,536.1000,546.8000,28198
2023-11-06,552.3500,560.9500,551.0500,557.6500,12421
2023-11-07,562.0000,562.5000,551.1500,555.4000,12902
2023-11-08,560.0000,565.1500,555.0500,563.3000,6657
2023-11-09,570.0000,570.5000,549.4000,553.0500,17364
2023-11-10,552.0000,565.0000,550.5500,560.8500,11084
2023-11-13,572.4000,575.0500,557.0000,573.3000,11367
2023-11-15,545.5000,557.0000,532.0000,538.6000,102598
2023-11-16,538.6500,550.0500,538.0000,548.8000,26411
2023-11-17,545.5000,554.6500,543.5500,552.3000,13673
2023-11-20,552.3000,556.6000,552.1000,552.9500,9921
2023-11-21,555.0000,556.6000,550.0000,550.8500,13496
2023-11-22,550.5000,550.5000,541.6000,544.6000,11364
2023-11-23,543.1000,550.0000,542.2000,544.9000,10888
2023-11-24,542.0000,552.0000,542.0000,548.5500,13455
2023-11-28,552.0000,552.0000,530.0000,533.8000,39351
2023-11-29,540.0000,540.0000,510.1500,516.8500,51394
2023-11-30,521.4500,529.5500,502.6000,514.8500,31779
2023-12-01,521.0000,526.7500,515.5500,520.7500,18657
2023-12-04,529.4000,540.5500,520.1000,527.4000,31385
2023-12-05,532.5500,537.4500,525.6000,528.3000,16056
2023-12-06,533.5500,594.0000,528.0500,579.3000,231117
2023-12-07,582.9000,584.8000,559.0500,564.2000,48182
2023-12-08,569.7000,575.4500,557.0500,561.1500,19652
2023-12-11,562.0500,576.5000,559.1500,561.9000,24117
2023-12-12,564.9000,623.1000,564.9000,605.6500,142995
2023-12-13,606.0000,615.0500,589.2500,598.2000,34564
2023-12-14,605.0000,605.0000,581.9500,586.4000,23690
2023-12-15,587.4500,601.0000,584.4000,590.5000,19764
2023-12-18,592.7500,600.5500,583.1000,585.5000,22167
2023-12-19,587.6500,593.1000,581.0000,585.2000,17419
2023-12-20,587.4000,588.7000,542.0500,547.9500,69060
2023-12-21,550.1500,573.9000,542.3500,568.2000,26763
2023-12-22,571.6000,577.5000,565.0000,571.0000,22616
2023-12-26,568.5500,581.1500,562.0000,575.2500,34058
2023-12-27,578.5000,589.0000,567.3000,571.1500,39278
2023-12-28,573.4500,578.5500,560.0000,561.9000,24646
2023-12-29,564.0500,568.7500,556.0500,561.0000,19801
2024-01-01,560.0000,588.0000,560.0000,576.9500,26588
2024-01-02,582.7000,585.7000,567.5500,582.2500,27184
2024-01-03,582.4000,595.0000,576.6500,588.6500,28612
2024-01-04,594.5500,594.5500,582.5000,584.9500,18599
2024-01-05,588.2000,597.8500,580.8500,587.0500,21747
2024-01-08,598.0000,648.8000,590.0000,625.7000,221073
2024-01-09,635.0000,644.3500,607.0500,612.4000,73415
2024-01-10,614.0000,620.9500,600.7500,606.4500,28444
2024-01-11,609.8000,627.5500,609.4000,616.1000,32839
2024-01-12,619.2000,620.4000,601.0000,605.8500,39062
2024-01-15,608.4000,614.1000,600.0000,603.9500,28371
2024-01-16,608.7500,611.9500,597.3000,599.5500,22893
2024-01-17,602.2500,602.7500,585.0000,595.4500,14495
2024-01-18,595.4500,607.5500,578.9000,596.1500,32698
2024-01-19,596.4500,605.0000,590.0000,597.1000,19397
2024-01-23,588.2000,595.7000,575.6500,583.4500,29170
2024-01-24,590.0000,590.0000,576.0000,583.1500,13080
2024-01-25,589.3000,604.0000,582.6000,591.9500,16579
2024-01-29,595.2000,598.7000,581.7000,587.9500,22329
2024-01-30,584.0500,594.5000,579.9000,584.3000,17602
2024-01-31,587.8000,590.0000,583.0000,586.8500,16561
2024-02-01,592.1500,599.0000,582.0000,588.1500,13521
2024-02-02,588.1500,597.9500,582.5500,587.8000,21370
2024-02-05,583.0000,589.0000,556.6000,563.0000,51189
2024-02-06,565.4000,568.6500,551.0000,553.7000,26323
2024-02-07,556.3500,567.0000,553.4000,556.4000,21784
2024-02-08,560.0000,574.4500,556.9500,567.7000,26654
2024-02-09,571.9000,580.7000,565.2500,568.2500,29920
2024-02-12,568.5000,575.0000,545.1500,553.4000,26966
2024-02-13,560.2500,560.6500,531.6500,537.7500,22577
2024-02-14,528.4000,549.4500,516.6000,534.6000,23449
2024-02-15,530.0000,544.2000,527.9000,539.6000,25810
2024-02-16,540.3500,554.5500,540.3500,549.6000,13678
2024-02-19,554.0000,565.0000,549.6000,558.7500,12301
2024-02-20,558.7500,562.9500,549.5500,552.9000,11930
2024-02-21,558.0000,564.9500,550.5500,553.2000,10298
2024-02-22,555.1500,562.0000,539.7500,550.8500,19644
2024-02-23,549.6000,557.8000,540.1000,544.2000,11383
