date,open,high,low,close,volume
2023-09-18,272.4000,272.4000,262.0000,263.8500,280011
2023-09-20,263.0000,265.0000,255.3000,256.9500,296719
2023-09-21,257.0000,264.2000,255.1000,256.6000,172376
2023-09-22,255.0000,268.0000,254.4500,265.1500,547881
2023-09-25,270.5500,283.3000,269.1000,280.4000,1085253
2023-09-26,283.0500,287.4000,278.0000,282.2500,440529
2023-09-27,278.2000,283.6000,276.2500,282.6000,212642
2023-09-28,281.0000,285.0000,274.0000,277.8500,241223
2023-09-29,283.8000,285.8000,277.0000,277.9500,284893
2023-10-03,279.8500,294.2500,274.9500,289.6000,988057
2023-10-04,291.7000,293.0000,281.0000,285.9000,302436
2023-10-05,287.1500,288.5000,280.5000,285.5500,174593
2023-10-06,286.9500,290.5000,284.0500,288.9000,184858
2023-10-09,281.0500,292.8000,278.5500,286.1500,311540
2023-10-10,286.5500,289.0000,282.6000,285.7000,152476
2023-10-11,289.4000,292.8500,283.1500,286.7500,367392
2023-10-12,288.3000,293.0000,285.7000,289.2000,242000
2023-10-13,292.3000,298.4500,283.1000,285.1500,581681
2023-10-16,290.0000,299.0000,285.1500,289.9000,465166
2023-10-17,290.4000,292.8500,286.2500,289.1000,186729
2023-10-18,290.6000,293.2000,285.5000,286.8500,189632
2023-10-19,283.2500,291.9000,283.2500,290.9000,139399
2023-10-20,292.8000,294.0500,282.1000,283.7500,175451
2023-10-23,283.7000,284.8000,264.6500,269.9000,243473
2023-10-25,283.9000,283.9000,265.4000,272.6500,296439
2023-10-26,270.0000,274.0500,256.6500,270.4500,575162
2023-10-27,272.5000,275.7000,261.8000,263.8500,519479
2023-10-30,266.6000,267.9500,259.9500,260.8000,292510
2023-10-31,261.8500,265.2000,260.0000,260.5500,139405
2023-11-01,263.0000,269.0000,260.0000,262.1000,384978
2023-11-02,264.9500,279.0000,263.0500,276.2500,356692
2023-11-03,278.9500,281.8000,270.6000,273.4500,249540
2023-11-06,275.8000,284.9000,275.5000,282.9000,256150
2023-11-07,284.3000,286.9500,281.5500,284.8000,157628
2023-11-08,283.8000,289.6000,283.0000,285.2000,98200
2023-11-09,285.6500,289.0000,282.3500,288.2500,156344
2023-11-10,288.2000,288.2000,283.1500,285.0500,81215
2023-11-13,287.6000,292.6000,279.3000,287.6500,170843
2023-11-15,290.6000,291.4000,284.0000,285.8000,137114
2023-11-16,288.1000,297.9000,284.6500,286.9500,298165
2023-11-17,288.0000,290.4500,273.3500,277.3500,338883
2023-11-20,279.0000,288.5500,278.1000,284.9500,224086
2023-11-21,283.7000,291.4500,283.7000,285.6500,118301
2023-11-22,284.9000,287.5500,282.5000,285.5000,105692
2023-11-23,287.5000,288.3500,281.6000,284.1500,155951
2023-11-24,285.9000,287.6500,278.9500,280.0500,228227
2023-11-28,278.4000,286.0000,275.0000,280.1000,253104
2023-11-29,282.9000,284.8500,272.3000,281.5000,246795
2023-11-30,282.9000,282.9500,275.1000,278.1500,216179
2023-12-01,281.2000,286.5000,275.6000,281.4000,455161
2023-12-04,283.5000,286.0000,280.3500,282.4500,210475
2023-12-05,281.9500,283.6500,276.9500,279.2500,123724
2023-12-06,279.2500,282.5000,277.6500,280.6500,116223
2023-12-07,281.6500,283.4000,277.1000,282.1000,142180
2023-12-08,282.9000,286.0000,272.6000,276.3000,208023
2023-12-11,277.7000,279.7000,273.2500,277.4000,138502
2023-12-12,275.3000,278.8000,268.1500,269.6000,196996
2023-12-13,270.0000,272.5000,267.4500,270.0000,255086
2023-12-14,271.4000,273.4500,266.2000,267.7000,488681
2023-12-15,269.8000,272.3000,267.3000,270.0000,436916
2023-12-18,270.0000,272.0000,266.0000,266.7500,214311
2023-12-19,267.9000,268.8000,262.0000,263.6500,181021
2023-12-20,266.0000,270.9000,259.0000,262.4500,375803
2023-12-21,261.0500,265.0000,250.0000,262.6500,246898
