date,open,high,low,close,volume
2026-08-18,22.7800,22.7800,17.3500,19.1000,6166
2026-08-19,18.9100,20.0000,18.5000,19.0900,229
2026-08-20,19.8800,19.8800,18.0000,18.2300,453
2026-08-21,14.5900,20.9800,14.5900,18.8700,3510
2026-08-24,20.9600,20.9600,18.0700,19.6100,1201
2026-08-25,22.0000,22.4100,17.3100,19.9700,1991
2026-08-26,20.0200,20.8700,19.0000,19.4600,1393
2026-08-27,19.4600,19.4600,19.4600,19.4600,0
2026-08-28,19.5000,20.8000,17.5400,18.9900,269
2026-08-31,19.1700,20.9000,17.5000,19.8200,2118
2026-09-01,19.8200,20.2800,18.5300,18.9100,1665
2026-09-02,19.0000,19.8400,18.4500,19.5700,1251
2026-09-03,20.7500,20.7500,19.0000,19.4900,2313
2026-09-04,19.5000,20.2000,19.0000,19.5500,168
2026-09-07,19.5500,22.7800,18.1200,19.0700,5513
2026-09-08,18.7600,19.7500,18.0600,18.1100,3074
2026-09-09,18.2000,19.5000,18.2000,18.6400,1642
2026-09-10,18.6400,18.9000,17.4000,17.6700,2419
2026-09-11,19.1900,21.2000,18.7000,21.2000,12925
2026-09-15,25.4400,25.4400,24.2000,25.4400,40095
