date,open,high,low,close,volume
2025-02-03,92.3500,92.3500,84.9000,88.4400,117829
2025-02-04,88.4400,91.0000,86.0000,88.9200,116921
2025-02-05,90.7800,93.3600,90.4300,93.3200,78090
2025-02-06,101.9700,102.6500,95.8000,102.0400,132334
2025-02-07,104.0000,109.0000,102.5400,106.3100,158691
2025-02-10,108.0000,110.7800,100.0000,104.8900,106154
2025-02-11,104.1200,106.0000,96.0100,99.8600,60221
2025-02-12,103.1100,103.1100,96.2200,100.3100,42075
2025-02-13,103.0600,103.2100,95.4000,97.6200,21823
2025-02-14,97.0000,97.7000,87.8500,89.6800,44081
2025-02-17,98.5900,98.5900,80.7100,86.6200,35687
2025-02-18,88.5300,91.0000,88.1100,88.6900,16199
2025-02-19,81.0800,97.5500,81.0800,95.9800,26557
2025-02-20,104.5000,104.5000,92.1000,94.6200,21921
2025-02-21,97.4400,97.6100,91.5500,92.6900,9318
2025-02-24,92.6900,92.6900,87.0000,88.0400,23116
2025-02-25,90.3200,96.8400,88.0000,90.2500,36989
2025-02-27,91.1500,99.2000,87.3000,96.8400,147480
2025-02-28,99.9500,99.9500,90.2500,92.7100,37047
2025-03-03,92.7100,94.8500,84.0000,87.9200,44514
2025-03-04,86.9000,90.1000,84.0200,87.4200,66809
2025-03-05,88.7500,94.1900,85.5000,92.7300,98072
2025-03-06,101.8000,101.8000,89.5000,90.2700,42487
2025-03-07,91.2600,94.0000,88.9100,90.0100,13781
2025-03-10,90.0100,91.0600,86.0000,86.5500,26474
2025-03-11,86.2800,90.9000,86.2800,88.3800,7915
2025-03-12,89.8900,90.8900,85.0000,87.8600,3557
2025-03-13,87.8400,90.0000,85.2500,87.2800,16705
2025-03-17,87.2700,92.0000,86.4100,87.7900,55785
2025-03-18,87.7900,87.7900,87.7900,87.7900,0
2025-03-19,91.0000,93.0000,86.9800,92.3500,46777
2025-03-20,93.1600,95.5200,88.4000,90.5200,10077
2025-03-21,88.0200,96.5000,88.0200,93.8100,97467
2025-03-24,96.5000,96.5000,92.1200,94.7100,79419
2025-03-25,98.0000,98.0000,92.0000,92.1300,14639
2025-03-26,92.5000,94.9100,88.1900,90.5300,14376
2025-03-27,89.8000,90.9500,87.5000,88.3300,14488
2025-03-28,97.0000,97.0000,89.0100,90.4900,23139
2025-04-01,90.5000,95.6900,90.5000,91.4000,11736
2025-04-02,93.9000,93.9000,88.0300,88.5700,11423
2025-04-03,92.0000,92.0000,89.0000,90.4700,5785
2025-04-04,86.2600,91.9000,86.2600,90.7900,7513
2025-04-07,89.9000,90.2900,83.2400,89.1100,10773
2025-04-08,88.0000,92.3100,87.5000,89.6600,6511
2025-04-09,89.6800,90.9900,87.0000,88.6900,1473
2025-04-11,85.2600,95.0000,85.2600,93.2000,35571
2025-04-15,94.1200,107.1000,93.6200,104.0600,385888
2025-04-16,107.8000,108.1200,100.0300,104.6000,183371
2025-04-17,102.1500,105.9900,99.1600,103.3900,234175
2025-04-21,103.3900,113.0000,100.4900,108.1800,794442
2025-04-22,108.0000,111.4000,106.6100,110.8800,154372
2025-04-23,113.6000,116.5000,108.4600,110.5300,300963
2025-04-24,111.4100,114.0000,109.2100,110.9700,120927
2025-04-25,113.1900,113.1900,102.9200,106.6300,106760
2025-04-28,108.1700,109.0200,100.5100,102.3600,85566
2025-04-29,103.4300,106.6800,98.0000,98.5400,89141
2025-04-30,100.0000,102.9000,95.2600,101.7400,83867
2025-05-02,103.2500,104.6100,98.9900,100.0000,77692
2025-05-05,98.2100,101.8600,98.2100,100.1300,73446
2025-05-06,100.2900,101.9000,96.6300,100.6200,101862
2025-05-07,101.0000,101.0000,93.0000,96.2700,144951
2025-05-08,97.4000,98.2500,90.0000,94.1900,75096
2025-05-09,87.1500,110.0000,87.1500,106.8900,114045
2025-05-12,106.0000,107.7500,99.9100,103.8700,219854
2025-05-13,102.3000,107.5000,101.0100,104.5700,190445
2025-05-14,104.9000,109.5000,101.0000,102.7100,340388
2025-05-15,103.5300,105.5100,101.3100,102.1900,81673
2025-05-16,102.1900,103.1500,99.6300,100.3400,150555
2025-05-19,101.0000,105.8400,101.0000,101.9700,227209
2025-05-20,102.6500,110.4500,100.7000,102.4200,485935
2025-05-21,103.2400,104.9900,102.1400,104.1900,174018
2025-05-22,105.2300,105.8300,101.4200,103.0200,125434
2025-05-23,102.6900,104.8700,101.5100,103.7200,86906
2025-05-26,104.7500,109.7400,103.5900,105.3000,218317
2025-05-27,105.3000,110.0000,104.0600,107.1500,250791
2025-05-28,108.0100,108.0100,102.4100,103.5000,102273
2025-05-29,104.2800,107.9900,102.0300,106.0800,196188
2025-05-30,107.1500,114.8000,105.1000,107.3100,1091531
2025-06-02,105.4400,105.4400,93.4500,97.7500,380981
2025-06-03,97.1300,99.6600,93.9400,96.1600,228362
2025-06-04,96.9200,97.4000,94.0100,95.9400,219639
2025-06-05,96.9000,98.3200,94.0200,96.3600,185094
2025-06-06,97.0900,97.0900,95.0000,95.1000,121574
2025-06-09,96.6500,97.0600,94.5100,95.7400,127189
2025-06-10,96.7000,96.9500,93.2100,93.8800,155248
2025-06-11,94.3900,94.4300,91.4900,92.8800,207200
2025-06-12,93.5800,93.5800,89.6100,90.4600,165945
2025-06-13,90.4600,93.5000,88.4300,93.1500,173246
2025-06-16,93.6200,94.6600,91.4600,94.1200,126477
