date,open,high,low,close,volume
2023-09-18,4150.9502,4175.0000,4015.0500,4112.4502,238348
2023-09-20,4134.0498,4188.8999,4112.5000,4169.7998,118891
2023-09-21,4168.6001,4168.6499,4035.0000,4076.7500,189007
2023-09-22,4076.0000,4135.9502,4053.4500,4107.4502,183993
2023-09-25,4107.1001,4217.7998,4075.0000,4190.6001,115250
2023-09-26,4194.0000,4197.8501,4104.0498,4172.5498,89102
2023-09-27,4183.0000,4235.2998,4130.0000,4146.0000,103845
2023-09-28,4167.7998,4167.7998,4062.1001,4117.7002,100821
2023-09-29,4110.0000,4168.2500,4096.0498,4121.5000,91685
2023-10-03,4101.5000,4137.0000,4003.3999,4015.6001,201015
2023-10-04,4020.0000,4036.7000,3933.7500,3954.8501,127114
2023-10-05,3974.6001,3984.8501,3826.0500,3861.8501,168713
2023-10-06,3899.0000,4028.0000,3881.5500,3912.5000,257858
2023-10-09,3900.0000,4048.0000,3882.0500,4011.8000,205823
2023-10-10,4001.8999,4134.7500,3999.7500,4027.6499,162193
2023-10-11,4055.0000,4148.7998,3982.1001,4124.7998,217384
2023-10-12,4100.5000,4223.0000,4100.5000,4169.0498,161266
2023-10-13,4144.0498,4175.0000,4127.0498,4161.6499,90134
2023-10-16,4198.0000,4395.0000,4179.6001,4338.9502,538584
2023-10-17,4350.0000,4699.0000,4339.9502,4625.6001,469250
2023-10-18,4603.0000,4816.9502,4509.9502,4707.2998,335904
2023-10-19,4650.0000,4672.9502,4528.0498,4645.7500,256324
2023-10-20,4637.0000,4888.0000,4558.0498,4713.8999,1371567
2023-10-23,4703.0000,4862.9502,4150.0000,4322.0498,281863
2023-10-25,4328.0000,4455.0000,4191.0498,4388.2500,202808
2023-10-26,4336.0498,4349.6001,4120.1499,4177.5000,215575
2023-10-27,4184.3999,4313.7002,4151.0498,4207.8501,118955
2023-10-30,4200.0000,4640.0000,4127.8501,4522.1001,311575
2023-10-31,4524.0000,4525.0000,4261.0498,4329.2500,240451
2023-11-01,4350.8501,4513.7500,4250.1499,4476.0498,234568
2023-11-02,4450.0000,4539.8999,4449.5000,4513.8501,107152
2023-11-03,4516.0498,4520.0498,4356.0000,4379.4502,133753
2023-11-06,4402.5000,4448.0000,4316.5000,4400.5000,93111
2023-11-07,4400.5000,4468.1499,4322.0000,4343.6001,97300
2023-11-08,4350.0000,4438.8999,4335.0000,4386.5498,68395
2023-11-09,4361.0000,4392.3501,4195.0000,4225.5000,148406
2023-11-10,4225.5498,4319.0000,4192.1499,4247.9502,75980
2023-11-13,4295.0000,4314.4502,4208.0498,4271.2998,66927
2023-11-15,4292.6499,4309.8999,4102.0000,4151.8501,251597
2023-11-16,4169.0000,4172.6001,4048.7000,4070.5500,203402
2023-11-17,4090.0000,4229.0000,4075.0000,4187.7002,193822
2023-11-20,4201.0000,4244.7500,4133.2002,4196.6001,104134
2023-11-21,4215.8501,4215.8501,4100.0000,4124.3999,162464
2023-11-22,4138.0000,4138.0000,4050.0000,4079.6499,104117
2023-11-23,4100.0000,4130.0000,4080.0500,4111.0498,56111
2023-11-24,4055.0500,4165.2002,4036.0000,4129.2500,143208
2023-11-28,4149.9502,4191.2002,4074.0500,4123.2500,235636
2023-11-29,4140.0000,4237.0000,4100.0000,4121.2998,180837
2023-11-30,4109.7998,4593.8999,4089.0000,4431.1499,1282443
2023-12-01,4420.2002,4507.6001,4325.4502,4460.7998,173440
2023-12-04,4470.8999,4781.7998,4455.6499,4713.2002,257944
2023-12-05,4750.0000,4844.7500,4589.0498,4626.7998,458965
2023-12-06,4670.0000,4679.8999,4537.9502,4578.7002,112367
2023-12-07,4532.0000,4601.5498,4504.0000,4526.2002,127828
2023-12-08,4527.0000,4570.0498,4481.1499,4522.2500,68948
2023-12-11,4522.2500,4549.9502,4510.0000,4525.2002,64837
2023-12-12,4548.0000,4558.9502,4411.1001,4440.4502,108755
2023-12-13,4430.0000,4457.9502,4388.0000,4431.3501,72369
2023-12-14,4459.0000,4465.0000,4435.2002,4449.3999,105703
2023-12-15,4494.0000,4494.0000,4403.1001,4442.1499,160020
2023-12-18,4442.1499,4495.0000,4411.5000,4471.2500,52263
2023-12-19,4471.2500,4493.6001,4394.2500,4431.6001,95062
2023-12-20,4450.0000,4680.0000,4432.0000,4637.8999,203060
2023-12-21,4585.0000,4585.0000,4409.0000,4454.9502,164534
2023-12-22,4545.0000,4608.8501,4497.1001,4540.2998,91596
