date,open,high,low,close,volume
2023-12-26,340.0000,354.4500,324.0500,334.5000,5833892
2023-12-27,344.9500,346.6500,337.1500,338.2000,1194763
2023-12-28,340.0000,341.9000,330.5500,331.9000,499706
2023-12-29,333.0000,338.5500,330.0500,330.6000,775562
2024-01-01,330.8000,334.4500,329.0500,330.5500,231475
2024-01-02,332.2000,337.6500,329.0500,335.1500,420665
2024-01-03,335.0000,359.4500,333.0500,356.2500,1608913
2024-01-04,361.9500,364.8000,350.5500,353.8500,703441
2024-01-05,356.2500,360.4500,348.2500,352.1500,435255
2024-01-08,355.0000,355.8000,339.6000,341.2000,370942
2024-01-09,344.9500,346.0500,340.2500,344.2000,181667
2024-01-10,344.0000,348.0000,338.2000,343.7000,180136
2024-01-11,348.5000,360.9000,345.0000,356.1000,696536
2024-01-12,358.2000,363.3000,355.0000,355.5500,514025
2024-01-15,355.5500,355.5500,355.5500,355.5500,0
2024-01-16,360.0000,361.3500,347.1500,354.9000,821753
2024-01-17,353.5000,353.5000,345.0000,345.5500,173879
2024-01-18,345.6000,349.0500,336.9500,343.2000,172255
2024-01-19,344.4500,348.3000,341.0000,343.0500,121728
2024-01-23,343.6000,344.2500,330.0500,332.0500,256572
2024-01-24,332.9000,336.0000,326.9000,329.2000,194348
2024-01-25,330.0000,333.3500,328.5000,329.4500,129068
2024-01-29,330.3000,334.6000,328.0500,329.9000,123240
2024-01-30,332.0000,341.2500,329.1000,338.9000,203152
2024-01-31,342.4500,348.2000,338.6500,342.2500,168631
2024-02-01,345.0000,345.3000,335.1000,337.0000,63538
2024-02-02,338.0000,343.1000,330.0500,332.0500,86544
2024-02-05,334.5000,335.9500,321.8500,324.8000,117514
2024-02-06,324.8000,329.9500,322.1000,325.5500,76812
2024-02-07,332.9500,341.7500,329.0000,332.2500,213668
2024-02-08,333.0000,335.4500,321.1000,324.5000,176930
2024-02-09,324.0000,339.8000,321.6500,336.0500,264378
2024-02-12,336.0500,341.9500,330.0000,331.4500,142034
2024-02-13,330.5500,336.0000,318.1000,329.1500,235559
2024-02-14,323.1500,339.9500,323.1500,338.9500,114097
2024-02-15,341.9000,349.7000,337.3000,342.9000,242080
2024-02-16,346.9000,351.9500,342.7000,343.9000,251547
2024-02-19,344.4500,344.9500,340.0000,343.9500,83483
2024-02-20,344.7500,347.9000,341.5500,344.2000,81960
2024-02-21,345.0000,367.0000,344.6000,346.5000,809066
2024-02-22,350.0000,354.5000,345.1000,347.4500,213751
2024-02-23,352.0000,356.8000,347.4500,350.9000,351037
2024-02-26,353.6500,353.6500,345.0000,349.0000,138250
2024-02-27,351.5000,352.4500,336.5000,347.8500,254846
2024-02-28,351.5000,351.8000,335.0000,336.7000,257755
2024-02-29,334.1000,341.5500,333.0500,339.5000,87790
2024-03-01,342.7500,344.0000,339.4000,340.9000,88152
2024-03-04,340.1000,347.9000,339.1000,343.4500,155184
2024-03-05,343.4500,343.9000,339.9000,342.2000,70145
2024-03-06,338.8500,340.0000,327.0000,330.8000,164901
