date,open,high,low,close,volume
2023-09-26,10.9000,11.1000,10.7000,10.8000,85117
2023-09-27,10.6500,11.8000,10.6500,11.6500,133908
2023-09-28,11.6500,12.7000,11.6000,11.9000,478162
2023-09-29,12.1000,12.5500,11.9000,12.1000,178697
2023-10-03,12.1000,12.2000,11.8500,11.9000,73334
2023-10-04,11.8500,11.9000,11.2000,11.4500,189621
2023-10-05,11.5000,11.8000,11.3500,11.5000,55121
2023-10-06,11.5500,12.0000,11.3500,11.7000,107626
2023-10-09,11.7000,11.7000,10.1000,11.0500,132162
2023-10-10,11.1000,11.7000,11.1000,11.4000,78327
2023-10-11,11.4000,11.5500,11.2000,11.3000,69376
2023-10-12,11.5000,11.5000,11.3000,11.4500,42854
2023-10-13,11.5000,11.5000,11.3000,11.3500,65191
2023-10-16,11.5000,11.5000,11.1500,11.2500,85334
2023-10-17,11.5000,11.5000,11.2000,11.3500,60688
2023-10-18,11.4000,11.4500,11.0500,11.1000,90156
2023-10-19,11.1000,11.3000,10.9000,11.0000,77837
2023-10-20,11.0000,11.2000,10.8500,10.9000,103065
2023-10-23,10.7000,11.1000,10.3000,10.3500,94669
2023-10-25,10.4000,10.6000,9.9000,10.1000,128494
2023-10-26,10.1500,10.2000,9.4500,10.0000,126231
2023-10-27,10.0000,10.5000,10.0000,10.2500,80721
2023-10-30,10.5000,10.7500,10.3000,10.6000,74731
2023-10-31,10.7500,11.0500,10.5500,10.6500,41388
2023-11-01,10.5500,11.0000,10.5000,10.6000,34558
2023-11-02,10.6000,10.9500,10.5500,10.7500,37907
2023-11-03,10.9500,11.7500,10.7000,11.4000,229730
2023-11-06,11.5000,11.9500,11.4000,11.8500,445562
2023-11-07,11.9500,12.2000,11.4000,11.8000,176706
2023-11-08,11.7500,11.9500,11.3000,11.4000,204558
2023-11-09,11.6000,11.6000,11.0500,11.4500,140890
2023-11-10,11.6000,11.8000,11.1500,11.5000,116942
2023-11-13,11.8500,11.9000,11.5000,11.6500,67307
2023-11-15,11.7500,12.0000,11.5000,11.6000,139455
2023-11-16,11.8000,11.8000,11.4000,11.5000,91261
2023-11-17,11.7000,11.8500,11.3500,11.5000,251922
2023-11-20,11.5000,12.0000,11.5000,11.9000,298152
2023-11-21,12.0000,12.1000,11.6000,11.8000,213275
2023-11-22,11.6000,11.9500,11.3000,11.4000,153987
2023-11-23,11.4000,11.7000,11.4000,11.5500,67206
2023-11-24,11.6000,11.6500,11.2500,11.4000,83722
2023-11-28,11.4000,11.6000,11.1000,11.2000,92130
2023-11-29,11.4000,11.4000,10.5000,11.0000,285107
2023-11-30,11.1500,11.1500,10.8000,10.9000,110583
2023-12-01,11.0000,11.1500,10.8000,10.9000,126873
2023-12-04,11.8000,11.8000,11.1000,11.2000,130122
2023-12-05,11.4500,11.4500,10.8500,10.9000,163878
2023-12-06,11.2500,11.3500,11.0000,11.0000,132472
2023-12-07,11.1000,11.3500,11.0000,11.2500,115753
2023-12-08,11.3500,11.3500,11.0000,11.1000,110285
2023-12-11,11.3500,11.3500,10.9500,11.1000,127626
2023-12-12,11.2500,13.3000,11.1500,13.2000,3295926
2023-12-13,13.5000,15.4000,13.0500,14.3000,3377562
2023-12-14,14.5000,14.7500,13.3500,13.5000,1218140
2023-12-15,13.5000,14.8000,12.7500,14.4000,2489791
2023-12-18,15.0000,17.2500,14.6000,17.2500,5670062
2023-12-19,17.4500,17.5500,15.7000,16.3000,2901607
2023-12-20,17.0500,17.2000,15.0000,15.2000,1239952
2023-12-21,15.2000,16.0500,14.7000,15.8500,537148
2023-12-22,16.0500,16.7000,16.0000,16.1500,580487
2023-12-26,16.8500,16.8500,15.9500,16.0500,632733
2023-12-27,16.4500,16.4500,15.0000,15.3000,649123
2023-12-28,15.5000,15.7000,15.2000,15.3500,241052
2023-12-29,15.4500,15.7000,14.6000,15.4500,191586
2024-01-01,15.8000,16.2000,15.0500,16.0000,302648
2024-01-02,16.2000,16.3000,15.5000,16.0000,221411
2024-01-03,16.5000,16.5000,15.6000,15.8500,342397
2024-01-04,16.1500,16.3500,15.6000,16.0000,287067
2024-01-05,16.4500,16.4500,15.9000,16.1000,211959
2024-01-08,16.7000,16.7000,16.1000,16.4500,357456
2024-01-09,17.0000,17.0000,16.1000,16.4500,277299
2024-01-10,16.7500,16.7500,15.8500,16.3500,256406
2024-01-11,16.7000,16.7000,15.9500,16.1000,201140
2024-01-12,16.4000,16.9000,16.0000,16.3000,149732
2024-01-15,16.7000,16.7000,16.0000,16.0000,190275
2024-01-16,16.3000,16.3000,15.2000,15.6500,164535
2024-01-17,15.5500,16.1000,15.3000,15.8000,169715
2024-01-18,15.8000,16.3000,15.1000,16.0000,150841
2024-01-19,16.4000,16.4000,15.6000,15.6500,206090
2024-01-23,16.4500,16.5000,16.0000,16.2000,265875
2024-01-24,16.4500,16.4500,15.7000,16.1500,203484
2024-01-25,16.6500,16.9500,16.4000,16.9500,487426
2024-01-29,17.7500,17.7500,17.7500,17.7500,609210
2024-01-30,18.5500,18.6000,18.3000,18.6000,681613
2024-01-31,19.3000,19.5000,17.7000,19.0000,1078755
2024-02-01,19.5500,19.9500,19.4000,19.9500,901010
2024-02-02,20.5000,20.9000,20.0500,20.6500,975647
2024-02-05,20.9500,20.9500,19.6500,19.6500,253325
2024-02-06,19.0000,19.0000,18.7000,18.7000,161295
2024-02-07,17.8000,17.8000,17.8000,17.8000,267877
2024-02-08,17.0000,18.6500,17.0000,18.6500,440981
2024-02-09,18.5000,18.5000,17.7500,17.8000,278001
2024-02-12,18.2000,18.6500,17.8000,18.6500,436832
2024-02-13,19.5000,19.5500,17.7500,17.8000,254409
2024-02-14,17.8000,18.5000,16.9500,18.2000,263732
2024-02-15,19.0000,19.1000,17.5500,18.7000,267607
2024-02-16,19.0000,19.0000,18.0000,18.2500,161862
2024-02-19,18.9000,19.0500,17.6000,18.4000,258561
2024-02-20,18.7000,18.9000,18.1500,18.5000,155509
2024-02-21,18.9500,18.9500,17.8000,17.9000,124362
2024-02-22,18.0000,18.1000,17.3000,17.5500,105936
2024-02-23,17.8000,18.0000,17.3500,17.5000,124946
2024-02-26,18.1500,18.3500,18.1000,18.3500,185283
2024-02-27,18.8000,18.9000,18.0000,18.2500,224102
2024-02-28,18.7500,18.8000,17.3500,17.4500,162567
2024-02-29,17.7500,18.0000,17.5000,17.9500,124757
2024-03-01,18.3500,18.4000,17.7500,17.8500,145904
2024-03-04,18.7500,18.7500,17.4500,18.0000,163238
2024-03-05,18.0000,18.0000,17.1500,17.2500,133530
2024-03-06,17.0500,17.0500,16.4000,16.5000,141718
2024-03-07,15.7500,17.0000,15.7000,16.2500,161345
2024-03-11,16.5500,17.0000,16.2500,16.4500,105326
2024-03-12,16.6000,16.9000,15.6500,15.6500,116118
2024-03-13,15.7500,16.1500,14.9000,14.9000,68185
2024-03-14,14.9000,15.6000,14.1500,15.5000,117833
2024-03-15,15.5000,16.0500,15.1000,15.9000,59014
2024-03-18,16.5000,16.5000,15.9000,16.4000,67346
2024-03-19,16.2500,16.6000,15.6500,16.3500,72517
2024-03-20,16.1000,16.1500,15.5500,15.5500,65685
2024-03-21,15.4500,16.2500,14.9500,15.7000,61306
2024-03-22,15.7000,16.1500,15.1500,15.4000,89328
2024-03-26,15.4500,16.0000,15.4500,15.7500,60980
2024-03-27,16.0000,16.0000,15.0000,15.1000,103979
2024-03-28,15.0000,15.4000,14.5000,14.7000,112528
2024-04-01,15.2000,15.4000,14.9500,15.4000,45640
2024-04-02,16.1000,16.1500,15.9000,16.1500,38199
2024-04-03,16.6000,16.9500,16.1500,16.9500,76521
2024-04-04,17.7500,17.7500,17.3000,17.7500,92391
2024-04-05,18.6000,18.6000,17.8000,18.2000,209804
2024-04-08,17.8500,17.8500,17.8500,17.8500,20264
2024-04-09,17.5000,17.5000,17.5000,17.5000,5493
2024-04-10,17.1500,17.1500,17.1500,17.1500,18845
2024-04-12,16.8000,16.8500,16.8000,16.8000,73312
2024-04-15,16.5000,16.5000,16.5000,16.5000,27587
2024-04-16,16.2000,16.2000,16.2000,16.2000,22035
2024-04-18,15.9000,16.2000,15.9000,15.9000,36836
2024-04-19,15.7500,15.8000,15.7000,15.7500,24522
2024-04-22,15.5500,15.7500,15.5500,15.5500,32878
2024-04-23,15.4500,15.5500,15.4500,15.4500,30872
2024-04-24,15.4500,15.4500,15.4500,15.4500,45534
2024-04-25,15.4500,15.4500,15.4500,15.4500,24660
2024-04-26,15.4500,15.4500,15.4500,15.4500,46920
2024-04-29,15.1500,15.4500,15.1500,15.1500,34392
2024-04-30,15.0000,15.1500,15.0000,15.0000,30566
2024-05-02,15.0000,15.0000,15.0000,15.0000,55905
2024-05-03,14.9000,15.0000,14.9000,14.9000,22640
2024-05-06,14.9000,14.9000,14.9000,14.9000,36172
2024-05-07,14.7000,14.9000,14.7000,14.7000,21067
2024-05-08,14.5000,14.7000,14.5000,14.5000,42525
2024-05-09,14.5500,14.6500,14.5000,14.5500,17285
2024-05-10,14.4000,14.5000,14.4000,14.4000,18688
2024-05-13,14.3000,15.1000,14.2500,15.1000,91405
2024-05-14,15.7000,15.8500,15.4500,15.8500,104148
2024-05-15,15.8500,16.4500,15.8500,16.3000,102064
2024-05-16,16.3000,16.7500,16.1000,16.4000,104350
2024-05-17,16.4500,16.6000,16.0000,16.3000,99053
2024-05-21,17.8000,17.9000,17.4000,17.9000,248690
2024-05-22,18.4500,18.6000,17.0000,17.5500,240723
2024-05-23,18.0000,18.0000,17.1000,17.2500,172785
2024-05-24,17.5000,17.8500,16.5500,17.3500,141885
2024-05-27,17.7500,18.2000,17.5000,18.1000,559416
2024-05-28,18.6500,18.6500,17.3000,17.6500,423345
