date,open,high,low,close,volume
2026-08-18,379.0000,385.0000,375.0000,382.9500,313
2026-08-19,382.9500,382.9500,380.1000,380.1000,293
2026-08-20,374.0000,390.0000,374.0000,385.0000,67
2026-08-21,385.0000,406.4000,381.0000,398.7500,2768
2026-08-24,381.0000,392.0000,381.0000,381.6500,330
2026-08-25,381.0000,384.0000,371.0500,383.1500,333
2026-08-26,384.0000,390.5000,380.0000,380.8500,357
2026-08-27,382.0000,389.0000,382.0000,382.1500,146
2026-08-28,382.0000,390.0000,375.0000,378.6000,266
2026-08-31,378.5000,378.5000,376.1500,378.0000,281
2026-09-01,375.0000,395.0000,374.0000,387.0000,723
2026-09-02,419.7500,419.7500,389.0000,414.9500,3061
2026-09-03,419.0000,423.9000,403.6000,407.7000,1898
2026-09-04,419.9000,419.9000,405.0000,411.8500,1694
2026-09-07,411.0000,424.9500,408.0000,421.4000,2187
2026-09-08,410.0500,410.1000,409.9500,410.0000,1077
2026-09-09,419.0000,419.0000,400.5000,401.0500,126
2026-09-10,418.9500,418.9500,395.1000,398.5500,981
2026-09-11,395.0500,410.0000,383.0000,395.2500,782
2026-09-14,395.2500,395.2500,395.2500,395.2500,0
2026-09-15,399.2000,416.0000,395.2500,401.0000,41
2026-09-16,393.0000,401.0000,381.5000,386.8500,99
2026-09-17,405.0000,405.0000,380.6000,400.2500,525
2026-09-18,405.0000,405.0000,395.0000,395.0000,39
2026-09-21,390.0000,390.0000,381.0000,382.0000,2010
2026-09-22,392.9000,392.9500,380.2000,390.8000,421
2026-09-23,394.7500,409.9000,382.1500,400.0500,933
2026-09-24,390.0500,390.0500,385.1500,390.0500,2631
2026-09-25,390.0500,390.0500,382.2000,390.0000,303
