date,open,high,low,close,volume
2023-09-18,290.0000,304.7000,288.0500,291.6000,1691379
2023-09-20,290.0000,295.3500,287.0500,291.0500,440762
2023-09-21,288.7000,299.9000,288.7000,296.6500,945503
2023-09-22,296.6500,301.0000,293.1500,298.5500,857148
2023-09-25,321.0000,342.8000,286.1000,291.4500,13532783
2023-09-26,292.1500,303.4000,292.1500,295.7500,1855195
2023-09-27,296.1000,297.8000,283.1500,289.2500,1437339
2023-09-28,290.9000,294.3000,285.6500,287.2000,478723
2023-09-29,288.0000,290.6500,285.0000,287.8000,652298
2023-10-03,286.5000,291.7500,286.0000,286.7000,385000
2023-10-04,286.4000,291.4000,282.2500,287.1500,874418
2023-10-05,288.8500,289.9000,283.3000,283.9500,963638
2023-10-06,285.9000,299.5000,283.0500,297.5500,2080337
2023-10-09,293.1000,293.1000,286.9000,290.2000,834149
2023-10-10,293.7000,297.0500,291.1000,294.4000,1004109
2023-10-11,296.7500,298.1500,293.0000,293.8000,449417
2023-10-12,295.2000,316.8000,295.1500,304.1000,5320130
2023-10-13,301.3000,314.0000,301.3000,305.2500,2324259
2023-10-16,307.7000,321.7000,305.1000,320.5000,3170475
2023-10-17,323.4000,324.8000,313.3500,321.7500,2428403
2023-10-18,323.0000,328.0000,316.5500,318.9500,2252217
2023-10-19,320.0000,330.9500,316.3000,326.8000,2839763
2023-10-20,325.4000,332.0500,309.5000,312.3000,2254101
2023-10-23,314.5000,316.3500,299.0000,303.3000,1753596
2023-10-25,307.9000,315.8000,295.3000,310.2500,14442031
2023-10-26,313.0000,331.0000,306.6000,329.0500,5269450
2023-10-27,333.0000,390.0000,333.0000,369.2000,25831619
2023-10-30,378.0000,397.8000,375.6500,390.3000,12875973
2023-10-31,394.6000,399.9000,383.0000,385.6000,5580744
2023-11-01,386.8000,398.7500,382.2500,388.6000,3345723
2023-11-02,396.0000,396.0000,381.3000,385.8500,1362011
2023-11-03,387.0000,394.4500,384.1000,386.0000,1129863
2023-11-06,388.0000,397.7500,386.0000,391.8000,2490272
2023-11-07,391.4000,392.4500,368.3500,386.3500,2033443
2023-11-08,388.0500,413.3500,387.0000,404.0000,4026693
2023-11-09,406.4000,419.7500,401.7500,413.9000,2351823
2023-11-10,414.0500,446.8000,397.0000,422.4000,10961394
2023-11-13,447.0500,462.8500,416.6000,429.9000,23399089
2023-11-15,436.0000,442.3500,427.5500,433.7000,2825449
2023-11-16,434.5000,435.6000,425.0000,427.4000,1352271
2023-11-17,427.4000,441.9000,426.1000,429.3500,2520007
2023-11-20,429.5000,435.5000,423.5500,429.6000,1387207
2023-11-21,431.9500,434.1000,420.0500,423.1000,1114544
2023-11-22,423.1000,433.0000,416.2500,431.0000,1748786
2023-11-23,434.7000,440.8000,425.6000,427.6500,1716218
2023-11-24,429.8000,431.1500,419.5500,421.5000,660067
2023-11-28,423.9500,437.7000,418.5000,431.4500,2145343
2023-11-29,433.4500,435.3000,419.5000,421.6000,888097
2023-11-30,423.0500,430.0000,421.0000,422.9000,1144511
2023-12-01,424.8000,428.8000,414.0000,415.2500,1375468
2023-12-04,422.0000,442.4000,413.0000,417.9000,8079317
2023-12-05,428.9000,460.5000,427.3500,448.3500,16842137
2023-12-06,459.7500,459.7500,429.0000,439.6000,12277337
2023-12-07,440.9500,456.0000,440.1000,452.2000,3593791
2023-12-08,458.0000,487.0000,453.2000,465.3000,22294149
2023-12-11,465.0500,480.8000,460.9000,468.5500,8445505
2023-12-12,471.1500,472.7000,460.0000,465.5000,5247273
2023-12-13,464.8000,473.8000,460.1500,464.6500,2896549
2023-12-14,467.7000,506.0000,464.0500,501.3500,14075384
2023-12-15,506.0000,518.5000,497.0500,514.1000,12649409
2023-12-18,509.7500,512.7500,491.4500,494.5500,3975999
2023-12-19,497.0000,509.4000,486.2500,500.6000,6348387
2023-12-20,504.4000,521.4000,480.3000,499.8000,9302046
2023-12-21,489.8500,500.0000,475.8000,493.6000,8543540
2023-12-22,502.0000,512.9000,494.0000,506.4000,6871825
2023-12-26,511.5000,518.2000,498.6000,503.3500,3651075
2023-12-27,504.4000,514.0000,498.6000,508.7500,18439691
2023-12-28,507.0000,515.8000,500.7000,512.8500,6211831
2023-12-29,520.0000,525.3000,505.1500,511.0000,8136438
2024-01-01,514.0000,514.7500,505.3000,509.8500,3015852
2024-01-02,512.0000,512.5500,496.9000,502.0500,2372316
2024-01-03,503.9000,505.0000,497.5000,499.4000,1437262
2024-01-04,500.9500,532.9000,500.9500,524.4000,8723012
2024-01-05,537.0000,566.4000,530.6000,560.2500,12859232
2024-01-08,564.9500,575.0000,540.5000,543.2000,16431835
2024-01-09,549.0000,556.3000,531.3000,540.8500,12229529
2024-01-10,543.9000,544.6000,533.2000,536.9500,3377848
2024-01-11,539.2000,546.0000,537.1000,541.8500,3127050
2024-01-12,545.0000,564.5000,537.1500,562.1500,8382631
2024-01-15,564.0000,564.9000,541.2500,545.2500,4130359
2024-01-16,545.2000,552.3000,531.5000,541.6500,3433178
2024-01-17,530.0000,546.4000,528.4000,539.2500,3016675
2024-01-18,536.1000,552.6000,525.8000,549.1500,3195368
2024-01-19,556.0000,590.9500,551.8000,584.9500,9583379
2024-01-23,606.0000,612.1000,571.1000,583.7500,5673233
2024-01-24,581.7000,586.0000,566.3500,579.6000,4973130
2024-01-25,582.9500,617.9000,582.7000,609.2000,6518078
2024-01-29,610.5000,620.9000,594.0000,607.2500,7909487
2024-01-30,613.0000,631.0000,605.0000,622.4500,8660105
2024-01-31,623.0000,641.9000,616.0000,639.0500,8745894
2024-02-01,660.0000,665.9500,643.2500,649.2000,6454725
2024-02-02,656.0000,693.7000,648.0000,686.9000,16657700
2024-02-05,686.9000,698.7500,671.5000,676.2000,4033116
2024-02-06,677.5000,685.0000,666.0500,673.6000,2618820
2024-02-07,670.1000,675.7500,656.2500,661.0500,1305273
2024-02-08,664.0000,684.8000,652.3500,658.4500,3470007
2024-02-09,662.0000,711.4000,653.2000,708.2000,12687415
2024-02-12,709.2500,720.0000,677.6500,694.7000,5327006
2024-02-13,699.0000,713.9000,678.0500,709.1000,3367363
2024-02-14,697.5000,722.2000,695.0000,719.1000,4218962
2024-02-15,726.0000,741.0000,723.0500,737.4000,6000183
2024-02-16,745.0500,764.2500,716.6000,729.1500,5602826
2024-02-19,716.0000,736.8000,711.3500,728.4500,2972231
2024-02-20,731.9500,756.0000,729.2500,751.3000,3093865
2024-02-21,759.9000,762.6000,706.1000,710.9000,5195671
2024-02-22,711.0000,725.4000,701.4000,722.2000,2783832
2024-02-23,722.2000,740.0000,717.8000,736.5000,1838669
2024-02-26,741.0000,744.1000,724.1500,729.4000,1355242
2024-02-27,734.9500,782.2500,734.9000,753.0500,9240047
2024-02-28,763.9000,763.9000,714.0000,721.4500,2671462
2024-02-29,720.0000,749.9500,708.7500,745.2000,5294963
2024-03-01,751.8500,772.8000,746.5000,762.2000,5818342
2024-03-04,745.0000,747.3500,711.3500,728.1000,9447771
2024-03-05,735.0000,739.7000,720.0000,723.0500,1787654
2024-03-06,724.0000,730.0000,678.1000,696.6500,5402749
2024-03-07,699.0000,702.4000,683.0000,686.8500,1571904
2024-03-11,692.0000,697.7500,664.6000,669.8500,3019947
2024-03-12,669.8500,675.6500,535.9000,546.0000,16305187
2024-03-13,551.0000,609.8000,437.1000,473.9000,26497759
2024-03-14,492.0000,521.2500,476.2000,521.2500,6585036
2024-03-15,550.0000,572.6000,532.4500,569.3000,12599099
2024-03-18,580.0000,587.0000,542.5500,563.0500,4253422
2024-03-19,567.0000,586.2500,563.6000,580.2000,3049450
2024-03-20,581.4500,599.0000,578.1000,590.7000,2995293
2024-03-21,598.1000,628.9000,598.1000,621.9000,2718855
2024-03-22,624.4000,669.0000,622.8500,665.3500,3253949
2024-03-26,666.6500,677.9000,644.1000,650.9000,2315592
2024-03-27,653.9000,670.6500,642.4000,664.7000,2009154
2024-03-28,666.0000,675.0000,655.0500,669.9500,1751032
2024-04-01,674.0000,680.0000,666.0000,674.3500,1150319
2024-04-02,673.1000,680.0000,665.0000,672.1500,801638
2024-04-03,670.0000,687.0000,668.0000,674.1500,1448171
2024-04-04,678.0000,679.7000,647.1500,657.1500,1697141
2024-04-05,658.9000,683.0000,648.2500,674.9000,3197203
2024-04-08,681.5000,684.7000,660.1000,666.2500,1393520
2024-04-09,673.0000,678.7000,651.2500,662.6500,1065168
2024-04-10,662.9500,677.4500,658.3500,663.9000,958094
2024-04-12,665.9500,673.3000,648.2500,651.3500,1703779
2024-04-15,631.0500,643.8000,625.1000,628.8500,1279082
2024-04-16,627.8000,639.8000,622.3000,632.8500,1034308
2024-04-18,633.6000,641.8000,612.1000,616.5000,984081
2024-04-19,598.0500,624.9500,598.0000,616.2500,1129319
2024-04-22,622.0000,633.0000,613.5500,622.4000,930841
2024-04-23,625.0000,631.0000,611.2500,616.4000,1025008
2024-04-24,619.0000,625.1000,606.1000,610.0500,1390566
2024-04-25,611.6500,620.1000,600.0500,615.1000,1094293
2024-04-26,620.7000,625.0000,610.2500,613.6500,733871
2024-04-29,617.0000,620.8000,598.5000,617.2000,876522
2024-04-30,624.0000,641.9000,618.5000,620.4000,1943528
2024-05-02,627.0000,627.7000,603.7500,606.5500,1109159
2024-05-03,612.4000,613.8500,580.2500,593.6500,1939191
2024-05-06,588.0000,588.9000,567.8500,571.2000,2338059
2024-05-07,570.0000,576.6000,553.0000,561.6500,2249481
2024-05-08,556.5000,572.8500,548.6500,565.3000,1722807
2024-05-09,564.2000,568.8000,537.0500,537.9500,1812358
2024-05-10,540.1000,545.5000,524.3500,529.1500,1165286
2024-05-13,531.9500,547.7000,503.2500,535.3500,1415860
2024-05-14,539.9000,562.1000,536.5500,562.1000,708503
2024-05-15,576.9000,590.2000,573.3500,582.3000,2553115
2024-05-16,583.0000,587.7000,571.7000,582.5000,1097314
2024-05-17,584.0000,609.2000,584.0000,599.2000,1760434
2024-05-21,605.0000,608.4000,591.5000,598.2000,975839
2024-05-22,604.9000,616.7000,593.0000,602.5000,1586277
2024-05-23,603.9000,610.2500,597.5500,601.6500,672800
2024-05-24,599.5500,631.0000,599.5500,630.5500,3072753
2024-05-27,639.7000,648.0000,614.0000,637.8000,2526585
2024-05-28,640.9500,644.5000,620.0000,621.1500,1223364
2024-05-29,619.5000,629.5000,609.0000,622.7000,1081894
2024-05-30,611.0000,624.3000,598.0000,605.0000,1169643
2024-05-31,574.7500,574.7500,574.7500,574.7500,580372
2024-06-03,599.9500,603.4500,558.0000,597.2000,4323788
2024-06-04,593.7500,593.7500,567.3500,567.3500,2110292
2024-06-05,539.0000,563.2000,539.0000,547.4000,3165615
2024-06-06,558.0000,574.7500,552.6500,573.7500,2764976
2024-06-07,580.0000,593.7000,563.0000,588.7000,2140154
2024-06-10,587.8000,618.1000,585.7000,616.7500,2523126
2024-06-11,619.5000,628.1500,602.8000,606.1500,1358342
2024-06-12,608.0000,617.0000,596.9000,600.7000,997754
2024-06-13,604.4500,617.0000,593.0500,614.6500,1714290
2024-06-14,616.0000,641.2000,608.9000,637.2500,2364389
2024-06-18,642.0000,668.0000,640.1000,662.5500,3250348
2024-06-19,667.0000,670.0000,640.0000,657.0500,2086733
2024-06-20,659.0000,664.0000,645.0000,650.6000,1147529
2024-06-21,653.0000,664.7000,639.2500,656.8500,3968077
2024-06-24,631.0000,635.1500,624.0000,624.7500,2792204
2024-06-25,633.4500,641.9000,620.1000,627.7500,943382
2024-06-26,632.4000,632.4000,612.0000,618.3000,683362
2024-06-27,619.8000,620.2000,587.4000,593.1000,1902812
2024-06-28,593.4000,599.0000,583.6000,586.9000,1566142
2024-07-01,587.9500,616.2000,587.5000,614.3000,1229532
2024-07-02,620.2500,634.0000,615.0000,619.9500,1142755
2024-07-03,623.9500,624.5000,613.9000,617.6000,721663
2024-07-04,620.9000,634.0000,616.8500,628.2500,1734727
2024-07-05,634.0000,659.6500,634.0000,659.6500,2051338
2024-07-08,692.6000,692.6000,692.6000,692.6000,381237
2024-07-09,727.2000,727.2000,727.2000,727.2000,359428
2024-07-10,745.0000,747.7000,696.7500,721.7500,9650607
2024-07-11,734.8500,740.8000,723.1000,731.3000,3419146
2024-07-12,736.0000,744.6000,709.8000,717.9000,2536413
2024-07-15,729.7000,730.0000,702.0000,703.7000,1687218
2024-07-16,709.9000,730.0000,701.2000,720.9000,2071718
2024-07-18,724.8500,728.3000,702.3500,709.7500,1680040
2024-07-19,710.0000,716.7000,687.2000,690.4000,1381482
2024-07-22,680.1000,698.7000,678.6000,684.9500,1785886
2024-07-23,686.4000,698.0000,650.7000,669.1000,2272662
2024-07-24,675.0000,702.5500,672.5000,702.5500,1219239
2024-07-25,709.0000,733.6500,696.0000,730.8000,4937679
2024-07-26,735.0500,744.8000,727.5000,731.6500,1901397
2024-07-29,738.0000,744.1000,725.1000,734.7500,1200483
2024-07-30,738.7000,739.7000,717.1500,723.1500,838466
2024-07-31,730.0000,759.3000,714.1000,757.7500,5187354
2024-08-01,755.9500,764.4000,721.8000,729.1500,3123293
2024-08-02,715.0000,740.0000,708.0500,720.2000,1700314
2024-08-05,690.9500,700.0000,684.2000,684.2000,1197032
2024-08-06,695.0000,706.8000,651.6500,655.4000,2167918
2024-08-07,677.5000,685.7000,663.0000,682.0000,1230396
2024-08-08,683.2000,710.7000,670.5500,680.3500,2396984
2024-08-09,688.7000,703.0000,685.2000,688.8500,1154866
2024-08-12,688.0000,706.9000,678.5000,685.5500,1283065
2024-08-13,687.5000,699.0000,675.2500,683.0000,1860939
2024-08-14,687.8000,705.2000,667.1000,673.3000,4391478
2024-08-16,690.0000,693.9000,674.2000,680.1000,1634606
2024-08-19,688.0000,688.3000,677.6000,681.2000,913077
2024-08-20,685.5000,686.0000,676.0000,678.9500,736715
2024-08-21,682.0000,718.8500,681.0500,698.0000,4927442
2024-08-22,702.5000,703.0000,683.0000,688.0000,1768261
2024-08-23,691.0000,705.0000,685.9000,699.9000,2317923
2024-08-26,712.9500,714.0000,691.5000,693.1500,1676989
2024-08-27,702.0000,702.0000,682.0000,684.5500,1122901
2024-08-28,690.0000,697.0000,670.0000,673.7000,1228760
2024-08-29,680.0000,686.0000,668.1000,674.7500,2104619
2024-08-30,680.0000,680.9500,668.0000,677.4000,793760
2024-09-02,680.9000,687.2000,660.3000,661.9500,1352951
2024-09-03,668.0000,669.0000,656.0000,659.7500,714120
2024-09-04,656.0000,666.0000,647.0500,649.7500,1121830
2024-09-05,657.2000,657.2000,642.0000,646.5500,1108431
2024-09-06,646.0000,648.0000,620.0000,623.4000,1209714
2024-09-09,623.0000,625.0000,605.5000,615.7500,1610991
2024-09-10,618.4000,640.2500,617.7500,635.1500,1444502
2024-09-11,634.8500,634.8500,606.9500,612.5500,1305799
2024-09-12,616.9000,622.7000,608.5000,613.5000,1188627
2024-09-13,615.4000,630.5000,615.0000,617.2000,921093
2024-09-16,617.2500,622.0000,608.4000,611.0000,974736
2024-09-17,614.9000,614.9000,595.8000,599.3000,1357304
2024-09-18,600.0000,606.3000,582.8000,589.2000,1236466
2024-09-19,595.2500,598.5000,569.7000,573.6000,1228448
2024-09-20,578.5000,604.9500,575.7000,596.0500,1879450
2024-09-23,600.9000,604.7000,592.2000,593.8000,847709
2024-09-24,590.0500,597.5000,579.5500,583.3000,1073456
2024-09-25,583.3000,584.4500,565.0000,567.7000,1150191
2024-09-26,573.3000,624.4500,568.3500,592.6000,7411272
2024-09-27,594.0000,596.7000,578.6000,581.8000,1217419
2024-09-30,586.2500,586.5000,566.9000,577.3000,1623280
2024-10-01,583.2000,589.0500,566.0000,567.7000,1068308
2024-10-03,560.2500,572.5000,553.0000,559.3000,1303750
2024-10-04,566.0000,573.9000,551.0000,554.5500,1957553
2024-10-07,555.7500,558.8000,515.0000,518.7000,1424607
2024-10-08,515.0000,555.0000,509.5500,547.5000,1975313
2024-10-09,549.5000,576.8000,546.0500,559.0000,1717936
2024-10-10,562.4500,566.9000,553.3000,558.1500,1021269
2024-10-11,556.9500,574.3000,553.2000,569.4500,1085368
2024-10-14,571.0000,571.9500,556.4500,560.8000,743575
2024-10-15,560.4500,565.9500,555.1500,561.5000,751289
2024-10-16,560.8000,571.1000,551.2500,554.8000,884906
2024-10-17,554.8000,555.7000,536.5500,538.5000,656182
2024-10-18,536.0000,547.4500,526.6500,540.2500,859926
2024-10-21,541.0000,543.2000,518.6500,520.6500,947078
2024-10-22,522.9000,522.9000,483.2000,486.4500,1929361
2024-10-23,490.0500,498.7500,476.1000,484.1000,1367712
2024-10-24,489.0000,493.2000,474.8000,478.5000,1396105
2024-10-25,481.9500,486.0000,455.7000,465.2500,1564982
2024-10-28,475.0000,489.4000,464.2000,481.9000,1201316
2024-10-29,478.5000,497.4000,471.1000,492.5500,1132376
2024-10-30,488.5000,511.5000,486.9500,499.4000,1478051
2024-10-31,495.1000,504.8000,492.8500,499.8000,1155175
2024-11-01,504.0000,504.9000,498.0000,500.7000,345781
2024-11-04,497.5500,499.9500,480.0000,484.1500,749923
2024-11-05,478.0000,499.0000,478.0000,495.7500,1066553
2024-11-06,500.4500,504.4500,492.0000,495.9000,986932
2024-11-07,493.9500,569.6000,492.6000,535.9000,26645059
2024-11-08,535.1500,547.6500,520.0000,525.2000,4836967
2024-11-11,521.0000,557.7000,511.9000,527.4000,6759355
2024-11-12,530.0500,555.5500,522.6000,536.2500,4733745
2024-11-13,530.8000,544.7000,501.7500,506.5500,3078510
2024-11-14,510.7000,534.0000,506.1000,510.9500,4337575
2024-11-18,484.0500,552.7000,477.0000,545.4000,11039748
2024-11-19,550.9000,560.0000,534.1000,539.3000,5338981
2024-11-21,534.0000,547.6500,525.2000,528.0000,2867086
2024-11-22,531.1500,594.4000,518.5000,586.8000,12060786
2024-11-25,610.0000,620.7000,593.0000,597.1000,9259313
2024-11-26,601.7000,632.0000,593.0500,616.7000,5334594
2024-11-27,620.0000,628.9000,608.1000,612.4000,2852655
2024-11-28,612.0000,623.8000,604.3500,614.9000,2512265
2024-11-29,612.0000,620.7500,607.4000,610.9500,2046332
2024-12-02,608.0000,642.0000,607.0000,636.6500,5354759
2024-12-03,639.0000,645.5000,627.2000,631.4500,2147054
2024-12-04,631.5000,728.7000,626.8500,709.4000,31479900
2024-12-05,716.5500,737.2000,701.2000,705.4000,12644807
2024-12-06,712.0000,736.0000,701.6500,720.9000,7414938
2024-12-09,725.9500,727.9000,708.0500,710.3500,2195529
2024-12-10,710.3500,747.3000,705.0500,715.3000,8285293
2024-12-11,719.0000,796.7000,719.0000,780.4000,31005827
2024-12-12,781.9000,792.0000,760.0500,764.1500,7800471
2024-12-13,756.0000,804.4000,742.1000,787.1500,13049871
2024-12-16,781.9000,809.8000,777.0500,781.7000,7588279
2024-12-17,779.0000,802.5000,773.2000,777.6000,5100628
2024-12-18,781.5000,807.5000,774.0000,781.8500,13747276
2024-12-19,759.0000,782.9500,757.4500,760.9000,4808529
2024-12-20,765.1000,788.0000,736.8500,740.2000,7201613
2024-12-23,749.0000,757.0000,727.2500,730.5000,3139803
2024-12-24,734.8000,748.0000,722.4500,729.7500,2206677
2024-12-26,734.7500,735.7000,709.1000,715.8000,3173602
2024-12-27,720.0000,745.7000,708.2000,737.2000,4681367
2024-12-30,738.0000,746.7000,709.6500,714.6000,2628679
2024-12-31,710.0000,724.7000,706.6500,719.2000,2034468
2025-01-01,722.0000,738.4000,718.2500,719.8000,1926380
2025-01-02,724.8000,756.4000,719.0000,742.6500,5307966
2025-01-03,745.2500,771.4000,741.8000,754.9000,4879742
2025-01-06,755.0500,756.6500,693.5500,697.8500,4117595
2025-01-07,701.3500,733.3000,701.3500,726.3000,3454109
2025-01-08,724.9000,725.4000,686.6500,696.8500,2989031
2025-01-09,698.0000,702.7000,670.8000,673.5500,1808124
2025-01-10,673.7000,676.7500,643.3500,649.5000,2430855
2025-01-13,636.0000,646.3000,596.1000,601.5000,2989250
2025-01-14,608.0000,644.9000,608.0000,639.5000,4045780
2025-01-15,644.8000,662.6000,636.3500,648.0000,3735978
2025-01-16,670.0500,688.9500,656.9500,684.6500,4370004
2025-01-17,692.0000,702.0000,667.0000,684.9500,4963286
2025-01-20,689.8000,689.8000,636.1500,639.3000,4211724
2025-01-21,640.4500,646.1500,625.0000,629.5000,2514460
2025-01-22,630.0000,630.4000,597.0500,610.3000,2665144
2025-01-23,603.0000,617.3500,593.8500,599.1500,1496619
2025-01-24,600.6000,612.9500,583.1500,589.5000,2630480
2025-01-27,566.3500,570.0000,533.2000,536.3500,3518593
2025-01-28,535.9000,548.4000,512.1000,530.0500,3721179
2025-01-29,542.6500,579.0000,533.5500,555.7000,5185016
2025-01-30,555.7500,562.5000,531.3500,534.0500,1558465
2025-01-31,537.0000,556.5000,528.6500,551.3500,1765948
2025-02-01,551.3500,573.8000,545.4000,564.3500,2327042
2025-02-03,548.1500,551.0000,532.0500,543.6500,1382911
2025-02-04,548.2500,557.8500,535.1000,536.9000,1139985
2025-02-05,540.0000,556.7500,539.9000,546.5500,1028401
2025-02-06,546.4500,551.6500,535.4000,543.5500,1195166
