date,open,high,low,close,volume
2023-09-26,880.0500,887.3000,874.0000,875.3000,22124
2023-09-27,875.3000,879.0500,872.5000,877.0500,14630
2023-09-28,877.0500,889.6500,875.7500,883.8000,54292
2023-09-29,888.2500,888.2500,877.0000,879.9500,12208
2023-10-03,884.3500,884.3500,873.2500,880.7000,19845
2023-10-04,870.8500,881.9500,870.5000,872.4500,22958
2023-10-05,876.8000,880.0000,870.9500,876.9000,15519
2023-10-06,879.9000,880.8500,870.0000,872.0500,16654
2023-10-09,866.0000,869.8500,860.1500,864.5500,17345
2023-10-10,864.9500,868.8500,859.0000,861.0500,18857
2023-10-11,861.9500,880.0000,860.2500,869.3500,28975
2023-10-12,870.0000,874.7000,864.0000,867.3000,20918
2023-10-13,863.1500,873.6000,863.0000,867.5500,20508
2023-10-16,871.9000,873.4500,864.0000,868.2500,16918
2023-10-17,869.0000,874.0000,864.0000,869.4500,23382
2023-10-18,866.0500,872.2500,825.0000,837.5000,117824
2023-10-19,837.0000,852.9500,833.0500,851.5000,37873
2023-10-20,851.9000,857.9500,848.0000,853.0000,21457
2023-10-23,853.5000,859.7000,843.0500,845.8000,24602
2023-10-25,845.1000,853.9500,843.2000,847.7000,29509
2023-10-26,840.0000,855.0000,825.0000,835.9500,108688
2023-10-27,838.5000,850.8000,833.0500,846.7500,26379
2023-10-30,844.0000,850.7500,839.2500,846.1000,11492
2023-10-31,854.5500,854.5500,838.3500,843.5500,19482
2023-11-01,843.6500,855.9000,830.5000,833.1000,32205
2023-11-02,837.9500,848.9500,835.0500,841.9000,16047
2023-11-03,842.0000,849.8000,840.0000,846.9500,19534
2023-11-06,851.2000,864.9500,845.7000,860.7500,24137
2023-11-07,868.0000,870.0000,855.0000,865.8000,25166
2023-11-08,865.1500,880.9500,860.7000,868.6500,30222
2023-11-09,873.0000,876.9500,865.2000,869.8500,14131
2023-11-10,875.0000,875.0000,863.1000,869.5000,13529
2023-11-13,871.7500,876.8500,867.0000,874.7000,17536
2023-11-15,880.5000,880.8500,873.1500,879.1000,22153
2023-11-16,882.0000,884.9500,874.0500,877.2500,24115
2023-11-17,874.8000,879.5000,868.3000,871.1000,15748
2023-11-20,875.7000,875.7000,866.0000,869.1000,16086
2023-11-21,869.4000,883.7500,869.4000,874.0500,27439
2023-11-22,870.2500,879.0500,870.2500,872.8000,16473
2023-11-23,871.5000,875.9500,870.0000,872.5500,15839
2023-11-24,875.8000,877.7500,866.0000,871.3000,19420
2023-11-28,874.0000,875.9500,866.3000,868.9500,16587
2023-11-29,868.9500,872.3000,865.0000,866.3500,19786
2023-11-30,866.4500,868.0500,859.1000,862.0500,27406
2023-12-01,865.0000,874.2000,860.5000,870.4500,22467
2023-12-04,894.7000,894.7000,872.0000,878.1000,67656
2023-12-05,885.0000,887.8000,876.0000,885.2500,33354
2023-12-06,888.0000,891.9000,875.0000,885.4000,38055
2023-12-07,885.5500,892.0000,875.6000,888.2500,35005
2023-12-08,888.2500,895.4500,881.0000,883.8000,71267
2023-12-11,885.0000,886.4500,878.4000,880.9000,28503
2023-12-12,880.9500,891.0000,874.2000,885.5500,51193
2023-12-13,891.9500,894.0000,871.0500,873.9500,42936
2023-12-14,878.0000,879.6500,872.0500,874.7500,43119
2023-12-15,874.7500,878.8000,872.1000,873.7000,26342
2023-12-18,878.0500,890.6000,866.1000,873.5000,89813
2023-12-19,874.0000,886.0000,871.5500,875.9500,74438
2023-12-20,880.3000,897.0000,870.7000,876.7500,767847
2023-12-21,876.7500,885.0000,875.0000,877.3000,74583
2023-12-22,879.0500,883.3500,874.0500,878.1500,47837
2023-12-26,878.9500,895.0000,877.3500,884.0500,82080
2023-12-27,886.0000,891.1500,882.2000,886.0000,65999
2023-12-28,890.4000,891.0000,873.0000,875.8000,174136
2023-12-29,879.8500,888.0000,871.0000,876.0000,63747
2024-01-01,877.0000,883.9500,873.9000,878.8500,40043
2024-01-02,883.2500,913.9500,879.1000,899.0000,554155
2024-01-03,907.1500,929.8000,902.0000,913.8500,312152
2024-01-04,927.9000,927.9000,911.1500,912.4000,122399
2024-01-05,921.4000,924.0000,906.6500,917.8500,107096
2024-01-08,925.0000,925.0000,905.0000,908.7000,97497
2024-01-09,917.0000,917.0000,903.8500,906.2500,52405
2024-01-10,905.8000,913.4500,904.0000,909.5500,63777
2024-01-11,913.6500,945.0000,910.3000,934.1500,211705
2024-01-12,938.8500,954.0000,930.0000,932.3000,139782
2024-01-15,940.0000,947.6000,926.0000,932.4000,113240
2024-01-16,937.1000,950.0000,918.5500,939.0000,156131
2024-01-17,920.1000,937.9500,920.1000,929.2000,133307
2024-01-18,929.2000,941.6500,905.1000,929.1000,108083
2024-01-19,935.7000,940.8500,925.0000,931.3000,73394
2024-01-23,950.0000,950.3500,913.8500,917.4000,107704
2024-01-24,917.4000,939.3000,911.5500,935.2000,76437
2024-01-25,935.0000,942.0000,926.6000,929.4500,44245
2024-01-29,931.5000,939.6500,922.0000,924.8500,91172
2024-01-30,926.0000,944.4500,925.1500,931.7500,155952
2024-01-31,925.0000,976.0000,925.0000,940.7000,221780
2024-02-01,949.0000,949.5000,932.0000,939.4500,65526
2024-02-02,948.0000,948.3500,935.0000,937.8500,78123
2024-02-05,937.8500,945.0000,930.6000,936.3500,77883
2024-02-06,942.9500,955.0000,936.6000,944.0500,128028
2024-02-07,948.8000,963.3500,941.4000,943.7000,59908
2024-02-08,946.5500,949.4000,933.3000,940.6000,59049
2024-02-09,940.6000,948.2000,912.8500,915.0000,110245
2024-02-12,926.9500,929.9500,906.0000,926.1000,60329
2024-02-13,926.1500,935.0000,910.0000,914.0500,61163
2024-02-14,908.0500,923.0000,906.0000,920.7500,40725
2024-02-15,920.7500,926.4500,911.0000,913.3500,50270
2024-02-16,915.0500,921.9500,910.6000,912.9500,51912
2024-02-19,918.9500,932.4500,916.0500,925.2000,51575
2024-02-20,927.0000,935.0000,917.3500,925.3000,57806
2024-02-21,929.9500,931.9500,916.0000,920.0000,33258
2024-02-22,923.0000,925.1000,912.0500,916.7000,27875
2024-02-23,916.1500,925.0000,915.0500,916.9000,39395
2024-02-26,925.0000,929.9500,910.5500,912.2000,44686
2024-02-27,919.0000,923.0000,906.0000,907.2000,49604
2024-02-28,913.4500,914.2000,890.0000,897.5000,71215
2024-02-29,890.0000,898.0000,880.5500,885.1000,85024
2024-03-01,889.5500,907.9500,889.5500,898.0000,53003
2024-03-04,922.0000,922.0000,909.8000,911.2000,39309
2024-03-05,913.9500,915.0000,898.7500,902.5000,39733
2024-03-06,899.2500,899.2500,875.0500,878.6000,76231
2024-03-07,879.9000,888.8500,879.5500,883.0000,29198
2024-03-11,887.9000,895.0000,872.2500,875.5500,47134
2024-03-12,875.0000,883.8500,851.0000,858.2500,70997
2024-03-13,862.5000,865.9500,826.0000,830.6500,62908
2024-03-14,828.0000,834.0500,821.2500,829.5500,115444
2024-03-15,830.0000,853.2000,825.1000,828.3000,74034
2024-03-18,834.4000,839.9500,827.3000,832.3500,64515
2024-03-19,833.0000,836.9000,828.5000,829.7000,32996
2024-03-20,833.8000,834.6000,820.0000,822.7500,43754
