date,open,high,low,close,volume
2023-09-25,189.7500,199.0800,189.4100,194.6100,269540
2023-09-26,195.8600,196.6000,191.1000,193.0100,92655
2023-09-27,194.3600,204.6000,191.4100,201.2500,274430
2023-09-28,206.0000,212.1000,203.2400,208.0000,586220
2023-09-29,210.8000,213.9800,208.0100,209.1800,244135
2023-10-03,213.0100,214.0000,210.0000,210.7500,163685
2023-10-04,211.0000,211.0000,206.0100,207.2900,187170
2023-10-05,211.2000,212.6900,208.0000,210.0500,132765
2023-10-06,211.5700,213.5900,210.0000,211.8100,115345
2023-10-09,204.8100,208.0000,200.6400,201.2000,243520
2023-10-10,204.1100,207.7400,203.7900,206.5600,111685
2023-10-11,207.6000,209.0000,205.5100,207.4100,106375
2023-10-12,207.9700,213.0000,207.9700,209.2200,115890
2023-10-13,208.3900,222.5700,205.4000,213.9600,567000
2023-10-16,215.7600,222.1900,215.7600,218.1100,325135
2023-10-17,218.2000,228.0000,218.2000,225.0600,489940
2023-10-18,229.6000,231.5800,225.2500,228.6400,374120
2023-10-19,229.6000,230.0000,223.3800,227.0000,195135
2023-10-20,226.9800,228.8000,220.4000,221.2300,179165
2023-10-23,222.6000,223.5000,204.2600,206.1900,310340
2023-10-25,210.0000,214.7300,193.2400,198.0900,470905
2023-10-26,196.4100,211.9400,191.0100,209.5300,413810
2023-10-27,213.3000,251.4500,213.3000,251.4500,1099136
2023-10-30,263.0000,264.0000,232.1000,236.1000,1154833
2023-10-31,243.1500,245.3500,225.9000,227.6500,480524
2023-11-01,230.0000,230.0000,217.0000,218.7500,302434
2023-11-02,219.9500,235.0000,217.0000,227.0000,646832
2023-11-03,232.8500,234.5500,228.7000,230.2500,222667
2023-11-06,233.2500,238.2500,230.1000,231.7000,275119
2023-11-07,233.7000,235.0000,227.6000,233.0500,167409
2023-11-08,234.5500,247.7000,230.9500,240.7000,649489
2023-11-09,244.9500,253.8500,240.0000,241.2000,467941
2023-11-10,242.7000,243.8000,235.4000,238.6500,153848
2023-11-13,243.5000,251.0000,241.2500,245.8000,258480
2023-11-15,247.2500,253.0000,241.5000,243.7500,196459
2023-11-16,244.9000,244.9500,235.1000,236.9000,177856
2023-11-17,235.5000,241.8500,234.0000,234.7500,150372
2023-11-20,253.4500,281.7000,250.0000,281.7000,2795304
2023-11-21,296.6000,333.0000,296.6000,323.6500,3776745
2023-11-22,335.5000,346.9500,308.3500,314.0500,1798626
2023-11-23,315.0000,323.0000,303.0500,313.4500,498669
2023-11-24,318.9000,318.9000,305.0000,306.7500,252623
2023-11-28,312.9000,315.0000,299.0000,303.9500,206236
2023-11-29,303.9500,310.0000,290.0000,293.8500,117752
2023-11-30,287.3000,297.9500,282.0000,291.1000,127527
2023-12-01,298.0000,302.0000,288.0000,297.8500,79350
2023-12-04,308.8000,310.0000,295.0000,303.0500,161147
2023-12-05,305.0000,305.0000,287.9000,297.4500,168588
2023-12-06,296.8000,301.9000,288.0000,296.8500,83264
2023-12-07,296.4500,303.0000,293.2500,300.7000,91695
2023-12-08,300.9000,305.0000,299.0000,301.5500,84877
2023-12-11,307.0000,308.0000,300.0000,302.7000,66240
2023-12-12,307.6500,309.9500,305.0000,306.9500,101319
2023-12-13,312.8000,314.0000,307.0000,309.4500,91758
2023-12-14,313.9500,313.9500,303.0000,304.0500,83298
2023-12-15,306.7000,309.9000,301.0000,304.9500,43520
2023-12-18,307.7500,308.0000,301.0000,302.5500,58993
2023-12-19,302.0000,306.0000,299.0500,299.8500,59426
2023-12-20,300.0000,304.0000,285.0000,288.7000,98476
2023-12-21,285.0500,299.9500,275.1000,296.8000,88834
2023-12-22,301.0000,306.0000,300.0000,303.6000,76739
2023-12-26,311.0000,314.0000,300.0000,303.9500,90515
2023-12-27,306.8000,306.8000,296.0000,300.2000,59542
2023-12-28,301.0000,304.7000,297.0000,299.1000,48404
2023-12-29,300.0000,303.0000,294.5000,298.9000,59935
2024-01-01,299.9500,302.0000,289.0000,295.1000,137850
2024-01-02,295.1000,296.7000,288.0000,293.3000,90233
2024-01-03,294.0000,300.0000,291.0500,298.9500,110459
2024-01-04,304.9500,306.0000,300.0500,302.4000,75298
2024-01-05,304.0000,304.9000,296.5000,300.0000,50370
2024-01-08,296.3000,299.7500,292.5500,295.9000,75460
2024-01-09,298.7500,308.0000,295.0000,296.4500,54911
2024-01-10,292.4000,295.0000,287.0000,289.5000,99568
2024-01-11,289.7500,293.4000,285.1000,289.5000,74779
2024-01-12,290.3000,290.3000,286.0500,288.8000,54429
2024-01-15,290.0000,291.0000,286.5000,287.9000,68872
2024-01-16,288.0000,294.9500,285.0000,287.9500,92850
2024-01-17,285.0000,288.0000,282.4000,284.4000,49298
2024-01-18,285.0000,290.0000,270.2000,281.0000,60232
2024-01-19,280.5500,291.9000,275.0000,281.6500,42737
2024-01-23,273.0000,278.5000,264.6000,265.9500,144011
2024-01-24,266.0000,270.0000,260.0000,261.0500,99016
2024-01-25,261.0500,274.1000,258.0500,274.1000,73190
2024-01-29,284.0000,284.0000,269.0000,270.4000,76262
2024-01-30,269.9500,282.6000,263.8500,271.4500,68053
2024-01-31,278.0000,280.0000,266.2500,277.6000,70663
2024-02-01,279.9500,279.9500,270.6000,273.0500,28572
2024-02-02,279.3000,279.3000,268.0500,269.2500,46410
2024-02-05,272.8500,275.0000,267.6000,272.6500,64916
2024-02-06,275.4500,279.0000,271.0000,272.3000,49095
2024-02-07,276.6500,285.9000,270.0000,285.9000,118476
2024-02-08,299.8000,300.1500,294.0000,300.0500,286637
2024-02-09,308.0000,309.3000,285.0500,287.1500,212457
2024-02-12,291.9500,292.5000,272.8000,275.8000,101515
2024-02-13,277.9500,284.9500,267.0000,278.7500,71814
2024-02-14,278.0500,292.6000,271.0000,289.0500,132543
