date,open,high,low,close,volume
2023-09-22,871.0000,889.8500,870.0500,877.7500,1518828
2023-09-25,881.9500,905.6000,870.5500,900.6000,2700627
2023-09-26,907.6000,909.9000,891.5000,895.2000,2064298
2023-09-27,899.0000,904.0000,886.9000,888.8500,1233749
2023-09-28,894.8000,896.0000,870.1000,876.5000,1801983
2023-09-29,885.9000,885.9000,873.7000,876.9000,817204
2023-10-03,870.0000,879.5500,864.1000,871.9000,1183376
2023-10-04,867.0000,869.8500,855.0000,864.7500,623081
2023-10-05,866.0500,869.2500,857.5000,860.2000,749977
2023-10-06,861.0000,877.5000,861.0000,874.7500,960117
2023-10-09,868.0000,883.8500,866.8000,880.6500,1200788
2023-10-10,885.0000,892.4000,881.7500,888.7500,870512
2023-10-11,895.0000,897.2000,886.2000,888.4000,1062565
2023-10-12,888.9000,894.1500,883.2000,892.3500,775364
2023-10-13,890.2500,918.0000,888.8500,913.3500,5120134
2023-10-16,917.8000,917.8000,906.0500,908.6000,1524935
2023-10-17,912.0500,928.0000,905.1500,907.8500,3228492
2023-10-18,912.4500,915.0000,892.1000,895.7000,1218914
2023-10-19,896.0000,900.4000,879.0500,895.4000,1430475
2023-10-20,891.9500,901.8000,888.6500,898.9500,2295312
2023-10-23,898.7500,906.0500,880.2500,883.1000,973113
2023-10-25,883.3000,894.4500,882.3500,890.0000,1531972
2023-10-26,883.2500,886.9500,872.0000,880.3500,1966650
2023-10-27,880.0000,894.5000,876.0000,891.1000,797507
2023-10-30,886.0000,896.0000,880.2000,893.5500,1147541
2023-10-31,899.5000,903.4000,892.0000,900.5000,1082510
2023-11-01,906.0000,920.0000,895.7000,903.1500,2678745
2023-11-02,910.1500,917.7000,903.5500,911.2500,1082513
2023-11-03,912.0000,919.3000,911.2500,913.7000,901911
2023-11-06,916.7500,923.7000,916.0000,918.6500,742374
2023-11-07,920.0000,923.7000,913.0000,922.0500,819721
2023-11-08,922.5000,929.4500,914.1500,916.3000,1090425
2023-11-09,916.3000,918.9500,898.3500,902.8500,3194352
2023-11-10,902.8500,916.8500,896.5000,912.7000,3846444
2023-11-13,914.0000,920.4500,907.1000,916.5500,904887
2023-11-15,921.4000,932.0000,916.3500,929.6000,1564164
2023-11-16,933.0000,933.0000,918.0000,920.0500,1315309
2023-11-17,922.0000,934.0000,921.0000,930.8500,961365
2023-11-20,935.5000,940.8500,928.2000,930.8500,1169030
2023-11-21,906.0000,931.5000,906.0000,927.7000,804344
2023-11-22,931.4500,939.8000,922.2500,928.2500,885449
2023-11-23,929.1500,937.7000,927.0000,933.0000,907511
2023-11-24,934.7000,936.8500,924.0000,926.9000,521207
