date,open,high,low,close,volume
2023-09-18,3580.0500,3619.3000,3575.2500,3606.1499,1395753
2023-09-20,3580.0000,3625.0000,3580.0000,3606.0500,1649396
2023-09-21,3588.5500,3605.0000,3528.0000,3585.3000,2004073
2023-09-22,3584.0000,3633.7500,3565.0500,3603.6499,1989083
2023-09-25,3602.5000,3620.0000,3558.6499,3577.1499,1238778
2023-09-26,3567.6001,3594.9500,3536.0000,3585.7000,1726062
2023-09-27,3590.0000,3614.0000,3555.7000,3589.3000,1541134
2023-09-28,3600.0000,3602.8000,3527.3501,3536.7500,1755753
2023-09-29,3537.2000,3568.4500,3505.5500,3528.6001,2243791
2023-10-03,3534.2000,3534.2000,3480.1001,3513.8501,1948148
2023-10-04,3486.3000,3548.0000,3477.3000,3537.7500,1788138
2023-10-05,3554.0000,3624.0000,3551.2000,3589.3501,2990768
2023-10-06,3591.0000,3634.9500,3575.0500,3621.3999,2075691
2023-10-09,3645.0500,3679.0000,3631.0000,3638.3501,4233074
2023-10-10,3640.0500,3648.0000,3601.3501,3628.8999,1848148
2023-10-11,3650.0000,3650.0000,3605.0000,3609.8999,2426417
2023-10-12,3575.0000,3588.6499,3538.1001,3542.5500,4241281
2023-10-13,3530.0000,3577.0000,3525.0000,3570.8501,2890357
2023-10-16,3566.0000,3574.6499,3519.1001,3524.0500,1671104
2023-10-17,3530.0000,3534.1499,3503.3501,3507.0500,1672065
2023-10-18,3511.0000,3522.7000,3484.0000,3487.2500,1408245
2023-10-19,3469.5000,3476.8501,3451.8999,3455.6499,1514545
2023-10-20,3450.3999,3499.5000,3444.0500,3494.5500,1481211
2023-10-23,3473.0000,3478.9500,3401.3000,3410.1499,1106272
2023-10-25,3390.5000,3425.0000,3377.2000,3390.1001,1518537
2023-10-26,3368.0500,3373.7000,3330.0000,3336.7500,1984471
2023-10-27,3350.0000,3362.0000,3337.0000,3350.9500,1108851
2023-10-30,3350.0000,3382.8501,3333.7500,3378.5500,910972
2023-10-31,3399.0000,3399.0000,3350.0500,3368.7500,999811
2023-11-01,3355.0000,3371.6001,3311.0000,3330.6499,1563475
2023-11-02,3343.2000,3375.9500,3343.2000,3360.1001,1245384
2023-11-03,3382.0000,3387.8999,3344.3000,3350.8999,1402598
2023-11-06,3375.0000,3392.3000,3359.0000,3380.2500,1099852
2023-11-07,3378.0000,3404.1499,3366.0000,3370.4500,1191144
2023-11-08,3371.4500,3401.9500,3369.5500,3381.5500,992899
2023-11-09,3390.1001,3391.5000,3342.0500,3347.4500,2112352
2023-11-10,3338.0000,3347.4500,3322.3501,3333.4500,1338557
2023-11-13,3356.0000,3356.0000,3327.0000,3331.5500,1030990
2023-11-15,3383.1001,3413.0000,3356.0500,3404.3000,2059802
2023-11-16,3430.0500,3529.3501,3414.2000,3497.8501,3951984
2023-11-17,3497.8501,3524.5000,3492.5500,3502.4500,2021292
2023-11-20,3491.2500,3533.8999,3491.2500,3519.6001,1475621
2023-11-21,3519.6001,3539.0500,3501.0000,3510.2000,1807236
2023-11-22,3500.0000,3532.6499,3481.1001,3530.1499,1798051
2023-11-23,3530.0000,3544.0000,3500.0000,3508.2500,2729804
2023-11-24,3494.2500,3504.5500,3453.0000,3457.1001,1989733
2023-11-28,3457.1001,3481.2500,3433.0000,3470.1499,1689195
2023-11-29,3481.0000,3518.0000,3475.8000,3513.7500,1441634
2023-11-30,3499.4500,3516.6499,3481.0000,3487.6001,3266235
2023-12-01,3500.0000,3516.9500,3490.0500,3511.6499,1172141
2023-12-04,3544.6499,3547.8000,3498.0000,3512.4500,1625213
2023-12-05,3538.0000,3538.0000,3502.8000,3531.6001,1377656
2023-12-06,3532.6001,3612.8501,3525.1499,3604.1001,1896572
2023-12-07,3605.0000,3630.5500,3591.7000,3614.8999,1967653
2023-12-08,3633.0000,3645.0000,3602.0500,3626.7000,1641155
2023-12-11,3622.8999,3653.0000,3615.0000,3642.8999,1102503
2023-12-12,3638.9500,3698.3999,3631.0000,3672.1001,2236866
2023-12-13,3643.5500,3650.0000,3563.0000,3593.5500,3850968
2023-12-14,3630.0000,3678.0000,3627.6001,3667.2500,3290396
