date,open,high,low,close,volume
2023-09-18,127.4500,128.5000,119.5000,122.5750,723112
2023-09-20,123.9750,123.9750,120.4750,121.6500,768270
2023-09-21,121.6250,124.4750,120.0000,121.9250,237752
2023-09-22,121.5000,126.3500,120.1250,123.8250,417106
2023-09-25,123.8250,123.9750,121.5000,122.8000,270642
2023-09-26,121.5000,126.7750,121.5000,125.2500,450960
2023-09-27,126.0500,127.1000,125.0000,126.1750,202772
2023-09-28,126.2000,129.0000,125.8000,127.7000,624516
2023-09-29,128.0250,130.0000,126.9750,128.9500,425300
2023-10-03,129.9000,132.8750,128.9500,132.2750,370856
2023-10-04,131.4750,133.4750,126.8000,130.0250,358150
2023-10-05,130.9250,131.0000,125.1750,126.1000,423786
2023-10-06,126.2500,128.3500,125.6000,127.4500,258480
2023-10-09,125.0000,128.2500,123.0250,127.4250,341228
2023-10-10,127.9750,130.9500,126.2750,129.3750,668912
2023-10-11,131.2000,136.4750,130.0250,132.4500,1105744
2023-10-12,133.1000,133.6500,126.8500,127.2750,811194
2023-10-13,127.6250,129.3750,124.5000,124.9250,451680
2023-10-16,125.5000,126.0500,122.7500,125.4250,500946
2023-10-17,126.0000,129.2500,125.6000,126.8500,1647820
2023-10-18,128.0000,128.0000,122.5500,126.0500,843142
2023-10-19,125.1000,127.0000,123.5250,126.3000,365432
2023-10-20,126.0000,128.3750,124.4250,126.9000,620698
2023-10-23,127.5000,128.9250,118.1250,121.2250,476188
2023-10-25,123.7500,125.5750,113.0250,115.4750,1441992
2023-10-26,115.0000,121.9500,113.0750,118.0000,880804
2023-10-27,118.9000,124.7250,118.8750,122.1500,391768
2023-10-30,122.1500,124.5000,120.2500,121.6250,291660
2023-10-31,121.5000,122.4250,119.9500,121.1000,248218
2023-11-01,121.0000,122.6500,119.6500,121.3750,138716
2023-11-02,122.0000,123.2250,120.3750,121.1000,146626
2023-11-03,122.0000,123.5000,119.3750,121.8250,249228
2023-11-06,123.5000,125.7000,121.9250,124.7000,296274
2023-11-07,125.6750,129.9500,125.1250,128.9750,616734
2023-11-08,129.9500,136.7500,125.6750,129.9000,2161210
2023-11-09,131.0000,140.0000,130.9750,136.1250,2042926
2023-11-10,135.5000,135.9250,131.1500,131.6750,725194
2023-11-13,135.7750,136.5000,131.3250,135.7750,516572
2023-11-15,137.5000,139.9500,134.3000,139.6500,753250
