date,open,high,low,close,volume
2026-08-18,5122.2002,5122.2002,4792.8999,5014.3999,688
2026-08-19,5005.2002,5262.5000,4800.0000,5083.7998,853
2026-08-20,5100.0000,5100.0000,4950.0000,4973.5000,303
2026-08-21,4950.0000,5082.8999,4915.0000,4932.0000,216
2026-08-24,5035.0000,5035.0000,4880.0000,4907.1001,504
2026-08-25,4989.8999,4990.0000,4672.8999,4885.0000,240
2026-08-26,4929.5000,5129.2002,4929.0000,5129.2002,768
2026-08-27,5145.6001,5291.6001,4911.0000,5117.8999,238
2026-08-28,5023.6001,5373.7002,5018.8999,5373.7002,619
2026-08-31,5300.6001,5550.0000,5105.1001,5249.6001,521
2026-09-01,5349.0000,5399.5000,5230.0000,5282.0000,141
2026-09-02,5055.0000,5237.5000,5020.5000,5112.0000,181
2026-09-03,5097.5000,5197.5000,5025.0000,5136.5000,93
2026-09-04,5135.0000,5135.0000,4880.0000,4917.5000,1147
2026-09-07,4917.5000,4918.5000,4710.5000,4792.5000,537
2026-09-08,4770.5000,4956.0000,4680.0000,4797.5000,314
2026-09-09,4839.0000,4950.0000,4636.0000,4928.5000,156
2026-09-10,4950.0000,4950.0000,4682.5000,4808.0000,135
2026-09-11,4800.0000,4800.5000,4766.0000,4788.0000,145
2026-09-15,4700.0000,4874.0000,4549.0000,4591.5000,744
2026-09-16,4480.5000,4480.5000,4362.0000,4362.0000,185
2026-09-17,4362.0000,4576.0000,4144.0000,4144.0000,378
2026-09-18,3941.5000,4351.0000,3941.0000,4349.0000,752
2026-09-21,4349.0000,4494.5000,4132.0000,4154.5000,611
2026-09-22,4154.5000,4290.0000,3947.0000,3982.5000,772
