date,open,high,low,close,volume
2026-08-28,634.0000,634.8500,551.1500,586.6500,51084119
2026-08-31,579.0000,585.0000,557.1000,563.6000,8261866
2026-09-01,560.2000,574.8000,534.7000,539.0500,8343086
2026-09-02,536.0000,589.0000,535.0500,566.3000,15878807
2026-09-03,577.5000,584.9500,556.0500,568.5500,5154377
2026-09-04,570.8000,573.7500,547.5500,554.8000,2650794
2026-09-07,559.0000,559.0000,540.0000,546.2000,1663376
2026-09-08,546.0000,573.7500,537.3500,571.3500,4308131
2026-09-09,574.7000,609.8000,572.0000,588.6500,7543324
2026-09-10,600.0000,602.4000,575.8000,581.3000,2165254
2026-09-11,578.9000,594.1500,561.2000,584.8000,2352665
2026-09-14,584.8000,584.8000,584.8000,584.8000,0
2026-09-15,589.0000,592.0000,517.2500,523.6500,2632423
2026-09-16,530.0000,546.0000,521.1000,540.5500,2755569
2026-09-17,514.9000,562.3000,505.0500,541.5500,4389657
2026-09-18,542.8000,552.4000,524.5000,531.6000,1265503
2026-09-21,534.0000,540.8000,521.5000,526.8500,1206038
2026-09-22,528.0000,551.5500,528.0000,537.1000,1619571
