date,open,high,low,close,volume
2025-11-19,505.0000,517.0000,480.1000,490.8000,101572434
2025-11-20,499.0000,513.0000,478.5000,480.1500,21203762
2025-11-21,473.0000,489.0000,470.8500,475.8500,7262990
2025-11-24,476.7000,504.0000,473.9000,496.7500,10791518
2025-11-25,498.0000,504.8000,489.7500,501.1500,5600010
2025-11-26,504.0000,513.0000,482.0000,490.7500,5022364
2025-11-27,491.2500,504.0000,488.3000,490.4000,2810553
2025-11-28,491.0000,497.3000,482.0000,483.9500,2582800
2025-12-01,485.4500,488.3000,474.5000,477.1500,1507233
2025-12-02,475.9500,491.9500,464.1000,487.7500,2774396
2025-12-03,488.2000,497.6500,482.1000,492.6000,2436232
2025-12-04,491.9000,502.9500,487.0000,490.2000,1867762
2025-12-05,492.0000,497.0000,488.6000,490.1500,2311434
2025-12-08,490.1500,495.5000,489.0500,491.3500,1651206
2025-12-09,485.0000,499.8500,477.9000,491.6500,1990862
2025-12-10,491.7000,498.7500,470.0000,473.9000,1083095
2025-12-11,474.9500,480.0000,470.0000,475.0000,817058
2025-12-12,477.0000,483.7000,471.0000,473.0000,561582
2025-12-15,470.0000,475.6000,454.7000,460.2000,927201
2025-12-16,460.2000,467.4000,447.4500,460.1000,1310471
2025-12-17,456.0000,459.0000,440.5000,443.9500,1943682
2025-12-18,443.9500,473.9500,438.0500,469.8500,3812788
2025-12-19,469.3000,485.0000,463.7000,482.1500,1153059
2025-12-22,480.1000,484.4500,474.2500,478.0000,584466
2025-12-23,477.8500,507.9000,474.0000,497.7500,3116627
2025-12-24,495.6000,507.3500,492.8500,495.7500,1360987
2025-12-26,498.5500,522.5000,496.3000,516.4500,4612061
2025-12-29,521.0000,521.7500,500.0000,501.0000,816313
2025-12-30,503.3000,512.8500,501.0000,503.0000,718658
2025-12-31,504.6500,511.5000,500.5000,507.9000,474586
2026-01-01,508.3000,523.9500,503.3000,505.0000,1991982
2026-01-02,509.0000,549.0000,507.8000,543.9500,6677506
2026-01-05,543.9000,556.4000,533.3500,544.0500,2363291
2026-01-06,547.0000,547.8000,513.0000,516.5500,1488821
2026-01-07,520.2000,529.8000,506.9000,520.6000,1225286
2026-01-08,521.6000,537.5000,521.6000,531.4500,1403714
2026-01-09,531.4500,531.8500,514.0500,516.0000,624948
2026-01-12,517.6000,528.6000,503.7500,525.4500,981569
2026-01-13,530.9500,540.0000,526.0500,534.7500,711867
2026-01-14,534.0000,539.5000,528.9000,533.1000,719949
2026-01-15,533.1000,533.1000,533.1000,533.1000,0
2026-01-16,529.2500,532.9500,515.9000,518.9000,627130
2026-01-19,512.6000,527.4500,507.0000,514.0500,350902
2026-01-20,509.5000,518.0000,488.8500,494.1000,781340
2026-01-21,490.1000,500.1000,480.1000,493.2000,514775
2026-01-22,500.0000,532.6000,496.2500,527.4500,1143352
2026-01-23,523.7500,528.2000,507.6000,511.9000,804833
2026-01-27,518.3000,518.3000,504.1000,509.9000,585805
2026-01-28,512.4500,517.3500,501.9000,504.1000,275662
2026-01-29,501.3000,517.6500,501.0000,515.5000,411150
2026-01-30,507.0000,526.1000,506.4500,522.1500,357073
2026-02-02,505.6000,532.8500,505.6000,528.5000,491868
2026-02-03,550.0000,555.2000,520.2000,534.2000,1128540
2026-02-04,539.9000,568.4000,535.4500,559.8500,1499558
2026-02-05,559.8500,567.0000,545.5500,549.1000,580535
2026-02-06,545.0000,557.4500,537.6500,543.5000,386380
2026-02-09,544.1000,570.2500,544.1000,568.3000,642506
2026-02-10,566.5500,589.8000,558.3000,581.9000,771304
2026-02-11,581.0000,583.7000,562.0000,571.4000,728753
2026-02-12,572.0000,580.9000,566.7500,576.1500,495164
2026-02-13,575.0000,576.4500,551.3000,560.5000,400493
2026-02-16,550.0000,557.4000,523.0000,548.0000,1142097
2026-02-17,551.9000,563.0000,544.6000,549.8000,1334623
2026-02-18,551.0500,558.4500,538.7500,553.6500,415761
2026-02-19,555.1000,556.8500,540.0500,543.5000,221787
2026-02-20,542.7000,556.9500,540.0000,552.7000,244765
2026-02-23,557.9000,585.7500,554.8500,574.9500,620564
2026-02-24,577.0000,578.9000,561.5000,565.6000,274335
2026-02-25,571.6000,595.0000,568.1500,589.4000,963993
2026-02-26,593.8500,602.0000,587.8500,592.6500,456887
2026-02-27,592.6500,600.0000,575.0000,581.3000,547379
2026-03-02,551.3000,571.6000,549.0000,558.8500,517293
2026-03-04,548.0500,553.4500,543.3500,548.5500,397965
2026-03-05,556.8500,556.8500,526.4000,540.3500,582952
2026-03-06,540.0000,551.3000,538.5000,547.2000,434732
2026-03-09,527.0000,536.0000,515.4000,522.1000,344298
2026-03-10,532.0000,551.7000,528.0000,544.4000,421657
2026-03-11,549.0000,549.0000,522.6000,528.1500,710395
2026-03-12,529.0000,539.0000,509.0000,535.4500,542969
2026-03-13,532.8000,532.8000,507.9500,513.1000,362574
2026-03-16,502.5500,531.9500,502.5500,527.9000,381299
2026-03-17,535.2500,537.0000,522.5500,526.4000,215782
2026-03-18,529.9500,561.8500,528.2000,553.5000,602040
2026-03-19,542.5000,564.7500,532.0000,542.3500,584828
2026-03-20,550.0000,550.0000,536.3500,546.5000,294561
2026-03-23,540.0000,541.4000,524.7000,536.4000,292503
2026-03-24,550.8500,551.7500,528.1000,531.3500,934257
2026-03-25,532.3000,537.3000,518.9000,526.3000,904829
2026-03-27,528.8500,541.6000,519.4500,531.8500,1241907
2026-03-30,522.7000,530.0000,508.3000,515.1000,368985
2026-04-01,540.0000,548.4000,524.0000,531.1500,658692
2026-04-02,528.0000,534.9000,516.0000,531.4500,297100
2026-04-06,525.1000,533.9500,523.5000,528.6500,494872
2026-04-07,528.6500,553.0000,520.0500,546.5500,922265
2026-04-08,558.8000,578.4000,557.0000,568.4000,508954
2026-04-09,563.6000,566.7500,548.2500,555.9500,421834
2026-04-10,563.8000,569.4000,556.2000,561.4500,317869
2026-04-13,555.0000,564.9500,545.2500,558.9500,317433
2026-04-15,570.0000,581.2500,562.1500,571.6500,548393
2026-04-16,579.9000,594.0000,567.5500,582.6000,880696
2026-04-17,580.5000,604.9500,579.2000,591.7000,691742
2026-04-20,594.0000,609.6000,581.7500,595.9000,703090
2026-04-21,599.0000,607.1000,588.7500,592.2500,416403
2026-04-22,597.0000,601.5000,584.1000,591.5000,526062
2026-04-23,587.0500,590.3000,570.1000,572.5500,384177
2026-04-24,573.0000,573.0500,551.3500,553.8500,405886
2026-04-27,555.9500,571.0000,555.9500,565.3500,569144
2026-04-28,569.9000,571.9000,556.0000,566.1500,333671
2026-04-29,570.0000,644.0000,569.0000,595.1500,21418849
2026-04-30,599.0000,625.7500,591.5000,621.7500,2480278
2026-05-01,621.7500,621.7500,621.7500,621.7500,0
2026-05-04,635.0000,640.9500,619.0000,630.3500,1122524
2026-05-05,625.0000,652.0000,623.9000,641.4000,1157580
2026-05-06,650.0000,657.0000,635.8500,651.3500,970705
2026-05-07,655.0000,655.0000,639.0000,649.1500,539904
2026-05-08,643.0000,654.4500,639.0500,640.4500,340932
2026-05-11,640.0000,653.9500,632.6000,635.2500,400082
2026-05-12,630.5000,636.0000,603.1500,609.2500,405507
2026-05-13,612.9000,624.0000,611.2000,620.1500,285159
2026-05-14,624.0500,628.0000,596.7500,604.0000,429488
2026-05-15,611.6500,614.5000,600.0000,602.3000,194556
2026-05-18,602.0000,602.0000,589.3000,596.3500,206330
2026-05-19,601.0000,601.0000,575.8500,579.1500,337421
2026-05-20,582.6000,601.7000,574.2500,597.7000,1002233
2026-05-21,605.9500,609.3500,592.6000,596.7000,196185
2026-05-22,596.7500,603.7000,590.9500,594.1500,355437
2026-05-25,605.0000,633.0000,605.0000,617.7500,2197158
2026-05-26,620.7000,626.4500,608.0000,611.2500,457480
2026-05-27,614.8000,621.4500,606.5000,615.2500,476701
2026-05-28,615.2500,615.2500,615.2500,615.2500,0
2026-05-29,620.0000,620.0000,570.9500,588.3000,2980446
2026-06-01,597.8500,604.7500,554.0500,557.1000,966749
2026-06-02,572.7000,579.7000,559.8000,578.2500,481737
2026-06-03,580.0000,587.4500,565.4000,570.2500,379621
2026-06-04,570.0000,595.0000,569.8500,581.7500,766268
2026-06-05,585.9500,594.9000,583.3000,589.0500,493341
2026-06-08,581.2500,589.6000,572.6500,575.9000,352614
2026-06-09,583.9500,589.0000,577.2000,585.5000,393631
2026-06-10,590.1000,594.8000,572.2000,578.3500,429824
2026-06-11,578.0000,578.0000,558.0000,561.5500,820845
2026-06-12,567.0000,578.0500,567.0000,574.2500,651864
2026-06-15,584.0000,586.9500,551.2500,553.7500,1018778
2026-06-16,559.8000,567.9000,551.3500,563.4500,827434
2026-06-17,570.0000,584.0000,564.0000,568.0500,1293992
2026-06-18,569.9000,576.8500,566.0000,569.6500,490176
2026-06-19,568.5500,605.7000,562.1500,584.9500,7066520
2026-06-22,594.9500,605.0000,579.3500,586.7500,1218878
2026-06-23,585.9500,604.8000,574.1000,600.0500,1139576
2026-06-24,604.0000,604.9000,591.5000,600.3500,305283
2026-06-25,604.0000,609.8000,576.1500,578.8000,841797
2026-06-26,578.8000,578.8000,578.8000,578.8000,0
2026-06-29,583.8500,592.9000,572.0000,580.5500,1069535
2026-06-30,585.0000,599.2500,576.0000,592.4000,903906
2026-07-01,596.3500,622.9500,593.3000,603.9500,1505549
2026-07-02,607.7500,609.5000,596.0000,605.9000,938388
2026-07-03,609.8000,616.8000,605.6000,607.0000,502488
