date,open,high,low,close,volume
2023-09-22,20.1100,20.2600,19.7100,19.9600,1654410
2023-09-25,20.0000,20.5900,19.8500,20.2900,1978445
2023-09-26,20.3600,20.4000,19.6800,19.7700,2840980
2023-09-27,19.7800,20.3800,19.7000,20.0200,2547305
2023-09-28,20.0900,20.3800,19.5200,19.6600,2083120
2023-09-29,19.8100,20.1500,19.6400,19.9600,2221390
2023-10-03,19.8600,20.0500,19.6500,19.7900,1557950
2023-10-04,19.7400,19.7400,18.6900,19.0300,5255295
2023-10-05,19.1000,19.5800,18.8000,19.1700,2807185
2023-10-06,19.2700,20.1900,19.2700,19.7800,3161250
2023-10-09,19.6800,19.6800,18.8000,18.8500,2205120
2023-10-10,19.0500,19.2600,18.8500,18.9200,1949480
2023-10-11,19.0700,19.5000,18.9900,19.0500,2957910
2023-10-12,19.1600,20.3400,18.9200,20.1000,8773670
2023-10-13,20.0000,20.1000,19.5400,19.6600,2718395
2023-10-16,19.6700,21.7400,19.4600,21.0800,21314455
2023-10-17,21.3900,21.6800,20.8200,21.3400,9357520
2023-10-18,21.4600,21.4600,20.3400,20.6100,3865430
2023-10-19,20.5700,21.4700,20.3700,20.9800,3470760
2023-10-20,20.9300,21.0700,20.3200,20.4800,1891760
2023-10-23,20.4800,20.6200,19.0000,19.1000,4542185
2023-10-25,19.2400,19.4900,18.6200,18.7600,2409975
2023-10-26,18.7000,19.2200,18.1700,19.0600,3068990
2023-10-27,19.1900,19.7600,19.0500,19.5200,1956875
2023-10-30,19.6000,20.2600,19.2400,19.7800,1448875
2023-10-31,19.9800,21.1000,19.6100,20.5400,5829010
2023-11-01,20.6200,21.3900,20.5000,21.0600,5818985
2023-11-02,21.2000,21.3500,20.4500,20.5600,2264250
2023-11-03,20.7200,21.3300,20.5900,21.0400,2767705
2023-11-06,21.1700,21.9800,21.1300,21.4000,9355760
2023-11-07,21.4400,21.6900,20.8700,21.0800,3553430
2023-11-08,21.1900,21.4500,20.9200,21.1100,3297395
2023-11-09,21.1700,21.7000,20.7000,20.8700,4947305
2023-11-10,20.8800,21.2800,20.7600,21.0300,1678780
2023-11-13,20.8200,21.0000,20.2000,20.5500,2521755
2023-11-15,20.9000,22.2000,20.8000,21.8700,15885610
2023-11-16,21.8700,22.1700,21.5100,21.8500,14746985
2023-11-17,21.9900,23.7700,21.8100,23.3500,34100585
2023-11-20,23.5400,23.8600,22.7000,23.3200,13053110
2023-11-21,23.4000,23.4000,22.7000,22.8300,8730760
2023-11-22,22.9000,23.5900,22.8500,23.1300,5035160
2023-11-23,23.6000,23.9300,23.0000,23.0600,7406960
2023-11-24,23.1200,23.6800,22.8900,23.1000,3212600
2023-11-28,23.1000,23.1400,22.6000,22.8900,3460675
2023-11-29,22.9900,23.2600,22.6900,22.7700,4175745
2023-11-30,22.7700,23.6000,21.7100,22.0200,10020465
2023-12-01,22.0500,22.5400,21.7800,21.8900,5489330
2023-12-04,22.3600,22.3600,21.6200,21.9300,3848575
2023-12-05,22.0500,22.6600,21.7600,22.2900,4303350
2023-12-06,22.4500,22.4500,21.8600,22.0200,2746120
2023-12-07,22.0000,22.4600,21.8300,22.0800,3054890
2023-12-08,22.1900,22.3000,21.3900,21.6900,2878920
2023-12-11,21.6500,21.8700,21.4100,21.7600,1728500
2023-12-12,21.8000,22.5000,21.8000,22.2300,4714525
2023-12-13,22.7400,26.6700,22.7000,26.3900,79574935
2023-12-14,26.9000,27.3800,25.0000,25.3500,28664535
2023-12-15,25.3900,26.6600,25.1800,25.7000,17943000
2023-12-18,25.7100,26.2700,25.3100,25.4600,6501830
2023-12-19,25.6400,28.6000,25.5900,27.5300,42866585
2023-12-20,27.5300,28.6000,25.6000,25.8600,19098935
2023-12-21,25.7800,27.8800,25.3900,27.6200,12599175
2023-12-22,27.8700,28.4700,27.4200,27.6200,19745520
2023-12-26,27.4000,27.6000,26.5600,26.9800,10430735
2023-12-27,26.9000,27.2000,26.1400,26.3300,12888205
