date,open,high,low,close,volume
2023-09-18,10.8000,10.8000,10.3000,10.4000,23212
2023-09-20,10.3000,10.4000,10.1000,10.2000,8472
2023-09-21,10.4500,10.4500,10.0000,10.0500,15407
2023-09-22,10.0500,10.5000,10.0500,10.1000,37489
2023-09-25,10.1000,10.9500,9.8500,10.3000,630277
2023-09-26,10.3500,10.6500,9.9500,10.1000,333460
2023-09-27,9.9500,10.8500,9.7500,10.0500,552963
2023-09-28,10.3000,10.3000,9.9500,10.0500,33281
2023-09-29,10.0500,10.2000,9.9000,10.0500,28202
2023-10-03,10.0500,10.3000,9.8500,10.1500,24413
2023-10-04,10.1500,10.3500,9.9500,10.0000,39293
2023-10-05,10.2500,10.2500,9.9500,10.1500,8608
2023-10-06,10.3500,10.4000,9.7500,10.0000,42349
2023-10-09,9.7500,9.9500,9.3000,9.8000,56517
2023-10-10,9.9500,9.9500,9.6000,9.7500,20741
2023-10-11,10.0000,10.1000,9.8500,10.0500,52299
2023-10-12,10.0000,10.0500,9.9000,9.9500,5459
2023-10-13,9.9000,10.0500,9.8500,9.9500,4562
2023-10-16,10.0000,10.0500,9.7500,9.9000,10139
2023-10-17,10.0000,10.0500,9.6000,9.8000,68390
2023-10-18,10.0500,10.0500,9.2000,9.6000,48679
2023-10-19,9.5500,9.7500,9.5000,9.6000,27839
2023-10-20,9.8000,9.8000,9.5000,9.6000,25184
2023-10-23,9.6500,9.7000,9.2500,9.3500,14899
2023-10-25,9.4000,9.5000,9.0000,9.1500,22345
2023-10-26,9.0000,9.8500,8.2500,8.6000,40423
2023-10-27,9.4000,9.9500,8.9000,9.2500,109657
2023-10-30,9.3500,9.8000,9.0000,9.3500,20345
2023-10-31,9.3500,9.3500,9.0000,9.1500,21122
2023-11-01,9.1500,9.2500,8.9500,9.2500,3426
2023-11-02,9.3500,9.8000,8.9500,9.3000,36471
2023-11-03,9.5500,9.6000,9.1000,9.4500,11157
2023-11-06,9.9500,10.3000,9.2000,9.8500,79192
2023-11-07,10.6500,10.6500,9.4500,10.0500,42678
2023-11-08,10.2000,10.2000,9.5000,9.8000,39835
2023-11-09,9.9500,9.9500,9.5000,9.5500,25323
2023-11-10,9.9000,9.9000,9.5500,9.6500,8618
2023-11-13,10.0500,10.1500,9.3000,9.7500,16578
2023-11-15,9.7500,11.2500,9.7500,10.4500,241575
2023-11-16,10.4500,10.6000,9.8000,10.1000,49946
2023-11-17,10.3000,10.4500,10.1000,10.3000,50460
2023-11-20,10.6500,10.6500,9.5500,9.6500,110227
2023-11-21,10.0000,10.0500,9.7500,9.9000,26055
2023-11-22,10.0000,10.2500,10.0000,10.1500,36742
2023-11-23,10.2500,10.3500,9.9500,10.0500,23128
2023-11-24,10.0000,10.1000,9.9500,10.0500,20956
2023-11-28,10.0500,11.4500,10.0500,10.4000,315887
2023-11-29,11.1500,11.4000,10.3500,11.2000,474073
2023-11-30,11.0000,12.4500,10.7000,11.9500,1111920
2023-12-01,12.0500,12.5000,11.5000,11.8000,227817
2023-12-04,12.3000,12.8500,11.8000,11.8500,92798
2023-12-05,12.2500,14.2000,11.5500,13.5500,3491990
2023-12-06,13.2000,14.9500,13.2000,13.9000,2718347
2023-12-07,14.5000,15.5000,14.0500,14.4000,1055747
2023-12-08,14.6000,15.2000,14.1500,14.4500,253281
2023-12-11,14.4500,14.7500,13.7500,14.2000,213704
2023-12-12,14.8500,14.8500,13.6000,13.9500,40034
2023-12-13,13.3500,14.3500,13.3500,13.8000,36687
2023-12-14,13.8000,14.2000,13.2000,13.4000,40226
2023-12-15,13.6000,13.9500,13.3000,13.3500,24512
2023-12-18,13.3000,13.6500,12.9500,13.0500,59723
2023-12-19,13.6500,13.6500,12.7000,13.1000,10057
2023-12-20,13.1000,13.7000,12.4500,12.5500,52578
2023-12-21,12.6000,12.9000,12.0500,12.5000,22875
2023-12-22,12.7000,12.9500,12.3000,12.4000,61813
2023-12-26,12.7000,12.7000,11.8500,12.0000,25694
2023-12-27,12.0000,12.5500,12.0000,12.5000,11575
2023-12-28,12.2000,12.8500,12.0000,12.3000,29872
2023-12-29,12.3000,12.4500,11.8000,12.4000,34693
2024-01-01,12.3500,12.3500,11.8500,12.2000,30226
2024-01-02,12.1000,12.3000,11.8000,12.2500,16823
2024-01-03,12.5000,12.5000,12.0000,12.2500,14657
2024-01-04,11.8000,12.6500,11.8000,12.3000,18954
2024-01-05,11.8500,12.5500,11.8500,12.3000,19618
2024-01-08,12.5000,12.5000,11.8500,12.0000,23552
2024-01-09,12.5500,12.6000,12.1000,12.2500,12417
2024-01-10,12.2500,12.3000,12.0500,12.2000,6844
2024-01-11,12.6000,12.6000,11.6000,12.3000,30093
2024-01-12,12.2500,12.5000,11.7500,12.0000,60133
2024-01-15,12.1000,12.2000,11.4000,11.7000,32327
2024-01-16,11.7000,11.8500,11.3000,11.4500,28962
2024-01-17,11.0500,11.5000,11.0500,11.2500,16519
2024-01-18,11.2500,11.4500,11.0500,11.3000,14458
2024-01-19,11.3000,11.7500,11.0000,11.6500,24589
2024-01-23,11.9000,11.9000,11.1500,11.2500,16055
2024-01-24,11.2000,11.6500,11.0000,11.2500,9595
2024-01-25,11.2500,11.8000,11.2500,11.6000,8762
2024-01-29,12.1500,12.1500,11.1000,11.9000,38938
2024-01-30,11.7000,11.9000,11.4000,11.6000,6969
2024-01-31,11.3000,11.9500,11.3000,11.8500,24047
2024-02-01,11.9000,11.9000,11.4000,11.7500,11084
2024-02-02,11.7500,11.8000,11.4500,11.6000,26745
2024-02-05,12.0500,12.0500,11.3000,11.4500,22043
2024-02-06,11.4500,11.8000,11.4000,11.4500,15197
2024-02-07,11.3000,11.8500,11.1500,11.3500,28508
2024-02-08,11.3500,11.4500,11.1500,11.3000,18466
2024-02-09,11.7000,11.7000,10.8000,10.9000,26806
2024-02-12,11.2500,11.2500,10.4000,10.4500,50023
2024-02-13,10.4500,10.7500,10.4000,10.7000,3704
2024-02-14,10.6000,10.8500,10.3000,10.7500,8826
2024-02-15,11.1000,11.2000,10.5000,10.9500,23762
2024-02-16,11.2000,11.2500,10.5500,10.9500,4026
2024-02-19,11.2000,11.4500,10.7500,11.4000,24967
2024-02-20,11.4000,11.6000,11.0000,11.5000,3811
2024-02-21,11.8500,11.8500,11.1000,11.4000,6159
2024-02-22,10.8500,11.5000,10.8500,11.1000,6052
2024-02-23,11.4500,11.6500,11.0000,11.6500,74987
2024-02-26,12.2000,12.2000,12.2000,12.2000,71916
2024-02-27,12.5000,12.5000,11.6000,11.6000,73115
2024-02-28,11.0500,12.1500,11.0500,11.9000,69914
2024-02-29,11.9000,11.9000,11.3000,11.4000,33442
2024-03-01,11.4000,11.7500,11.0000,11.1000,23271
2024-03-04,11.5000,11.5000,10.9000,11.0000,7590
2024-03-05,11.2500,11.5500,10.5000,10.8500,25003
2024-03-06,10.9500,10.9500,10.4000,10.6500,10227
2024-03-07,10.6500,11.1000,10.1500,11.0000,17821
2024-03-11,11.0000,11.0000,10.4500,10.4500,14148
2024-03-12,10.4500,10.4500,9.9500,10.0000,10276
2024-03-13,9.5500,9.5500,9.5000,9.5000,10861
2024-03-14,9.5000,9.9500,9.0500,9.8500,15112
2024-03-15,10.3000,10.3000,9.7000,10.0000,1990
2024-03-18,11.7500,12.0000,9.7500,11.1000,963410
2024-03-19,10.9000,12.3500,10.4500,11.7000,925061
2024-03-20,11.9500,12.2500,10.9000,11.1000,411977
2024-03-21,11.6500,12.0000,10.7500,11.0000,201351
2024-03-22,11.4500,12.2000,11.0500,11.9500,418377
2024-03-26,12.2500,12.3500,11.5000,11.6000,87796
2024-03-27,11.5000,12.5000,10.6000,10.8000,256874
2024-03-28,11.3500,11.3500,10.4000,10.5000,96253
2024-04-01,10.9500,12.0000,10.2500,10.8000,327426
2024-04-02,10.8500,12.1000,10.8500,11.6500,536974
2024-04-03,11.3500,12.1500,11.3500,11.7500,592156
2024-04-04,12.2500,12.8500,12.0000,12.4500,825134
2024-04-05,12.3500,12.9500,12.2500,12.4000,185204
2024-04-08,12.4000,12.7500,11.3000,11.7000,190192
2024-04-09,11.6000,12.1500,11.6000,11.9000,157290
2024-04-10,11.9500,12.3500,11.5500,11.8500,88464
2024-04-12,11.9500,11.9500,11.2500,11.4500,98374
2024-04-15,11.1000,11.1000,10.0500,10.7000,143290
2024-04-16,10.6000,11.3500,10.4500,11.1000,66381
2024-04-18,11.1000,11.7500,10.8000,11.1000,228350
2024-04-19,10.8000,11.3500,10.8000,11.1000,152395
2024-04-22,11.1000,12.5000,10.9000,11.1500,118681
2024-04-23,11.4000,11.5500,11.0500,11.3500,65470
2024-04-24,11.3000,12.2000,11.1500,11.5500,358441
2024-04-25,11.7500,11.8500,11.2000,11.3000,48606
2024-04-26,11.8000,11.9500,11.5500,11.6500,89033
2024-04-29,11.9500,11.9500,11.4000,11.5500,41578
2024-04-30,11.8500,11.8500,11.3500,11.5000,37324
2024-05-02,11.4000,11.7500,11.4000,11.5500,28633
2024-05-03,13.0000,13.8500,12.3000,13.8500,9843897
2024-05-06,13.8000,13.8000,12.1000,12.7500,2449841
