date,open,high,low,close,volume
2023-09-25,9.8500,10.1500,9.6000,9.9000,58677
2023-09-26,10.0000,10.0000,9.7000,9.7500,56220
2023-09-27,10.1000,10.1000,9.7000,9.9500,61754
2023-09-28,9.9500,10.2500,9.8500,10.1000,46078
2023-09-29,10.1500,10.2000,9.9000,10.0000,22632
2023-10-03,10.4500,10.4500,9.9500,10.1500,54778
2023-10-04,10.2500,10.2500,9.9000,9.9500,25491
2023-10-05,9.7000,10.3000,9.7000,10.1000,59872
2023-10-06,10.1500,10.3000,9.7500,10.0000,57239
2023-10-09,9.8000,10.0500,9.6000,9.8000,69445
2023-10-10,9.7500,10.0000,9.7500,9.9000,44766
2023-10-11,10.0000,10.1000,9.8500,9.9000,51728
2023-10-12,10.0500,10.3500,9.7000,10.2500,76324
2023-10-13,10.2000,10.4000,10.0500,10.2500,49218
2023-10-16,10.2500,10.9500,10.2500,10.7000,111546
2023-10-17,10.6000,10.7000,10.4000,10.5000,37235
2023-10-18,10.7000,11.5500,10.3500,11.3500,274357
2023-10-19,11.6500,12.4500,11.1000,12.3500,787224
2023-10-20,13.3000,13.3000,11.5500,11.7500,441720
2023-10-23,11.7500,12.4500,11.0000,11.4500,382845
2023-10-25,11.5500,11.8500,10.8000,11.0000,120510
2023-10-26,10.9500,11.2500,10.2500,11.0000,106314
2023-10-27,11.4500,11.7000,11.0000,11.5000,41810
2023-10-30,11.9000,11.9000,10.6000,10.8000,129552
2023-10-31,10.7000,11.0500,10.6000,10.7000,35202
2023-11-01,10.7500,11.7500,10.6000,11.2000,522834
2023-11-02,11.2000,11.6000,10.9000,11.4000,122329
2023-11-03,11.5000,12.5000,11.3000,12.4500,637093
2023-11-06,12.7500,13.6500,12.2000,13.0000,757456
2023-11-07,13.2500,13.2500,12.5000,12.6500,247145
2023-11-08,13.0000,13.8000,12.5500,12.7000,296601
2023-11-09,13.1500,13.1500,12.2000,12.9000,206992
2023-11-10,13.2000,13.5000,12.2000,12.9000,260863
2023-11-13,13.1500,13.2500,12.7500,12.9000,139638
2023-11-15,12.9000,13.1500,12.4000,12.8000,174580
2023-11-16,12.9500,13.5000,12.8500,13.0000,159606
2023-11-17,13.2000,13.2000,12.7000,12.9000,64493
2023-11-20,12.9000,13.1500,12.5500,12.7000,92334
2023-11-21,12.9000,13.0000,12.6500,12.8000,111093
2023-11-22,13.0000,14.0500,12.6000,14.0000,1552379
2023-11-23,14.2000,15.4000,14.1000,15.4000,1331904
2023-11-24,16.5000,16.9000,16.2000,16.9000,510983
2023-11-28,17.3000,17.5000,16.0500,16.0500,656326
2023-11-29,15.5500,15.7000,15.2500,15.2500,427051
2023-11-30,14.9000,16.0000,14.5000,16.0000,353182
2023-12-01,16.4000,16.8000,15.5500,16.8000,295713
2023-12-04,17.4000,17.6000,16.1500,17.6000,226302
2023-12-05,18.3500,18.4500,18.2000,18.4500,100548
2023-12-06,19.3500,19.3500,18.0000,19.3500,190257
2023-12-07,20.3000,20.3000,19.3500,20.3000,201611
2023-12-08,19.9000,19.9000,19.9000,19.9000,41512
2023-12-11,19.5000,19.5000,19.5000,19.5000,31409
2023-12-12,19.1500,19.1500,19.1500,19.1500,8960
