date,open,high,low,close,volume
2023-09-22,2877.2000,2998.5000,2828.0500,2976.3999,92506
2023-09-25,2971.3999,2982.3501,2922.1499,2959.2000,37549
2023-09-26,2941.4500,2973.9500,2914.6499,2964.5000,55845
2023-09-27,2960.0000,3124.0000,2958.8999,3045.2000,150090
2023-09-28,3040.0000,3176.9500,3000.0000,3078.2500,128049
2023-09-29,3093.0000,3132.0000,3069.3000,3110.5000,30355
2023-10-03,3110.3999,3230.0000,3100.5500,3161.8999,126586
2023-10-04,3161.0000,3225.0000,3090.1001,3148.4500,120685
2023-10-05,3153.6499,3220.0000,3090.0000,3100.8501,44642
2023-10-06,3124.8999,3124.8999,3011.0500,3028.7000,29051
2023-10-09,3027.0000,3027.0000,2921.2000,2927.3000,71590
2023-10-10,2939.0000,2974.7000,2906.0500,2918.4500,21617
2023-10-11,2921.0500,2985.2000,2921.0500,2957.7000,37945
2023-10-12,2989.9500,3046.7500,2931.0000,2956.8000,39371
2023-10-13,2949.0000,3039.9500,2932.0000,2950.3000,16523
2023-10-16,2965.0000,2965.0000,2880.8501,2914.7500,25703
2023-10-17,2929.0000,3216.5000,2908.8501,3128.1499,341746
2023-10-18,3110.0500,3184.6001,3072.2000,3119.0500,94625
2023-10-19,3085.0000,3198.4500,3052.0500,3141.2500,84500
2023-10-20,3123.1001,3156.9500,3104.1001,3129.0000,29504
2023-10-23,3110.9500,3115.7500,2883.3999,2926.3000,87249
2023-10-25,2929.9500,2999.8501,2880.5000,2900.0500,27308
2023-10-26,2893.0000,2899.0000,2824.0000,2862.7000,66885
2023-10-27,2876.9500,2905.7500,2755.3000,2773.8000,55789
2023-10-30,2787.0000,2860.0000,2765.5000,2835.4500,36553
2023-10-31,2835.3999,2880.0000,2818.4500,2831.7000,21046
2023-11-01,2831.7000,2935.5000,2801.1499,2886.1001,43769
2023-11-02,2886.1001,2996.5500,2878.0000,2915.7500,85417
2023-11-03,2916.0000,2977.2500,2875.1499,2941.3501,39694
2023-11-06,2990.0000,3025.0000,2882.0000,2895.3501,101956
2023-11-07,2899.9500,2937.9500,2846.7000,2878.9500,44778
2023-11-08,2899.0000,2944.0000,2871.8501,2939.7500,35458
2023-11-09,2939.7500,2978.3999,2900.0000,2912.7500,14991
2023-11-10,2920.8501,2942.1001,2880.0000,2894.7500,20708
2023-11-13,2917.3999,2925.7000,2887.8999,2901.2500,13288
2023-11-15,2916.5000,2922.2500,2872.8000,2893.3999,15126
2023-11-16,2890.0000,2907.7000,2852.0000,2865.2000,23228
2023-11-17,2869.0000,2927.7000,2812.1001,2830.3501,52541
2023-11-20,2834.8999,2910.2000,2775.0000,2787.8501,51630
2023-11-21,2820.0000,2832.0000,2681.0000,2687.7500,153499
2023-11-22,2710.0000,2710.8999,2605.0000,2612.7500,111305
2023-11-23,2611.0000,2666.0000,2611.0000,2620.0000,78021
2023-11-24,2628.7500,2669.7500,2616.1001,2625.8999,63395
2023-11-28,2653.1001,2653.1499,2541.0000,2574.5500,277152
2023-11-29,2590.0000,2624.1499,2501.0000,2519.1499,255026
2023-11-30,2527.0000,2644.9500,2500.2500,2535.0000,1239793
2023-12-01,2559.0000,2634.0000,2559.0000,2609.6499,246563
2023-12-04,2660.0000,2759.0000,2659.6499,2702.9500,387412
2023-12-05,2705.0000,2729.9500,2657.5000,2674.8000,153365
2023-12-06,2688.8999,2709.9500,2631.0000,2686.8000,106966
2023-12-07,2712.0500,2720.0000,2680.0500,2698.3999,58324
2023-12-08,2714.8999,2728.0000,2673.6499,2710.6001,97333
2023-12-11,2715.0000,2723.3000,2675.0000,2679.7500,36106
2023-12-12,2693.1001,2741.5500,2646.7500,2725.7500,379938
2023-12-13,2755.0000,2760.0000,2690.8501,2713.9500,130350
2023-12-14,2737.9500,2737.9500,2701.0000,2705.0000,54656
2023-12-15,2715.0000,2834.7000,2708.2000,2821.7000,171270
2023-12-18,2823.0000,3024.0000,2823.0000,2998.9500,473743
2023-12-19,2998.9500,3037.9500,2982.4500,3012.1499,134266
2023-12-20,2983.0000,3157.9500,2966.6001,2983.0000,268053
2023-12-21,2983.0000,3062.5000,2910.0500,2991.8000,144874
2023-12-22,3030.0000,3167.8000,3018.0500,3143.7000,152793
2023-12-26,3144.9500,3144.9500,3050.0000,3064.2000,140991
2023-12-27,3100.0000,3100.0000,2987.3501,3008.3501,64870
2023-12-28,3030.0500,3138.6499,3020.3999,3090.8000,223158
2023-12-29,3080.8000,3143.8999,3070.7000,3081.5000,77975
2024-01-01,3099.7000,3115.0000,3069.6499,3091.3999,18894
2024-01-02,3091.0000,3120.0000,3055.5500,3095.8000,36530
2024-01-03,3095.0000,3246.1001,3082.0500,3174.3501,210564
2024-01-04,3190.0000,3221.9500,3154.3000,3187.7500,95719
2024-01-05,3203.0000,3268.0000,3174.3000,3209.8501,86405
2024-01-08,3225.0000,3254.0000,3180.0000,3199.6001,54683
2024-01-09,3206.6001,3251.9500,3180.0000,3189.6499,44919
2024-01-10,3180.0000,3218.3999,3172.1499,3191.7000,33644
2024-01-11,3190.0500,3247.1001,3190.0500,3206.2000,27401
2024-01-12,3222.0000,3260.7000,3195.8501,3213.9500,58847
2024-01-15,3200.0500,3220.0000,3132.0500,3173.8000,43380
2024-01-16,3181.7000,3199.0500,3074.2000,3154.8999,68069
2024-01-17,3154.8999,3154.8999,3065.6499,3088.6001,27505
2024-01-18,3074.9500,3105.0000,3001.5000,3073.8999,28876
2024-01-19,3089.0000,3125.0000,3060.0000,3075.6499,26267
2024-01-23,3073.0000,3094.5000,2987.0000,2993.3999,22828
2024-01-24,2994.0000,3059.0000,2977.0000,3028.7500,26051
2024-01-25,3040.0000,3145.0000,3032.0000,3115.1001,78716
2024-01-29,3130.7000,3151.0000,3090.3501,3106.7000,27412
2024-01-30,3112.0000,3165.0000,3046.6001,3083.3999,45842
2024-01-31,3095.0000,3228.0000,3085.5500,3181.2500,87781
2024-02-01,3197.7000,3209.9500,3103.2000,3136.2000,29107
2024-02-02,3138.0000,3160.9500,3049.5500,3094.8501,38412
2024-02-05,3104.5000,3162.8999,3058.4500,3124.8501,33131
2024-02-06,3129.8999,3288.0000,3085.2500,3240.1499,116089
2024-02-07,3330.0000,3330.0000,3209.0000,3285.1499,85681
2024-02-08,3339.4500,3508.5500,3151.0500,3208.7500,304099
2024-02-09,3290.0000,3364.2000,3206.0000,3350.2000,156658
2024-02-12,3390.2000,3405.5000,3276.0500,3311.5500,72598
2024-02-13,3312.0000,3357.9500,3290.1499,3322.1499,78917
2024-02-14,3315.0000,3450.0000,3292.8999,3362.3999,106499
2024-02-15,3379.2000,3477.0000,3378.9500,3458.7500,114825
2024-02-16,3458.7500,3498.0000,3402.3501,3435.3000,64984
2024-02-19,3474.5000,3559.0000,3461.0000,3487.0500,86795
2024-02-20,3517.5000,3563.9500,3486.0500,3511.6499,84391
2024-02-21,3549.8999,3581.9500,3486.0500,3544.2000,248882
2024-02-22,3547.7500,3758.8501,3495.0000,3721.7000,212820
2024-02-23,3729.9500,3772.8999,3694.7500,3739.8501,181934
2024-02-26,3754.8501,3894.9500,3701.1001,3728.1499,144804
2024-02-27,3728.8999,3739.3501,3658.9500,3698.5000,55483
2024-02-28,3699.0000,3699.0000,3540.0000,3582.3000,309787
2024-02-29,3578.7000,3645.3501,3519.1001,3637.2500,92159
2024-03-01,3637.2500,3650.0000,3592.0500,3630.1499,220727
2024-03-04,3666.3501,3739.8999,3591.2500,3697.3000,48100
2024-03-05,3680.0500,3699.0000,3635.9500,3675.7500,62762
2024-03-06,3677.9500,3683.9500,3551.0000,3575.1001,84684
2024-03-07,3575.0000,3677.9500,3575.0000,3641.7000,36604
2024-03-11,3669.8999,3726.0000,3431.6001,3618.1001,141494
2024-03-12,3600.1001,3669.7000,3534.6499,3618.1001,51422
2024-03-13,3609.7500,3762.0000,3542.8501,3629.0500,204544
2024-03-14,3607.0500,3640.0000,3571.8999,3609.7500,96849
2024-03-15,3610.0000,3615.0000,3450.0000,3484.0500,481655
2024-03-18,3484.8999,3725.0000,3408.9500,3690.5000,133565
2024-03-19,3714.8999,3714.8999,3571.1499,3594.3999,71728
2024-03-20,3594.9500,3731.9500,3583.6001,3685.1001,90209
2024-03-21,3700.8999,3985.0000,3666.4500,3859.8501,260347
2024-03-22,3859.9500,3952.0500,3841.7000,3898.8501,104721
2024-03-26,3920.0000,4147.0000,3899.0000,4101.7500,292030
2024-03-27,4097.0000,4208.0000,4035.5000,4187.0498,91835
2024-03-28,4190.0000,4288.6499,4151.2002,4192.3501,86288
2024-04-01,4210.1001,4395.0000,4210.1001,4288.1499,106194
2024-04-02,4302.2500,4385.0000,4253.9502,4299.7998,70568
2024-04-03,4370.0000,4499.0000,4281.2002,4432.7998,282251
2024-04-04,4500.0000,4581.6499,4419.0498,4508.3501,205605
2024-04-05,4538.1499,4639.8999,4489.4502,4518.4502,188235
2024-04-08,4554.5498,4685.5000,4500.0000,4543.2500,155833
2024-04-09,4590.9502,4680.2500,4535.0498,4559.9502,108180
2024-04-10,4602.5000,4609.6001,4521.5000,4544.1499,64756
2024-04-12,4503.0000,4573.8501,4503.0000,4544.6001,76568
2024-04-15,4544.6001,4875.0000,4450.0000,4709.0498,466947
2024-04-16,4730.0000,4809.8999,4642.4502,4672.0498,135718
2024-04-18,4693.0000,4780.0000,4641.0498,4742.7002,199247
2024-04-19,4742.7002,4877.0000,4717.5498,4811.8999,332744
2024-04-22,4849.0000,4978.8999,4573.8999,4602.6499,226096
2024-04-23,4602.6499,4750.0000,4510.2998,4544.9502,288963
2024-04-24,4594.8999,4636.7500,4392.1001,4436.3999,194342
2024-04-25,4485.0000,4485.0000,4260.0000,4300.2998,148427
2024-04-26,4342.7500,4414.9502,4307.9502,4367.7998,117241
2024-04-29,4413.8999,4552.0000,4395.3501,4454.5000,169747
2024-04-30,4492.0000,4718.3501,4480.0000,4669.6001,288560
2024-05-02,4700.0000,4725.2002,4601.1001,4696.2998,300855
2024-05-03,4676.0000,4799.0000,4645.2500,4766.8999,178717
2024-05-06,4766.8999,4766.8999,4517.0000,4652.2500,148354
2024-05-07,4655.0000,4674.0000,4484.2500,4558.7002,107952
2024-05-08,4562.6001,4773.2500,4562.0498,4693.9502,161786
2024-05-09,4740.0000,4760.9502,4434.0000,4485.3501,125421
2024-05-10,4540.2998,4629.5498,4412.1001,4581.8999,72384
2024-05-13,4650.0000,4680.0000,4542.0000,4609.2500,159155
2024-05-14,4649.7002,4839.7002,4638.8501,4695.5498,303839
2024-05-15,4724.0000,5382.3999,4723.9502,5087.7998,1078129
2024-05-16,5129.9502,5241.9502,4920.0000,4944.7998,480662
2024-05-17,5031.0498,5049.3999,4905.5000,4941.2500,295652
2024-05-21,4980.0000,5122.0000,4887.0000,5001.2500,247383
2024-05-22,5063.7002,5170.0000,4920.0000,5031.8999,382764
2024-05-23,5094.0000,5348.0000,4927.0000,5164.7998,524907
2024-05-24,5184.1001,5256.6499,5065.0000,5143.6001,322119
2024-05-27,5206.8999,5419.9502,5153.9502,5295.7002,485754
2024-05-28,5306.1499,5550.0000,5230.0498,5349.6499,482461
2024-05-29,5371.0498,5569.0000,5247.0000,5283.7500,446572
2024-05-30,5335.7998,5554.3999,5215.0000,5424.6001,614851
2024-05-31,5495.0000,5564.0000,5122.1001,5404.6499,5477923
2024-06-03,5640.0000,5699.8999,5554.0498,5658.6001,274033
2024-06-04,5699.9502,5699.9502,4930.7998,5277.2998,777579
2024-06-05,5463.1001,5463.1001,4968.1001,5130.7002,582073
2024-06-06,5149.0000,5282.0000,5102.1499,5262.2002,212935
2024-06-07,5319.8999,5430.0000,5080.0000,5226.1001,273990
2024-06-10,5220.0000,5257.1499,5145.0498,5161.7500,114241
2024-06-11,5226.3501,5307.3501,5131.0498,5199.2998,229218
2024-06-12,5199.0000,5449.8999,5152.1001,5397.1001,130713
2024-06-13,5404.9502,5531.0000,5305.0000,5342.3999,74113
2024-06-14,5389.7998,5404.6499,5256.7998,5311.8999,123318
2024-06-18,5417.3999,5419.0000,5232.0000,5257.7998,64774
2024-06-19,5284.1001,5310.0000,5058.0498,5117.2998,114279
2024-06-20,5134.9502,5174.8999,5080.0498,5140.1499,81766
2024-06-21,5130.0000,5179.0000,5011.1001,5038.5498,279015
2024-06-24,5048.0498,5224.9502,5018.4502,5198.2500,107502
2024-06-25,5239.9502,5265.3999,5091.0000,5115.6499,84493
2024-06-26,5150.0000,5189.8999,5050.0000,5147.1499,120439
2024-06-27,5082.0000,5475.0000,5076.9502,5348.2998,163700
2024-06-28,5305.2500,5410.0000,5241.0000,5351.0000,95492
2024-07-01,5368.1001,5368.1499,5241.1001,5298.1499,44175
2024-07-02,5309.9502,5320.9502,5143.9502,5168.6499,190471
2024-07-03,5220.0000,5349.0000,5151.5000,5294.5498,50086
2024-07-04,5320.0000,5355.0000,5258.5498,5289.0000,47737
2024-07-05,5289.9502,5789.0000,5289.9502,5631.0498,521073
2024-07-08,5655.7500,5839.9502,5620.5000,5666.4502,211014
2024-07-09,5694.0000,5815.0000,5531.6001,5561.2500,78578
2024-07-10,5550.0000,5550.0000,5307.0000,5326.9502,99766
2024-07-11,5250.0000,5330.0000,5159.0498,5230.2998,172469
2024-07-12,5275.0000,5330.0000,5203.2002,5252.2500,55466
2024-07-15,5252.2500,5300.0000,5096.0498,5169.5498,157848
2024-07-16,5170.0000,5235.0000,5050.5498,5098.6001,126521
2024-07-18,5089.5498,5135.0000,4905.1499,4962.3501,174482
2024-07-19,4980.5498,5020.0000,4840.0000,4972.3501,138486
2024-07-22,4955.2500,5015.0000,4940.0498,4978.0000,291054
2024-07-23,4979.7998,5048.2998,4801.5498,4973.7500,74156
2024-07-24,5026.0498,5068.0000,4903.0498,4940.0498,58922
2024-07-25,4934.0498,5025.0000,4899.0498,4942.6001,35601
2024-07-26,4950.0498,5086.0000,4950.0000,5068.9502,59650
2024-07-29,5120.0000,5145.2500,5033.0498,5050.2500,47198
2024-07-30,5073.7998,5090.8999,5039.0000,5059.0000,35018
2024-07-31,5059.0000,5116.0000,5021.2002,5071.7998,94885
2024-08-01,5082.7998,5215.0498,5057.8999,5180.2002,88390
2024-08-02,5139.0498,5195.8999,4950.0000,4984.2998,280016
2024-08-05,4900.0000,4923.8999,4503.5000,4543.2998,117354
2024-08-06,4575.2500,4629.9502,4430.0000,4450.2998,200005
2024-08-07,4475.0000,4536.8999,4367.9502,4390.3501,128393
2024-08-08,4409.4502,4488.0000,4345.0000,4358.3999,67584
2024-08-09,4400.0000,4515.9502,4301.0498,4356.3999,113584
2024-08-12,4357.0000,4361.0498,4171.3501,4257.0000,270932
2024-08-13,4256.0000,4395.0000,4253.0000,4314.0000,99498
2024-08-14,4323.4502,4331.7500,4231.8501,4301.1001,70174
2024-08-16,4312.7500,4435.0000,4310.0000,4377.0000,351782
2024-08-19,4448.8501,4448.8501,4288.7998,4314.0000,61510
2024-08-20,4332.1499,4410.2500,4290.6001,4376.9502,45646
2024-08-21,4356.6001,4550.0000,4356.6001,4497.5000,116618
2024-08-22,4500.0000,4596.6499,4500.0000,4568.7002,170727
2024-08-23,4566.0000,4630.0000,4461.3501,4481.0498,96960
2024-08-26,4465.0498,4494.9502,4332.5498,4435.6499,90076
2024-08-27,4435.6499,4500.0000,4425.8999,4439.2002,186854
2024-08-28,4494.0000,4494.0000,4390.0000,4446.2002,125961
2024-08-29,4465.2002,4469.3501,4337.1499,4360.0000,46737
2024-08-30,4370.0000,4447.2002,4330.0000,4372.7998,177013
2024-09-02,4393.2998,4404.3999,4353.0000,4384.7002,67305
2024-09-03,4389.0000,4447.8501,4353.0000,4382.4502,47861
2024-09-04,4359.0000,4372.4502,4290.0000,4326.9502,52410
2024-09-05,4345.7002,4345.7002,4265.0000,4279.4502,60163
2024-09-06,4290.6001,4393.7998,4287.2500,4330.3999,63491
2024-09-09,4330.3999,4404.0000,4280.1001,4323.6499,176242
2024-09-10,4318.0000,4390.0000,4295.2998,4380.2500,53151
2024-09-11,4415.0000,4498.8501,4377.1001,4469.9502,96316
2024-09-12,4450.0498,4689.3501,4450.0498,4640.6001,195773
