date,open,high,low,close,volume
2023-09-25,523.0000,545.0000,523.0000,533.6500,1664
2023-09-26,544.0000,550.0000,523.0000,531.0500,5754
2023-09-27,531.0000,543.0000,530.0000,541.0000,217
2023-09-28,539.9500,558.0000,537.0000,554.1000,5258
2023-09-29,554.1000,568.0000,532.0000,555.1000,3934
2023-10-03,533.1000,575.0000,533.1000,567.3000,6247
2023-10-04,567.3000,568.6500,551.0000,559.9500,4165
2023-10-05,559.9500,573.0000,558.9500,571.5000,3307
2023-10-06,570.0000,570.0000,554.0000,561.9000,2121
2023-10-09,561.9000,561.9000,536.2000,544.2500,194
2023-10-10,559.9500,571.4500,547.0500,565.4500,2381
2023-10-11,565.4500,571.0000,554.0000,555.6500,346
2023-10-12,559.9500,565.0000,552.5000,562.8500,531
2023-10-13,555.0000,562.8500,540.0000,559.0000,821
2023-10-16,558.9500,559.0000,546.0500,552.1500,3574
2023-10-17,548.0000,566.0000,548.0000,553.2500,1388
2023-10-18,553.2500,560.0000,531.5000,545.9000,1548
2023-10-19,559.0000,559.0000,542.0000,546.7500,1669
2023-10-20,551.1000,552.0000,540.0000,541.5000,309
2023-10-23,545.2000,550.0000,529.0000,539.2000,1299
2023-10-25,539.2000,539.2000,524.0000,527.5000,1123
2023-10-26,522.0000,551.7000,519.0000,540.0000,2489
2023-10-27,532.1000,554.1000,513.0000,520.4000,5999
2023-10-30,518.0500,544.8000,518.0500,527.3000,6847
2023-10-31,527.0000,548.0000,527.0000,538.0500,4401
2023-11-01,538.0000,564.9500,538.0000,564.9500,6846
2023-11-02,564.9500,593.1500,560.2500,588.9000,7384
2023-11-03,595.0000,595.0000,570.2000,585.8000,3679
2023-11-06,610.9500,616.9000,586.0000,607.9500,12458
2023-11-07,613.0000,718.0000,613.0000,678.7500,101489
2023-11-08,694.0000,694.0000,633.5500,660.3500,24555
2023-11-09,650.0000,675.0000,625.0000,636.7000,21913
2023-11-10,636.7000,644.0000,627.7500,640.7500,8841
2023-11-13,646.0500,661.1000,623.2500,629.5000,9841
2023-11-15,632.0000,641.1000,608.4000,616.9500,8161
2023-11-16,630.0000,647.9500,613.3500,626.5000,12446
2023-11-17,626.0000,626.0000,595.2000,599.9500,8245
2023-11-20,586.0000,612.9500,585.5500,606.3500,1720
2023-11-21,600.0000,600.0000,581.1000,591.3000,1667
2023-11-22,596.0000,596.0000,580.0000,584.5000,1204
2023-11-23,589.9500,590.0000,582.0000,586.0500,1345
2023-11-24,594.0000,594.0000,580.0000,584.6500,1581
2023-11-28,571.0000,609.4000,571.0000,599.1500,1723
2023-11-29,614.1500,625.0000,605.1000,611.8000,2428
2023-11-30,620.0000,620.0000,601.1000,602.0500,1029
2023-12-01,615.0000,632.1500,600.0000,632.1500,6042
2023-12-04,632.1500,663.7500,605.5500,663.7500,5973
2023-12-05,663.7500,696.0000,663.7500,693.6500,9226
2023-12-06,680.0500,727.8000,680.0500,714.7500,6680
2023-12-07,742.9000,750.4500,706.2000,744.1000,11895
2023-12-08,748.1000,781.3000,748.1000,775.0000,5872
2023-12-11,810.0000,810.0000,770.0000,791.6500,2407
2023-12-12,791.0000,819.0000,757.2500,765.0000,4525
2023-12-13,780.0000,780.0000,726.7500,736.5500,3798
2023-12-14,736.5500,750.0000,726.0000,740.1000,4289
2023-12-15,748.0000,775.0000,738.2000,743.3000,1223
2023-12-18,759.9000,759.9000,723.0000,747.4500,1885
2023-12-19,728.0000,759.8000,717.0000,749.0000,1253
2023-12-20,740.0000,767.0000,711.5500,720.7500,5453
2023-12-21,720.7500,721.0000,690.3000,719.7000,5450
2023-12-22,743.9500,751.3000,719.0000,737.1500,1656
2023-12-26,737.1500,774.0000,720.1000,765.8500,6011
2023-12-27,772.0000,798.9000,772.0000,795.4500,3713
2023-12-28,796.0000,805.0000,770.0500,790.3500,3698
2023-12-29,782.0000,805.0000,782.0000,801.6500,2962
2024-01-01,801.6500,834.7000,790.5000,824.8500,2090
2024-01-02,801.0000,866.0500,801.0000,865.8000,5061
2024-01-03,865.8000,909.0000,865.8000,903.1000,9224
2024-01-04,930.0000,948.2500,930.0000,948.2500,6684
2024-01-05,994.9000,994.9000,900.8500,923.3500,9891
2024-01-08,925.6500,925.6500,894.0000,915.5500,1955
2024-01-09,891.0500,916.0000,875.0500,888.6000,4229
2024-01-10,889.0000,889.0000,864.9000,869.9000,1365
2024-01-11,880.0000,899.2500,855.0000,883.2500,2295
2024-01-12,890.0000,897.0000,839.1000,839.1000,6084
2024-01-15,839.1000,839.1000,839.1000,839.1000,0
2024-01-16,807.7500,807.7500,757.3000,757.3000,5630
2024-01-17,720.1000,754.0000,719.4500,719.4500,7018
2024-01-18,690.6000,755.4000,690.6000,755.4000,2331
2024-01-19,774.0000,793.0000,766.5000,792.7000,4260
2024-01-23,785.0000,787.8500,741.0000,747.8500,1831
2024-01-24,759.9500,759.9500,731.0500,751.0000,824
2024-01-25,759.9500,774.3000,720.0000,726.3000,2845
2024-01-29,759.9000,759.9000,720.9000,738.5500,1201
2024-01-30,740.0000,749.0000,727.0000,745.0000,1605
2024-01-31,747.0000,769.8500,731.0000,742.3000,1986
2024-02-01,743.0000,779.4000,720.0000,769.6500,5801
2024-02-02,779.4000,789.0000,740.1500,773.9500,2488
2024-02-05,770.0000,770.0000,735.2500,736.6500,5551
2024-02-06,747.9500,747.9500,707.0000,716.5500,4728
2024-02-07,716.5500,724.7500,695.0000,703.1500,1800
2024-02-08,718.9500,723.4500,705.0000,713.4500,852
2024-02-09,701.0000,702.0000,677.8000,684.9500,3545
2024-02-12,684.9500,700.0000,650.7000,653.3000,2484
2024-02-13,653.3000,681.0000,620.6500,633.9500,2601
2024-02-14,633.9500,652.0000,630.0000,648.6500,854
2024-02-15,650.0000,677.8000,650.0000,668.6500,1612
2024-02-16,641.5500,690.0000,641.5500,674.3000,3568
2024-02-19,672.0000,695.0000,672.0000,680.0000,1493
2024-02-20,685.0000,685.0000,660.0000,670.7500,1575
2024-02-21,670.0000,699.0000,670.0000,671.7500,841
2024-02-22,685.0000,685.0000,660.0000,662.7000,958
2024-02-23,672.0000,694.0000,653.4000,664.3500,621
2024-02-26,648.1000,689.9000,648.1000,675.7000,4096
2024-02-27,684.0000,684.0000,653.0000,675.1500,2255
2024-02-28,688.0000,688.0000,656.0000,661.5000,729
2024-02-29,651.0000,669.0000,635.0000,652.4000,962
2024-03-01,680.0000,685.0000,660.0000,685.0000,10695
2024-03-04,719.3000,748.9000,719.3000,741.2000,4564
2024-03-05,765.9500,765.9500,720.0000,743.9000,2629
2024-03-06,744.0000,744.0000,706.7000,709.1500,1374
2024-03-07,734.0000,734.0000,682.1000,694.1000,846
2024-03-11,694.0000,709.9500,666.0000,682.8000,913
2024-03-12,700.0000,700.0000,652.0500,660.7000,646
2024-03-13,670.0000,675.0000,630.2500,643.7500,858
2024-03-14,617.0500,669.0000,617.0500,655.9000,1360
2024-03-15,655.9000,670.0000,650.0000,656.9500,546
2024-03-18,687.0000,687.0000,641.1000,675.7500,4008
2024-03-19,685.0000,695.0000,670.0000,673.8000,222
2024-03-20,700.0000,700.0000,645.0000,667.7000,1768
2024-03-21,687.0000,687.0000,667.7000,683.3000,3388
2024-03-22,708.9000,708.9000,655.0500,662.2500,1725
2024-03-26,666.6000,694.9000,640.0000,689.4000,2349
2024-03-27,715.0000,715.0000,670.0000,682.0000,2045
2024-03-28,671.0000,698.0000,655.0000,674.4000,1926
2024-04-01,699.0000,699.0000,665.0500,690.0000,371
2024-04-02,699.9000,699.9000,677.8000,678.3500,669
2024-04-03,695.0000,695.0000,676.0000,685.4000,454
2024-04-04,710.0000,710.0000,680.0000,689.0500,1017
2024-04-05,699.0000,706.5000,681.0000,698.9500,2584
2024-04-08,670.3500,730.0000,670.3500,722.1000,1922
2024-04-09,739.0000,740.0000,700.0500,705.5000,959
2024-04-10,737.0000,737.0000,710.0000,721.5500,720
2024-04-12,721.5500,739.0000,715.0000,731.9500,1894
2024-04-15,701.0500,745.0000,701.0500,712.8500,1085
2024-04-16,734.0000,734.0000,677.2000,698.8000,2731
2024-04-18,697.7500,730.0000,685.0000,723.1000,2150
2024-04-19,693.0500,723.0000,687.2500,696.0500,1707
2024-04-22,709.9000,723.9500,700.0000,705.8000,744
2024-04-23,723.0000,734.0000,693.0000,697.8500,1177
2024-04-24,708.9500,708.9500,670.2000,696.0000,1614
2024-04-25,705.7000,705.7000,685.0000,687.3500,1176
2024-04-26,705.3500,716.0000,676.0500,702.8500,2263
2024-04-29,700.0000,729.0000,695.4000,716.6000,2326
2024-04-30,733.0000,752.4000,693.0500,752.4000,56894
2024-05-02,774.9500,774.9500,714.8000,714.8000,26224
2024-05-03,718.8000,718.8000,679.1000,679.1000,8744
2024-05-06,645.1500,672.0000,645.1500,645.1500,15395
2024-05-07,619.2500,649.9000,612.9000,634.2000,18166
2024-05-08,640.0000,640.0000,602.5000,603.5000,7697
2024-05-09,590.5000,614.8500,573.3500,573.3500,19676
2024-05-10,577.0000,591.9500,544.7000,547.1500,6323
2024-05-13,545.0000,574.0000,531.0500,552.6000,9069
2024-05-14,562.6000,580.2000,525.5500,536.4500,11984
2024-05-15,546.4500,559.0000,539.8500,551.4500,2556
2024-05-16,559.1500,560.9500,538.0000,554.6000,4067
2024-05-17,560.9500,579.7000,545.4000,568.7500,4504
2024-05-21,578.6500,578.6500,550.1000,554.5000,1397
2024-05-22,550.1500,566.1500,526.8000,532.9500,7944
2024-05-23,543.9500,543.9500,525.0500,532.1500,3336
2024-05-24,548.8500,548.9000,509.0000,515.9000,5167
2024-05-27,540.0000,540.0000,502.3500,507.4000,5834
2024-05-28,518.0000,518.0000,493.1000,501.0000,3222
2024-05-29,490.2500,526.0500,490.2500,517.1000,3875
2024-05-30,520.0000,529.9000,513.1000,518.9000,1375
2024-05-31,509.9500,523.4500,509.1500,512.3500,2316
2024-06-03,520.0000,536.0000,517.5500,519.2500,4333
2024-06-04,510.0000,517.9500,493.3000,511.1000,5157
2024-06-05,528.3500,529.3000,495.0000,522.3500,2014
2024-06-06,534.4500,548.4000,524.1500,533.5000,6005
2024-06-07,558.8000,559.9000,544.0000,555.8500,5129
2024-06-10,565.0000,575.9500,548.9000,555.2000,1958
2024-06-11,562.0000,580.0000,556.7000,577.0500,4546
2024-06-12,570.0000,585.0000,569.7500,575.5500,5952
2024-06-13,572.0500,633.1000,572.0500,631.0000,13325
2024-06-14,631.0000,631.0000,605.5500,614.8000,3920
2024-06-18,619.0000,621.0000,598.3000,603.2500,4820
2024-06-19,619.0000,619.0000,578.0000,612.7000,5077
2024-06-20,621.4500,621.4500,602.7000,614.8500,1785
2024-06-21,620.9500,624.4500,583.4000,588.9500,6408
2024-06-24,588.9500,602.2000,551.0000,554.7000,10764
2024-06-25,570.0000,592.2500,559.9500,582.7500,6474
2024-06-26,587.4500,587.4500,563.0000,574.1000,2150
2024-06-27,587.9500,587.9500,540.0000,555.5000,6070
2024-06-28,576.3500,579.9500,554.0000,569.0500,3198
2024-07-01,581.0000,581.0000,555.0500,560.6500,5607
2024-07-02,569.7000,569.7000,547.1500,550.6500,3583
2024-07-03,550.6500,566.9500,535.6000,550.6500,4223
2024-07-04,555.0000,566.7000,541.2000,545.8000,5483
2024-07-05,540.2000,554.8500,530.0000,538.1000,6096
2024-07-08,542.8000,547.8500,520.0000,524.7000,7708
2024-07-09,553.0000,553.0000,518.7000,526.6000,5062
2024-07-10,536.0000,555.0000,520.0000,541.5000,7832
2024-07-11,554.4500,554.4500,527.0500,540.9000,6156
2024-07-12,532.0000,580.0000,532.0000,557.7500,12716
2024-07-15,566.1000,579.0000,563.7500,568.2000,14756
2024-07-16,568.2500,589.2000,550.4500,583.2000,6189
2024-07-18,597.0000,598.8500,566.5000,585.2000,6200
2024-07-19,595.0000,595.1500,541.6500,553.7000,7385
2024-07-22,560.0000,574.8000,547.0000,569.5500,3573
2024-07-23,579.0000,580.9500,549.0500,558.4000,4408
2024-07-24,551.1000,612.3000,545.8500,589.3500,18439
2024-07-25,589.3500,600.0000,551.1000,558.4500,19809
2024-07-26,541.0000,560.0500,530.0000,538.9500,26802
2024-07-29,551.4500,551.4500,516.5500,519.1000,19086
2024-07-30,525.0000,532.0000,517.0000,520.6000,14383
2024-07-31,525.0000,525.0000,506.3500,516.8500,6756
2024-08-01,519.0000,519.0000,496.0000,502.3000,9911
2024-08-02,500.0000,500.0000,475.0000,491.1500,10315
2024-08-05,461.3500,482.9500,461.3500,481.5000,6991
2024-08-06,481.5000,487.9000,460.0500,464.2500,10207
2024-08-07,484.9500,484.9500,456.0000,464.4000,11255
2024-08-08,464.3500,490.0000,451.0000,472.9500,13680
2024-08-09,478.0000,567.5000,478.0000,556.5500,163435
2024-08-12,600.0000,617.8500,560.5500,578.5000,68253
2024-08-13,577.8500,586.5500,530.0000,539.3000,21082
2024-08-14,544.0000,562.0000,529.5500,548.5500,10665
2024-08-16,555.0000,575.0000,545.1500,567.6500,10000
2024-08-19,575.0000,575.9500,550.3500,554.7500,7144
2024-08-20,554.7500,561.0000,536.3500,539.9500,9089
2024-08-21,536.0500,559.4500,536.0500,551.0500,7302
2024-08-22,543.0500,557.7500,531.0500,534.5000,8375
2024-08-23,544.2000,555.0000,530.0000,532.7500,6883
2024-08-26,540.7500,553.4500,531.1000,536.1000,7967
2024-08-27,535.9000,550.0000,534.1000,538.6000,5676
2024-08-28,538.6000,548.4500,523.3500,535.6000,6848
2024-08-29,539.3500,543.0000,528.6500,538.3500,3133
2024-08-30,532.0000,544.0000,525.4000,538.0000,6101
2024-09-02,545.7000,558.6000,531.0000,535.3500,4838
2024-09-03,539.9000,542.9500,534.5500,536.6000,1936
2024-09-04,531.0000,557.3500,525.5500,547.6000,11468
2024-09-05,549.5500,560.9500,547.5500,555.3000,4845
2024-09-06,559.0000,568.4000,545.0000,550.6500,10054
2024-09-09,550.0000,550.0000,535.0000,540.1000,3210
2024-09-10,542.1000,543.3000,532.0000,533.9500,2218
2024-09-11,538.7000,545.1500,533.0500,534.5500,2840
2024-09-12,530.0000,547.0000,520.0500,523.5500,8164
2024-09-13,525.0500,536.2000,520.2000,525.4000,3877
2024-09-16,538.4500,545.0500,531.9500,541.2500,5165
2024-09-17,533.7500,554.0000,531.0000,535.8000,1812
2024-09-18,541.9000,546.0000,525.8000,540.8500,5650
2024-09-19,536.6000,545.0500,530.0000,538.9500,3189
2024-09-20,542.4000,545.0500,528.8500,538.0000,4626
2024-09-23,544.0000,544.0000,531.5500,540.4000,2053
2024-09-24,542.3500,562.9500,530.0000,542.2500,11251
2024-09-25,548.8000,650.7000,536.0000,650.7000,90857
2024-09-26,678.0000,747.0000,670.0000,697.5000,384962
2024-09-27,689.0000,689.0000,658.2000,662.4500,37731
2024-09-30,656.7000,664.7000,622.2000,630.4000,26832
2024-10-01,630.1000,700.0000,615.6000,680.5500,27391
2024-10-03,677.8500,700.0000,652.5000,686.3500,23543
2024-10-04,689.0000,689.0000,637.3000,644.5000,8206
2024-10-07,658.8500,680.0000,611.2000,614.7000,12494
2024-10-08,614.4500,676.1000,589.7000,643.0000,11362
2024-10-09,655.0000,695.0000,618.0000,628.8500,34345
2024-10-10,638.3000,665.0000,633.8000,652.1500,9962
2024-10-11,652.5000,675.0000,641.9500,657.1000,10116
2024-10-14,661.9500,675.0000,640.0500,644.4000,13008
2024-10-15,644.4000,658.9000,636.0000,639.2500,6739
2024-10-16,644.4500,660.0000,615.6000,624.1000,13024
2024-10-17,624.5000,642.2000,592.6000,597.2500,9804
2024-10-18,609.6500,618.9500,576.0500,604.8500,9081
2024-10-21,628.0000,628.0000,571.0000,590.1000,5620
2024-10-22,573.3500,590.9500,531.5000,535.5000,9114
2024-10-23,546.5000,560.9500,523.2500,542.1500,6562
2024-10-24,547.8000,567.9000,540.0000,546.6500,5515
2024-10-25,546.3000,560.9500,525.0500,527.0500,9501
2024-10-28,520.7000,549.9000,518.1000,523.4000,9747
2024-10-29,528.4500,540.0000,518.0000,531.5500,4088
2024-10-30,525.0000,543.7000,515.0000,519.7000,11779
2024-10-31,527.5500,530.1500,501.0500,508.3500,10312
2024-11-01,539.9500,540.1500,508.6500,523.1500,5395
2024-11-04,536.9000,538.0000,520.0500,524.7000,4506
2024-11-05,529.5500,529.9000,515.0000,518.1000,3991
2024-11-06,527.0000,532.9500,510.6500,521.7000,4838
2024-11-07,527.5500,529.5000,513.2500,517.0500,4838
2024-11-08,517.1000,522.9000,511.1000,517.3000,3932
2024-11-11,517.2500,524.0000,487.2000,491.0500,6314
2024-11-12,490.0000,501.4500,486.5500,497.3500,3218
2024-11-13,494.5500,496.0000,480.6500,486.1500,2159
2024-11-14,476.2000,499.8500,476.2000,492.5000,2587
2024-11-18,487.0000,499.2500,472.8500,478.6000,4809
