date,open,high,low,close,volume
2023-09-18,39.1000,39.5000,38.5500,38.7000,8494630
2023-09-20,38.7000,38.7000,38.0000,38.1500,8043830
2023-09-21,38.1000,39.2000,37.8500,37.9500,11867478
2023-09-22,38.0000,38.3500,37.3500,37.8000,7252871
2023-09-25,37.8000,38.5000,37.6500,37.8500,8552321
2023-09-26,37.9500,38.2500,37.5000,37.6500,6593804
2023-09-27,37.6500,38.2000,37.4500,38.0500,6167758
2023-09-28,38.3000,38.9500,37.6000,37.8000,11547042
2023-09-29,38.0000,38.0500,37.5500,37.6500,6637805
2023-10-03,37.6500,37.8000,37.1000,37.2500,7590950
2023-10-04,37.2000,37.2500,36.5500,36.8000,6890069
2023-10-05,36.9500,37.7000,36.9000,37.5000,10885840
2023-10-06,37.7500,38.7000,37.3000,38.5000,10279675
2023-10-09,37.4500,37.6000,36.6000,36.7000,12538190
2023-10-10,36.7500,37.2500,36.7500,36.9000,5950903
2023-10-11,37.1000,37.6000,37.0000,37.1000,6017176
2023-10-12,37.3000,37.6000,37.0000,37.1000,6386037
2023-10-13,36.9500,37.3000,36.9000,37.1000,5075620
2023-10-16,37.1500,37.9000,37.0500,37.1500,7880153
2023-10-17,37.0000,37.6000,36.0000,36.1000,30285572
2023-10-18,35.8500,36.4000,35.1500,35.6000,19357066
2023-10-19,35.0000,35.4500,34.7000,34.8500,11290587
2023-10-20,34.8500,36.5000,34.8500,35.5000,18629410
2023-10-23,35.5000,35.6500,33.5000,33.6500,12141285
2023-10-25,33.6500,34.6500,32.9000,33.8000,9188545
2023-10-26,33.8000,33.9500,32.4000,33.7000,9369773
2023-10-27,34.1000,34.8500,33.9500,34.7000,7030536
2023-10-30,34.6000,35.1500,34.0500,34.8500,8065132
2023-10-31,35.0500,35.6000,34.7000,34.9000,5955095
2023-11-01,34.9500,35.3500,34.3500,34.5000,5098893
2023-11-02,34.9500,35.1500,34.7000,34.8500,3161737
2023-11-03,35.2000,35.4500,34.8500,34.9500,4844938
2023-11-06,35.3000,35.3500,35.0000,35.1000,3666370
2023-11-07,35.2500,37.5500,35.2500,36.8000,31345257
2023-11-08,37.1500,37.4000,36.5000,36.7000,10562858
2023-11-09,36.8000,36.8000,35.8000,35.9500,7280441
2023-11-10,35.9000,36.3000,35.5500,36.2000,5305827
2023-11-13,36.7000,36.7000,36.0000,36.4000,5465323
2023-11-15,39.2500,39.7500,37.8000,38.3500,42201145
2023-11-16,38.5000,38.6000,37.5500,37.8000,13682999
2023-11-17,37.8500,37.9500,37.3000,37.4500,8668836
2023-11-20,37.6500,37.7500,36.9000,37.1000,7873910
2023-11-21,37.1500,38.2000,37.1000,37.3000,12064843
2023-11-22,37.3500,38.1500,37.0000,37.2000,11275392
2023-11-23,37.1000,37.4000,37.0000,37.1000,5713706
