date,open,high,low,close,volume
2023-09-20,385.0000,392.0500,374.3500,377.1500,1065288
2023-09-21,377.1500,387.9500,366.0000,368.4000,1315049
2023-09-22,372.8000,385.2500,372.8000,381.6000,2176699
2023-09-25,383.6000,404.0000,380.3500,389.8000,3707872
2023-09-26,389.8000,391.0000,374.2500,381.7500,1571883
2023-09-27,381.7500,386.0000,376.0000,384.5000,683173
2023-09-28,384.9000,397.7500,382.4500,387.0500,1759063
2023-09-29,389.0500,389.7000,377.1000,379.7000,662899
2023-10-03,381.9000,386.0000,375.0000,375.9000,636279
2023-10-04,375.2500,387.0000,374.1000,376.9000,992636
2023-10-05,380.8000,383.5500,377.1000,379.1500,395843
2023-10-06,379.5500,385.3000,378.0500,381.8000,413830
2023-10-09,382.5500,385.3000,374.6000,376.1000,678429
2023-10-10,379.8500,392.9000,379.0000,386.4500,1002628
2023-10-11,388.0000,390.0000,380.1000,385.5000,534455
2023-10-12,388.0000,396.3500,381.5000,390.9500,712069
2023-10-13,389.0000,390.3000,381.6000,383.0000,308410
2023-10-16,384.1500,391.5000,381.8000,383.5500,475883
2023-10-17,387.3500,389.8500,382.1500,384.1000,282537
2023-10-18,391.0000,416.5000,387.6000,398.4000,5017506
2023-10-19,398.0000,403.5000,394.2000,398.1000,837445
2023-10-20,399.0000,402.6000,385.0000,387.9500,642444
2023-10-23,387.9500,390.5500,350.0000,354.6500,1551740
2023-10-25,358.2000,379.7000,349.1500,358.6500,1663989
2023-10-26,359.6500,368.0000,343.1000,362.9000,1043934
2023-10-27,366.0000,373.0000,364.6500,370.3000,632164
2023-10-30,373.6000,377.8500,368.5000,370.4000,475463
2023-10-31,369.9500,370.0000,354.0000,356.4000,1090665
2023-11-01,359.0000,363.9500,351.0000,353.3500,552538
2023-11-02,356.0000,364.0000,354.0000,362.6500,407483
2023-11-03,366.4000,369.0000,358.0000,361.2000,418440
2023-11-06,365.0000,370.9500,360.3000,365.9000,548576
2023-11-07,366.0000,370.0000,365.0500,368.6000,332077
2023-11-08,370.0000,371.8000,365.1000,367.1500,304841
2023-11-09,368.0000,368.6000,358.2500,360.7000,271458
2023-11-10,360.8000,363.8000,354.1000,355.6000,346931
2023-11-13,362.2500,364.9000,357.7000,360.7000,397460
2023-11-15,362.7000,365.9500,360.2500,363.3000,304600
2023-11-16,362.0000,364.6500,357.7500,359.1000,270159
2023-11-17,358.9500,365.0500,357.3000,363.0000,323355
2023-11-20,363.0000,369.9000,361.6500,366.9500,588113
2023-11-21,369.5000,370.9000,365.1000,370.2000,310073
2023-11-22,370.5000,371.4500,360.1000,362.7500,430142
2023-11-23,362.9500,382.9500,362.9500,378.4000,1694335
2023-11-24,380.0000,383.2000,372.7000,375.4500,526352
2023-11-28,378.8000,380.9500,371.2000,379.2500,482109
2023-11-29,380.0000,381.0000,374.1000,378.4500,391361
2023-11-30,378.4500,400.9000,377.8000,387.3000,1717364
2023-12-01,387.3000,393.9000,386.0000,387.5000,664623
2023-12-04,395.0000,395.9000,385.4500,391.9000,1113147
2023-12-05,394.3000,394.8000,382.0000,386.4000,677017
2023-12-06,385.3000,391.5000,360.0000,363.4500,2083366
2023-12-07,350.0000,359.0000,336.2000,346.0500,3856691
2023-12-08,337.0000,348.6000,332.1500,333.2500,2100383
2023-12-11,337.9500,349.0000,336.2000,345.2500,2353703
2023-12-12,347.0000,351.7000,340.9500,342.1500,860763
2023-12-13,344.8000,348.0000,336.2000,346.3500,964447
2023-12-14,349.8000,354.0000,337.0000,338.1500,1388139
2023-12-15,343.0000,343.9000,337.7000,339.0500,423188
2023-12-18,359.3000,362.5000,346.0000,346.8500,2011845
2023-12-19,350.1000,350.5000,342.0500,344.1000,524652
2023-12-20,340.3500,346.7500,329.8000,330.4000,839874
2023-12-21,329.0000,341.8000,329.0000,339.0500,604086
2023-12-22,342.9000,342.9000,329.0000,331.1500,827816
2023-12-26,333.5500,335.3500,330.9500,334.7000,299442
2023-12-27,336.4000,345.9000,333.0500,336.4500,1125363
2023-12-28,338.7500,349.0000,334.8000,346.3000,845388
2023-12-29,346.0000,355.0000,342.3500,344.7000,1461366
2024-01-01,345.0500,349.0000,342.1000,345.1000,518097
2024-01-02,346.0500,346.9500,337.3000,339.7000,350186
2024-01-03,341.0000,341.6000,337.6500,338.6500,263244
2024-01-04,340.0000,344.0500,338.5000,341.0000,320282
2024-01-05,340.1000,344.6000,338.5000,341.1500,298937
2024-01-08,343.8500,344.0000,337.2500,338.9500,183720
2024-01-09,340.5500,343.6500,337.0000,341.0500,377830
2024-01-10,341.0000,342.4000,336.1500,338.3000,288429
2024-01-11,338.8500,341.8500,332.0000,333.0500,482322
2024-01-12,334.7500,336.0500,332.8000,334.1500,231085
2024-01-15,336.7500,336.9500,332.2000,334.9000,302920
2024-01-16,334.0000,336.7500,331.9000,333.7000,358414
2024-01-17,333.0000,333.6000,327.1000,328.3500,271231
2024-01-18,330.0000,337.6500,324.2000,334.6500,484027
2024-01-19,337.0000,344.9500,333.5000,341.3500,678272
2024-01-23,336.0000,337.6000,323.0500,325.0000,638127
2024-01-24,324.7500,328.0000,321.7000,326.1000,349425
2024-01-25,327.5000,335.7500,326.1000,330.3000,398557
2024-01-29,332.3500,337.9500,322.6000,330.8000,775652
2024-01-30,332.5000,334.8000,326.7500,328.1000,471347
2024-01-31,330.0000,345.2500,330.0000,342.2500,1217066
2024-02-01,342.3000,345.0000,333.8500,336.9500,390733
2024-02-02,339.0000,344.6500,336.7500,337.9000,643389
2024-02-05,339.9000,361.4000,339.7000,349.9000,2084611
2024-02-06,352.5000,356.0000,346.7000,352.6500,731546
2024-02-07,355.0000,368.4000,352.0500,362.1000,2025806
2024-02-08,362.1500,364.4000,354.6000,358.1000,563283
2024-02-09,355.9000,355.9000,338.4500,348.5500,537019
2024-02-12,350.0000,351.3000,330.6000,333.6000,439555
2024-02-13,333.6000,335.0000,325.9500,331.6500,276354
2024-02-14,328.7500,340.9500,325.9000,332.8500,439225
2024-02-15,335.4500,339.2500,333.0000,335.9500,264646
2024-02-16,338.4000,344.4000,334.2500,337.9000,261486
2024-02-19,342.0000,351.0000,341.0000,346.7500,808870
2024-02-20,348.7500,355.4500,345.0500,350.7500,538646
2024-02-21,353.5000,354.6000,347.8000,350.4500,434162
2024-02-22,352.4500,353.0000,343.0500,348.0500,362059
2024-02-23,349.0500,352.8000,346.0500,347.1000,194257
2024-02-26,346.0000,348.6500,341.7500,342.8500,174608
2024-02-27,342.0000,345.1000,340.0500,342.6000,155464
2024-02-28,350.0000,353.4000,335.2000,337.1500,748688
2024-02-29,346.0000,346.5000,328.3500,329.8500,794752
2024-03-01,332.3500,334.3500,322.0000,322.4000,681550
2024-03-04,331.5000,357.0500,326.6500,353.8500,4511586
2024-03-05,354.0000,356.0000,344.0500,345.6000,776835
2024-03-06,345.0000,345.0000,333.0000,335.5500,490578
2024-03-07,335.5500,338.0000,332.0000,335.3000,377543
2024-03-11,335.9000,340.6500,332.3000,334.9000,485046
2024-03-12,336.6000,339.0000,322.0000,322.7000,508564
2024-03-13,323.9500,329.7500,304.5000,307.8000,841562
2024-03-14,307.8000,322.7500,305.0000,314.3000,337870
2024-03-15,315.9000,322.0000,308.0000,315.8000,298100
2024-03-18,317.5500,325.2500,312.9500,323.3000,379323
2024-03-19,324.3000,324.3000,315.4500,316.7500,376025
2024-03-20,318.0000,319.9500,312.3500,318.7500,249933
2024-03-21,322.0000,323.8500,318.5000,319.9000,190753
