date,open,high,low,close,volume
2023-09-18,10.7100,10.7100,10.1000,10.4200,93510
2023-09-20,10.0100,10.6650,9.9200,9.9550,53330
2023-09-21,10.1850,10.2000,10.1500,10.1950,8040
2023-09-22,10.1000,10.3000,10.0000,10.1500,24260
2023-09-25,10.2800,10.3950,10.2000,10.2000,2630
2023-09-26,10.2000,10.2000,9.8000,10.0250,119450
2023-09-27,9.8500,10.2900,9.8500,10.1400,21980
2023-09-28,9.9000,10.2000,9.9000,9.9100,6930
2023-09-29,9.9100,10.2000,9.9100,10.1250,22570
2023-10-03,9.6600,10.0000,9.6600,9.6700,14680
2023-10-04,9.9900,9.9900,9.6200,9.8950,13910
2023-10-05,9.8000,10.3600,9.7000,10.3600,14860
2023-10-06,10.8700,10.8700,9.9150,10.4950,23240
2023-10-09,10.0650,10.9700,10.0650,10.2050,263340
2023-10-10,10.6800,10.6800,9.9000,10.0000,8820
2023-10-11,9.9100,10.2000,9.9000,10.0850,5460
2023-10-12,10.0850,10.0900,9.9000,9.9800,8500
2023-10-13,9.9500,10.2000,9.9500,9.9800,11980
2023-10-16,10.4700,10.4750,9.9000,9.9750,66460
2023-10-17,10.1550,10.2500,9.5000,9.9850,34260
2023-10-18,9.9900,9.9900,9.6500,9.8850,16920
2023-10-19,9.9050,9.9650,9.6000,9.7800,11930
2023-10-20,9.7750,9.8750,9.4950,9.5250,13750
2023-10-23,9.4200,9.8000,9.4000,9.4550,14540
2023-10-25,9.4750,9.8000,8.9900,9.5700,41950
2023-10-26,9.5700,9.5700,9.0950,9.4100,73440
2023-10-27,9.7000,9.7950,9.5000,9.6450,18530
2023-10-30,9.8900,9.8900,9.5000,9.8000,16380
2023-10-31,9.8850,9.9850,9.5000,9.8400,37140
2023-11-01,10.3300,10.3300,9.6150,9.6250,54490
2023-11-02,10.1000,10.1000,9.6500,10.0650,160060
2023-11-03,10.0600,10.0600,9.5700,9.7000,116540
2023-11-06,10.1800,10.1800,9.5000,9.7250,34270
