date,open,high,low,close,volume
2023-09-20,616.2000,617.7000,606.9000,611.7500,355187
2023-09-21,614.0000,614.8000,600.0000,604.7500,367885
2023-09-22,604.9000,611.7000,595.0000,598.0000,249032
2023-09-25,598.0000,602.5500,590.3000,600.3500,276985
2023-09-26,600.3500,601.5000,592.2500,599.0500,295541
2023-09-27,603.9500,609.8000,594.3000,597.9000,308547
2023-09-28,598.9500,605.9500,594.3500,595.6000,519132
2023-09-29,602.5000,610.4000,597.6500,599.4500,363451
2023-10-03,606.0000,610.8500,597.3000,604.7000,361658
2023-10-04,605.0000,607.0000,596.6000,599.0500,324433
2023-10-05,596.6000,602.8000,590.5500,592.5000,309681
2023-10-06,594.0000,602.2500,594.0000,594.7500,234308
2023-10-09,592.0500,599.0000,585.4000,596.4000,195667
2023-10-10,599.9500,600.4000,591.4500,596.3500,129711
2023-10-11,600.3000,606.9500,597.0000,598.4000,264449
2023-10-12,603.0000,603.8500,594.0500,598.7500,319803
2023-10-13,598.0000,603.5500,595.5000,600.3000,251954
2023-10-16,600.4000,607.0000,592.0000,599.1000,201554
2023-10-17,604.2000,605.0000,595.1000,596.6500,118937
2023-10-18,600.0000,602.7500,594.0000,595.5000,130329
2023-10-19,595.5500,601.9500,590.5000,599.1000,152319
2023-10-20,599.1000,610.5000,598.2500,605.2500,218901
2023-10-23,605.2500,611.0000,570.0000,578.2000,356247
2023-10-25,585.9500,589.6500,565.0500,572.5000,314940
2023-10-26,568.0000,578.2000,548.6000,574.6500,550619
2023-10-27,574.6500,595.6500,574.0000,583.2500,348874
2023-10-30,588.2500,588.8500,577.0500,586.6500,86776
2023-10-31,590.0000,594.4500,578.2500,582.7000,200599
2023-11-01,586.7000,591.0000,578.0000,580.3500,565148
2023-11-02,583.0000,589.7000,579.5500,584.4000,113081
2023-11-03,586.6000,589.7000,576.0000,577.7000,166523
2023-11-06,583.0000,583.2000,577.1500,580.6500,105920
2023-11-07,582.0000,599.0000,579.5000,582.7500,840461
2023-11-08,590.7500,607.9000,589.2500,602.0000,2216084
2023-11-09,607.8500,636.0000,605.7000,631.3500,2019254
2023-11-10,635.8000,645.0000,630.0000,632.7500,960805
2023-11-13,633.9500,634.3500,627.2000,629.2000,353585
2023-11-15,634.2000,646.0000,632.0000,641.2500,683911
2023-11-16,644.5000,648.9000,635.5000,639.9000,329760
2023-11-17,639.8500,644.9500,634.2000,642.4500,382309
2023-11-20,644.0000,653.0000,637.0000,643.2500,429035
2023-11-21,643.8000,658.0000,641.3000,654.9500,480698
2023-11-22,658.0000,684.9500,653.8500,674.9000,1525875
2023-11-23,680.0000,689.0500,677.5000,683.6000,726539
2023-11-24,686.0000,694.7000,676.1500,679.4000,784455
2023-11-28,685.6000,690.0000,672.5000,675.5000,360709
2023-11-29,681.4000,684.4500,669.9500,674.9000,362948
2023-11-30,678.8000,684.4500,655.0000,673.2500,1417035
2023-12-01,672.8000,678.8000,655.0000,657.6000,597586
2023-12-04,666.0000,674.3000,655.0000,658.6500,521555
2023-12-05,662.9500,674.0000,653.1500,659.7000,423666
2023-12-06,663.7000,668.9500,650.0000,652.3000,393663
2023-12-07,656.5000,672.0000,647.5000,668.4500,482601
2023-12-08,672.4000,672.4000,650.3000,654.6000,408646
2023-12-11,656.0500,658.0000,645.0000,646.2000,242941
2023-12-12,652.1000,652.1000,635.0000,638.6500,374450
2023-12-13,638.6500,665.0000,636.3500,660.5000,1020426
2023-12-14,669.9500,674.0000,644.0000,647.9500,652103
2023-12-15,651.9500,655.9500,647.0000,651.0000,176887
2023-12-18,653.0000,659.7500,649.0000,657.9000,278346
2023-12-19,661.8500,669.0000,656.2500,664.9500,249796
2023-12-20,669.7500,670.9000,646.4500,654.2000,581038
2023-12-21,635.3000,656.0000,629.0000,652.3500,357728
2023-12-22,656.0000,669.9500,651.5500,669.0500,435437
2023-12-26,672.8000,674.8000,661.3000,663.4000,140761
2023-12-27,665.2500,674.9500,663.0000,672.3000,284035
2023-12-28,674.8000,677.1500,660.0000,666.7500,341022
2023-12-29,666.7000,690.8500,665.9500,687.6500,927928
2024-01-01,695.3000,697.6000,675.0000,682.2000,398958
2024-01-02,687.2000,692.9500,673.1000,677.2500,282787
2024-01-03,676.9000,676.9000,662.0000,663.6000,392510
2024-01-04,668.8000,686.3500,662.0000,684.9500,778159
2024-01-05,689.0000,707.7000,680.5500,701.3500,504711
2024-01-08,703.9000,714.9500,694.0000,706.9000,746603
2024-01-09,711.8000,723.4000,709.8500,712.8500,873096
2024-01-10,710.0500,715.0000,699.0000,710.2500,621298
2024-01-11,712.4000,725.2000,708.2500,721.3000,345870
2024-01-12,726.0000,726.0000,711.0000,717.7500,498990
2024-01-15,717.7500,717.7500,717.7500,717.7500,0
2024-01-16,706.9000,708.7000,691.5500,700.7500,180441
2024-01-17,694.0000,702.0000,688.0000,694.8000,383158
2024-01-18,695.0000,695.5500,673.0000,680.7000,221799
2024-01-19,685.7000,702.2000,680.0000,687.7000,360094
