date,open,high,low,close,volume
2023-09-20,625.0500,628.3000,620.5000,622.5000,2474148
2023-09-21,627.0000,635.0000,622.1000,625.0500,3925418
2023-09-22,627.4500,629.5000,612.6000,614.8000,1850344
2023-09-25,614.8000,624.8000,613.1000,616.9500,2303387
2023-09-26,616.9500,623.0000,615.0000,617.5500,1906824
2023-09-27,617.6000,618.5500,609.0500,615.1000,2018781
2023-09-28,615.1000,618.9000,602.5500,605.0000,2158105
2023-09-29,614.0000,621.5000,609.2500,616.2500,2002347
2023-10-03,615.9500,615.9500,606.0500,607.0000,2407302
2023-10-04,605.0000,606.7500,597.8000,603.0500,1922433
2023-10-05,606.2000,609.4000,601.8500,604.3000,1413612
2023-10-06,607.6000,613.0000,605.0000,612.1500,1750968
2023-10-09,606.5500,610.9500,598.3000,609.9500,1866768
2023-10-10,610.0000,625.5000,609.1500,621.8000,3281868
2023-10-11,625.9000,629.6000,623.9000,627.7500,2053212
2023-10-12,629.1500,629.4000,619.7000,620.6000,1645852
2023-10-13,618.8500,625.1500,616.4000,623.0500,1171758
2023-10-16,622.0000,633.0000,621.4000,630.9500,1917226
2023-10-17,634.9000,634.9000,624.0000,624.9000,1462594
2023-10-18,625.0000,628.2500,618.3000,620.5500,1222311
2023-10-19,614.4000,617.7000,607.3000,613.5500,1842555
2023-10-20,613.0000,613.0000,602.0000,603.4500,1174201
2023-10-23,603.0000,608.0000,585.1000,586.7000,2109981
2023-10-25,586.7000,592.7500,577.8500,580.1500,2986843
2023-10-26,580.1500,580.9500,560.0000,561.0500,4015200
2023-10-27,565.0000,566.7500,556.3000,558.6500,2425358
2023-10-30,560.0000,563.2000,531.9000,538.6500,7164172
2023-10-31,534.9500,543.7000,528.1500,540.5000,5210230
2023-11-01,531.6000,540.6000,529.5500,532.0500,3767073
2023-11-02,535.3500,542.5500,535.0000,540.7500,1797928
2023-11-03,544.9500,551.9000,544.0000,550.3000,1809034
2023-11-06,552.0500,555.4500,548.4000,554.7000,1069714
2023-11-07,553.9500,556.0500,550.5000,552.0000,1479349
2023-11-08,555.9000,557.8000,553.1000,555.7000,1190583
2023-11-09,555.7000,557.8000,548.8000,550.4000,1794405
2023-11-10,550.0000,550.4000,545.0000,547.1500,1414936
2023-11-13,555.0000,556.5000,550.1000,552.7000,1449034
2023-11-15,557.0000,564.7500,556.3500,561.8000,1766163
2023-11-16,561.7500,563.6000,556.0000,560.8500,2112355
2023-11-17,560.3500,565.7000,558.6500,561.7500,1787739
2023-11-20,561.7500,563.9500,554.8000,556.7000,1079422
2023-11-21,556.6000,564.0000,556.5000,563.0500,1333644
2023-11-22,564.9000,569.5500,563.1000,565.9000,2648583
2023-11-23,568.0500,571.7000,565.0500,565.9000,1264347
2023-11-24,565.5000,568.3500,558.0500,558.9500,868199
2023-11-28,558.9500,564.8500,556.1500,563.5500,1284890
2023-11-29,565.0000,571.9000,563.1000,570.0500,1780095
2023-11-30,570.0000,572.9000,566.2000,570.6500,3931052
2023-12-01,570.6500,575.9500,569.0500,575.1500,1811072
2023-12-04,578.5000,584.8500,577.0000,578.9000,3025773
2023-12-05,578.5000,583.9000,576.8500,581.4000,1870544
2023-12-06,583.0000,596.3000,583.0000,588.5500,3437918
2023-12-07,594.0000,594.0000,585.5000,586.5500,1824646
2023-12-08,590.0000,595.9000,580.2500,585.2000,2175978
2023-12-11,585.0000,603.7000,583.5500,602.4000,4467164
2023-12-12,606.0000,606.7500,595.8500,597.7000,2339706
2023-12-13,601.0000,602.7000,592.8000,599.3500,2110586
2023-12-14,603.0500,604.0000,596.5000,599.1500,2026994
2023-12-15,601.4500,612.8000,601.4500,610.8500,4941179
2023-12-18,613.8000,614.7500,605.0000,606.5500,1685280
2023-12-19,607.0000,612.0000,597.8500,598.7500,2396755
2023-12-20,605.0000,605.0000,569.0000,572.1500,5509320
2023-12-21,572.1500,579.9500,565.7000,577.4000,3089260
2023-12-22,581.0000,585.7500,577.4000,581.6500,2464945
2023-12-26,587.9000,595.0000,585.0000,586.1000,3443852
2023-12-27,590.1000,592.3000,581.1000,583.2000,2155491
