date,open,high,low,close,volume
2023-09-22,49.8000,50.7500,49.2000,50.0000,2000322
2023-09-25,50.3500,50.4000,49.7500,50.0500,907105
2023-09-26,50.1500,50.8500,49.5000,49.7500,1840882
2023-09-27,49.9500,51.2000,49.2500,50.0000,3395217
2023-09-28,50.3000,51.9000,50.2000,50.9500,3021148
2023-09-29,51.5000,52.1000,51.0500,51.2500,2009106
2023-10-03,51.5000,52.7000,51.2000,51.6000,2734866
2023-10-04,51.5000,53.1500,51.0000,51.3500,4346738
2023-10-05,51.6500,61.6000,51.6500,59.5500,69218167
2023-10-06,60.3000,60.9000,58.1000,58.7500,24078050
2023-10-09,57.1000,57.3000,53.0500,54.0500,19141335
2023-10-10,54.4500,56.7000,53.8000,56.3500,12586119
2023-10-11,57.3000,58.1500,56.0000,56.5500,9751789
2023-10-12,56.8500,56.9500,55.2500,55.7000,4272916
2023-10-13,54.6000,59.6500,54.6000,59.0500,18215827
2023-10-16,57.9000,58.9500,54.6500,55.1000,16586930
2023-10-17,56.0000,56.2000,54.1000,54.4500,7337866
2023-10-18,54.5500,55.6000,53.4000,54.7500,6420608
2023-10-19,54.6000,54.6000,53.7500,53.8500,3491016
2023-10-20,53.8500,54.5000,52.4500,53.5500,5243212
2023-10-23,53.0000,53.8000,49.7500,50.0500,8850473
2023-10-25,50.8000,51.5000,48.0000,48.9500,8779782
2023-10-26,48.6000,50.0000,47.3000,49.6500,7146529
2023-10-27,49.9000,50.3000,49.1000,50.0000,5700491
2023-10-30,50.5000,50.8000,48.8000,49.9500,3546955
2023-10-31,50.6500,50.9000,49.4500,50.0000,3427531
2023-11-01,50.1500,51.4000,49.4500,49.8500,4921969
2023-11-02,50.3500,50.7000,49.7500,50.0000,3753632
2023-11-03,50.4000,51.1500,50.0000,50.2500,3653093
2023-11-06,51.3000,52.3000,50.8000,51.6500,6277722
2023-11-07,52.1500,52.3500,51.0000,51.3000,3381885
2023-11-08,51.6000,51.8500,50.0000,50.1000,5272477
2023-11-09,50.2000,51.2000,49.7500,49.9000,5727484
2023-11-10,49.8500,50.6000,49.5000,50.3500,2537698
2023-11-13,51.4000,53.4500,50.7500,52.9000,7421233
2023-11-15,53.9000,54.0000,52.8000,53.2000,5536228
2023-11-16,53.4500,53.5000,52.5000,52.6500,2366966
2023-11-17,51.3000,52.2500,51.3000,51.7000,2792029
2023-11-20,51.7000,51.9500,50.6500,50.8500,2709347
2023-11-21,51.0000,51.5500,50.7000,50.8500,1916786
2023-11-22,51.0500,51.2000,50.0500,50.3500,1524759
2023-11-23,50.5000,50.8000,50.3000,50.5500,1112539
2023-11-24,50.8500,51.1500,50.2000,50.5000,1355124
2023-11-28,50.7000,50.7500,50.0000,50.2000,1533970
2023-11-29,50.4000,50.7000,49.5000,49.9000,2440015
2023-11-30,50.1500,50.4500,49.4000,50.2000,1607516
2023-12-01,50.7000,51.1000,50.0000,50.2000,2211712
2023-12-04,51.0000,51.0000,50.2000,50.3000,2076719
2023-12-05,50.6000,50.9500,49.8500,50.0500,3636084
2023-12-06,50.3000,50.5000,49.8500,50.1000,2030899
2023-12-07,50.5000,52.1500,49.8500,51.6000,7559364
2023-12-08,52.3500,53.0000,51.1000,51.7500,4994111
2023-12-11,52.0500,52.7500,51.6500,51.9500,4242673
2023-12-12,51.8500,52.7500,51.5500,51.8500,4327714
2023-12-13,52.0000,52.9000,51.3000,51.5000,3670793
2023-12-14,51.8000,52.2500,51.3500,51.5000,2469188
2023-12-15,51.9500,51.9500,51.1000,51.4000,2292259
2023-12-18,51.6000,53.6500,50.8500,52.8500,11203411
2023-12-19,53.1000,54.8000,52.5000,53.0000,10675723
2023-12-20,53.4500,53.6000,49.9000,50.2500,6557011
2023-12-21,49.8500,51.4000,49.1500,51.1500,2929292
2023-12-22,51.9500,53.5000,51.9000,52.4000,6665646
2023-12-26,52.9000,53.7000,51.9500,53.0000,3868180
2023-12-27,53.3500,53.4000,51.9500,52.1000,2274674
2023-12-28,52.4500,53.2000,51.5500,52.6500,3093750
2023-12-29,52.6500,54.3500,52.5500,53.8500,10497805
2024-01-01,53.9500,54.5000,53.0000,53.3500,3444701
2024-01-02,53.6000,53.6000,52.1000,52.8500,2842428
2024-01-03,52.8500,53.7000,52.7500,53.2500,3225103
2024-01-04,54.0500,59.6000,53.7500,57.6000,39366693
2024-01-05,60.3000,60.6000,56.9000,58.9000,22420239
2024-01-08,59.5000,59.6500,56.8500,57.2000,6320362
2024-01-09,57.6500,57.8000,55.7000,56.0500,3856779
2024-01-10,56.3500,58.9000,55.5000,58.1000,8496051
2024-01-11,58.8500,61.4000,58.0000,59.0500,13329318
2024-01-12,59.8000,65.0000,59.2000,62.7500,39851760
2024-01-15,62.7500,62.7500,62.7500,62.7500,0
2024-01-16,61.7500,63.3000,60.1000,61.1000,7168470
2024-01-17,61.0000,61.4500,59.3500,59.8500,5110374
2024-01-18,59.6500,61.4000,57.3500,60.9500,6798983
2024-01-19,61.0000,61.8000,58.8500,59.4000,5969336
2024-01-23,61.4500,62.1000,58.2000,58.8000,6467658
2024-01-24,57.8500,59.0500,57.6000,58.6000,5072564
2024-01-25,58.9500,59.1500,57.8500,58.1500,3263099
2024-01-29,59.5500,61.4500,58.2500,58.5000,10836241
2024-01-30,59.0000,59.2000,56.8500,57.7000,6858303
2024-01-31,57.9500,58.2000,57.3000,57.5000,3077430
2024-02-01,57.5000,58.1500,56.6000,57.2500,4119145
2024-02-02,57.1500,61.0500,57.1500,59.2500,14441233
2024-02-05,59.2500,62.0000,59.2000,60.1000,10450414
2024-02-06,60.5000,62.4000,60.3000,60.6500,9583698
2024-02-07,62.0000,62.0000,60.4500,61.4500,6701084
2024-02-08,62.0000,68.3000,62.0000,64.5000,40454743
2024-02-09,64.4000,66.4500,60.2500,62.1000,21512479
2024-02-12,62.5000,62.5500,57.2000,57.6000,9685815
2024-02-13,57.4500,58.5000,55.8000,58.1000,5527055
2024-02-14,57.6000,58.7500,56.8000,58.5500,2940278
2024-02-15,59.0000,59.7000,55.1500,56.3000,11149696
2024-02-16,56.7500,57.2000,56.3500,56.5500,4581171
2024-02-19,58.0000,58.0000,55.6000,55.7000,4299278
2024-02-20,55.8500,56.6000,53.5000,55.2500,6125804
2024-02-21,55.5000,55.9500,54.1000,54.4500,3256518
2024-02-22,54.2500,55.4000,53.6000,55.2000,3167005
2024-02-23,55.6500,55.8000,54.3000,54.5500,3979772
2024-02-26,54.5500,54.8500,53.6500,53.7500,2520232
2024-02-27,53.9500,54.3000,52.3000,52.5000,4746086
2024-02-28,52.7000,53.2500,50.7000,51.1500,4258671
2024-02-29,51.3000,52.6000,50.6000,52.2000,3748624
2024-03-01,52.2000,52.9500,52.2000,52.7500,1929976
2024-03-04,53.0500,53.0500,51.6500,51.9000,1626451
2024-03-05,51.9000,52.2000,50.9000,51.7500,2545873
2024-03-06,51.3000,51.6000,49.0000,49.6000,5283472
2024-03-07,50.0500,51.5000,49.4000,49.7500,4210645
2024-03-11,51.5000,51.6000,49.4000,50.6000,3893399
2024-03-12,51.0500,51.0500,48.7500,49.0000,3628943
2024-03-13,48.0500,49.1000,45.0500,45.7500,5661766
2024-03-14,45.4500,48.5500,44.8500,48.3000,3954644
2024-03-15,48.0000,49.5000,47.7000,49.0500,4136794
