date,open,high,low,close,volume
2025-11-20,220.0000,230.9900,205.2500,208.4400,17145774
2025-11-21,208.5000,217.6800,204.7000,208.8400,5414112
2025-11-24,209.7000,218.9000,207.3300,217.5100,3000563
2025-11-25,220.0000,222.7900,215.0300,220.6100,1725797
2025-11-26,222.0000,222.0000,209.1200,211.0300,1409005
2025-11-27,212.0200,214.2000,207.5000,209.0200,749409
2025-11-28,210.9800,217.0000,208.5000,209.3800,794520
2025-12-01,209.8900,213.0600,203.6300,204.9100,618325
2025-12-02,206.0000,207.0000,199.7100,202.4700,926966
2025-12-03,202.5000,204.2500,195.6400,199.1500,775998
2025-12-04,196.2000,212.0000,196.2000,205.1700,1834435
2025-12-05,205.2400,206.8000,201.2000,204.2800,368019
2025-12-08,204.2800,206.7000,196.7000,199.9300,624013
2025-12-09,205.7800,209.9900,198.4000,203.5700,4239953
2025-12-10,203.8900,207.9000,201.2500,205.4300,687705
2025-12-11,205.9500,209.0000,201.2500,207.2700,732866
2025-12-12,206.0000,207.1700,203.3400,204.7800,382580
2025-12-15,203.8900,203.8900,198.9900,199.8000,323322
2025-12-16,202.7900,202.7900,198.4000,200.1500,208305
2025-12-17,200.0000,201.5000,195.0500,195.7100,316222
2025-12-18,192.0000,197.9600,192.0000,197.2800,380194
2025-12-19,199.0000,199.7000,193.3400,195.2400,336175
2025-12-22,196.0000,199.0000,196.0000,197.1200,273165
2025-12-23,196.2500,216.2500,196.2500,212.6800,2182465
2025-12-24,213.0000,221.7000,210.0400,213.6600,1058968
2025-12-26,210.9900,220.5000,210.9900,215.2300,786458
2025-12-29,215.2300,217.8100,212.7300,215.2100,354729
2025-12-30,215.9900,217.0000,212.0100,215.7000,319501
2025-12-31,215.7000,224.0000,213.5400,222.4300,1374941
2026-01-01,223.0000,224.9900,219.1500,223.4100,524269
2026-01-02,221.5000,228.8000,221.5000,224.7100,1244974
2026-01-05,223.0000,226.2000,223.0000,225.0000,359572
2026-01-06,224.0000,226.0000,218.0000,219.5800,288891
2026-01-07,220.0000,220.9300,217.0000,217.9000,185469
2026-01-08,217.3800,223.1900,210.4200,212.6300,749547
2026-01-09,212.6300,217.4000,211.1300,214.2500,266490
2026-01-12,211.0000,218.9600,210.2000,217.3500,334961
2026-01-13,217.3500,220.1000,215.0000,217.3300,352644
2026-01-14,216.6800,220.0000,215.3200,219.4800,181536
2026-01-15,219.4800,219.4800,219.4800,219.4800,0
2026-01-16,219.0000,222.0000,216.6400,220.6500,220420
2026-01-19,219.9900,222.0000,213.8000,219.4600,300237
2026-01-20,217.2500,218.0700,207.5000,209.0700,219878
2026-01-21,207.2000,211.1900,202.2500,205.6300,152595
2026-01-22,206.6600,210.8900,206.6600,210.1300,139151
2026-01-23,211.0000,212.1300,203.2000,205.9200,140260
2026-01-27,207.0000,207.7300,198.2000,199.4300,175538
2026-01-28,202.0100,202.0100,198.3500,200.8300,147450
2026-01-29,200.7000,201.5700,192.8800,195.0000,130015
2026-01-30,193.4000,204.0000,192.7500,199.2300,160234
2026-02-02,204.7400,208.8800,196.1000,199.7300,165554
2026-02-03,208.5000,209.3200,200.0000,207.1100,503877
2026-02-04,207.1100,213.0000,203.5000,210.2300,339061
2026-02-05,211.5500,213.7900,208.4500,210.1400,93124
2026-02-06,205.2000,210.6900,205.0000,205.7300,82937
2026-02-09,209.8900,214.2000,205.5000,211.8500,149033
2026-02-10,211.8500,218.9000,211.8500,216.1500,319489
2026-02-11,219.0000,219.0000,212.4300,212.9900,73561
2026-02-12,210.3000,213.0000,208.5200,210.6900,61283
2026-02-13,210.4000,214.2500,207.5000,210.9300,186843
2026-02-16,203.0000,208.8500,203.0000,205.1500,198289
2026-02-17,206.9300,209.9500,205.2300,209.3500,97220
2026-02-18,211.6500,219.9000,207.4800,216.4600,628056
2026-02-19,214.8000,215.9800,207.5000,208.1900,111862
2026-02-20,209.2200,213.7800,206.4000,210.6400,224375
2026-02-23,209.4400,209.4400,201.6100,203.0500,187968
2026-02-24,203.0100,204.6500,197.0000,197.9100,147521
2026-02-25,199.0000,200.3800,191.5100,194.3600,157757
2026-02-26,194.3600,194.6900,189.1500,190.2900,252710
2026-02-27,192.0000,192.4400,186.8000,187.8700,121029
2026-03-02,176.4000,185.0000,176.4000,182.1500,205335
2026-03-04,178.5100,179.9400,174.0000,174.8300,144563
2026-03-05,175.0500,178.9800,172.0000,175.6700,142560
2026-03-06,175.1100,188.4000,174.9900,182.9300,161753
2026-03-09,179.4400,181.3700,174.2000,178.2600,75357
2026-03-10,180.2400,185.1400,177.6500,183.4200,105226
2026-03-11,187.0000,189.5000,183.8300,188.2100,84649
2026-03-12,189.9000,192.0800,185.1000,189.8000,97472
2026-03-13,188.0000,189.8100,184.8000,186.4400,68783
2026-03-16,187.0000,187.7400,179.5100,182.7500,88730
