date,open,high,low,close,volume
2023-09-22,411.3500,418.0000,404.5500,412.8000,167552
2023-09-25,413.9000,447.9500,413.9000,443.0500,751815
2023-09-26,444.4000,444.4000,425.0500,427.1000,189954
2023-09-27,429.3000,431.8000,420.0000,428.1500,123792
2023-09-28,426.0000,439.1000,420.0000,421.3500,203180
2023-09-29,422.3000,425.8500,415.1000,418.0500,85090
2023-10-03,420.1000,427.5000,412.2500,413.1500,86504
2023-10-04,413.1500,429.0000,407.2000,409.7000,261932
2023-10-05,412.7000,419.6500,407.2500,411.2000,83044
2023-10-06,414.3500,418.8000,409.7000,411.8500,111778
2023-10-09,412.4500,419.0000,403.2500,407.0000,121209
2023-10-10,407.9000,414.5500,407.9000,410.1500,59362
2023-10-11,413.0000,416.9000,408.0000,409.7000,50150
2023-10-12,410.0000,419.1000,408.9500,415.5500,108367
2023-10-13,411.4000,426.0000,411.4000,423.8500,126832
2023-10-16,428.0000,441.4500,426.0000,435.3500,223201
2023-10-17,438.8000,443.0000,430.0000,433.3500,121199
2023-10-18,435.6000,469.6500,433.0000,444.2000,566677
2023-10-19,443.7000,464.5500,435.9500,452.2500,172257
2023-10-20,452.3000,457.8000,442.3000,453.9500,164752
2023-10-23,454.3000,454.3000,428.2000,433.9500,172671
2023-10-25,434.0000,450.3500,431.0000,441.9500,266803
2023-10-26,441.0000,445.0000,421.5000,440.1500,164271
2023-10-27,441.0000,463.8500,441.0000,456.9500,197990
2023-10-30,454.6000,474.6000,453.2000,457.7500,210911
2023-10-31,457.7500,466.3000,451.6500,459.7500,130990
2023-11-01,461.5000,469.9500,457.6000,460.6000,109973
2023-11-02,456.2000,465.6000,452.2500,460.7000,104829
2023-11-03,462.8000,475.8000,451.7000,455.1500,174748
2023-11-06,455.6000,468.0000,450.5500,459.0500,205020
2023-11-07,464.9000,464.9500,443.1500,446.4000,230055
2023-11-08,450.0000,455.3500,432.0000,433.4000,146620
2023-11-09,436.9000,438.3500,429.4000,433.6000,107155
2023-11-10,435.9000,441.0000,432.0500,438.8000,92076
2023-11-13,438.0000,441.2500,428.0500,431.0000,83276
2023-11-15,436.4500,436.7000,426.9500,427.9500,93769
2023-11-16,433.5000,435.0000,422.4500,425.9000,105160
2023-11-17,427.7000,458.0000,426.0500,454.5500,224959
2023-11-20,458.9000,468.7000,454.6500,463.7000,211270
2023-11-21,467.0500,468.9000,457.0500,462.5000,80638
2023-11-22,458.1500,474.0000,456.1500,470.2000,122683
2023-11-23,469.1500,523.7000,469.1500,508.7500,1686929
2023-11-24,513.0000,513.0000,494.7000,499.6500,221169
2023-11-28,502.1000,512.5000,492.1000,500.8500,175462
2023-11-29,502.0000,535.8000,500.4000,522.3000,500266
2023-11-30,521.1500,533.7000,500.1500,503.4000,542103
2023-12-01,506.0000,513.6500,500.5000,501.7000,165293
