date,open,high,low,close,volume
2023-09-25,440.0000,458.7000,434.5500,447.1000,618824
2023-09-26,445.0000,459.9500,444.4000,447.4000,361842
2023-09-27,449.9000,461.8500,435.5000,439.1000,526978
2023-09-28,438.0000,439.0000,431.1000,433.7500,203326
2023-09-29,434.5500,455.0000,434.1000,440.3500,294096
2023-10-03,441.8000,442.9500,428.0500,432.4500,169649
2023-10-04,430.9500,432.4500,420.0500,424.5500,111667
2023-10-05,427.3000,433.8000,424.5500,426.4000,107089
2023-10-06,427.5000,431.2500,424.1500,426.4500,103817
2023-10-09,421.2500,421.2500,408.0500,409.6500,204774
2023-10-10,413.9000,445.5000,412.8500,436.7000,1160216
2023-10-11,431.8500,436.0000,428.7500,430.5000,213477
2023-10-12,431.9000,436.7000,429.0000,433.4000,94818
2023-10-13,431.5000,444.4000,428.6500,431.6500,243967
2023-10-16,434.8000,438.0000,423.0000,424.2000,191641
2023-10-17,426.2000,445.0000,426.2000,440.9000,426659
2023-10-18,443.8500,450.5000,430.0000,432.4500,240387
2023-10-19,430.4500,440.0500,428.3000,436.9000,189840
2023-10-20,436.9000,457.0000,433.5000,436.4000,592357
2023-10-23,437.0000,444.9000,411.2500,414.7000,357015
2023-10-25,414.7000,433.8000,402.3500,408.3000,353654
2023-10-26,405.0500,406.1000,388.5000,391.5000,329120
2023-10-27,394.5000,416.5500,394.5000,408.4500,269288
2023-10-30,411.0000,412.7000,402.8000,406.3000,158405
2023-10-31,419.9000,426.7500,408.2500,418.6000,451878
2023-11-01,419.3500,424.9500,409.1000,411.6500,165537
2023-11-02,414.0000,423.0000,413.8000,417.9000,166501
2023-11-03,419.5000,426.1000,417.9500,421.5500,143100
2023-11-06,424.9500,432.0000,421.4500,427.9500,188832
2023-11-07,429.9500,437.7000,422.3000,426.8500,375607
2023-11-08,425.2000,436.0500,425.2000,428.2000,181971
2023-11-09,428.2000,442.5000,422.0000,424.3000,255271
2023-11-10,420.5000,425.4000,414.4000,422.1000,133676
2023-11-13,422.0000,425.9000,416.6000,419.2500,119957
2023-11-15,425.0000,429.2500,421.2500,423.8500,163012
2023-11-16,422.3000,435.7500,421.5000,422.7500,214225
2023-11-17,420.0000,426.5000,418.7000,419.4500,97758
2023-11-20,420.0000,426.4500,416.0000,418.3000,137751
2023-11-21,420.0500,438.0000,420.0500,427.4500,373153
2023-11-22,429.5000,441.5500,427.5000,429.0500,428945
2023-11-23,430.9500,433.7500,421.0000,423.3500,140176
2023-11-24,425.2500,427.5500,418.0500,418.9000,126919
2023-11-28,420.0000,424.8000,416.1000,418.6000,320392
2023-11-29,421.5000,423.6000,417.7000,419.5500,124581
2023-11-30,420.4500,433.0000,420.4500,428.0000,373262
2023-12-01,434.8500,454.2500,427.8000,432.3500,1354426
2023-12-04,436.0000,441.5000,426.3000,429.4500,301586
2023-12-05,430.4500,432.0000,418.0000,420.7500,243055
2023-12-06,423.9000,424.8500,405.3500,409.7500,331022
2023-12-07,409.0000,410.8000,398.0000,399.2000,495952
