date,open,high,low,close,volume
2023-09-25,6.1250,6.1500,6.1250,6.1250,18520
2023-09-26,6.0050,6.0650,6.0050,6.0050,299840
2023-09-27,6.0000,6.0000,5.9100,6.0000,84800
2023-09-28,5.9000,6.0000,5.9000,5.9000,62890
2023-09-29,5.7850,5.7850,5.7850,5.7850,207460
2023-10-03,5.7850,5.9200,5.4950,5.4950,266850
2023-10-04,5.2550,5.4950,5.2400,5.2600,159970
2023-10-05,5.2400,5.2400,5.0100,5.0900,305840
2023-10-06,5.0800,5.3400,5.0000,5.3400,197500
2023-10-09,5.4600,5.4650,5.1150,5.4050,106520
2023-10-10,5.4700,5.6750,5.4700,5.6400,102610
2023-10-11,5.8250,5.9200,5.8000,5.9150,269510
2023-10-12,6.0850,6.1700,5.6550,6.0150,308340
2023-10-13,6.1700,6.1700,5.8000,5.8550,145880
2023-10-16,5.7400,5.7400,5.7400,5.7400,39760
2023-10-17,5.6950,5.7400,5.7000,5.7000,15910
2023-10-18,5.5900,5.6500,5.5900,5.5900,19170
2023-10-19,5.4800,5.4800,5.4800,5.4800,28150
2023-10-20,5.4000,5.4000,5.3700,5.4000,10610
2023-10-23,5.2950,5.2950,5.2950,5.2950,32010
2023-10-25,5.1900,5.1900,5.1900,5.1900,50010
2023-10-26,5.0900,5.0900,5.0900,5.0900,44540
2023-10-27,4.9900,4.9900,4.9900,4.9900,15840
2023-10-30,5.0700,5.0700,4.8900,5.0700,129670
2023-10-31,5.1700,5.1700,5.1700,5.1700,29150
2023-11-01,5.2700,5.2700,5.2000,5.2700,155330
2023-11-02,5.3750,5.3750,5.3700,5.3750,18090
2023-11-03,5.4800,5.4800,5.4800,5.4800,54490
2023-11-06,5.5850,5.5850,5.5850,5.5850,182370
2023-11-07,5.6950,5.6950,5.6950,5.6950,41370
2023-11-08,5.8050,5.8050,5.8050,5.8050,121780
2023-11-09,5.9200,5.9200,5.9000,5.9200,66080
2023-11-10,6.0350,6.0350,6.0350,6.0350,676480
2023-11-13,6.2750,6.2750,6.2750,6.2750,361460
2023-11-15,6.4000,6.4000,6.4000,6.4000,1161960
2023-11-16,6.5250,6.5250,6.5250,6.5250,1552840
2023-11-17,6.4100,6.6500,6.4100,6.4100,2068190
2023-11-20,6.2850,6.4700,6.2850,6.2850,391050
2023-11-21,6.2900,6.2900,6.1600,6.2900,653220
2023-11-22,6.1650,6.1650,6.1650,6.1650,100400
2023-11-23,6.1200,6.1200,6.0450,6.1200,471500
2023-11-24,6.0000,6.1000,6.0000,6.0000,59410
2023-11-28,5.9550,6.0800,5.9500,5.9550,55000
2023-11-29,6.0700,6.0700,5.9900,6.0700,41600
2023-11-30,6.0900,6.1150,6.0750,6.0900,72930
2023-12-01,6.0350,6.1900,6.0200,6.0350,25440
2023-12-04,6.0400,6.1550,6.0000,6.0400,58430
2023-12-05,5.9500,6.0400,5.9450,5.9500,94290
2023-12-06,5.9000,6.0350,5.8950,5.9000,60330
2023-12-07,5.8400,5.9550,5.8400,5.8400,21000
2023-12-08,5.8100,5.9550,5.8100,5.8100,81940
2023-12-11,6.0850,6.1000,5.9150,6.1000,226640
2023-12-12,6.2750,6.2750,5.9500,6.0500,160410
2023-12-13,6.0450,6.3000,5.8050,6.1350,332840
2023-12-14,6.1800,6.4400,6.0850,6.2200,1060810
2023-12-15,6.3900,6.4000,5.9850,6.2700,525910
2023-12-18,6.1950,6.3850,6.0500,6.1600,766020
2023-12-19,6.1600,6.1600,5.8550,5.8850,496480
2023-12-20,5.8000,5.8750,5.5900,5.6050,293890
2023-12-21,5.5950,5.7300,5.4700,5.5000,284300
2023-12-22,5.5000,5.7200,5.4950,5.5600,386530
2023-12-26,5.6600,5.6850,5.5250,5.5550,233390
2023-12-27,5.7000,5.7000,5.5500,5.6400,113740
2023-12-28,5.7550,5.8450,5.6050,5.6550,141320
2023-12-29,5.6700,5.7250,5.5850,5.7000,172300
2024-01-01,5.7850,5.8250,5.5400,5.8050,80580
2024-01-02,5.8050,5.8400,5.7050,5.7550,179230
2024-01-03,5.8000,5.8000,5.6550,5.7400,91030
2024-01-04,5.6050,5.9150,5.6050,5.8200,296810
2024-01-05,5.9000,6.1000,5.8500,5.9400,426560
2024-01-08,5.7600,6.0050,5.7400,5.8450,86720
2024-01-09,5.9150,5.9150,5.8000,5.8050,105120
2024-01-10,5.9900,6.0750,5.8100,5.9050,424620
2024-01-11,6.0400,6.0400,5.8500,5.9600,85780
2024-01-12,5.9600,6.0000,5.8050,5.8850,148860
2024-01-15,5.7050,5.9900,5.7050,5.8500,290210
2024-01-16,5.8950,5.8950,5.6900,5.7550,1966100
2024-01-17,6.0300,6.0400,5.9000,5.9300,2602930
2024-01-18,6.0000,6.1300,5.9950,6.0750,433450
2024-01-19,6.1300,6.3750,6.0750,6.3750,504470
2024-01-23,6.5500,6.6000,6.1450,6.1600,556730
2024-01-24,6.3150,6.4650,6.1000,6.4650,606170
2024-01-25,6.7850,6.7850,6.7850,6.7850,303220
2024-01-29,7.0000,7.0000,6.8200,6.8300,848510
2024-01-30,6.9450,6.9500,6.5250,6.7050,153550
2024-01-31,6.9900,7.0400,6.7000,7.0400,1739280
2024-02-01,7.0450,7.3600,7.0400,7.1950,444910
2024-02-02,7.1950,7.2650,7.0050,7.0500,697100
2024-02-05,7.1950,7.4000,6.7200,7.1600,820460
2024-02-06,7.0000,7.4000,7.0000,7.0800,276310
2024-02-07,7.2950,7.2950,6.8400,7.0650,208810
2024-02-08,7.2400,7.2400,6.8000,6.9150,292700
2024-02-09,7.2350,7.2350,6.6700,6.6850,227680
2024-02-12,6.8000,7.0000,6.6850,6.7300,170680
2024-02-13,6.6050,6.9250,6.6050,6.6850,167290
2024-02-14,6.3550,7.0150,6.3550,6.8200,192230
2024-02-15,6.9000,7.1500,6.7100,7.0350,514440
2024-02-16,7.0500,7.2800,6.7250,6.9600,229900
