date,open,high,low,close,volume
2026-08-18,57.4800,61.5000,57.4800,58.2100,726
2026-08-19,56.8000,57.9200,56.0000,57.9200,354
2026-08-20,60.7000,60.7000,58.9500,59.8500,1700
2026-08-21,58.3500,60.6000,56.9000,59.9600,8270
2026-08-24,59.9600,62.9500,56.9700,56.9700,21926
2026-08-25,58.9000,58.9000,54.1300,54.3600,19780
2026-08-26,57.0700,57.0700,52.0100,57.0500,2738
2026-08-27,56.8500,59.9000,55.0900,59.3800,10993
2026-08-28,61.0000,62.0100,56.5700,57.7500,27178
2026-08-31,57.7500,60.6200,55.8600,57.8700,22867
2026-09-01,57.0700,60.7000,54.9800,54.9900,993
2026-09-02,54.9800,57.7100,52.2700,53.5900,9221
2026-09-03,55.0000,55.0000,52.0000,52.3600,904
2026-09-04,54.5900,54.8400,51.0700,52.6200,7319
2026-09-07,52.6200,53.3700,50.1500,50.9800,5319
2026-09-08,51.0000,52.9900,49.2500,50.6600,3078
2026-09-09,52.0000,52.0000,48.1500,48.2700,8103
2026-09-10,50.3100,50.5000,48.2700,49.4200,4211
2026-09-11,51.7700,51.7700,49.0000,50.0000,548
2026-09-15,50.0000,52.0000,49.9000,51.5000,3504
2026-09-16,51.5000,51.5000,48.9300,48.9300,1558
2026-09-17,48.0000,50.7900,48.0000,48.0100,3676
2026-09-18,48.0100,50.3900,48.0000,48.4200,2553
