date,open,high,low,close,volume
2023-09-18,692.0000,693.4000,676.2000,680.3000,877223
2023-09-20,674.0500,679.6500,657.6500,664.6000,461061
2023-09-21,665.8000,683.9500,660.1000,666.9000,588174
2023-09-22,669.4000,674.7000,655.3500,660.5000,472839
2023-09-25,661.6500,671.9000,651.1000,654.9000,329979
2023-09-26,655.5000,663.0000,652.0000,654.0000,326353
2023-09-27,654.8000,667.1500,643.3500,662.8000,648955
2023-09-28,664.0000,670.3500,655.0000,658.2000,432268
2023-09-29,662.0000,663.9500,654.1000,656.1500,297035
2023-10-03,658.0000,676.9000,658.0000,664.1000,1101029
2023-10-04,661.5000,670.3000,650.2500,657.5500,754867
2023-10-05,659.7000,666.0500,658.2500,659.5500,310893
2023-10-06,663.0000,686.9500,652.0000,667.7000,777038
2023-10-09,664.2000,685.0000,662.2500,673.3500,1186998
2023-10-10,677.4000,682.7000,667.5500,670.0500,512460
2023-10-11,673.0000,676.1000,663.5000,665.5000,343070
2023-10-12,669.7000,694.4500,667.2000,689.4000,1897843
2023-10-13,687.0000,697.4000,684.0000,688.0000,885429
2023-10-16,690.8500,694.7000,661.4000,665.7000,665255
2023-10-17,666.4000,672.8000,661.1000,664.4500,466266
2023-10-18,667.7000,672.5000,657.5000,668.5500,484808
2023-10-19,667.0500,672.5500,661.5000,663.5000,344638
2023-10-20,660.3000,667.0000,652.0000,654.7500,352188
2023-10-23,654.9000,656.2000,609.3000,618.2500,588658
2023-10-25,618.7500,629.8500,595.4000,618.7000,620138
2023-10-26,614.2000,618.2500,596.5500,612.8000,518559
2023-10-27,615.0000,629.0000,614.8500,623.8000,227291
2023-10-30,619.3000,623.8000,611.4000,613.8000,212885
2023-10-31,613.0000,618.0000,588.0500,609.3500,964168
2023-11-01,609.6500,620.8500,592.1000,596.0500,637859
2023-11-02,598.8000,602.6000,589.1000,595.8500,500794
2023-11-03,597.0000,604.0000,593.1000,595.2500,256230
2023-11-06,595.2500,600.7500,592.0000,593.1500,210975
2023-11-07,593.0500,617.8500,592.2000,615.7500,556283
2023-11-08,619.1000,621.5000,604.8500,606.8000,292011
2023-11-09,608.0000,611.7500,600.6000,602.4500,205736
2023-11-10,602.4500,608.5500,599.2000,603.6000,150879
2023-11-13,606.8500,606.8500,594.9500,596.3500,167529
2023-11-15,599.0000,617.5000,597.1500,609.1000,939011
2023-11-16,610.0000,625.0500,608.9500,614.9500,709020
2023-11-17,615.0000,631.0000,614.0500,619.4500,1238210
2023-11-20,621.0000,624.8500,607.7500,610.2000,288332
2023-11-21,618.0000,638.9000,612.9000,633.3500,1491606
2023-11-22,638.6000,650.1000,625.5500,629.5000,1497239
2023-11-23,629.5000,641.7000,621.8000,624.0500,666202
2023-11-24,622.0000,630.0000,613.0000,614.6500,382756
2023-11-28,614.6500,615.0000,606.7000,608.4500,308495
