date,open,high,low,close,volume
2023-09-25,86.8000,87.9000,85.7000,86.7000,183728
2023-09-26,86.7000,87.6000,86.0500,86.6500,108583
2023-09-27,86.8000,87.3000,86.0500,86.2500,109355
2023-09-28,86.2500,87.1500,84.0000,85.0500,249078
2023-09-29,85.2000,93.2500,84.8000,91.4500,1708714
2023-10-03,91.5000,91.5000,88.5500,89.6000,411165
2023-10-04,89.0000,89.7500,87.0500,89.0000,389713
2023-10-05,90.1000,90.1500,88.1000,89.4500,183216
2023-10-06,90.0500,92.7000,89.2000,90.2000,482136
2023-10-09,88.0000,89.0000,86.7000,86.9000,253679
2023-10-10,87.2500,88.4000,86.7500,87.1500,222186
2023-10-11,87.2500,88.8500,87.2000,87.7000,292442
2023-10-12,87.7500,89.7000,87.7500,88.8000,283106
2023-10-13,89.2500,89.9000,87.5500,88.0000,252716
2023-10-16,87.7000,89.0500,87.7000,88.3500,166330
2023-10-17,87.3500,91.9000,87.3500,89.9500,508553
2023-10-18,90.3500,91.1000,88.1000,88.4500,197986
2023-10-19,88.0000,89.7000,87.5000,89.1500,173890
2023-10-20,89.0500,96.7000,89.0500,93.5500,2254549
2023-10-23,93.9500,94.4000,85.9500,86.7000,924132
2023-10-25,88.3500,88.3500,82.2500,83.8500,707881
2023-10-26,83.8500,85.0000,81.9500,84.1000,522329
2023-10-27,85.0000,86.2500,84.9500,85.4500,183633
2023-10-30,85.9000,86.1000,84.3000,85.3000,132049
2023-10-31,85.9500,86.7500,85.0500,85.5500,110487
2023-11-01,85.5000,87.6000,81.6000,83.0000,633323
2023-11-02,84.1000,84.9500,83.1000,84.5500,166705
2023-11-03,84.5500,86.1000,84.5500,85.6000,164837
2023-11-06,86.5000,86.9000,85.1500,85.5000,154654
2023-11-07,86.0000,86.5000,85.3000,86.0500,141796
2023-11-08,81.6000,84.8000,80.5000,82.7000,882636
2023-11-09,83.5000,83.8000,81.5000,81.7000,362361
2023-11-10,81.4000,82.9500,81.4000,81.7000,164619
2023-11-13,84.8000,84.8000,83.0500,83.8000,163629
2023-11-15,84.0000,85.4500,83.1000,83.3500,261105
2023-11-16,83.3500,83.9500,82.6000,83.0000,173820
2023-11-17,82.5500,83.9000,82.5000,82.6500,155979
2023-11-20,83.0500,83.3500,81.6500,82.2000,177300
2023-11-21,82.3000,88.0000,81.5000,87.0500,1251092
2023-11-22,87.3500,88.8500,85.3500,86.5000,572017
2023-11-23,86.5000,87.5000,85.4000,85.6500,331087
2023-11-24,85.9000,87.1500,84.3000,85.3500,381943
2023-11-28,85.3500,89.5000,84.3000,85.6000,1249593
2023-11-29,86.2500,86.5000,83.5000,83.8000,414527
2023-11-30,84.4500,91.1000,83.1000,89.3000,2401850
2023-12-01,90.5000,93.4000,88.3000,89.3000,1878295
2023-12-04,90.1000,91.5000,87.7500,88.1500,776592
2023-12-05,88.2500,89.1000,86.2000,86.5500,410248
2023-12-06,87.2500,90.0000,86.4000,88.6000,533568
2023-12-07,88.7000,94.5500,87.9000,92.9000,2021235
2023-12-08,93.9000,94.5000,88.8000,89.4000,1002086
2023-12-11,89.8000,91.0000,88.9000,89.8500,362650
2023-12-12,89.9000,91.6500,88.4500,88.8000,345554
2023-12-13,88.6500,90.0000,88.0000,88.7000,245568
2023-12-14,89.3500,90.0000,88.0500,88.1500,317502
2023-12-15,88.4000,89.8500,87.3000,87.6000,448903
2023-12-18,87.6000,88.7500,87.2000,87.3500,230699
