date,open,high,low,close,volume
2023-09-20,523.7500,523.7500,516.2000,519.4625,114284
2023-09-21,519.4750,524.9875,517.2500,518.6875,109820
2023-09-22,519.9875,521.9375,514.7500,515.8250,66176
2023-09-25,519.9375,519.9375,511.3750,513.6250,69864
2023-09-26,514.0000,517.8000,506.2500,509.2000,224540
2023-09-27,511.7500,514.5000,506.3750,508.3625,157228
2023-09-28,512.5000,512.5000,500.7750,501.7750,83560
2023-09-29,503.7500,505.1000,490.8000,493.0750,215108
2023-10-03,493.0750,503.7500,491.7250,498.4125,118288
2023-10-04,499.5375,517.5000,484.6500,492.3000,238000
2023-10-05,497.4125,508.3875,487.2500,498.7875,165024
2023-10-06,501.0250,510.4250,494.2625,499.4375,112956
2023-10-09,505.4125,505.4125,485.5500,491.1500,120904
2023-10-10,497.3500,497.3625,486.0000,487.0125,74996
2023-10-11,489.4500,495.9250,486.5125,487.5000,94568
2023-10-12,489.9375,494.4875,483.7500,485.6500,90672
2023-10-13,485.0000,491.3375,483.8000,485.6000,41576
2023-10-16,490.6875,490.6875,482.5000,483.4750,63680
2023-10-17,485.9000,490.0000,477.9375,479.5875,105604
2023-10-18,479.7500,486.2500,473.7500,478.6250,152212
2023-10-19,481.1875,481.1875,470.5000,473.5500,82360
2023-10-20,475.8750,475.8750,467.5000,471.3875,62688
2023-10-23,473.2500,473.2500,460.0000,468.4875,97472
2023-10-25,473.7500,473.7500,446.7625,452.7500,215876
2023-10-26,450.2500,451.9250,430.0000,438.0750,148992
2023-10-27,440.5000,455.5875,432.5125,436.3000,166908
2023-10-30,441.2500,441.2500,398.7500,406.3250,612592
2023-10-31,406.2375,414.8750,402.8125,410.2000,309408
2023-11-01,417.5000,419.1250,409.0125,414.6375,201400
2023-11-02,414.6375,423.1000,413.5125,416.0875,72924
2023-11-03,420.0000,431.2500,417.5125,427.3125,535788
2023-11-06,427.3125,429.3000,422.7625,425.9750,81720
2023-11-07,418.7500,424.5000,401.5000,420.0875,349348
2023-11-08,422.2000,424.9625,417.2375,422.4500,147116
2023-11-09,423.7500,428.4625,416.3750,421.0125,191332
2023-11-10,421.0125,422.7625,415.0000,420.5000,57948
2023-11-13,420.5000,426.9750,418.7375,425.1875,56344
2023-11-15,426.9250,430.2375,420.0000,423.4375,234160
2023-11-16,422.5000,425.2125,419.0125,423.5625,53956
2023-11-17,420.0000,425.6625,416.1125,423.9375,136324
2023-11-20,426.0625,433.2000,423.2000,429.6000,96540
2023-11-21,431.7000,436.9750,427.8375,430.9000,77672
2023-11-22,432.5000,438.7500,427.7000,437.5375,131532
2023-11-23,437.5375,447.4625,434.2625,443.8750,373248
2023-11-24,450.0000,464.9500,443.2500,462.4125,358964
2023-11-28,467.5000,467.5000,445.5375,447.8875,129460
2023-11-29,448.0000,453.7500,442.5000,443.0750,78180
2023-11-30,445.2875,445.8125,433.7500,435.8125,249564
2023-12-01,436.0000,446.8625,435.9875,445.2875,85444
2023-12-04,457.5000,460.8000,447.0500,458.3000,191284
2023-12-05,458.5000,465.0750,455.9750,461.4875,120844
2023-12-06,463.8000,467.4875,450.0000,452.0000,179716
2023-12-07,448.9500,459.9625,446.9625,449.2125,112348
2023-12-08,449.2125,451.4625,443.6500,445.0000,66232
2023-12-11,447.2250,447.7375,441.2500,442.1250,47684
2023-12-12,442.5000,444.2000,437.2500,441.6250,86076
2023-12-13,441.6250,445.0500,435.4250,438.2750,187344
2023-12-14,438.9000,452.2500,438.9000,450.0125,683688
2023-12-15,451.2500,460.0375,450.4000,458.1375,154584
2023-12-18,457.0000,464.0000,453.5000,462.5000,94488
2023-12-19,462.2500,470.6500,460.3125,465.6875,123436
2023-12-20,467.5000,488.7500,464.7625,486.4875,582112
2023-12-21,485.7375,514.7375,465.1500,508.9750,810224
2023-12-22,508.9750,527.5000,501.3500,526.1125,514116
2023-12-26,527.5000,527.6125,502.5000,506.7875,576768
2023-12-27,507.5000,511.2500,499.9875,509.7625,206060
2023-12-28,509.7625,511.2625,499.8125,505.5250,83892
2023-12-29,505.0000,508.1875,498.7625,501.1750,163628
2024-01-01,503.7500,507.7500,501.2625,506.0875,70380
2024-01-02,506.0000,517.6250,499.5125,512.2875,110264
2024-01-03,520.5625,526.2500,503.5125,523.1375,525232
2024-01-04,526.2500,533.8250,525.0000,531.2625,145424
2024-01-05,533.8750,552.5000,530.5125,549.2500,271932
2024-01-08,556.5000,556.5000,530.5250,541.2875,160816
2024-01-09,543.9375,545.4375,523.7500,539.4750,147092
2024-01-10,539.4750,542.2375,525.0000,531.2125,118752
2024-01-11,531.2500,538.5875,525.3875,528.4625,56852
2024-01-12,528.7500,531.4375,520.5000,522.0625,48128
2024-01-15,527.5000,527.5000,517.7500,518.9125,40004
2024-01-16,523.0500,523.0500,518.3750,519.8750,37504
2024-01-17,512.5000,529.2500,512.5000,524.3375,70772
2024-01-18,520.9875,530.8875,517.7250,521.8625,53176
2024-01-19,522.5000,525.0875,514.1375,517.1250,53376
2024-01-23,506.4625,515.6875,506.4625,512.6375,55060
2024-01-24,511.2500,522.9750,511.2500,517.6625,45132
2024-01-25,517.6625,525.0250,508.6500,518.3750,239800
2024-01-29,518.3750,522.3625,510.5000,513.4875,122008
2024-01-30,513.4875,528.7500,511.0000,527.2500,93028
2024-01-31,529.8875,548.7875,527.0500,544.6375,150196
2024-02-01,545.1750,546.6625,527.2625,534.2625,65716
2024-02-02,530.0000,533.7125,518.7500,521.1875,50400
2024-02-05,523.0000,527.4125,512.5250,521.4750,63648
2024-02-06,525.0000,552.0000,513.1625,525.2625,304936
2024-02-07,549.2500,604.0000,525.0000,530.1750,2500092
2024-02-08,535.5125,557.2375,533.8875,545.9000,929112
2024-02-09,543.7375,552.3625,521.2500,541.1625,409792
2024-02-12,543.0000,543.7500,513.7500,518.9125,230668
2024-02-13,521.5125,527.4875,512.7500,523.6875,68956
2024-02-14,506.7500,521.5125,506.7500,513.2625,76732
2024-02-15,512.5000,517.4625,489.0250,494.5750,156264
2024-02-16,499.5000,500.0000,494.0000,497.1875,45532
2024-02-19,497.2000,546.9500,491.5375,505.8375,698152
2024-02-20,505.8375,512.9875,496.3500,502.5750,102152
2024-02-21,500.3750,508.5875,497.7375,499.6375,99004
2024-02-22,499.3375,504.9500,493.8750,497.1375,63160
2024-02-23,497.2625,503.9875,492.0250,497.0125,122304
2024-02-26,494.2625,501.7375,490.2500,495.0875,150784
2024-02-27,496.0000,496.8125,490.0000,492.6750,71704
2024-02-28,492.6750,493.9500,470.0000,480.1625,231516
2024-02-29,481.2500,487.5125,473.0625,478.0875,49588
2024-03-01,479.7375,485.7875,476.7125,483.5375,70712
2024-03-04,484.4375,484.9875,477.8750,482.1875,73448
2024-03-05,479.7500,482.5875,475.0000,476.0500,17988
2024-03-06,475.2500,475.9625,467.2750,470.5000,45816
2024-03-07,472.8625,485.6625,470.0125,478.6125,56256
2024-03-11,481.0125,481.0125,468.7500,475.0500,31400
2024-03-12,475.0500,477.0000,463.9500,474.7500,54720
2024-03-13,472.3500,482.7500,453.7750,471.6000,156572
2024-03-14,468.2750,478.7250,459.0000,471.9750,220724
2024-03-15,472.5000,474.6250,464.3000,472.4625,52232
2024-03-18,472.2500,510.8625,465.0125,504.1000,295232
2024-03-19,493.7750,507.0250,488.3750,497.6250,123816
2024-03-20,495.0125,498.4625,483.8000,494.5875,73540
2024-03-21,491.2500,503.4125,491.2500,501.2250,63696
2024-03-22,495.7625,507.3750,495.3875,504.0125,53172
2024-03-26,503.2375,522.5000,503.2375,519.5875,136572
2024-03-27,519.0000,535.0625,514.5500,527.8000,260132
2024-03-28,528.3375,544.1500,515.5500,538.4875,140008
2024-04-01,547.4875,549.9500,537.5000,542.9750,113832
2024-04-02,542.4250,542.4750,520.0625,524.3000,103676
2024-04-03,526.2500,552.5625,524.5000,549.3750,240148
2024-04-04,553.7500,555.0000,540.0000,546.5500,146196
2024-04-05,546.2625,563.1500,540.2625,543.3625,200140
2024-04-08,544.4125,545.6125,527.2500,537.1125,31480
2024-04-09,537.1125,540.0000,521.1000,534.7250,65932
2024-04-10,534.9875,534.9875,525.0000,529.2250,34564
2024-04-12,514.5000,537.5000,514.5000,525.8250,31076
2024-04-15,515.0000,526.7625,507.5000,522.0250,59392
2024-04-16,522.0250,529.9875,518.7125,523.2125,235876
2024-04-18,522.9750,528.1250,512.5000,519.3875,31404
2024-04-19,516.0250,517.8500,510.3625,512.9875,21772
2024-04-22,511.0125,523.4250,511.0125,513.5375,26772
2024-04-23,514.0250,519.9000,512.5000,517.5375,22016
2024-04-24,514.0000,529.9375,514.0000,521.8625,68844
2024-04-25,521.8625,536.2500,520.9625,532.6125,42996
2024-04-26,532.6125,544.7500,530.5750,541.1875,75088
2024-04-29,541.7375,550.0000,537.7625,545.2250,41660
2024-04-30,544.5000,549.5125,537.7625,540.3625,27776
2024-05-02,540.3625,550.0000,540.0000,545.7375,74632
2024-05-03,542.5000,555.0000,539.6625,547.0625,92292
2024-05-06,543.8250,554.9875,523.7625,529.0625,49312
2024-05-07,526.2500,538.1625,522.7500,525.2500,63956
2024-05-08,527.0625,541.7500,523.0000,539.4750,132304
2024-05-09,542.1750,552.5000,528.7875,531.6000,51220
2024-05-10,530.5750,539.2500,525.0125,526.0125,27844
2024-05-13,526.7125,546.7375,525.0500,541.1250,416788
2024-05-14,544.7500,547.2375,538.7500,543.1750,65692
2024-05-15,570.0000,583.4500,533.7500,536.6250,921104
2024-05-16,535.0000,563.7500,530.3250,557.5500,344040
2024-05-17,556.4500,562.9750,548.0000,559.4750,121500
2024-05-21,550.4875,575.0000,546.6500,564.4750,89724
2024-05-22,568.4375,572.4750,550.0000,563.2000,83220
2024-05-23,556.0000,566.9875,555.9500,562.5625,35028
2024-05-24,558.7625,571.2250,555.3875,567.5375,73768
2024-05-27,573.0250,574.6125,564.2000,569.1625,51020
2024-05-28,568.0000,569.6625,552.2000,557.3250,39264
2024-05-29,553.9500,554.5000,535.1250,538.7000,40664
2024-05-30,535.5250,541.8625,522.9250,528.0875,176872
2024-05-31,528.0000,534.1625,513.6000,523.4750,47852
2024-06-03,525.0000,548.3500,521.8375,537.3000,84392
2024-06-04,541.9250,559.8625,525.0000,549.5000,121116
2024-06-05,549.5000,631.2500,548.8625,603.5750,1087600
2024-06-06,610.5000,625.0000,600.4875,617.9375,531692
2024-06-07,608.6625,674.7375,608.6625,658.5250,562048
2024-06-10,674.4875,700.0000,653.7625,684.3875,627596
2024-06-11,681.0000,692.9875,659.2750,684.4875,162176
2024-06-12,679.6750,708.7750,662.0125,702.3125,398416
2024-06-13,702.4875,712.4750,677.0125,705.3500,99764
2024-06-14,702.5000,707.6625,687.5000,693.1875,48792
2024-06-18,693.1875,700.0000,676.2000,690.0625,75916
2024-06-19,685.2500,702.5000,685.2500,692.2250,78012
2024-06-20,688.0375,692.2125,667.2500,688.4750,41932
2024-06-21,681.8125,720.0000,681.8125,709.1250,123520
2024-06-24,714.8750,729.8250,701.5000,707.7750,326056
2024-06-25,712.5000,738.7500,700.0000,722.3750,150788
2024-06-26,725.0000,740.0000,707.0500,734.9625,64084
2024-06-27,740.0000,740.0000,717.1875,730.8000,103968
2024-06-28,739.7375,739.7375,713.7500,730.5875,42152
2024-07-01,730.0000,750.0000,727.7625,747.7500,82256
2024-07-02,747.7500,747.7500,696.0250,724.3375,105464
2024-07-03,750.0125,770.0000,732.6500,764.2625,406200
2024-07-04,763.6500,778.7500,754.5125,770.9250,77860
2024-07-05,768.8125,821.2375,764.0875,812.2000,240600
2024-07-08,811.2500,829.4875,805.5125,821.3625,142168
2024-07-09,827.4875,847.0000,813.8375,824.1375,185928
2024-07-10,818.7500,832.9000,777.5750,808.8250,132960
2024-07-11,822.4000,830.0000,804.9875,816.3500,69200
2024-07-12,816.3500,824.3125,808.7500,818.7000,70140
2024-07-15,828.7750,841.2375,786.2500,813.7750,80684
2024-07-16,815.0250,827.8750,792.0000,815.0625,155664
2024-07-18,815.0625,825.0000,780.8500,820.6375,253508
2024-07-19,818.8125,825.0000,780.8500,800.4125,101468
2024-07-22,775.0000,901.4750,775.0000,866.6375,333708
2024-07-23,844.2375,880.9625,823.2875,871.9875,185904
2024-07-24,856.5000,891.1500,856.5000,869.1625,104160
2024-07-25,861.0000,867.5000,834.0500,844.3750,84096
2024-07-26,844.3000,861.0000,837.5375,850.7875,36856
2024-07-29,860.0000,860.0000,840.0000,852.0375,18840
2024-07-30,860.0000,860.0000,842.8375,848.2000,18248
2024-07-31,860.0000,876.0625,837.7875,856.2375,40384
2024-08-01,868.3000,873.0500,840.6875,856.3500,22364
2024-08-02,852.7625,871.1375,833.5625,853.1000,32792
2024-08-05,854.7375,856.0000,781.2625,818.7625,96648
2024-08-06,875.0000,933.3750,801.9625,813.2000,860868
2024-08-07,824.7000,891.1250,813.7500,867.3625,402332
2024-08-08,867.3625,955.0125,866.8625,901.7250,396308
2024-08-09,900.0125,928.6250,896.4125,917.4750,71612
2024-08-12,917.4750,942.4750,901.2375,926.1875,129660
2024-08-13,925.7625,934.5375,894.7375,901.2250,280416
2024-08-14,895.2500,924.7500,891.1375,923.9375,70676
2024-08-16,931.2500,931.2500,910.0125,920.1500,36640
2024-08-19,931.2500,931.2500,911.8875,923.5250,77956
2024-08-20,928.7500,928.7500,887.5000,897.6750,70180
2024-08-21,897.6750,921.3750,890.0625,912.4625,52676
2024-08-22,923.4000,925.2375,900.0000,910.8375,49404
2024-08-23,901.9375,916.5750,901.7250,907.3750,26108
2024-08-26,908.7625,918.2375,904.8375,909.1000,22864
2024-08-27,911.5000,925.0000,894.2500,918.8625,56156
2024-08-28,925.0000,926.8625,901.6625,919.1000,77184
2024-08-29,930.0000,930.0000,895.0000,897.8875,52644
2024-08-30,900.0000,908.9250,881.8875,900.2500,35592
2024-09-02,901.2500,926.3000,884.0000,916.3375,61168
2024-09-03,915.0000,922.9500,895.0125,907.9000,41624
2024-09-04,896.2500,924.7875,887.4875,916.5500,32120
2024-09-05,921.2500,925.0000,894.7000,898.6375,29060
2024-09-06,906.5000,927.5250,892.5250,897.0375,104464
2024-09-09,907.5000,907.5000,871.8500,900.3750,46512
2024-09-10,908.7500,927.4750,908.7375,922.3000,91304
2024-09-11,927.4875,927.4875,900.0000,903.7000,41188
2024-09-12,907.5000,925.0000,903.0250,921.4500,56900
2024-09-13,928.7375,929.2500,897.5000,909.9875,70492
2024-09-16,902.5125,912.0000,895.0125,900.1125,41668
2024-09-17,910.0000,925.0000,887.5125,898.9250,92836
2024-09-18,902.6000,917.5000,887.5000,893.5750,55972
2024-09-19,900.7375,925.0000,891.9375,920.0375,247440
2024-09-20,905.0125,927.7500,905.0125,924.6375,65176
2024-09-23,931.2500,1005.0000,931.2375,996.9250,523776
2024-09-24,1025.0000,1025.0000,980.1875,1002.7625,235132
2024-09-25,1000.0000,1000.0000,970.0000,984.3250,61016
2024-09-26,986.0750,1000.5750,975.0250,988.1750,33984
2024-09-27,988.2500,1009.1000,976.6750,1000.0875,99428
2024-09-30,1000.0875,1038.2250,991.3250,1007.2875,121388
2024-10-01,1033.3750,1118.7500,1017.6250,1103.2125,1497376
2024-10-03,1072.5125,1119.9750,1068.8375,1097.5125,341824
2024-10-04,1106.2500,1118.7500,1042.5000,1114.2875,142688
2024-10-07,1122.5000,1125.0000,1015.1250,1053.0125,327152
2024-10-08,1050.0125,1119.0625,1035.1375,1113.3125,131092
2024-10-09,1117.5875,1117.5875,1085.3750,1093.3750,77084
2024-10-10,1096.2500,1097.5000,1086.7625,1095.4375,36248
2024-10-11,1087.5000,1118.7500,1070.0125,1117.3625,79244
2024-10-14,1125.0000,1125.0000,1090.0000,1094.0875,89888
2024-10-15,1094.0875,1099.7500,1075.2625,1087.3500,147332
