date,open,high,low,close,volume
2025-09-24,104.9000,105.0000,99.6500,99.6500,5353619
2025-09-25,94.6600,94.7000,94.6600,94.6600,466944
2025-09-26,89.9200,89.9200,89.9200,89.9200,161205
2025-09-29,85.4200,85.4200,85.4200,85.4200,87822
2025-09-30,81.1400,83.7100,81.1400,81.1400,1535140
2025-10-01,77.0800,83.9000,77.0800,82.6700,1203392
2025-10-03,82.0000,82.0000,79.1000,79.8100,497184
2025-10-06,79.8200,80.0000,75.8100,75.9000,432301
2025-10-07,75.1100,78.7000,72.1000,77.1900,748559
2025-10-08,76.7000,76.9900,74.1000,76.3200,392588
2025-10-09,76.7000,76.7000,72.9000,74.6900,580616
2025-10-10,74.3200,75.9900,74.3200,75.2800,260162
2025-10-13,74.1100,77.5000,73.5200,76.3400,935157
2025-10-14,76.3400,78.5000,75.1500,75.7000,697182
2025-10-15,73.7500,75.3100,73.0000,73.4300,334781
2025-10-16,73.7900,74.9400,72.5000,72.8400,267928
2025-10-17,72.3000,74.5000,71.0000,71.0700,428703
2025-10-20,72.0000,72.4500,69.2600,71.0400,502689
2025-10-21,71.5000,71.9600,71.0000,71.5400,85296
2025-10-23,71.9800,72.4000,69.7500,70.3600,241331
2025-10-24,70.3100,70.8900,69.5000,70.1900,193756
2025-10-27,70.1900,70.9000,69.0500,69.4400,259487
2025-10-28,69.1100,70.1600,68.0300,68.8200,292880
2025-10-29,68.6000,73.0000,68.5500,72.2400,851328
2025-10-30,72.9000,76.3900,71.4500,72.0900,696806
2025-10-31,72.0000,72.7400,71.2500,71.9000,192559
2025-11-03,71.4500,72.0000,70.6000,70.6700,105731
2025-11-04,70.5100,71.1000,70.0000,70.0300,120411
2025-11-06,69.0600,69.8400,66.3000,66.5300,526734
2025-11-07,66.0000,68.3400,64.1800,67.7700,611569
2025-11-10,67.5000,67.8000,66.4000,66.9300,203663
2025-11-11,67.0100,67.5200,66.0300,66.4500,110040
2025-11-12,66.9500,69.1800,66.2100,67.7700,529155
2025-11-13,68.0000,70.9500,66.1000,66.7300,504293
2025-11-14,66.9000,67.9000,66.6700,67.2600,138487
2025-11-17,64.0600,67.4500,64.0600,65.0200,390475
2025-11-18,65.0900,65.4500,63.8000,64.0300,205406
2025-11-19,64.0300,64.0300,62.8000,63.0900,134953
2025-11-20,63.4400,63.4400,61.1000,61.7900,151246
2025-11-21,61.1500,64.8900,61.1500,63.1000,340461
2025-11-24,63.1100,63.1600,61.0000,61.6000,126241
2025-11-25,61.0000,64.0000,60.6000,61.2600,442447
2025-11-26,61.9000,63.2400,60.9000,61.5900,193006
2025-11-27,61.7000,63.9000,61.7000,62.4100,269804
2025-11-28,62.4500,62.6000,60.9700,61.2000,117730
2025-12-01,61.5000,61.7900,59.8500,60.1800,112954
2025-12-02,60.1500,60.1500,58.0000,58.1200,141299
2025-12-03,58.4000,58.4000,55.4100,55.8200,182438
2025-12-04,55.8200,56.4000,53.9700,54.1100,219966
2025-12-05,54.1000,54.4900,52.6500,53.7000,188112
2025-12-08,53.3000,53.7800,51.1500,51.4900,136389
2025-12-09,50.9900,53.8900,50.5900,53.1200,247567
2025-12-10,53.6500,54.0000,51.7900,52.2800,167232
2025-12-11,51.8000,53.9000,51.6600,53.2600,183135
2025-12-12,53.4500,54.0000,52.5100,53.6800,92073
2025-12-15,53.6800,54.2100,52.9300,53.7500,123952
2025-12-16,53.7500,56.3100,53.0300,53.2800,280902
2025-12-17,52.5500,53.4200,51.7100,51.9000,85193
2025-12-18,51.0100,55.0000,50.7700,53.1800,199056
2025-12-19,53.1800,53.6000,52.0000,52.2800,103406
2025-12-22,52.5000,54.1800,52.4900,53.8000,164326
2025-12-23,54.0500,55.2900,53.9100,54.1100,161974
2025-12-24,54.0000,54.7400,53.7000,53.9700,53981
2025-12-26,53.5600,54.0000,52.9000,53.3000,135899
2025-12-29,53.3000,53.3000,51.1100,51.4900,159208
2025-12-30,51.9000,52.8900,51.3100,52.7400,178846
2025-12-31,53.3000,55.9000,52.6200,55.2200,394324
2026-01-01,55.5000,55.6800,53.7100,54.1100,78604
2026-01-02,54.2500,55.4000,53.7200,54.9100,127481
2026-01-05,55.5000,55.5000,53.2500,53.7900,83958
2026-01-06,53.9500,53.9500,52.5000,52.7100,37525
2026-01-07,52.5000,53.2000,52.3200,52.8400,57341
2026-01-08,52.5400,52.9500,51.0000,51.1100,100510
2026-01-09,51.1000,51.4100,48.2200,48.7700,178749
2026-01-12,48.0000,49.8300,47.1300,48.3300,223016
2026-01-13,49.0500,49.2000,48.0000,48.2200,84659
2026-01-14,47.5000,48.6000,47.1900,47.8400,195941
2026-01-15,47.8400,47.8400,47.8400,47.8400,0
2026-01-16,47.8200,48.7100,47.5100,48.1000,216995
2026-01-19,47.1700,48.1900,46.8700,47.1600,96857
2026-01-20,46.2600,47.0700,45.0000,45.4100,201327
2026-01-21,44.7100,54.2000,44.6500,51.1800,1585625
2026-01-22,51.5000,51.8000,49.5000,49.9900,190508
2026-01-23,50.4900,50.4900,47.1000,47.3400,132814
2026-01-27,47.2100,50.9500,46.4800,50.4500,334931
2026-01-28,49.4500,51.4200,49.1000,50.2200,86676
2026-01-29,49.5500,51.5800,49.5500,50.3000,404383
2026-01-30,49.5000,49.9300,48.6500,49.4200,79226
2026-02-02,47.1000,47.4500,46.1100,47.0500,72747
2026-02-03,49.0000,49.3900,48.5000,48.9200,101162
2026-02-04,48.3000,49.6400,48.3000,49.3200,71787
2026-02-05,48.6000,49.4000,48.6000,48.8300,53689
2026-02-06,48.6000,50.4900,48.2700,49.7900,234954
2026-02-09,50.0000,52.3800,49.5100,51.4700,200254
2026-02-10,51.6000,51.8500,50.2400,50.9600,74160
2026-02-11,51.1000,52.4500,50.7600,52.2600,144419
2026-02-12,52.2600,52.4000,50.9000,51.4500,55711
2026-02-13,51.3000,52.2000,50.3100,51.4800,213844
2026-02-16,50.9500,51.3900,50.0000,50.4000,170159
2026-02-17,49.6000,52.7000,49.6000,51.1600,198849
2026-02-18,50.7000,51.3100,50.5000,50.8100,61556
2026-02-19,50.3000,50.7700,49.2000,49.7300,73368
2026-02-20,48.5500,49.9000,47.6000,48.3300,100444
2026-02-23,48.3400,48.6700,47.0000,47.3000,59285
2026-02-24,47.7000,47.8800,46.5000,46.6700,75975
2026-02-25,47.0100,47.4000,46.4000,46.5400,57140
2026-02-26,47.9500,47.9500,46.5400,46.9900,54607
2026-02-27,46.8400,47.1500,45.9500,46.2200,75901
2026-03-02,41.0000,45.0800,41.0000,43.9000,191660
2026-03-04,42.5000,43.3600,42.4900,42.9100,97297
2026-03-05,43.0000,43.4900,42.2500,42.9100,79994
2026-03-06,42.0500,43.3500,42.0500,42.6900,71875
2026-03-09,41.0000,41.9400,41.0000,41.3700,71941
2026-03-10,41.8000,42.8200,41.5300,42.2600,60799
2026-03-11,42.0000,43.2800,41.5000,41.8200,57950
2026-03-12,41.6000,42.1400,40.5900,41.4100,90507
2026-03-13,41.5300,41.5600,40.0100,40.2800,113045
2026-03-16,39.6500,40.4900,38.4000,38.9800,94675
2026-03-17,39.5000,45.0000,38.7000,42.1800,493399
2026-03-18,42.5500,43.5000,42.0000,42.5300,73274
2026-03-19,41.0000,41.8200,41.0000,41.1900,52325
2026-03-20,41.4100,42.0300,41.1100,41.3200,58171
2026-03-23,41.3200,41.3200,39.4000,39.6200,73748
2026-03-24,40.2000,40.2000,39.5200,39.6900,96812
2026-03-25,40.6000,40.8000,39.2600,39.5800,322812
2026-03-27,39.5800,39.6000,37.0000,37.2600,223151
2026-03-30,36.9300,37.0000,33.5000,34.5100,211198
2026-04-01,35.2000,37.9900,35.2000,37.6300,119388
2026-04-02,36.4000,39.3900,36.2200,38.2600,106274
2026-04-06,37.9000,39.9900,37.6700,39.5200,259310
2026-04-07,39.0000,41.5000,38.7600,40.2400,233609
2026-04-08,41.4000,43.2500,40.8000,42.8600,200632
2026-04-09,42.5500,43.5000,42.2000,42.9100,76950
2026-04-10,43.2000,44.8000,43.1600,44.0400,75253
2026-04-13,42.0000,44.7500,42.0000,44.2800,110098
2026-04-15,45.0000,45.9000,44.0000,45.0600,104308
2026-04-16,45.1000,46.9000,45.1000,46.6000,145985
2026-04-17,47.2000,47.4900,46.5000,47.1700,116770
2026-04-20,47.5600,47.7900,46.5000,46.5400,72862
2026-04-21,46.7700,47.3600,46.2600,46.8900,37403
2026-04-22,46.7000,47.3000,46.2600,46.9100,51888
2026-04-23,46.0500,46.8200,45.9600,46.0200,37012
2026-04-24,46.1100,47.1900,44.8500,46.0500,304403
2026-04-27,46.5000,47.4700,46.0000,46.9000,36559
2026-04-28,46.2000,47.3900,46.2000,46.6700,28853
2026-04-29,47.0000,52.0000,46.8600,51.4300,692435
2026-04-30,51.8000,51.8000,48.8900,49.6400,351050
2026-05-04,51.0000,51.0000,48.5000,48.5800,181859
2026-05-05,49.0000,51.0000,49.0000,50.4000,99254
2026-05-06,51.8000,51.8000,50.0000,50.1900,36737
2026-05-07,51.0000,51.0000,49.0000,49.5900,41804
2026-05-08,50.2000,50.5600,48.6000,49.2800,32162
2026-05-11,49.7900,49.7900,48.1500,48.4200,29489
2026-05-12,48.0500,49.4700,46.5000,47.2000,23419
2026-05-13,47.9500,47.9500,46.3000,46.9700,66782
2026-05-14,47.6800,47.6800,46.3000,46.4500,24814
2026-05-15,47.1900,48.7700,46.7500,48.5000,77950
2026-05-18,48.6000,48.6000,46.5000,47.0800,38796
2026-05-19,46.1100,47.5000,46.1100,46.3800,20908
2026-05-20,46.1100,47.9000,45.0000,47.5200,17025
2026-05-21,46.0000,49.0000,46.0000,46.6300,16145
2026-05-22,46.5100,48.0500,46.5100,47.7700,20308
2026-05-25,47.1200,49.5000,47.1200,48.6300,23940
2026-05-26,48.6500,49.0000,48.0500,48.2800,25334
2026-05-27,48.1000,50.0000,48.1000,48.5100,17297
2026-05-28,48.5100,48.5100,48.5100,48.5100,0
2026-05-29,48.5100,49.5000,48.1200,48.8200,19884
2026-06-01,48.4400,48.8000,46.5100,47.4700,21735
2026-06-02,47.1000,47.1500,46.0000,46.4200,16586
2026-06-03,46.5000,47.4400,46.0000,46.9300,10714
2026-06-04,47.1500,47.2000,45.2700,46.3000,12948
2026-06-05,46.3000,47.3000,46.0000,46.0300,17194
2026-06-08,46.0000,46.0000,45.0000,45.0400,26129
2026-06-09,45.2000,45.6700,45.1000,45.3900,12567
2026-06-10,45.0500,45.9800,44.9000,45.0800,8367
2026-06-11,44.5200,45.8900,43.0100,44.2100,25679
2026-06-12,44.8900,45.4400,44.0100,44.6400,13381
2026-06-15,45.0000,46.2400,45.0000,45.8400,20601
2026-06-16,45.1500,46.2200,45.1500,45.8500,7254
2026-06-17,46.0000,46.7000,45.5000,46.0200,17353
2026-06-18,46.0200,46.0200,45.0000,45.1900,24384
2026-06-19,45.1900,45.7500,43.5200,45.5000,12693
2026-06-22,45.0000,46.0000,45.0000,45.4400,11904
2026-06-23,44.9000,45.8900,44.0000,44.5900,37362
2026-06-24,44.0300,44.9600,44.0000,44.0800,24611
2026-06-25,44.1000,44.9700,43.5000,43.6000,17485
2026-06-26,43.6000,43.6000,43.6000,43.6000,0
2026-06-29,43.6000,44.6000,43.5000,43.7900,22963
2026-06-30,43.8000,44.6000,42.1000,44.4700,33707
2026-07-01,44.9000,45.9800,44.8000,45.2300,25433
2026-07-02,47.0000,47.0000,46.1000,46.4600,23489
2026-07-03,47.4000,47.9900,45.3000,47.1400,44866
2026-07-06,46.5200,49.4900,46.5200,48.8100,146299
2026-07-07,48.1000,50.0000,48.1000,48.7100,29037
2026-07-08,49.4000,49.4000,46.5000,46.5500,37856
2026-07-09,48.0000,48.0000,45.5000,46.7600,13002
2026-07-10,46.9500,47.3900,46.0000,46.3300,20332
2026-07-13,46.9500,46.9500,45.4200,45.9900,12607
2026-07-14,45.9900,45.9900,43.8500,44.8600,36377
