date,open,high,low,close,volume
2024-02-20,425.0000,446.2500,420.0000,446.2500,2222492
2024-02-21,423.9500,423.9500,423.9500,423.9500,80898
2024-02-22,402.7500,402.7500,402.7500,402.7500,15208
2024-02-23,382.6500,382.6500,382.6500,382.6500,38217
2024-02-26,363.5500,363.5500,363.5500,363.5500,21909
2024-02-27,345.4000,381.7000,345.4000,354.2500,753465
2024-02-28,341.0000,349.0000,336.5500,336.5500,166349
2024-02-29,319.7500,319.7500,319.7500,319.7500,54518
2024-03-01,320.0000,335.7000,309.0000,332.6000,292423
2024-03-04,338.0000,342.9500,324.5500,337.1000,122736
2024-03-05,339.9500,342.0000,312.0000,313.8500,282913
2024-03-06,315.6500,319.0000,295.0000,313.2000,236215
2024-03-07,315.9000,324.6000,300.0000,301.8500,224291
2024-03-11,302.0000,302.4500,264.0500,265.8500,485273
2024-03-12,265.7500,269.7500,243.1000,246.5000,371473
2024-03-13,247.3000,261.7500,228.2000,232.4500,294826
2024-03-14,237.0500,258.7500,234.0000,250.5500,232401
2024-03-15,257.0000,257.0000,243.0000,253.2000,143685
2024-03-18,257.0000,259.0000,242.7000,244.0500,217506
2024-03-19,247.9000,287.0000,244.9500,261.8000,906528
2024-03-20,266.2500,276.0000,260.0000,263.6500,375796
2024-03-21,268.6000,273.5000,263.7000,266.7000,116194
2024-03-22,269.5000,272.1000,264.1000,266.0500,126910
2024-03-26,266.0500,268.0500,250.2000,256.3500,215464
2024-03-27,256.3500,262.7000,250.0000,253.2500,182398
2024-03-28,253.2500,255.8500,248.5500,250.6000,153038
2024-04-01,255.0000,285.0000,253.9500,276.2500,360840
2024-04-02,279.8000,283.4000,274.6500,279.8500,163119
2024-04-03,279.0500,332.0000,275.3500,323.5500,1147316
2024-04-04,329.7000,333.0000,318.0000,325.1500,366339
2024-04-05,325.0000,326.4000,318.1000,322.0000,115081
2024-04-08,325.8500,328.0000,312.2500,315.5000,98391
2024-04-09,318.8500,318.8500,302.9500,307.3500,105839
2024-04-10,309.9000,317.0000,304.2000,306.2500,115389
2024-04-12,305.9500,313.0000,298.0500,300.5000,145366
2024-04-15,286.0500,300.5000,278.0500,296.4000,191592
2024-04-16,298.0000,308.1500,293.0500,297.7000,140518
2024-04-18,301.7500,304.0000,290.0000,291.5000,73616
2024-04-19,288.0000,297.0000,271.1000,291.5000,111938
2024-04-22,300.9500,301.0000,292.3500,295.2500,95611
2024-04-23,295.1000,304.8000,291.2000,294.2000,115516
2024-04-24,298.6000,304.0000,294.9500,297.5000,117038
2024-04-25,305.6500,323.8000,301.3000,304.1000,305450
2024-04-26,309.7500,310.4500,298.0000,299.2500,99045
2024-04-29,300.0500,304.6500,292.5500,293.7500,76710
2024-04-30,298.0000,298.0000,289.3500,290.9500,65306
2024-05-02,290.9500,294.9000,287.3000,290.7500,46089
2024-05-03,290.9500,294.0000,288.0000,290.8500,78546
2024-05-06,293.8000,293.8000,278.1000,280.9500,79950
2024-05-07,283.0000,286.6500,277.1000,281.1000,45201
2024-05-08,287.0000,287.0000,275.0000,276.5500,60534
2024-05-09,280.0000,280.0000,270.0000,271.4000,41843
2024-05-10,270.0000,272.0000,263.0500,267.8000,50313
2024-05-13,269.9000,272.4000,258.7500,262.9500,57819
2024-05-14,263.9000,271.2000,263.9000,267.6000,41417
2024-05-15,271.8500,271.8500,263.0000,263.6500,50404
2024-05-16,260.0000,271.9500,260.0000,266.0500,90674
2024-05-17,270.0000,270.0000,262.5000,265.4500,164130
2024-05-21,266.0500,268.5000,260.8000,261.4500,58789
2024-05-22,263.0000,268.4000,263.0000,266.2000,18418
2024-05-23,266.0000,268.9000,263.5000,264.8000,20082
2024-05-24,266.0000,270.0000,260.0000,265.2000,24091
2024-05-27,265.3000,268.0000,260.0000,261.6000,36643
2024-05-28,262.0000,265.0000,256.0000,258.3500,35723
2024-05-29,246.3000,260.5000,246.3000,251.9500,37127
2024-05-30,250.5000,252.9000,245.0000,245.9000,26115
2024-05-31,247.0000,252.5000,241.0000,243.5000,21103
2024-06-03,253.9500,253.9500,241.0000,243.9500,67871
2024-06-04,244.0000,248.0000,231.7500,233.3500,66351
2024-06-05,233.0000,245.0000,221.7000,244.9000,43876
2024-06-06,244.9000,252.0000,241.0000,247.2500,17150
2024-06-07,249.5000,249.5000,244.0000,247.5500,15811
2024-06-10,247.6000,249.5000,244.0000,248.0600,17901
2024-06-11,248.0000,250.5000,248.0000,248.8800,23508
2024-06-12,250.5000,261.3200,248.0000,260.3100,68116
2024-06-13,266.2500,266.9000,261.7500,263.8700,23569
2024-06-14,266.9800,266.9800,254.0000,263.5200,25041
2024-06-18,266.8000,266.8000,255.0000,256.6600,61021
2024-06-19,254.0500,259.9900,250.0000,253.6300,31831
2024-06-20,253.6300,261.0000,250.2500,256.1300,45843
2024-06-21,259.9000,259.9000,245.0500,253.2900,54132
2024-06-24,256.0000,256.0000,249.7200,255.6500,20836
2024-06-25,256.0000,259.6500,253.7000,254.7300,14604
