date,open,high,low,close,volume
2023-09-26,3792.0000,3807.9500,3708.0000,3738.7500,12370
2023-09-27,3750.0000,3824.9500,3675.0000,3687.8999,19030
2023-09-28,3690.0000,3745.0000,3617.8999,3672.1001,10514
2023-09-29,3690.4500,3710.7500,3642.1001,3654.8000,9728
2023-10-03,3636.0500,3750.0000,3602.6001,3691.0000,13234
2023-10-04,3709.5000,3914.0000,3667.6001,3792.8999,63961
2023-10-05,3820.0000,3880.0000,3711.0000,3729.6001,24344
2023-10-06,3735.0000,3907.0000,3701.1001,3870.6499,30746
2023-10-09,3850.0000,3866.0000,3765.5500,3792.1001,15861
2023-10-10,3811.1001,3880.0000,3761.2500,3850.7000,16099
2023-10-11,3865.7500,3895.1499,3785.5000,3808.2000,11968
2023-10-12,3827.2500,3852.6499,3750.0000,3756.0000,9692
2023-10-13,3756.3000,3808.8000,3723.5000,3740.3000,9965
2023-10-16,3740.3000,3779.8999,3711.3000,3728.6001,7989
2023-10-17,3730.0000,3767.5000,3660.0500,3682.2000,17327
2023-10-18,3682.0000,3787.0000,3667.0000,3689.7500,13761
2023-10-19,3675.0500,3709.7000,3660.0000,3697.1001,4779
2023-10-20,3704.3000,3706.3000,3640.1001,3649.8000,9456
2023-10-23,3649.8000,3704.1499,3451.0000,3479.8999,14219
2023-10-25,3559.8501,3578.1499,3425.0000,3496.1499,12394
2023-10-26,3500.0000,3599.0000,3388.6001,3534.7000,14861
2023-10-27,3534.7000,3620.1499,3505.0000,3569.1499,9100
2023-10-30,3561.4500,3567.3999,3509.2000,3521.6499,6890
2023-10-31,3539.3000,3565.3501,3502.0000,3536.0000,7703
2023-11-01,3540.0500,3540.0500,3450.1001,3472.2500,18634
2023-11-02,3472.2500,3559.8999,3459.9500,3534.2000,12648
2023-11-03,3567.4500,3620.2000,3555.0000,3583.4500,10521
2023-11-06,3601.3999,3616.6499,3550.0000,3584.0500,6711
2023-11-07,3584.5500,3738.0000,3498.1001,3625.5500,62856
2023-11-08,3680.7000,3799.9500,3626.0000,3722.8999,58734
2023-11-09,3730.0000,3776.0000,3661.5500,3751.0000,9503
2023-11-10,3769.8000,3776.0000,3705.0000,3757.3999,8008
2023-11-13,3764.6499,3787.0000,3710.0000,3733.3000,7670
2023-11-15,3758.3999,3809.0000,3727.5500,3780.5500,10332
2023-11-16,3811.0500,4110.0000,3779.1001,4069.6001,115248
2023-11-17,4101.5000,4196.0000,3970.0000,4002.6001,44178
2023-11-20,4046.6499,4127.4502,3981.0000,4020.3000,15268
2023-11-21,4018.2000,4087.4500,4008.2000,4067.0000,10866
2023-11-22,4080.0000,4121.0000,4015.0000,4047.8000,10519
2023-11-23,4049.9500,4068.0500,3985.9500,4015.8999,5980
2023-11-24,4020.0000,4074.9500,3967.6001,4015.7000,10023
2023-11-28,4049.9500,4090.0000,4014.0000,4031.7000,9260
2023-11-29,4043.0500,4080.0000,3989.0500,3999.7000,12631
2023-11-30,4019.7000,4144.7002,3994.6001,4115.8501,14621
2023-12-01,4149.0000,4175.0000,4050.0500,4065.0000,43391
2023-12-04,4180.0000,4180.0000,3991.0000,4036.9500,14586
2023-12-05,4077.0000,4077.0000,4000.0000,4005.1499,19834
2023-12-06,4005.1499,4032.4500,3988.2500,4011.0500,8349
2023-12-07,4017.0000,4060.0000,3990.0000,4042.3000,10597
2023-12-08,4059.0000,4092.4500,4010.0500,4060.1499,10696
2023-12-11,4095.0000,4095.0000,4000.0000,4006.7500,10898
2023-12-12,4048.8000,4049.0000,3935.0500,3951.7000,8794
2023-12-13,3963.0000,3998.8999,3856.5500,3899.0000,13296
2023-12-14,3895.0000,3955.9500,3815.5500,3840.1499,19458
2023-12-15,3846.0000,3950.0000,3820.0000,3862.5500,12694
2023-12-18,3862.0000,3907.4500,3819.9500,3867.7500,9820
2023-12-19,3867.7500,3914.9500,3850.0000,3856.8501,3493
2023-12-20,3875.3999,3878.5500,3735.8999,3754.6499,14138
2023-12-21,3754.6499,3838.0000,3685.1001,3826.0000,9042
2023-12-22,3845.1499,3864.9500,3800.0000,3832.4500,4168
2023-12-26,3870.0000,3890.0000,3790.0000,3802.1001,7836
2023-12-27,3821.1499,3834.3999,3762.0000,3771.8000,6465
2023-12-28,3788.8501,3823.2500,3762.6499,3774.8000,6296
2023-12-29,3775.0000,3794.9500,3750.8501,3778.3000,4932
2024-01-01,3778.3000,3827.3999,3683.0000,3700.8000,22870
2024-01-02,3719.2000,3721.0000,3585.0000,3599.0000,20336
2024-01-03,3610.0000,3679.7000,3571.0000,3589.1499,13135
2024-01-04,3607.1001,3629.8501,3572.0000,3579.3000,14309
2024-01-05,3579.3000,3632.9500,3560.0000,3594.1499,9966
2024-01-08,3594.1001,3619.9500,3505.6001,3518.5500,15574
2024-01-09,3536.1499,3575.8999,3520.0000,3560.6499,7796
2024-01-10,3561.0000,3590.0000,3540.1001,3566.5000,5749
2024-01-11,3580.0000,3595.6499,3510.0000,3544.6499,12922
2024-01-12,3572.4500,3610.0000,3525.1001,3541.8501,71425
2024-01-15,3558.4500,3565.9500,3435.0000,3444.5500,18942
2024-01-16,3499.8999,3499.9500,3385.0000,3399.8999,25141
2024-01-17,3409.9500,3426.8501,3318.3501,3344.7000,15663
2024-01-18,3316.0000,3449.0000,3285.0000,3422.1499,22119
2024-01-19,3439.3000,3485.0000,3346.5000,3369.5500,13138
2024-01-23,3441.4500,3441.5000,3130.0000,3282.8501,17738
2024-01-24,3299.3000,3343.9500,3221.1499,3303.0500,10628
2024-01-25,3304.0000,3371.1001,3298.8501,3341.7500,6584
2024-01-29,3344.9500,3418.6499,3331.8501,3388.0500,5983
2024-01-30,3411.9500,3447.8999,3300.0000,3333.7500,8195
2024-01-31,3333.0000,3390.0000,3308.6001,3331.2500,12666
2024-02-01,3390.8501,3414.3501,3132.0000,3178.8000,39410
2024-02-02,3155.0000,3350.0000,3015.0000,3054.1001,52985
2024-02-05,3054.1499,3075.6001,2996.3999,3036.1001,19378
2024-02-06,3077.8999,3113.0000,3007.6499,3026.4500,21782
2024-02-07,3026.4500,3128.0000,3026.4500,3097.0000,11386
2024-02-08,3110.0000,3177.0000,3100.0000,3158.8501,15878
2024-02-09,3150.1001,3170.1499,3005.5500,3102.3000,32273
2024-02-12,3117.8501,3190.0500,3088.0000,3168.3000,12736
2024-02-13,3177.9500,3203.6499,3140.0000,3163.2000,8336
2024-02-14,3155.0000,3219.9500,3137.2500,3187.7500,11471
2024-02-15,3199.0000,3251.7500,3180.0500,3236.6001,9502
2024-02-16,3252.8000,3285.8501,3207.5000,3259.6499,8468
2024-02-19,3275.0000,3280.2000,3230.0000,3271.6001,4889
2024-02-20,3271.6001,3280.0000,3224.2000,3276.2500,11463
2024-02-21,3276.0500,3310.8000,3237.0000,3265.7000,7744
2024-02-22,3270.0000,3282.0500,3198.7000,3267.8501,7923
2024-02-23,3270.5500,3315.0000,3200.0000,3283.2500,8949
2024-02-26,3280.0000,3347.0000,3264.0500,3314.1499,11674
2024-02-27,3314.2500,3330.8000,3220.2000,3251.7500,6870
2024-02-28,3251.7500,3268.0500,3201.1001,3224.2500,9742
