date,open,high,low,close,volume
2023-09-25,311.0000,311.0000,301.5000,304.0000,1004
2023-09-26,306.1000,307.5000,298.5500,302.0000,1981
2023-09-27,305.9000,315.0000,305.9000,313.4500,2469
2023-09-28,311.6000,335.0000,307.2000,320.2500,6834
2023-09-29,316.8000,320.0000,310.0000,317.4000,7230
2023-10-03,312.3000,349.0000,308.0500,326.7500,13549
2023-10-04,327.0000,392.0000,315.5500,386.3500,156583
2023-10-05,388.7000,399.7500,365.0000,371.7000,38687
2023-10-06,368.0000,370.5500,345.0000,357.1500,13322
2023-10-09,365.1500,397.7500,355.0000,360.6500,10717
2023-10-10,355.0000,384.8000,351.4000,367.1500,4539
2023-10-11,381.0000,381.3000,370.0000,375.2000,2602
2023-10-12,380.0000,380.0000,356.6000,360.6000,3083
2023-10-13,370.1000,373.7500,361.9500,371.0500,1239
2023-10-16,379.0000,392.9000,371.0000,384.2500,4234
2023-10-17,392.9000,392.9000,373.0000,377.8500,8063
2023-10-18,384.6000,390.0000,376.1500,384.4000,3773
2023-10-19,375.0000,409.0000,375.0000,404.9500,27584
2023-10-20,409.0000,409.0000,398.6000,407.7000,8398
2023-10-23,413.0000,418.9000,375.0000,390.6500,11747
2023-10-25,405.5000,462.7000,385.1000,436.9000,41961
2023-10-26,459.0000,464.8000,396.0000,404.9000,33370
2023-10-27,414.0000,429.0000,399.0000,419.0500,8758
2023-10-30,444.0000,444.0000,413.7500,431.9500,3581
2023-10-31,449.9500,449.9500,410.0000,419.8000,5362
2023-11-01,435.0000,435.0000,411.9000,421.2500,2197
2023-11-02,424.3500,425.9000,400.5500,404.5500,3921
2023-11-03,397.2000,419.9000,391.5500,407.7500,3622
2023-11-06,420.0000,420.0000,405.1000,412.5500,1966
2023-11-07,395.5500,410.0000,392.0000,404.6000,1849
2023-11-08,404.6000,404.6000,394.0000,396.3000,518
2023-11-09,385.5000,394.0000,385.5000,391.7000,1583
2023-11-10,381.1000,401.0000,381.1000,399.9500,1017
2023-11-13,403.0000,418.0000,401.0000,418.0000,669
2023-11-15,435.0000,435.0000,398.0000,400.0000,2567
2023-11-16,400.0000,405.0000,394.0000,398.0000,927
2023-11-17,415.0000,415.0000,390.0000,404.9500,1466
2023-11-20,404.5000,404.5000,390.1000,397.0000,993
2023-11-21,404.0000,405.0000,392.0000,399.5500,902
2023-11-22,399.5500,399.5500,391.0000,392.0000,521
2023-11-23,400.0000,403.9000,386.1000,395.8500,2009
2023-11-24,394.0000,404.8500,391.1000,392.1000,816
2023-11-28,409.7500,410.0000,395.0000,405.0000,482
2023-11-29,404.8500,404.8500,397.0000,397.0000,28
2023-11-30,390.0000,408.9500,390.0000,404.9500,323
2023-12-01,405.0000,405.0000,395.0000,395.0000,201
2023-12-04,395.0000,402.0000,390.1000,391.0500,829
2023-12-05,391.1000,401.0000,390.0000,393.4000,570
2023-12-06,393.4000,400.0000,387.1000,395.0000,779
2023-12-07,390.0000,399.0000,385.1000,390.9500,455
2023-12-08,391.1500,398.0000,386.0000,386.2500,306
2023-12-11,385.0500,405.0000,385.0500,400.8500,1296
2023-12-12,420.8500,420.8500,400.0000,414.8500,1104
2023-12-13,414.0000,414.0000,402.0000,402.7000,247
2023-12-14,402.7500,414.0000,392.1000,395.7500,1524
2023-12-15,409.9500,410.0000,399.0000,404.0000,579
2023-12-18,404.0000,414.0000,390.0000,398.1000,886
2023-12-19,392.5000,409.7500,385.5000,395.3500,585
2023-12-20,409.8000,410.0000,400.0000,400.0000,1935
2023-12-21,409.9500,419.0000,405.0000,416.1500,2447
2023-12-22,416.1500,428.5000,410.2000,418.8500,1284
2023-12-26,418.8500,418.8500,400.0000,402.5000,1392
2023-12-27,403.0000,410.0000,398.0000,409.9500,338
2023-12-28,422.0000,422.0000,392.0000,413.0000,348
2023-12-29,411.0000,433.6500,406.5000,431.4000,3419
2024-01-01,431.4000,452.9500,431.4000,452.9500,13690
2024-01-02,470.0000,475.5500,460.0000,474.4000,25685
2024-01-03,485.0000,485.0000,452.1000,463.3500,6721
2024-01-04,451.0000,461.0000,440.2000,455.3500,4406
2024-01-05,455.3500,465.0000,435.2500,458.3000,2761
2024-01-08,445.0500,463.0000,443.0000,449.0000,1947
2024-01-09,455.0000,455.0000,440.0000,441.9500,1116
2024-01-10,441.9500,450.0000,430.0000,445.0500,2001
2024-01-11,449.0000,454.0000,437.0000,447.5500,1573
2024-01-12,463.9000,463.9000,436.5500,447.0000,2110
2024-01-15,447.0000,447.0000,447.0000,447.0000,0
2024-01-16,440.0000,452.4000,435.0000,441.6500,1200
2024-01-17,450.5000,450.5000,431.4000,444.4000,2098
2024-01-18,443.9000,456.9500,432.2500,452.4000,2770
2024-01-19,456.8500,460.0000,452.0000,458.0500,3187
2024-01-23,451.3500,459.0000,440.0000,443.4500,974
2024-01-24,435.0000,461.0000,426.0000,449.6500,2761
2024-01-25,472.1000,472.1000,458.6500,472.1000,8968
2024-01-29,495.7000,495.7000,475.0000,477.1500,5257
2024-01-30,480.0000,501.0000,466.0000,482.2500,2110
2024-01-31,495.0000,495.0000,475.0000,484.7500,1956
2024-02-01,494.4500,494.9500,475.4000,488.0500,2362
2024-02-02,478.1500,493.4500,470.0000,475.3000,2041
2024-02-05,478.0000,478.0000,451.5500,456.2000,7428
2024-02-06,474.9000,479.0000,452.6000,478.2000,3950
2024-02-07,547.9500,547.9500,475.0000,497.9500,9727
2024-02-08,486.2500,501.8000,475.0000,479.2500,1884
2024-02-09,486.2500,488.5500,458.0000,464.4500,1814
2024-02-12,482.5500,482.5500,442.6000,457.2500,1437
2024-02-13,454.1000,454.8500,435.0000,442.3500,1596
2024-02-14,415.0000,474.0000,415.0000,469.2500,1421
2024-02-15,474.0000,474.0000,448.7500,460.3000,1408
2024-02-16,432.0500,470.5500,432.0500,461.0000,901
2024-02-19,465.9500,494.6000,446.0000,460.4000,4211
2024-02-20,474.8000,479.9500,456.0500,476.7500,1071
2024-02-21,488.9000,489.9500,470.0000,487.6000,4623
2024-02-22,487.6000,493.4500,472.0500,481.4500,1814
2024-02-23,488.4000,492.3500,466.0500,471.4500,1112
2024-02-26,485.1000,485.1000,429.9000,450.0500,4271
2024-02-27,459.1000,468.9500,452.8000,461.0500,1426
2024-02-28,463.0500,472.3000,451.0500,453.0500,1099
2024-02-29,442.0500,464.9000,442.0500,459.1000,519
2024-03-01,468.5000,473.9500,468.0500,469.0000,522
2024-03-04,481.8000,571.9500,481.7500,569.5000,86158
2024-03-05,567.9500,567.9500,486.1500,497.3000,42024
2024-03-06,508.0000,508.0000,465.1000,480.3000,8885
2024-03-07,480.1000,529.0000,475.0000,478.5000,19844
2024-03-11,498.0000,507.6500,476.1500,482.3000,4710
2024-03-12,496.3500,502.0000,470.0000,473.5000,3668
2024-03-13,452.0000,546.0000,452.0000,516.0000,46877
2024-03-14,529.9500,578.0000,500.3500,545.6000,15185
2024-03-15,552.0000,654.7000,520.0000,586.4500,29543
2024-03-18,587.0000,625.4500,560.0500,575.7500,15080
2024-03-19,586.9500,586.9500,565.0000,566.2500,3232
2024-03-20,569.1000,639.9000,567.0500,603.8500,12453
2024-03-21,640.0000,640.0000,593.9500,623.0500,11656
2024-03-22,634.8000,635.0000,583.7500,617.0000,7449
2024-03-26,635.0000,635.0000,608.0000,616.6000,4918
2024-03-27,624.0000,625.0500,580.0000,599.1500,7531
2024-03-28,609.8000,642.0000,599.1500,625.5500,5790
2024-04-01,650.0000,650.0000,610.0000,615.7000,3223
2024-04-02,626.0000,666.0000,626.0000,634.6000,7419
2024-04-03,637.9000,720.0000,635.5500,702.2500,32307
2024-04-04,750.0000,750.0000,664.7000,679.4500,21617
2024-04-05,692.0000,741.9500,674.0500,730.0000,12623
2024-04-08,761.0000,762.0000,731.6000,751.8000,8441
2024-04-09,751.8000,779.1500,731.8000,744.8000,9135
2024-04-10,753.0000,780.0000,739.0000,752.6500,7241
2024-04-12,756.6000,773.1500,740.0500,755.6500,5600
2024-04-15,681.0000,750.0000,681.0000,742.4500,11333
2024-04-16,745.0000,745.0000,723.5500,729.6500,3869
2024-04-18,729.6500,748.0000,710.0000,718.6000,9300
2024-04-19,718.6000,754.9500,718.6000,727.0000,4740
2024-04-22,749.8500,750.0000,727.7500,747.8500,5360
2024-04-23,757.0000,757.0000,731.0500,749.7500,3617
2024-04-24,749.2500,753.7000,735.0000,737.3000,1503
2024-04-25,738.1000,757.0000,722.5000,752.1500,2908
2024-04-26,752.0000,757.0000,734.0500,744.8000,4829
2024-04-29,759.8000,760.0000,740.0500,747.3000,1887
2024-04-30,746.6500,775.0000,745.4500,760.6500,1728
2024-05-02,775.0000,775.0000,752.5500,759.8000,3051
2024-05-03,761.2500,768.9000,750.2500,759.3000,4033
2024-05-06,779.0000,888.0000,734.0000,856.1500,37403
2024-05-07,887.4500,899.0000,830.0000,876.5500,19946
2024-05-08,876.0000,960.0000,871.4000,917.8000,62148
2024-05-09,959.9000,981.3500,920.0000,927.8000,35937
2024-05-10,927.8000,947.3000,805.0500,838.1000,36204
2024-05-13,850.0000,850.0000,754.0000,769.2000,19646
2024-05-14,780.0000,780.0000,726.7500,734.9000,20763
2024-05-15,741.0000,881.8500,730.5500,875.2500,124583
2024-05-16,925.0000,930.0000,881.0500,900.8000,40466
2024-05-17,920.0000,924.7500,845.0000,858.2000,15494
2024-05-21,871.0000,883.9500,791.0000,811.5500,12666
2024-05-22,833.0000,853.9500,815.0500,823.2500,5928
2024-05-23,826.7000,843.8500,801.0000,813.4500,7464
2024-05-24,831.4000,842.9500,791.0500,807.1500,9984
2024-05-27,809.0000,829.2500,800.3500,809.4000,4412
2024-05-28,820.9500,830.0000,793.0500,819.1500,5897
2024-05-29,812.8500,824.8500,800.0000,808.1000,2194
2024-05-30,803.9500,819.9500,793.5500,799.5000,2138
2024-05-31,820.0000,898.9500,801.1000,822.7000,12660
