date,open,high,low,close,volume
2023-09-22,13.7000,14.3800,13.5000,14.1750,3978380
2023-09-25,14.1750,14.8800,14.0600,14.8800,4058590
2023-09-26,15.0000,15.2900,14.5000,15.0650,4299270
2023-09-27,14.9950,15.1700,14.4400,14.8550,3742800
2023-09-28,14.8950,15.0600,14.4950,14.7100,1951660
2023-09-29,15.0700,15.2900,14.7900,14.9150,2326430
2023-10-03,14.8950,14.9800,14.4300,14.7500,1795070
2023-10-04,14.5150,15.4850,14.4850,15.4150,9777130
2023-10-05,15.5100,15.6700,15.1150,15.3700,4010490
2023-10-06,15.4900,16.1350,15.3100,16.1350,3710530
2023-10-09,16.1350,17.3400,15.5000,16.6100,11905890
2023-10-10,17.0100,17.5600,16.4200,16.5900,6444150
2023-10-11,16.7200,18.2450,16.6300,18.2450,7606110
2023-10-12,18.9750,19.8500,18.6000,19.2100,16301580
2023-10-13,19.2500,20.6600,19.0150,19.9100,12049450
2023-10-16,20.4000,21.9000,20.3000,21.9000,12247440
2023-10-17,22.4400,22.7400,20.8050,20.8050,12874180
2023-10-18,20.3000,20.3050,19.7650,19.7650,4911120
2023-10-19,18.7800,18.7800,18.7800,18.7800,664110
2023-10-20,17.8450,19.2000,17.8450,17.8450,20186110
2023-10-23,17.6050,18.4700,16.9550,16.9550,5938260
2023-10-25,16.9400,17.5000,16.1100,16.6600,8812600
2023-10-26,16.6400,17.2000,15.8300,16.5550,14816110
2023-10-27,16.7500,17.3800,16.6600,17.3800,2272930
2023-10-30,18.2450,18.2450,17.3950,18.2000,8677160
2023-10-31,18.2000,18.6750,17.4500,17.6800,3555940
2023-11-01,17.5000,18.0700,17.2250,17.3900,2626050
2023-11-02,17.7400,18.2550,17.6000,18.2550,2697040
2023-11-03,18.1450,18.5400,17.8550,17.9100,2099850
2023-11-06,18.1750,18.8050,17.8500,18.8050,2535530
2023-11-07,19.1500,19.7450,18.8550,19.7450,4377120
2023-11-08,20.2000,20.7300,19.7450,20.5200,8386130
2023-11-09,20.4800,20.4800,19.4950,19.4950,5445010
2023-11-10,19.5000,20.3650,19.1150,19.8300,4521510
2023-11-13,20.4000,21.2650,19.8050,20.2450,6319640
2023-11-15,20.4350,20.6200,19.6000,19.8300,4661620
2023-11-16,19.9500,20.5000,19.4150,19.5850,2621230
2023-11-17,19.6950,19.9900,19.0500,19.1600,2227870
2023-11-20,19.2900,19.3300,18.4600,18.6100,2735790
2023-11-21,18.5500,19.5400,18.5500,19.1250,3364120
2023-11-22,19.1300,20.0400,18.6150,19.7950,5391830
2023-11-23,19.8000,20.3300,19.4000,19.9250,3385090
2023-11-24,20.0400,20.1150,19.6000,19.6900,1898640
2023-11-28,19.6950,19.8950,19.3600,19.6500,1617660
2023-11-29,19.8400,19.8550,19.2550,19.3250,1198440
2023-11-30,19.3250,19.9500,19.1000,19.5900,2758130
2023-12-01,19.9000,19.9000,19.4250,19.4950,1641140
2023-12-04,19.8250,20.4650,19.5150,20.4650,4877910
2023-12-05,20.5700,21.4850,20.5700,21.4850,10161540
2023-12-06,22.0800,22.0800,20.8000,20.9850,6214120
2023-12-07,21.7000,23.0800,21.2300,23.0800,7864160
2023-12-08,23.7700,25.0350,23.5450,24.0000,14223040
2023-12-11,24.2150,25.7600,24.0800,25.1500,5138680
2023-12-12,25.5000,25.6000,23.7000,24.3800,4132190
2023-12-13,24.7000,25.1500,24.0050,24.8300,3160170
