date,open,high,low,close,volume
2023-09-18,112.9500,113.7500,109.2000,110.8500,15026
2023-09-20,110.9500,112.7500,107.5500,108.6000,20390
2023-09-21,110.9500,112.0000,107.2500,108.2000,15023
2023-09-22,108.2500,111.0000,108.1000,108.9000,16225
2023-09-25,109.0000,109.9000,100.1000,102.4000,88553
2023-09-26,103.0000,104.9000,100.9500,104.2500,35492
2023-09-27,103.9500,106.9500,103.8000,105.3000,28350
2023-09-28,107.6000,107.6000,103.0000,103.4500,18084
2023-09-29,104.9000,104.9000,102.1000,103.2500,29276
2023-10-03,105.7500,105.7500,101.9500,102.5000,17671
2023-10-04,102.0500,105.0000,102.0500,103.5000,45141
2023-10-05,104.9500,111.6000,104.1500,109.5500,104400
2023-10-06,110.0000,111.8000,108.3500,109.3500,25326
2023-10-09,108.4000,108.9000,105.2500,106.7000,46456
2023-10-10,106.0000,111.6000,104.1000,108.0500,85776
2023-10-11,108.0500,111.4000,108.0500,110.1000,20628
2023-10-12,111.5000,114.9000,108.1500,111.3000,46754
2023-10-13,111.2500,117.2000,110.4500,115.7000,57470
2023-10-16,117.9500,118.5500,114.2000,114.6500,25852
2023-10-17,116.8000,116.8000,112.1000,112.9000,20436
2023-10-18,113.8000,114.9000,111.0000,112.4500,36345
2023-10-19,113.0000,113.9500,111.8500,112.4500,10986
2023-10-20,112.4500,115.2000,111.3000,111.8500,12488
2023-10-23,111.8000,111.8000,105.0000,105.2500,30367
2023-10-25,105.4500,113.0000,104.0000,105.2000,14266
2023-10-26,106.0000,106.0000,102.0000,104.1000,20577
2023-10-27,104.1000,107.1000,104.1000,105.7500,10475
2023-10-30,109.6500,109.6500,106.0000,106.3500,12988
2023-10-31,107.4500,108.1500,105.4500,105.9000,9508
2023-11-01,104.8000,106.3000,104.8000,105.2500,6908
2023-11-02,105.5000,107.2500,105.0000,105.8500,4879
2023-11-03,106.8500,114.6000,106.1000,111.8000,43465
2023-11-06,111.8500,113.7000,111.0000,111.9000,15884
2023-11-07,112.1500,112.7500,110.9500,111.1000,10316
2023-11-08,110.9500,118.9500,108.3000,108.8000,91583
2023-11-09,108.5000,110.6500,107.9500,108.8000,18525
2023-11-10,109.8500,109.8500,105.5500,106.1000,18721
2023-11-13,105.8000,106.6500,105.2000,105.7000,16551
2023-11-15,105.7000,107.8500,99.4000,101.4500,80628
2023-11-16,103.8000,106.0000,102.6000,104.6500,23231
2023-11-17,106.0000,112.0000,104.9500,108.1000,31945
2023-11-20,109.4000,113.6500,108.7500,111.2000,51992
2023-11-21,114.7000,118.0000,112.1000,115.6000,123178
