date,open,high,low,close,volume
2023-09-18,88.1500,88.6500,86.0000,86.5500,22784
2023-09-20,87.9000,87.9000,85.5000,85.7500,36969
2023-09-21,86.2500,86.3000,82.5000,84.0500,48254
2023-09-22,84.2000,86.0000,83.9000,84.1000,26698
2023-09-25,85.9500,85.9500,82.6000,83.8000,41737
2023-09-26,84.1000,84.1000,82.7000,82.9500,47709
2023-09-27,83.7000,84.0000,79.8000,80.2000,81045
2023-09-28,80.6500,82.9000,80.6500,81.8500,35398
2023-09-29,82.8000,82.9000,81.3500,82.4500,26375
2023-10-03,82.9000,84.0000,82.3000,83.8500,25853
2023-10-04,83.0000,86.3500,83.0000,84.5000,36534
2023-10-05,85.2500,85.2500,82.6500,84.7000,15555
2023-10-06,85.3500,86.2000,83.6000,85.5000,40148
2023-10-09,85.4500,85.4500,82.8500,83.0500,17545
2023-10-10,83.4500,86.0000,82.4500,84.9000,19183
2023-10-11,84.9500,86.7000,83.9000,85.9000,20403
2023-10-12,86.0000,86.8000,82.6000,83.4000,37701
2023-10-13,84.4500,84.4500,81.5000,81.9500,39717
2023-10-16,82.1000,82.3000,79.8000,80.7000,50455
2023-10-17,81.1500,81.1500,79.8000,80.0500,33574
2023-10-18,80.0500,80.9500,77.8000,78.1500,52257
2023-10-19,80.1500,80.1500,76.9500,77.4500,53641
2023-10-20,76.2000,80.3000,76.2000,79.7000,36209
2023-10-23,80.3500,81.8000,78.7000,79.6500,31235
2023-10-25,79.5000,80.4000,76.0000,77.3500,19950
2023-10-26,77.3500,77.3500,73.3000,76.8000,33127
2023-10-27,76.7500,78.7500,76.5000,77.8000,16459
2023-10-30,79.0000,79.0000,77.0000,77.6000,6150
2023-10-31,79.0000,79.0000,75.1500,75.5500,18055
2023-11-01,76.9500,78.0000,76.0000,77.2000,17892
2023-11-02,78.9500,78.9500,76.9500,77.1500,5705
2023-11-03,77.5500,82.8000,77.1500,81.4500,98835
2023-11-06,82.0000,88.0000,82.0000,85.3500,117294
