date,open,high,low,close,volume
2023-09-26,2563.0000,2602.3250,2558.3167,2576.2583,27948
2023-09-27,2567.5000,2597.1416,2565.6333,2576.1416,20256
2023-09-28,2597.5000,2608.3333,2494.3333,2550.1167,94668
2023-09-29,2566.8416,2600.0000,2558.9917,2591.7834,18864
2023-10-03,2600.0000,2610.9917,2558.3416,2572.7583,20010
2023-10-04,2577.5083,2584.6917,2516.7166,2527.1333,24708
2023-10-05,2541.6667,2558.3333,2475.7083,2515.0583,59802
2023-10-06,2520.0000,2526.1416,2485.0083,2503.0417,36810
2023-10-09,2467.5000,2506.9500,2436.6667,2495.3667,26586
2023-10-10,2498.7000,2525.0000,2493.0083,2511.1416,33792
2023-10-11,2520.9167,2574.9500,2441.6667,2545.2500,19224
2023-10-12,2563.5750,2591.6667,2533.3916,2570.5750,17802
2023-10-13,2570.6750,2748.8501,2570.5750,2679.5334,53538
2023-10-16,2658.3333,2698.0417,2604.1667,2627.1084,25932
2023-10-17,2632.7417,2652.9917,2618.0083,2621.8416,10716
2023-10-18,2621.8416,2719.6750,2618.7666,2696.8584,22110
2023-10-19,2666.6667,2684.7166,2633.3333,2639.8000,12984
2023-10-20,2638.3333,2663.8416,2615.0000,2627.6167,11652
2023-10-23,2642.0750,2654.5500,2562.6917,2571.1416,20688
2023-10-25,2570.5667,2580.6416,2534.5083,2548.2083,15258
2023-10-26,2562.2166,2599.8167,2499.3501,2572.7334,27954
2023-10-27,2558.3750,2766.6667,2558.3750,2651.3501,61116
2023-10-30,2650.0000,2683.3333,2604.2000,2622.5750,17454
2023-10-31,2628.5000,2642.4666,2591.6667,2617.4417,14886
2023-11-01,2617.3333,2618.1250,2544.1667,2575.3916,27582
2023-11-02,2583.3416,2664.6584,2565.1750,2649.7251,19620
2023-11-03,2664.1667,2678.1084,2623.2749,2656.0583,21636
2023-11-06,2634.3584,2689.7334,2625.0083,2678.9417,21108
2023-11-07,2689.8333,2724.0249,2633.3333,2715.8000,47826
2023-11-08,2730.8083,2776.5000,2689.9917,2748.0000,27618
2023-11-09,2741.6667,2758.0000,2700.8333,2719.5916,15546
2023-11-10,2700.0000,2770.3667,2700.0000,2731.2251,52860
2023-11-13,2799.1750,2824.1667,2740.7834,2760.6333,28794
2023-11-15,2758.3333,2780.8333,2716.6667,2740.0334,39366
2023-11-16,2755.1084,2755.1084,2700.1667,2715.8083,22386
2023-11-17,2732.5000,2738.5833,2702.5083,2714.3333,13536
2023-11-20,2728.6167,2775.0000,2684.1667,2753.6001,35868
2023-11-21,2753.6001,2765.6667,2698.0000,2716.2917,14166
2023-11-22,2731.2251,2735.0833,2619.3333,2639.5750,30690
2023-11-23,2655.6584,2697.5000,2644.3083,2692.9167,18126
2023-11-24,2700.0000,2709.5833,2643.3416,2650.0500,8982
2023-11-28,2650.0500,2655.8333,2600.0000,2614.3667,16434
2023-11-29,2628.7417,2628.7500,2571.0000,2582.2666,15984
2023-11-30,2596.4751,2670.4834,2543.6750,2650.1833,193680
2023-12-01,2664.1667,2730.8333,2633.3333,2690.8667,39474
2023-12-04,2724.1584,2783.7583,2674.4167,2701.3999,91602
2023-12-05,2674.3833,2757.3333,2629.2666,2744.9917,81330
2023-12-06,2749.9917,2755.4834,2658.3584,2669.9167,31398
2023-12-07,2697.5000,2713.3083,2633.3333,2642.2583,27180
2023-12-08,2656.8501,2720.0000,2625.9500,2645.6333,46176
2023-12-11,2664.1667,2664.1667,2616.6667,2643.6499,141918
2023-12-12,2643.6499,2661.6584,2577.7583,2590.1250,41196
2023-12-13,2601.6001,2610.1667,2553.3416,2600.7583,26760
2023-12-14,2610.5583,2619.2500,2550.1667,2588.6584,43092
2023-12-15,2591.8416,2645.8333,2555.5000,2618.3083,31068
2023-12-18,2632.8916,2647.9666,2575.0000,2584.9084,22824
2023-12-19,2584.9084,2658.4500,2574.1333,2638.0916,62556
2023-12-20,2640.8416,2646.8916,2609.1667,2625.3833,49980
2023-12-21,2610.8333,2626.7417,2583.3333,2586.6750,17508
2023-12-22,2598.0583,2608.3416,2575.0750,2589.4333,15852
2023-12-26,2589.4333,2603.1584,2542.0083,2555.5334,15180
2023-12-27,2569.6584,2593.0500,2530.1833,2577.2666,56640
2023-12-28,2569.6584,2647.5000,2483.5166,2567.0417,83118
2023-12-29,2567.3333,2678.5083,2548.3916,2667.8167,165810
2024-01-01,2643.3501,2723.1416,2633.3333,2717.8416,43962
2024-01-02,2730.8333,2742.0000,2670.5083,2707.8501,118584
2024-01-03,2707.8501,2725.0000,2651.0667,2658.6833,210378
2024-01-04,2658.6833,2681.0000,2600.0000,2646.2500,61812
2024-01-05,2665.8333,2720.0000,2650.4333,2695.2500,26016
2024-01-08,2719.8333,2720.9250,2683.7666,2713.4167,12438
2024-01-09,2724.1667,2737.0000,2694.1917,2717.5916,17106
2024-01-10,2731.3333,2731.3333,2650.0000,2663.8584,51588
2024-01-11,2678.5083,2678.5083,2633.3333,2650.4751,10122
2024-01-12,2660.3250,2725.3000,2609.2666,2711.3083,30960
2024-01-15,2711.3083,2711.3083,2711.3083,2711.3083,0
2024-01-16,2730.5667,2785.0000,2717.1001,2764.7000,27924
2024-01-17,2737.5000,2787.6750,2712.0916,2776.8999,29448
2024-01-18,2777.5000,2849.8333,2718.4751,2826.3416,26418
2024-01-19,2832.5000,2863.5750,2800.0000,2848.3167,40596
2024-01-23,2855.8333,2950.0000,2836.6667,2877.0583,38622
2024-01-24,2876.6667,2914.6250,2816.6584,2878.4084,65490
2024-01-25,2866.6667,2889.7666,2742.0000,2785.8667,33606
2024-01-29,2815.3333,2817.9834,2783.3333,2798.4333,82044
2024-01-30,2800.0000,2855.3833,2697.9751,2718.7251,139428
2024-01-31,2651.3333,2754.0000,2637.7666,2722.7583,65316
2024-02-01,2667.5000,2698.0667,2537.6499,2570.5417,130314
2024-02-02,2582.6499,2603.8750,2461.6667,2483.8250,241854
2024-02-05,2483.8250,2530.8333,2385.6667,2405.8250,225198
2024-02-06,2411.0249,2500.0000,2329.5750,2367.1416,106086
2024-02-07,2397.5000,2478.1667,2397.1584,2463.5583,162720
2024-02-08,2472.2166,2483.6917,2387.7000,2416.9333,29742
2024-02-09,2425.0166,2449.9751,2360.0000,2431.2334,47100
2024-02-12,2444.6084,2533.1584,2411.2917,2506.2417,40170
2024-02-13,2515.8333,2522.5667,2469.1084,2498.4250,18186
2024-02-14,2500.0083,2547.5000,2466.6584,2476.3833,53172
2024-02-15,2481.5500,2520.8667,2479.1667,2510.7417,10026
2024-02-16,2510.7417,2605.8083,2506.3083,2590.7583,35970
2024-02-19,2599.1667,2604.9751,2505.3416,2528.4834,25392
2024-02-20,2536.5417,2546.8000,2484.1667,2499.4666,29124
2024-02-21,2499.4666,2518.4583,2377.3250,2405.2666,51036
2024-02-22,2423.0500,2424.8501,2360.3333,2383.3083,29178
2024-02-23,2396.4167,2490.8333,2350.8333,2387.9751,57708
2024-02-26,2387.9751,2491.6750,2367.5000,2432.6416,33114
2024-02-27,2432.6416,2457.4917,2383.1499,2416.5000,45444
2024-02-28,2425.0000,2446.7500,2386.1833,2429.2583,19272
2024-02-29,2429.2666,2491.6667,2368.6667,2420.6750,41496
2024-03-01,2437.7583,2482.5000,2419.0083,2471.2917,15402
2024-03-04,2466.6667,2485.0583,2434.1667,2444.9500,11670
2024-03-05,2435.8333,2466.6667,2424.3501,2460.5083,6234
2024-03-06,2450.0000,2460.5083,2395.0000,2407.0916,10230
2024-03-07,2400.0000,2411.2834,2376.7917,2387.3167,9342
2024-03-11,2383.3584,2400.2749,2304.1667,2338.4583,101646
2024-03-12,2328.3333,2350.0083,2305.0000,2334.8416,24792
2024-03-13,2325.9417,2343.7417,2298.4666,2325.5916,65268
2024-03-14,2321.0334,2384.1250,2317.5166,2364.5166,14682
2024-03-15,2377.5916,2607.4834,2347.2334,2584.2251,250704
2024-03-18,2555.0000,2648.1584,2472.0166,2631.1833,82176
2024-03-19,2621.1416,2637.1499,2576.6917,2621.2000,77484
2024-03-20,2620.8333,2620.8333,2552.8501,2568.0249,59556
2024-03-21,2563.8250,2593.4917,2516.6750,2547.4917,59382
2024-03-22,2561.3333,2566.3999,2535.2000,2559.8999,14124
2024-03-26,2579.1584,2579.1584,2483.5000,2494.1833,38148
2024-03-27,2507.5000,2516.6584,2433.3333,2459.1416,32292
2024-03-28,2461.0000,2541.8333,2456.6667,2530.1584,63144
2024-04-01,2547.5000,2563.3333,2491.5000,2546.1084,40872
2024-04-02,2546.1001,2550.0000,2500.0083,2508.0166,10638
2024-04-03,2508.0166,2520.3916,2483.3416,2503.3416,20118
2024-04-04,2516.6667,2517.1833,2450.8333,2495.5833,51492
2024-04-05,2495.5833,2495.5833,2450.8333,2456.0833,59058
2024-04-08,2456.0833,2469.5916,2411.7583,2420.2834,66990
2024-04-09,2420.5916,2448.0833,2392.0083,2400.4084,22674
2024-04-10,2413.6167,2441.6250,2403.8167,2418.3667,34860
2024-04-12,2430.3333,2431.7417,2353.3333,2363.3667,311892
2024-04-15,2363.3667,2400.0000,2300.0000,2309.2749,24654
2024-04-16,2309.2749,2323.0833,2218.3333,2231.2417,104784
2024-04-18,2249.1667,2311.6667,2244.8750,2273.2334,85440
2024-04-19,2285.8083,2331.5000,2246.6667,2305.3667,27042
2024-04-22,2316.6667,2380.6667,2310.8333,2357.4250,41310
2024-04-23,2380.3333,2439.4917,2325.0000,2349.1001,112404
2024-04-24,2348.7334,2373.5500,2300.0000,2311.2251,27600
2024-04-25,2311.3333,2378.5417,2311.3333,2331.3999,25716
2024-04-26,2340.0500,2356.6667,2304.1667,2312.4167,21408
2024-04-29,2314.8083,2345.3833,2283.3333,2288.5833,33834
2024-04-30,2300.0249,2320.2083,2256.0833,2281.2834,169698
2024-05-02,2284.1750,2307.5000,2270.9917,2282.4167,44490
2024-05-03,2273.3333,2308.3333,2246.8333,2264.1499,30834
2024-05-06,2264.0166,2276.8250,2227.6250,2239.2334,13980
2024-05-07,2238.2666,2256.4917,2221.6667,2229.5166,26538
2024-05-08,2247.5000,2248.7417,2222.9250,2233.3083,60096
2024-05-09,2233.7251,2283.1667,2199.9917,2226.8083,79020
2024-05-10,2233.4417,2259.7166,2206.2834,2237.7749,11388
2024-05-13,2244.4417,2247.5000,2177.5000,2185.2251,52290
2024-05-14,2196.1584,2196.2417,2163.3416,2167.1750,19338
2024-05-15,2183.8416,2211.0833,2162.5000,2185.6250,31338
2024-05-16,2194.3416,2241.5000,2188.7417,2234.1499,109410
2024-05-17,2237.5000,2320.0000,2237.5000,2271.3667,28032
2024-05-21,2314.6667,2314.6667,2233.5083,2247.6584,29154
2024-05-22,2252.1584,2275.0000,2212.6667,2216.9500,61494
2024-05-23,2243.3333,2247.5000,2166.8333,2202.3833,59226
2024-05-24,2230.8333,2279.6667,2200.0249,2258.5417,78798
2024-05-27,2237.5000,2710.2500,2216.6667,2710.2500,658182
2024-05-28,2833.3000,2915.0000,2616.6667,2860.3833,858786
2024-05-29,2800.3416,2848.0000,2710.1750,2737.5334,198168
2024-05-30,2737.5334,2748.5667,2633.3333,2652.0083,93546
2024-05-31,2657.1167,2983.3333,2585.6667,2901.8167,207726
2024-06-03,3033.3333,3041.6667,2834.0667,2897.7834,63180
2024-06-04,2898.3250,2929.4834,2650.0000,2733.0249,47244
2024-06-05,2741.6667,2914.3333,2667.8999,2800.5833,30906
2024-06-06,2814.9834,2897.6584,2766.6667,2831.0417,25260
2024-06-07,2833.3333,2900.0000,2783.3333,2826.3416,131898
2024-06-10,2805.0000,2895.7666,2805.0000,2879.9917,25992
2024-06-11,2879.9917,2991.8333,2846.8584,2950.6499,65112
2024-06-12,2980.8333,2993.3083,2911.0583,2944.1833,22020
2024-06-13,2960.5500,2964.9834,2870.8333,2895.5583,21882
2024-06-14,2944.1667,2966.6917,2854.1750,2885.9917,43872
2024-06-18,2885.9917,2914.1667,2863.2417,2879.5249,15798
2024-06-19,2857.8333,2857.8333,2563.0000,2707.4751,9804186
2024-06-20,2708.0750,2737.5083,2649.8333,2660.0166,259200
2024-06-21,2658.7251,2673.3167,2583.3250,2634.3916,331692
