date,open,high,low,close,volume
2023-09-12,629.7500,643.0000,623.8000,627.7500,879018
2023-09-13,625.1500,644.4500,625.1500,643.2500,1167179
2023-09-14,648.3000,648.5000,637.2500,639.9000,780283
2023-09-15,642.9500,648.9500,640.3500,645.3500,1436938
2023-09-18,645.3500,653.9000,640.6000,643.4000,1030256
2023-09-20,645.0000,646.9500,623.6000,624.7500,1228062
2023-09-21,628.5000,635.3000,613.8500,615.6500,1390821
2023-09-22,616.0000,618.8000,594.3000,595.6000,1581468
2023-09-25,591.1000,606.0000,589.1500,603.3500,1428844
2023-09-26,603.4500,605.9500,596.5000,598.0500,963978
2023-09-27,599.1500,607.9000,596.2500,605.1500,1299692
2023-09-28,609.9500,609.9500,599.1000,602.7500,5303814
2023-09-29,604.0000,621.9500,601.5000,615.0000,1132784
2023-10-03,616.4000,618.0000,608.1000,611.0500,1221938
2023-10-04,611.0000,613.6000,597.8500,603.4500,2247374
2023-10-05,605.0500,613.2000,600.5000,605.0500,1294635
2023-10-06,607.3000,610.6500,599.6000,603.7500,1145725
2023-10-09,600.0500,607.2000,595.1000,601.2000,720986
2023-10-10,601.9500,604.9500,597.1500,600.0000,852136
2023-10-11,603.3000,607.0000,598.0000,599.8500,1380342
2023-10-12,604.9000,604.9000,591.8000,593.9500,1231587
2023-10-13,588.5000,594.7500,587.5000,591.9500,1033792
2023-10-16,591.0000,592.1000,586.0000,591.2000,509125
2023-10-17,593.3000,597.4000,588.4500,590.3000,1122317
2023-10-18,590.3000,596.5500,581.5000,583.8000,880308
2023-10-19,583.8000,591.3000,580.6500,590.2000,1011894
2023-10-20,590.0000,590.2000,573.5000,578.9000,1265465
2023-10-23,585.0000,592.4500,567.9500,570.3500,1100411
2023-10-25,569.6000,576.5500,569.1000,574.7000,719859
2023-10-26,571.9000,574.4000,567.7500,571.3000,452936
2023-10-27,574.0000,579.8500,572.5000,575.0500,544189
2023-10-30,578.0000,582.4500,574.2500,580.2500,788028
2023-10-31,580.1000,583.0000,572.0000,573.5500,876894
2023-11-01,575.4000,577.0000,570.2500,575.4000,369416
2023-11-02,578.9000,580.5000,571.5500,577.8000,858339
2023-11-03,579.1000,588.0000,579.1000,584.8500,667824
2023-11-06,587.1000,589.5000,579.3500,584.8500,943223
2023-11-07,588.0000,602.4000,587.6500,597.3000,2232265
2023-11-08,601.5000,634.0000,598.0500,625.2000,4262389
2023-11-09,625.2000,627.5500,609.1500,612.4500,1601334
2023-11-10,609.5000,621.1500,606.0500,619.9000,1024488
2023-11-13,622.0500,622.4000,616.0500,620.2500,845300
2023-11-15,624.0000,625.5500,618.8500,621.1500,458592
2023-11-16,622.7000,635.4500,619.0000,631.8500,1293030
2023-11-17,634.8000,639.9000,632.8500,636.5500,996812
2023-11-20,640.0000,644.6000,633.4500,636.0000,834768
2023-11-21,639.9500,644.4000,636.6000,639.0500,698901
2023-11-22,642.4000,649.0500,639.4000,642.0500,798769
2023-11-23,645.4500,645.4500,629.4500,631.6000,1008710
2023-11-24,634.8000,648.0000,634.0000,639.9000,690395
2023-11-28,639.9000,641.0500,628.1000,629.8000,606266
2023-11-29,633.2500,637.8500,630.0500,635.0500,777475
2023-11-30,635.5500,640.7500,633.4500,637.5500,1357375
2023-12-01,641.7000,648.9500,637.5000,639.7000,1135068
2023-12-04,648.0000,648.3500,630.0000,633.4000,883822
2023-12-05,637.9000,643.4500,632.4000,634.0500,718008
2023-12-06,637.6500,644.0000,634.0000,635.4500,1501698
2023-12-07,639.2000,659.6000,634.9000,657.9500,2533954
2023-12-08,661.3000,664.9500,630.8500,638.5500,2333950
2023-12-11,644.4500,645.3000,632.0000,633.6000,1399797
2023-12-12,636.8000,640.3000,633.6000,635.4000,1109868
2023-12-13,635.0000,648.6000,633.3000,642.4000,1415919
2023-12-14,647.0000,650.0000,640.9500,643.8000,1194291
2023-12-15,647.0000,650.5500,642.3500,645.9000,953712
2023-12-18,655.0000,682.3500,651.1000,680.6000,6969702
2023-12-19,684.8000,694.0000,671.3500,685.8500,2817353
2023-12-20,686.0000,696.5000,659.1000,663.7500,2162161
2023-12-21,657.5500,674.5000,648.1500,671.4500,1404289
2023-12-22,675.0000,689.4000,673.0500,679.9500,2027527
2023-12-26,679.0000,686.8500,674.5000,676.2000,1323845
2023-12-27,673.0000,693.2500,666.7500,688.6500,2108751
2023-12-28,688.6500,692.3500,681.4000,686.4000,972278
2023-12-29,687.9500,691.8000,683.3500,689.2000,786848
2024-01-01,688.1000,707.2000,685.0000,699.1500,2371842
2024-01-02,707.4500,715.0000,699.6500,712.2500,2433838
2024-01-03,712.4000,716.0000,708.9500,710.4000,921911
2024-01-04,712.0000,715.8500,707.0000,709.1500,1116138
2024-01-05,713.0000,715.3500,706.0000,714.2500,1041423
2024-01-08,717.0000,720.7000,708.6000,710.7000,1499381
2024-01-09,714.7500,719.0000,711.1000,713.0000,689023
2024-01-10,713.6500,718.0000,699.1000,706.9000,1083582
2024-01-11,706.6000,711.6000,700.9000,704.2500,535437
2024-01-12,708.0500,708.2500,696.6500,703.9500,642155
2024-01-15,703.9500,703.9500,703.9500,703.9500,0
2024-01-16,716.9500,717.0500,698.9000,706.8500,1115241
2024-01-17,705.9000,711.0000,698.8000,709.7000,918668
2024-01-18,711.4000,713.6500,686.0000,708.9000,768445
2024-01-19,714.4500,727.5000,710.0000,720.5500,1158529
2024-01-23,706.6000,732.5000,706.6000,729.1500,2533646
2024-01-24,733.8000,753.9000,726.4500,752.4000,2330199
2024-01-25,753.4000,753.4000,732.9000,736.5000,768082
2024-01-29,739.9000,750.4500,733.5500,748.5000,517784
2024-01-30,750.3000,764.5000,750.0000,755.9000,1126826
2024-01-31,755.9000,766.0000,745.0000,760.8000,993266
2024-02-01,763.0000,766.9500,749.2000,759.5500,471177
2024-02-02,760.0000,766.9000,752.0000,761.1500,511333
2024-02-05,761.5000,777.9500,754.1000,760.9000,1160781
2024-02-06,780.0000,809.2000,775.0000,797.4000,3627017
2024-02-07,804.8500,804.8500,786.5500,791.6000,1103135
2024-02-08,795.4500,808.0000,792.3000,802.0500,746665
2024-02-09,806.0000,820.9500,768.8000,805.0500,2721642
2024-02-12,809.7500,863.3500,803.0500,856.6500,6951210
2024-02-13,856.0000,866.8500,844.8500,857.8000,1510782
2024-02-14,846.0000,872.0000,844.6500,867.8000,884541
2024-02-15,872.0000,885.0000,863.4500,878.9500,622903
2024-02-16,885.6500,893.7500,880.3500,891.9000,826132
2024-02-19,897.1500,910.0000,892.4000,907.5500,1032096
2024-02-20,908.0000,912.8000,892.5000,895.7500,1009373
2024-02-21,896.9500,902.6500,889.0000,893.8000,795916
2024-02-22,896.0000,907.5000,889.0000,904.3000,940029
2024-02-23,900.0500,937.0000,898.1000,923.2500,1568847
2024-02-26,928.1000,948.1500,922.5500,942.5500,1420030
2024-02-27,947.0000,953.6500,938.5000,942.8500,860496
2024-02-28,946.4500,951.9500,925.0500,932.6000,643023
2024-02-29,934.4500,948.6500,922.5500,941.9000,1151822
2024-03-01,948.3500,948.3500,923.6000,925.3500,1099628
2024-03-04,921.7000,952.0500,921.7000,946.2500,1542314
2024-03-05,953.0000,956.6000,939.3000,953.7500,928697
2024-03-06,952.9000,964.9000,934.3500,961.8500,840117
2024-03-07,962.0000,981.9500,958.0500,976.7500,921521
2024-03-11,985.9500,1015.5000,980.5000,994.4500,1932290
2024-03-12,999.7000,1007.4500,980.0000,987.7000,1139238
2024-03-13,984.2000,996.9000,960.8500,968.6500,1221703
2024-03-14,970.9500,999.9000,962.1500,995.3000,1275922
2024-03-15,980.9500,994.6500,971.2500,983.9000,1066140
2024-03-18,983.9000,1009.9000,973.1000,991.2500,1710784
2024-03-19,993.0000,997.3000,967.1000,969.8500,924503
2024-03-20,969.8500,984.0000,946.2500,971.4000,1849050
2024-03-21,979.9000,995.0000,972.0000,993.1500,797283
2024-03-22,993.0000,1006.9000,982.3500,999.7500,1181935
2024-03-26,1000.0000,1027.8000,995.0000,1017.0500,1781245
2024-03-27,1027.7500,1027.7500,998.2500,999.7000,1452036
2024-03-28,993.0000,1021.0000,985.0000,1007.3500,1873843
2024-04-01,1024.9500,1031.7000,996.5000,999.8000,1230088
2024-04-02,1004.8000,1008.8000,988.5000,992.9500,990690
2024-04-03,997.0000,999.5000,981.2000,987.7000,852769
2024-04-04,987.1000,991.0000,973.4500,983.2000,879348
2024-04-05,985.9500,1008.6500,983.7500,1006.5000,1885389
2024-04-08,1011.7500,1013.5500,997.5000,1000.6500,651968
2024-04-09,1001.9500,1003.6500,987.5500,989.1500,752593
2024-04-10,994.7000,999.4000,984.6500,994.2000,594164
2024-04-12,992.4500,997.3000,958.8000,962.1500,1325629
2024-04-15,950.0000,962.0000,933.5000,935.1500,1341010
2024-04-16,932.0000,971.5000,926.2000,944.8500,2235559
2024-04-18,954.8000,954.8000,934.0000,937.0000,1376748
2024-04-19,920.2500,933.1000,913.2000,922.1500,1482222
2024-04-22,936.1500,965.7000,934.1000,959.7000,1739090
2024-04-23,960.0500,968.0500,944.6000,959.4500,1094642
2024-04-24,958.0000,958.9500,914.5000,933.5000,3433345
2024-04-25,935.1500,954.8500,925.4000,951.2500,1455928
2024-04-26,951.5000,958.6500,944.5000,947.4000,697528
2024-04-29,948.0000,968.4000,948.0000,963.1000,1094730
2024-04-30,964.9000,968.4000,948.9500,953.5500,1728594
2024-05-02,959.9000,992.0000,951.0500,988.0000,2760717
2024-05-03,994.4500,999.7500,978.3000,997.4000,1408142
2024-05-06,1004.0000,1027.7500,972.1000,1020.7500,2655500
2024-05-07,1029.0000,1033.0000,965.5000,980.8500,1845981
2024-05-08,982.9500,1007.2500,971.7000,1005.6000,1456376
2024-05-09,1006.9500,1007.9000,965.0000,968.2000,1322296
2024-05-10,970.0000,990.0000,968.7000,982.1500,1020700
2024-05-13,991.2000,997.0000,970.6000,992.5000,1082684
2024-05-14,995.0000,1016.6500,978.5000,983.6500,799850
2024-05-15,991.9000,1005.0000,983.6500,997.0500,1174315
2024-05-16,997.0500,1012.0000,984.1500,1009.0000,1608100
2024-05-17,1014.9500,1057.1000,1009.2000,1051.4000,3018435
2024-05-21,1121.1000,1172.5000,1085.0000,1088.3500,4500940
2024-05-22,1094.0000,1096.5500,1048.3500,1080.6500,2865788
2024-05-23,1090.0000,1105.0000,1077.8000,1086.0500,2041787
2024-05-24,1088.9500,1096.5000,1070.0000,1076.0000,2735393
2024-05-27,1083.8500,1086.0000,1055.2500,1058.5000,1812394
2024-05-28,1060.0500,1067.7500,1040.4000,1052.9500,1516739
2024-05-29,1044.1500,1050.8500,1035.9000,1044.7500,1081054
2024-05-30,1042.5000,1046.4500,1020.5000,1023.9500,1517658
2024-05-31,1031.6000,1036.6500,995.0000,1000.1500,2417167
2024-06-03,1045.0000,1045.0000,1009.0000,1032.2500,1142471
2024-06-04,1049.0000,1049.9500,933.8000,1003.6000,3058666
2024-06-05,1006.9500,1064.2000,1005.7000,1048.6500,2720365
2024-06-06,1057.0000,1062.9500,1033.9500,1045.0000,1909045
2024-06-07,1036.0000,1063.7000,1036.0000,1055.8000,1064643
2024-06-10,1062.9000,1090.0000,1059.0000,1086.0500,1813696
2024-06-11,1087.5000,1093.5000,1080.1500,1084.8500,1554675
2024-06-12,1088.2000,1102.9500,1073.8000,1096.9500,1120031
2024-06-13,1105.0000,1105.3000,1085.8500,1090.5000,893913
2024-06-14,1096.9000,1111.8000,1093.9000,1109.5500,1100418
2024-06-18,1107.5000,1109.5000,1070.4500,1078.9500,1899763
2024-06-19,1083.1000,1085.9000,1069.2500,1073.5500,859594
2024-06-20,1076.0000,1092.4500,1050.0000,1088.6500,1282696
2024-06-21,1095.0000,1102.9000,1079.0000,1085.0500,932011
2024-06-24,1080.1000,1091.3000,1072.2500,1080.3500,861316
2024-06-25,1080.3500,1086.0000,1063.0500,1071.7500,1045293
2024-06-26,1071.7500,1085.0000,1063.1500,1065.8000,1354644
2024-06-27,1068.0500,1080.7000,1050.0500,1057.0000,1784563
2024-06-28,1063.0000,1085.0000,1060.5000,1073.9500,2188481
2024-07-01,1093.3500,1096.7000,1060.0500,1067.3000,1910647
2024-07-02,1075.0000,1080.0000,1059.0000,1074.6000,1161878
2024-07-03,1080.9000,1115.0000,1071.0500,1095.2500,2674685
2024-07-04,1104.9500,1144.9000,1093.2500,1137.0500,3636780
2024-07-05,1145.0000,1166.8500,1137.0500,1162.4500,2734011
